path,size_bytes,sha256
README.md,6776,5422ee61b0a13b3510f50d7fea3040e58154f7f4cd66cce7ef5efa52b0b26639
code/configs/arch/model_3m_arch_v1.yaml,592,5046c6cd62e104ab7b09a83a1662842f3a7723f4571930af63097d280a8bd4a8
code/configs/arch/model_3m_arch_v1_agri.yaml,704,1c2677cb3112c39bca66c932dd0e50e5838ab50e6b5fe0ed3756003ffa906f82
code/configs/arch/model_3m_arch_v1_agri_scalar.yaml,709,c3a69a2bff4dbaf8b59674986287ed665ffd6eccf9928168aa984f41278a1287
code/configs/arch/train_shared_mps_arch.yaml,619,73508b28edca2f773e9ee6152e011ef3c698a1fe9090b2416842a415d6798534
code/configs/codex_data_v2_2010.yaml,1353,73ac824284f898edd4b43b8361d020fc5a23d45cf966ed0bf3a75a16b499d84a
code/configs/data_config_2010.yaml,1617,10b0da06929de5c9265818b7930c9d08be26a2678e24ac8fe24ac4a8aa42a165
code/scripts/build_reforecast_climatology.py,3134,d00ccaa3c9ee9a3a26b7bb72f6c352ae85e0ab931dc68c996f5cf7f5b2aae53b
code/scripts/run_classification_focused_search.py,26708,9489298bcc5838cf49a455d9fc49574a339399c7216bac71601603d6d323d3c9
code/scripts/run_classification_refinement_search.py,28562,8670519536efafcf9e7290901c71520a8351be39d3e2c4e5fe3dce7c4cd6996c
code/scripts/run_hybrid_meta_stack_search.py,25244,97ad985793806277498d2b44d0a0120a3c3d2e4de264b56d562959659d08c6d8
code/scripts/run_observed_weather_proxy_search.py,22908,0831e71fe4d1a55c2ee84555937e4887ed87e9f205825a5b1b681168a379744f
code/scripts/run_sign_breakthrough_search.py,27822,ac1f35fe589bca28be98d521ff201a818c784a39332ce38a748e3ffd5eed213f
code/scripts/run_tabular_residual_search.py,21818,569f06379fb8c2db6a4c7e23d3e253661108541054665e1d3384e8319a09f32d
data/agri_economics/ICRISAT-District Level Data-fertilizers.csv,41831,84bb9a361589ffa3f6ff1d9eb47d89ea1208ae09e6a85b32629aa64f0a7c1106
data/agri_economics/ICRISAT-District Level Data-irrigated-area.csv,36663,f68282567c760da6b40731325f3db7c13f8e16f1f5003f31cca0000435301081
data/agri_economics/ICRISAT-District Level Data-landuse.csv,42630,e9ae2b532e14ce47d4b15acdaed506f48172565ff61c00d13094db7f5b2b287a
data/agri_economics/ICRISAT-District Level Data-soil.csv,4879,89a408c6c4a135fa5c5e72211606ab352cb8d96584bde3c1fc3ebe1dcf3b73e5
data/climatology/reforecast_climatology_2010_2018_fiveday_h25.parquet,3318816,d43ba5c977c1d9f7bf2b782e413398f2b641baf13a84ae246e5ccd2ddd4e9b07
data/climatology/reforecast_climatology_2010_2018_tenday_h25.parquet,1697992,8da53114ce820d47ccd53b4e2984b30a45b7b17dd0bc5270576072a66ce4ed80
data/climatology/reforecast_climatology_2010_2018_tenday_h46.parquet,3159512,36b321dfecb276d1c15c76e0d98872930892660cfbe73bf9a032cc5a5b3f60bd
data/climatology/reforecast_climatology_2010_2019_tenday_h25.parquet,1700425,558a88387d0be4cbfd1f3398014c14220e34e9e8bce507d4c55da945fc9ba678
data/climatology/reforecast_climatology_2010_2020_tenday_h25.parquet,1700841,5f669202c19dd5ab15c3045de03190d814b7074472ad6c74cf9bd698c1368dad
data/climatology/reforecast_climatology_2010_2022_tenday_h25.parquet,1702297,d249057070033c718cb56fdf045bea55e2f43325f1ecd7d3c54290a376a560d2
data/district_metadata/districts.parquet,7551,62d2a6f3839ea76eb9bc329c627133373a13a67ef7270fb27f93423297539d50
data/district_metadata/weights.parquet,17651,c7e36a45169c7a31052a7ee1ea09f3f9afd178756847e528c3fdc6c3409df264
data/remote_sensing_landsat_compat/Haryana_Ambala_remote_sensing_data.csv,70975,8a43da02f6874e03c4f7f3be553711ae7c3ce141e9d92b9ff0c9ce25fbb07beb
data/remote_sensing_landsat_compat/Haryana_Bhiwani_remote_sensing_data.csv,71952,3177f852e448551c06b38f546e2929afc0e56bb1497d8e2ec36916eaa17aa22d
data/remote_sensing_landsat_compat/Haryana_Charkhi Dadri_remote_sensing_data.csv,70171,93d4714e11d2b2312907f26a2d4474057f5320035c719317a7e47f00cb712456
data/remote_sensing_landsat_compat/Haryana_Faridabad_remote_sensing_data.csv,72139,320dc6faeedbde83abc889de2b08d99442b8c32ba5d9ab9ebb6d69a7f80cda33
data/remote_sensing_landsat_compat/Haryana_Fatehabad_remote_sensing_data.csv,72096,082bfbf3f96f076fc50b0b75bd7d936a64ae737dbc35de10ecd722bcb63c8372
data/remote_sensing_landsat_compat/Haryana_Gurugram_remote_sensing_data.csv,71865,ce5f010f4ebdf2df147481c3527bd74ab332d27d22dac1fda3b8e4a30646302f
data/remote_sensing_landsat_compat/Haryana_Hisar_remote_sensing_data.csv,72035,ccdc16590acd086127ef7da8c09010954fac056939a981cea4a6e30eaa1200a4
data/remote_sensing_landsat_compat/Haryana_Jhajjar_remote_sensing_data.csv,71870,4e62a5558453eef27bc99d2c113d8d30877b429810e55d01c96b33a5042e93b3
data/remote_sensing_landsat_compat/Haryana_Jind_remote_sensing_data.csv,72099,083d1c1ccbafdea61d8321fa3b86620c204c4d82eb5812eb1ea3a24a1b14e9c6
data/remote_sensing_landsat_compat/Haryana_Kaithal_remote_sensing_data.csv,71463,9349418e9148d51bcef1529d129a1d154480af623a920cf347947586a398045a
data/remote_sensing_landsat_compat/Haryana_Karnal_remote_sensing_data.csv,72023,e8410a2f331964227c4bc0ce2648a7c2d27e232952475a2484e7b77e5a6bc75e
data/remote_sensing_landsat_compat/Haryana_Kurukshetra_remote_sensing_data.csv,71544,96377ef7a0f86928a02b5c7c8e76bbcb42dd687e6753f5c745e01ae6fe890096
data/remote_sensing_landsat_compat/Haryana_Mahendragarh_remote_sensing_data.csv,71524,3bf79f83975b5a8ee447239d17c442be056be0ac07f5f8a22a5b987db93e9972
data/remote_sensing_landsat_compat/Haryana_Nuh_remote_sensing_data.csv,72147,3f74c3aa895aebc4ca140f187ed6b7071a0a854536c64728248291b5c7ec696d
data/remote_sensing_landsat_compat/Haryana_Palwal_remote_sensing_data.csv,72160,2e0debf62ef68b393a92f2007152428a03bc3c88b2082dde58703c317722c08f
data/remote_sensing_landsat_compat/Haryana_Panchkula_remote_sensing_data.csv,70560,c93213f83b24473568cf371ae2b1eb11c74125fe77252b1043be597ad569f183
data/remote_sensing_landsat_compat/Haryana_Panipat_remote_sensing_data.csv,72005,af48dc2fc30b92b70a31c0959ad380237cd035d8408c114369c7486c430cc668
data/remote_sensing_landsat_compat/Haryana_Rewari_remote_sensing_data.csv,72115,93007d0d1c8f11dddae7af7b3f2a310f3df831472ebd5b3ccbaf87909c50c60c
data/remote_sensing_landsat_compat/Haryana_Rohtak_remote_sensing_data.csv,70611,9e068ffbdc90eb702f25796ceaa0cdd0d881e5d4f07c7710d55a03ec495eabdf
data/remote_sensing_landsat_compat/Haryana_Sirsa_remote_sensing_data.csv,71442,92e0371edcdb72523882610d125b1fbaa9826083223332139ce54a575ad0c2be
data/remote_sensing_landsat_compat/Haryana_Sonipat_remote_sensing_data.csv,71904,bd77cd0bc45bd18028610479d921c2ef244194baf13eb3d0425ed11ccceb2734
data/remote_sensing_landsat_compat/Haryana_Yamunanagar_remote_sensing_data.csv,71570,b2d6126f6b22bcacd6664690fe997364eb226f1b0a5eff0cdc7ce38ece372d37
data/remote_sensing_landsat_compat/Punjab_Amritsar_remote_sensing_data.csv,71479,6e2b5a062986a45c9a68173d60c920dace24a5c394422f23245ecb3b2cc55d5d
data/remote_sensing_landsat_compat/Punjab_Barnala_remote_sensing_data.csv,72050,3bff49924efecfdaa71224db75e4682a1ad6215f0609dfe2b065a183cf63194e
data/remote_sensing_landsat_compat/Punjab_Bathinda_remote_sensing_data.csv,70350,1a8521fc03fed87c25cfcac360a906254870e77e7e39062cea4948a9b9a3ec41
data/remote_sensing_landsat_compat/Punjab_Faridkot_remote_sensing_data.csv,71211,7624f72ce8cb4369edfdcc55f56b0d446e376c5831cfe44bd6ee5b32a8229ee7
data/remote_sensing_landsat_compat/Punjab_Fatehgarh Sahib_remote_sensing_data.csv,72108,6f7a0b6a609156de1a8be6eee432f207bc799c5bafe62170134c7a7f9cfe9314
data/remote_sensing_landsat_compat/Punjab_Fazilka_remote_sensing_data.csv,71221,adfa3cac9689b281bdf25c1a85e7fbc44951d819d329ce3611956e34255baf8a
data/remote_sensing_landsat_compat/Punjab_Ferozepur_remote_sensing_data.csv,71657,9938176d2a1c135b170e7c37015fca8f3a66e6241844e6622c1efd828a730539
data/remote_sensing_landsat_compat/Punjab_Gurdaspur_remote_sensing_data.csv,71645,815e59cad9787c0ee8270e7b53487fb307d05cc13f1d5dbd4d5c087e7a92c237
data/remote_sensing_landsat_compat/Punjab_Hoshiarpur_remote_sensing_data.csv,72119,6f89c863884e0376c20dabec2b3f8b512d9cef9e7cb1bcedeeffe50452944d26
data/remote_sensing_landsat_compat/Punjab_Jalandhar_remote_sensing_data.csv,72148,5fcea15683189d78131c43be67a28a4654072713028f5f19d35e2f4725783938
data/remote_sensing_landsat_compat/Punjab_Kapurthala_remote_sensing_data.csv,70756,fcd5f37d418e405f37091d7ab932154ad0946a4271fac5d5288c2c8338e825c9
data/remote_sensing_landsat_compat/Punjab_Ludhiana_remote_sensing_data.csv,72180,60f341fb259a0cdae4240ea0c828195693c0c4ff9bada319d349ac9541d4c041
data/remote_sensing_landsat_compat/Punjab_Malerkotla_remote_sensing_data.csv,72088,bcebc80553e4f8a44eddd66533b0399155ab8dfad25c61e5153e364c7dfc3d63
data/remote_sensing_landsat_compat/Punjab_Mansa_remote_sensing_data.csv,72074,e25da213a52bd702fecc4a31edd8573f5d6d3a5a14ed5c0b01b88d631bbeafb4
data/remote_sensing_landsat_compat/Punjab_Moga_remote_sensing_data.csv,70496,ee3a08bfef57127d803f8a81abe6a97eb6b89235db37f9a1524f16dc8058f82e
data/remote_sensing_landsat_compat/Punjab_Muktsar_remote_sensing_data.csv,71227,852b588f845231604db42157b702469ceff7d72d56a3f3aad74525cc68948bc8
data/remote_sensing_landsat_compat/Punjab_Pathankot_remote_sensing_data.csv,70239,db33a098cb1180739dba8e581ea4c5e660e43790c385ad1ca0c2380b58f864a5
data/remote_sensing_landsat_compat/Punjab_Patiala_remote_sensing_data.csv,72069,aed153720920a3d3ae4d687c94635ad1aebbc011be9d095c10fd13041f983c36
data/remote_sensing_landsat_compat/Punjab_Rupnagar_remote_sensing_data.csv,72120,f37493bc5541725a7f09a2f812fa638d5edcc135a521a8f8db31bf6bb8d5f32d
data/remote_sensing_landsat_compat/Punjab_SAS Nagar_remote_sensing_data.csv,70603,0f43a657aa6e308b0a06b3dc704fdbef0669867473238213355b87c0c281f80b
data/remote_sensing_landsat_compat/Punjab_Sangrur_remote_sensing_data.csv,72059,ef07c2863485cbb8957d2508029f983d7e4988f185abb440286da4b9d48081c4
data/remote_sensing_landsat_compat/Punjab_Shaheed Bhagat Singh Nagar_remote_sensing_data.csv,72160,256be08e14d76139c0adc8bad69d61eedf299380ffae05dbdbec4dc0adeeac42
data/remote_sensing_landsat_compat/Punjab_Tarn Taran_remote_sensing_data.csv,71328,b90c12208d3b0378ab133500a2576f7f42d979a8a3f91e66f27eebf4c84e98a1
data/remote_sensing_landsat_compat/Uttar_Pradesh_Agra_remote_sensing_data.csv,71962,872d1301486e1a84f431ed55fc917317cc7771efd55cbcced54700ff8c0cc9e9
data/remote_sensing_landsat_compat/Uttar_Pradesh_Aligarh_remote_sensing_data.csv,71297,8719b09fcbd6a3528f9983f60ec155fa9509e1a789cf9f6ed87b0c316da952b5
data/remote_sensing_landsat_compat/Uttar_Pradesh_Allahabad_remote_sensing_data.csv,72167,09bc7dc08a4670224ff442b436561596420524a27705226aba1ca9cc15655635
data/remote_sensing_landsat_compat/Uttar_Pradesh_Ambedkar Nagar_remote_sensing_data.csv,72007,d85be5d2a0504c754a0d99342d50f3e2da7b585371c66f26a6b2bed75ce144a4
data/remote_sensing_landsat_compat/Uttar_Pradesh_Amethi_remote_sensing_data.csv,70159,53cd4a2dc4f1c565bd5e340a6f900c189f7a0e70924af6531f6108a31af8d51d
data/remote_sensing_landsat_compat/Uttar_Pradesh_Amroha_remote_sensing_data.csv,71377,0459d7fed61ae1194c3f5c3d568b30c68baeeff264d9d84dd484d9f6a10402d7
data/remote_sensing_landsat_compat/Uttar_Pradesh_Auraiya_remote_sensing_data.csv,71783,6e872da69e0b50e4e4cc56004f7ed1f12a89d5f979925b8ff1ce19070118bdd8
data/remote_sensing_landsat_compat/Uttar_Pradesh_Azamgarh_remote_sensing_data.csv,72026,a19cf6822507279ebd90197429b4f2b3d23cf567878e2de614fa37efc6efd0eb
