max_temp_day,min_temp_night,wind_speed_avg,wind_speed_max,precipitation,relative_humidity,mean_temp,date,district,year
30.0,19.79,1.9,3.41,0.0,76.62,24.28,2018-10-01,Ambala,2018
29.43,20.59,1.46,2.53,0.0,70.82,24.52,2018-10-02,Ambala,2018
31.3,20.15,1.34,2.11,0.0,68.33,24.98,2018-10-03,Ambala,2018
29.89,19.84,1.27,2.05,0.0,68.99,24.04,2018-10-04,Ambala,2018
29.99,19.44,1.51,2.53,0.0,69.43,23.52,2018-10-05,Ambala,2018
29.66,18.87,1.74,2.96,0.0,70.42,23.37,2018-10-06,Ambala,2018
28.89,18.43,1.6,2.83,0.0,69.58,22.92,2018-10-07,Ambala,2018
29.18,18.21,1.59,2.9,0.0,68.49,23.04,2018-10-08,Ambala,2018
28.31,18.03,1.28,2.06,0.01,71.67,23.1,2018-10-09,Ambala,2018
27.1,18.26,1.72,3.82,4.6,79.47,22.9,2018-10-10,Ambala,2018
26.95,19.4,1.52,2.95,6.17,83.3,23.04,2018-10-11,Ambala,2018
27.21,17.23,1.09,1.38,0.0,74.43,21.68,2018-10-12,Ambala,2018
26.41,17.38,1.41,2.64,0.0,71.82,21.03,2018-10-13,Ambala,2018
26.12,15.95,1.82,3.45,0.0,69.54,20.38,2018-10-14,Ambala,2018
27.28,15.85,1.63,3.05,0.0,66.31,21.01,2018-10-15,Ambala,2018
29.1,16.21,1.11,1.59,0.0,58.98,22.35,2018-10-16,Ambala,2018
28.78,17.98,1.06,1.6,0.0,56.82,23.4,2018-10-17,Ambala,2018
28.88,17.05,1.05,1.58,0.0,58.83,23.17,2018-10-18,Ambala,2018
27.28,17.37,1.31,1.85,0.0,65.69,21.88,2018-10-19,Ambala,2018
27.66,17.0,1.32,2.15,0.0,61.15,21.45,2018-10-20,Ambala,2018
27.03,16.6,1.46,2.74,0.01,60.77,20.77,2018-10-21,Ambala,2018
26.92,14.59,1.71,3.2,0.0,63.22,20.21,2018-10-22,Ambala,2018
26.65,14.76,1.6,2.74,0.0,60.21,20.02,2018-10-23,Ambala,2018
27.09,14.96,1.54,2.51,0.0,59.26,19.95,2018-10-24,Ambala,2018
26.75,14.13,1.48,2.35,0.0,60.71,19.72,2018-10-25,Ambala,2018
26.98,14.96,1.46,2.67,0.0,61.1,20.04,2018-10-26,Ambala,2018
26.68,16.5,1.55,3.12,0.0,61.27,20.51,2018-10-27,Ambala,2018
26.61,16.47,1.67,3.52,0.0,62.12,20.65,2018-10-28,Ambala,2018
26.92,17.08,1.5,3.19,0.0,65.25,20.89,2018-10-29,Ambala,2018
26.23,15.72,1.17,1.92,0.0,67.49,20.69,2018-10-30,Ambala,2018
27.08,17.54,1.1,1.78,0.0,62.01,21.54,2018-10-31,Ambala,2018
26.34,17.07,0.99,1.47,0.0,66.21,20.92,2018-11-01,Ambala,2018
26.32,16.14,1.56,2.66,0.33,72.14,20.42,2018-11-02,Ambala,2018
22.91,17.07,2.17,3.6,5.52,79.85,19.34,2018-11-03,Ambala,2018
23.61,14.94,1.24,2.01,0.3,77.67,18.94,2018-11-04,Ambala,2018
23.39,13.43,1.27,2.13,0.0,68.72,17.44,2018-11-05,Ambala,2018
23.45,11.59,2.34,4.49,0.0,66.03,16.27,2018-11-06,Ambala,2018
24.82,10.86,1.17,1.94,0.0,50.53,17.56,2018-11-07,Ambala,2018
24.35,13.3,1.22,1.77,0.0,55.63,18.3,2018-11-08,Ambala,2018
24.58,14.02,0.94,1.43,0.0,53.87,18.66,2018-11-09,Ambala,2018
24.44,14.19,1.09,1.49,0.0,51.98,18.18,2018-11-10,Ambala,2018
23.27,15.23,1.38,2.55,0.0,55.35,18.12,2018-11-11,Ambala,2018
26.59,16.26,1.36,2.43,0.0,51.97,20.14,2018-11-12,Ambala,2018
26.32,15.72,1.39,2.27,0.14,59.25,20.06,2018-11-13,Ambala,2018
24.35,15.64,1.11,1.88,6.03,60.27,19.17,2018-11-14,Ambala,2018
23.64,13.2,1.74,3.3,0.06,68.78,17.2,2018-11-15,Ambala,2018
22.99,11.11,2.73,5.23,0.0,63.59,15.88,2018-11-16,Ambala,2018
23.53,10.52,2.2,4.82,0.0,58.2,15.93,2018-11-17,Ambala,2018
25.2,12.46,1.25,1.7,0.0,49.21,18.31,2018-11-18,Ambala,2018
25.57,14.86,1.23,1.82,0.0,53.25,19.42,2018-11-19,Ambala,2018
24.92,13.4,1.94,3.68,0.0,61.25,17.84,2018-11-20,Ambala,2018
24.59,12.07,1.97,4.14,0.0,60.58,17.03,2018-11-21,Ambala,2018
24.05,12.75,1.15,1.83,0.0,52.71,17.56,2018-11-22,Ambala,2018
24.03,11.31,2.64,5.31,0.0,60.62,16.24,2018-11-23,Ambala,2018
23.1,10.42,2.64,5.07,0.0,60.94,15.79,2018-11-24,Ambala,2018
24.74,13.13,1.46,2.99,0.0,53.5,17.29,2018-11-25,Ambala,2018
24.69,12.04,1.6,3.12,0.0,53.8,17.29,2018-11-26,Ambala,2018
20.28,12.63,1.14,1.63,0.0,64.14,16.29,2018-11-27,Ambala,2018
24.48,13.94,1.17,1.89,0.0,62.15,17.72,2018-11-28,Ambala,2018
22.74,12.12,1.8,3.7,0.0,65.42,15.74,2018-11-29,Ambala,2018
23.44,11.23,1.9,3.77,0.0,59.08,15.76,2018-11-30,Ambala,2018
22.91,10.58,1.82,4.09,0.0,55.04,15.67,2018-12-01,Ambala,2018
22.77,10.56,1.44,2.9,0.0,56.93,15.29,2018-12-02,Ambala,2018
21.97,11.07,1.77,4.02,0.0,56.28,15.21,2018-12-03,Ambala,2018
22.65,11.68,1.32,2.58,0.0,55.66,15.68,2018-12-04,Ambala,2018
21.49,10.97,1.46,2.86,0.0,56.69,14.9,2018-12-05,Ambala,2018
21.57,10.15,1.67,3.9,0.0,59.53,14.52,2018-12-06,Ambala,2018
21.02,9.26,1.83,3.8,0.0,60.71,13.54,2018-12-07,Ambala,2018
21.14,9.28,1.4,2.28,0.0,57.12,13.88,2018-12-08,Ambala,2018
21.6,10.82,1.23,2.15,0.0,52.6,14.79,2018-12-09,Ambala,2018
21.29,9.56,1.42,2.41,0.0,56.38,14.53,2018-12-10,Ambala,2018
20.58,11.94,0.8,1.33,1.32,57.64,15.48,2018-12-11,Ambala,2018
14.54,9.98,1.74,3.68,10.26,81.74,12.01,2018-12-12,Ambala,2018
16.82,8.57,1.24,2.09,0.71,75.04,11.71,2018-12-13,Ambala,2018
20.02,7.49,1.67,2.59,0.0,68.95,12.3,2018-12-14,Ambala,2018
21.56,7.49,1.85,3.06,0.0,57.57,12.5,2018-12-15,Ambala,2018
21.61,8.04,1.45,2.21,0.0,48.65,12.7,2018-12-16,Ambala,2018
22.32,8.8,1.41,2.49,0.0,45.75,13.6,2018-12-17,Ambala,2018
21.4,7.75,1.81,3.88,0.0,46.83,13.02,2018-12-18,Ambala,2018
20.88,7.81,1.67,3.09,0.0,48.52,12.27,2018-12-19,Ambala,2018
20.43,7.31,1.74,3.36,0.0,46.81,12.16,2018-12-20,Ambala,2018
20.53,6.65,1.7,2.93,0.0,46.44,11.57,2018-12-21,Ambala,2018
19.88,7.29,1.02,1.41,0.0,40.56,12.19,2018-12-22,Ambala,2018
19.05,6.08,1.39,1.98,0.0,51.34,11.12,2018-12-23,Ambala,2018
19.31,5.93,1.34,2.34,0.0,50.75,11.24,2018-12-24,Ambala,2018
18.31,4.47,2.2,4.16,0.0,56.23,9.68,2018-12-25,Ambala,2018
17.76,5.12,1.76,3.48,0.0,51.46,10.18,2018-12-26,Ambala,2018
16.98,5.49,2.0,4.02,0.0,48.88,9.95,2018-12-27,Ambala,2018
17.75,3.0,1.91,3.73,0.0,52.09,8.36,2018-12-28,Ambala,2018
18.3,2.93,2.17,4.85,0.0,46.32,9.38,2018-12-29,Ambala,2018
18.87,7.06,1.42,2.81,0.0,44.45,11.34,2018-12-30,Ambala,2018
20.3,5.61,2.33,4.97,0.0,50.07,11.42,2018-12-31,Ambala,2018
19.11,8.42,1.27,2.31,0.0,47.97,12.24,2019-01-01,Ambala,2018
18.82,8.04,1.35,1.89,0.02,55.59,11.83,2019-01-02,Ambala,2018
19.71,6.61,2.17,4.08,0.0,60.18,11.49,2019-01-03,Ambala,2018
19.62,5.94,1.28,1.97,0.0,53.93,11.83,2019-01-04,Ambala,2018
18.51,8.1,1.43,2.51,0.02,54.79,12.42,2019-01-05,Ambala,2018
13.53,8.51,1.4,2.39,2.03,75.89,10.67,2019-01-06,Ambala,2018
19.04,7.56,1.3,2.37,0.0,64.56,11.8,2019-01-07,Ambala,2018
21.06,7.05,1.92,3.86,0.0,58.33,12.24,2019-01-08,Ambala,2018
20.06,6.96,2.71,5.22,0.0,59.54,11.97,2019-01-09,Ambala,2018
20.12,7.22,1.17,2.17,0.0,49.96,12.53,2019-01-10,Ambala,2018
19.29,9.26,1.21,1.97,0.0,52.65,13.02,2019-01-11,Ambala,2018
19.37,9.31,1.13,2.3,0.27,58.87,13.1,2019-01-12,Ambala,2018
19.47,7.18,1.89,3.52,1.06,59.13,12.33,2019-01-13,Ambala,2018
19.27,4.89,3.59,6.21,0.0,45.61,10.82,2019-01-14,Ambala,2018
19.57,3.88,2.4,4.84,0.0,42.31,10.53,2019-01-15,Ambala,2018
21.0,8.06,0.99,2.02,0.0,39.33,13.53,2019-01-16,Ambala,2018
21.93,8.48,1.78,3.01,0.0,49.63,13.05,2019-01-17,Ambala,2018
21.88,7.73,1.52,2.37,0.0,44.57,13.47,2019-01-18,Ambala,2018
21.54,11.45,1.41,2.91,0.0,48.47,14.85,2019-01-19,Ambala,2018
22.58,13.48,1.03,1.72,0.0,46.61,16.79,2019-01-20,Ambala,2018
19.46,11.81,2.47,5.85,3.98,59.49,15.02,2019-01-21,Ambala,2018
12.97,7.84,3.63,5.86,36.6,86.67,10.47,2019-01-22,Ambala,2018
17.15,7.53,1.09,1.72,1.83,72.09,11.49,2019-01-23,Ambala,2018
17.92,6.27,1.24,1.53,0.01,63.95,11.01,2019-01-24,Ambala,2018
