max_temp_day,min_temp_night,wind_speed_avg,wind_speed_max,precipitation,relative_humidity,mean_temp,date,district,year
32.8,24.42,0.84,1.92,0.1,79.34,28.62,2021-10-01,Bhiwani,2021
32.45,25.15,0.87,1.85,0.73,76.35,28.81,2021-10-02,Bhiwani,2021
33.01,24.72,1.42,2.96,0.01,73.78,28.84,2021-10-03,Bhiwani,2021
33.3,24.28,0.89,1.54,0.94,67.91,28.92,2021-10-04,Bhiwani,2021
32.44,22.94,1.52,2.82,8.46,79.33,27.41,2021-10-05,Bhiwani,2021
32.08,23.18,1.16,2.15,0.73,78.57,27.05,2021-10-06,Bhiwani,2021
32.09,21.1,1.25,2.58,0.0,69.01,26.39,2021-10-07,Bhiwani,2021
33.28,20.72,1.03,2.1,0.0,56.83,27.34,2021-10-08,Bhiwani,2021
33.49,22.96,0.93,1.83,0.0,54.09,27.5,2021-10-09,Bhiwani,2021
33.98,20.99,1.0,1.55,0.0,61.57,26.91,2021-10-10,Bhiwani,2021
33.11,19.11,1.47,2.64,0.0,68.05,25.74,2021-10-11,Bhiwani,2021
32.84,19.47,1.2,2.41,0.0,66.26,25.92,2021-10-12,Bhiwani,2021
31.56,19.12,1.58,2.68,0.0,63.92,24.1,2021-10-13,Bhiwani,2021
31.13,17.43,1.78,3.83,0.0,59.92,23.61,2021-10-14,Bhiwani,2021
32.44,17.19,1.28,2.16,0.0,56.05,25.02,2021-10-15,Bhiwani,2021
31.77,19.9,0.99,1.53,0.0,56.38,25.85,2021-10-16,Bhiwani,2021
25.99,20.67,2.08,3.63,10.95,82.0,22.59,2021-10-17,Bhiwani,2021
26.4,19.37,1.79,3.27,10.94,88.44,22.33,2021-10-18,Bhiwani,2021
29.21,17.74,2.29,4.66,0.02,76.99,22.81,2021-10-19,Bhiwani,2021
30.96,18.72,1.58,2.92,0.0,61.52,23.57,2021-10-20,Bhiwani,2021
31.14,14.23,2.21,4.52,0.0,58.83,21.96,2021-10-21,Bhiwani,2021
31.42,16.09,1.97,3.63,0.0,62.13,23.48,2021-10-22,Bhiwani,2021
29.99,17.11,2.07,3.4,0.04,74.32,22.91,2021-10-23,Bhiwani,2021
27.83,18.08,2.05,3.23,8.25,79.95,22.14,2021-10-24,Bhiwani,2021
26.97,16.86,1.42,2.08,0.19,77.78,21.31,2021-10-25,Bhiwani,2021
26.74,14.69,1.61,3.16,0.0,65.02,20.68,2021-10-26,Bhiwani,2021
27.32,14.59,1.54,3.23,0.0,61.81,19.92,2021-10-27,Bhiwani,2021
27.35,14.55,1.26,2.32,0.0,59.89,20.46,2021-10-28,Bhiwani,2021
28.4,13.69,1.34,2.21,0.0,57.67,20.53,2021-10-29,Bhiwani,2021
28.21,13.56,2.0,4.07,0.0,63.55,19.57,2021-10-30,Bhiwani,2021
28.57,13.32,1.37,2.51,0.0,53.9,21.14,2021-10-31,Bhiwani,2021
28.65,12.83,2.31,3.52,0.0,60.69,20.22,2021-11-01,Bhiwani,2021
28.52,13.5,2.55,3.26,0.05,71.34,19.73,2021-11-02,Bhiwani,2021
28.09,13.94,1.26,2.69,0.23,71.2,20.12,2021-11-03,Bhiwani,2021
26.02,14.86,0.62,0.98,0.0,63.14,20.24,2021-11-04,Bhiwani,2021
26.43,16.58,0.59,1.28,0.0,50.76,21.19,2021-11-05,Bhiwani,2021
26.76,13.07,1.77,3.33,0.0,59.35,18.98,2021-11-06,Bhiwani,2021
28.11,13.67,1.69,3.48,0.0,57.98,20.2,2021-11-07,Bhiwani,2021
28.12,15.42,1.45,3.04,0.0,57.13,20.18,2021-11-08,Bhiwani,2021
29.16,14.6,1.65,3.72,0.0,54.08,20.87,2021-11-09,Bhiwani,2021
28.39,16.06,0.99,2.33,0.0,49.55,21.18,2021-11-10,Bhiwani,2021
28.87,15.17,1.18,2.27,0.0,50.6,20.37,2021-11-11,Bhiwani,2021
26.9,13.64,1.44,3.06,0.0,55.76,18.75,2021-11-12,Bhiwani,2021
27.17,12.92,1.56,2.94,0.0,52.58,18.45,2021-11-13,Bhiwani,2021
26.59,13.35,0.92,1.35,0.0,44.3,19.01,2021-11-14,Bhiwani,2021
25.72,12.63,1.0,1.83,0.0,47.2,17.93,2021-11-15,Bhiwani,2021
25.49,11.04,1.24,2.14,0.0,47.58,17.05,2021-11-16,Bhiwani,2021
25.02,11.33,1.16,2.36,0.0,48.22,17.0,2021-11-17,Bhiwani,2021
25.18,10.81,0.56,1.09,0.0,44.45,17.63,2021-11-18,Bhiwani,2021
25.11,10.2,0.99,2.05,0.0,45.66,17.78,2021-11-19,Bhiwani,2021
21.54,13.11,1.23,2.51,0.0,57.04,16.58,2021-11-20,Bhiwani,2021
26.45,9.65,1.9,3.58,0.0,55.85,16.56,2021-11-21,Bhiwani,2021
26.31,8.87,2.42,4.91,0.0,53.36,15.95,2021-11-22,Bhiwani,2021
26.0,8.66,1.61,2.95,0.0,42.23,17.34,2021-11-23,Bhiwani,2021
27.08,8.92,1.61,2.36,0.0,50.79,16.55,2021-11-24,Bhiwani,2021
26.02,8.4,1.35,2.35,0.0,58.35,16.52,2021-11-25,Bhiwani,2021
25.43,12.38,1.16,1.92,0.0,51.59,17.12,2021-11-26,Bhiwani,2021
24.43,9.23,1.66,2.47,0.0,65.77,15.57,2021-11-27,Bhiwani,2021
24.69,10.12,1.43,2.3,0.0,67.04,16.73,2021-11-28,Bhiwani,2021
25.59,11.54,1.48,2.69,0.0,55.96,16.43,2021-11-29,Bhiwani,2021
24.94,8.95,1.6,3.22,0.0,55.39,16.8,2021-11-30,Bhiwani,2021
19.5,12.22,0.92,1.25,0.0,62.2,15.19,2021-12-01,Bhiwani,2021
21.83,11.51,1.11,2.13,0.0,57.33,15.57,2021-12-02,Bhiwani,2021
24.11,10.08,0.88,1.73,0.31,52.67,16.48,2021-12-03,Bhiwani,2021
25.64,13.05,0.58,1.18,0.0,50.24,18.49,2021-12-04,Bhiwani,2021
24.22,10.96,1.44,2.86,0.17,66.91,17.19,2021-12-05,Bhiwani,2021
24.32,12.39,1.53,3.04,0.15,66.62,16.79,2021-12-06,Bhiwani,2021
23.85,8.68,1.81,3.08,0.0,61.95,14.82,2021-12-07,Bhiwani,2021
23.41,8.88,1.45,2.29,0.0,52.04,15.03,2021-12-08,Bhiwani,2021
23.29,9.34,1.18,1.94,0.0,51.78,14.95,2021-12-09,Bhiwani,2021
22.5,7.49,1.48,2.03,0.0,56.35,13.64,2021-12-10,Bhiwani,2021
23.01,6.9,1.37,2.43,0.0,46.06,14.67,2021-12-11,Bhiwani,2021
22.07,10.05,0.92,1.39,0.0,43.28,14.92,2021-12-12,Bhiwani,2021
18.64,7.94,1.54,2.48,0.0,66.71,11.9,2021-12-13,Bhiwani,2021
20.72,5.82,1.24,2.26,0.0,68.71,12.65,2021-12-14,Bhiwani,2021
21.09,6.63,1.34,2.07,0.0,56.14,12.75,2021-12-15,Bhiwani,2021
19.87,5.08,1.58,2.17,0.0,56.98,10.85,2021-12-16,Bhiwani,2021
18.51,3.43,2.54,4.82,0.0,52.01,9.31,2021-12-17,Bhiwani,2021
17.76,1.64,2.47,5.06,0.0,44.92,8.22,2021-12-18,Bhiwani,2021
18.46,0.64,2.15,4.06,0.0,42.27,8.11,2021-12-19,Bhiwani,2021
20.08,2.0,1.54,2.79,0.0,37.56,10.4,2021-12-20,Bhiwani,2021
21.64,7.1,1.03,1.89,0.0,33.44,13.18,2021-12-21,Bhiwani,2021
22.05,8.14,1.06,1.58,0.0,40.17,13.35,2021-12-22,Bhiwani,2021
22.18,6.14,1.48,2.29,0.0,53.49,12.81,2021-12-23,Bhiwani,2021
21.61,6.35,1.19,1.93,0.0,56.17,13.31,2021-12-24,Bhiwani,2021
21.78,8.18,1.04,1.3,0.0,54.19,14.29,2021-12-25,Bhiwani,2021
18.91,9.34,1.36,2.35,1.61,69.14,13.12,2021-12-26,Bhiwani,2021
21.29,10.43,1.37,2.21,1.31,72.38,14.36,2021-12-27,Bhiwani,2021
20.62,9.36,0.94,1.4,0.23,62.06,13.79,2021-12-28,Bhiwani,2021
20.55,5.62,1.89,3.28,0.53,58.21,11.62,2021-12-29,Bhiwani,2021
18.61,6.01,0.88,1.34,0.0,40.35,11.52,2021-12-30,Bhiwani,2021
19.16,5.65,1.29,2.29,0.0,46.02,11.41,2021-12-31,Bhiwani,2021
19.98,7.15,0.78,1.06,0.0,44.6,12.9,2022-01-01,Bhiwani,2021
21.17,7.94,1.09,1.71,0.0,48.4,12.97,2022-01-02,Bhiwani,2021
21.79,8.9,0.93,1.3,0.0,47.19,13.95,2022-01-03,Bhiwani,2021
23.2,10.16,1.04,2.26,0.01,48.99,15.23,2022-01-04,Bhiwani,2021
13.28,10.47,2.65,4.09,11.29,84.31,12.0,2022-01-05,Bhiwani,2021
18.42,9.87,2.93,4.19,0.71,85.56,13.43,2022-01-06,Bhiwani,2021
20.8,11.34,3.53,4.63,4.08,83.88,15.16,2022-01-07,Bhiwani,2021
17.63,11.6,2.8,4.68,33.58,91.54,14.76,2022-01-08,Bhiwani,2021
18.54,7.11,1.68,2.76,6.49,82.36,12.09,2022-01-09,Bhiwani,2021
17.22,5.19,1.49,2.03,0.1,75.79,10.66,2022-01-10,Bhiwani,2021
17.77,3.96,1.47,2.24,0.01,74.26,9.9,2022-01-11,Bhiwani,2021
18.02,3.36,0.97,1.88,0.0,72.45,10.63,2022-01-12,Bhiwani,2021
17.98,6.52,0.74,1.1,0.0,68.17,11.9,2022-01-13,Bhiwani,2021
17.98,7.39,0.95,1.37,0.0,73.96,11.87,2022-01-14,Bhiwani,2021
18.8,4.6,1.09,1.84,0.0,72.18,11.45,2022-01-15,Bhiwani,2021
18.3,5.47,1.05,1.69,0.0,60.95,11.61,2022-01-16,Bhiwani,2021
16.81,5.65,0.95,2.06,0.0,64.64,10.69,2022-01-17,Bhiwani,2021
18.93,4.58,1.55,2.72,0.0,67.81,10.55,2022-01-18,Bhiwani,2021
15.86,7.22,0.9,1.45,0.18,72.16,10.87,2022-01-19,Bhiwani,2021
