"Dist Code","Year","State Code","State Name","Dist Name","SOIL TYPE PERCENT (Percent)"
"165","Not Applicable","9","Punjab","Gurdaspur","INCEPTISOLS - 100%"
"166","Not Applicable","9","Punjab","Amritsar","INCEPTISOLS - 100%"
"167","Not Applicable","9","Punjab","Kapurthala","INCEPTISOLS - 100%"
"168","Not Applicable","9","Punjab","Jalandhar","INCEPTISOLS - 100%"
"169","Not Applicable","9","Punjab","Hoshiarpur","INCEPTISOLS - 100%"
"170","Not Applicable","9","Punjab","Roopnagar / Ropar","INCEPTISOLS - 100%"
"171","Not Applicable","9","Punjab","Ludhiana","INCEPTISOLS - 100%"
"172","Not Applicable","9","Punjab","Ferozpur","INCEPTISOLS - 20% ; PSSAMENTS - 80%"
"174","Not Applicable","9","Punjab","Bhatinda","PSSAMENTS - 100%"
"175","Not Applicable","9","Punjab","Sangrur","INCEPTISOLS - 100%"
"176","Not Applicable","9","Punjab","Patiala","INCEPTISOLS - 100%"
"177","Not Applicable","4","Haryana","Hissar","PSSAMENTS - 100%"
"180","Not Applicable","4","Haryana","Gurgaon","INCEPTISOLS - 100%"
"181","Not Applicable","4","Haryana","Jind","INCEPTISOLS - 50% ; PSSAMENTS - 505"
"182","Not Applicable","4","Haryana","Mahendragarh / Narnaul","INCEPTISOLS - 100%"
"183","Not Applicable","4","Haryana","Ambala","INCEPTISOLS - 100%"
"184","Not Applicable","4","Haryana","Karnal","INCEPTISOLS - 100%"
"186","Not Applicable","4","Haryana","Rohtak","INCEPTISOLS - 100%"
"189","Not Applicable","12","Uttar Pradesh","Saharanpur","INCEPTISOLS - 100%"
"190","Not Applicable","12","Uttar Pradesh","Muzaffarnagar","INCEPTISOLS - 100%"
"191","Not Applicable","12","Uttar Pradesh","Meerut","UDOLLS/UDALFS - 100%"
"192","Not Applicable","12","Uttar Pradesh","Buland Shahar","INCEPTISOLS - 100%"
"194","Not Applicable","12","Uttar Pradesh","Aligarh","INCEPTISOLS - 100%"
"195","Not Applicable","12","Uttar Pradesh","Mathura","INCEPTISOLS - 100%"
"196","Not Applicable","12","Uttar Pradesh","Agra","INCEPTISOLS - 100%"
"197","Not Applicable","12","Uttar Pradesh","Mainpuri","INCEPTISOLS - 100%"
"198","Not Applicable","12","Uttar Pradesh","Etah","INCEPTISOLS - 100%"
"199","Not Applicable","12","Uttar Pradesh","Bareilly","INCEPTISOLS - 100%"
"200","Not Applicable","12","Uttar Pradesh","Budaun","INCEPTISOLS - 100%"
"201","Not Applicable","12","Uttar Pradesh","Moradabad","INCEPTISOLS - 100%"
"202","Not Applicable","12","Uttar Pradesh","Shahjahanpur","INCEPTISOLS - 100%"
"203","Not Applicable","12","Uttar Pradesh","Pilibhit","INCEPTISOLS - 100%"
"204","Not Applicable","12","Uttar Pradesh","Rampur","INCEPTISOLS - 100%"
"205","Not Applicable","12","Uttar Pradesh","Bijnor","INCEPTISOLS - 100%"
"206","Not Applicable","12","Uttar Pradesh","Farrukhabad","INCEPTISOLS - 100%"
"207","Not Applicable","12","Uttar Pradesh","Etawah","INCEPTISOLS - 100%"
"208","Not Applicable","12","Uttar Pradesh","Kanpur","INCEPTISOLS - 100%"
"209","Not Applicable","12","Uttar Pradesh","Fatehpur","INCEPTISOLS - 100%"
"210","Not Applicable","12","Uttar Pradesh","Allahabad","INCEPTISOLS - 100%"
"211","Not Applicable","12","Uttar Pradesh","Jhansi","INCEPTISOLS - 100%"
"213","Not Applicable","12","Uttar Pradesh","Jalaun","INCEPTISOLS - 100%"
"214","Not Applicable","12","Uttar Pradesh","Hamirpur","INCEPTISOLS - 100%"
"215","Not Applicable","12","Uttar Pradesh","Banda","INCEPTISOLS - 100%"
"216","Not Applicable","12","Uttar Pradesh","Varanasi","INCEPTISOLS - 80% ; UDUPTS/UDALFS - 20%"
"217","Not Applicable","12","Uttar Pradesh","Mirzpur","INNCEPTISOLS - 60% ; UDUPTS/UDALFS - 40%"
"218","Not Applicable","12","Uttar Pradesh","Jaunpur","INCEPTISOLS -100%"
"219","Not Applicable","12","Uttar Pradesh","Ghazipur","INCEPTISOLS - 100%"
"220","Not Applicable","12","Uttar Pradesh","Ballia","INCEPTISOLS - 100%"
"221","Not Applicable","12","Uttar Pradesh","Gorakhpur","INCEPTISOLS - 100%"
"222","Not Applicable","12","Uttar Pradesh","Deoria","INCEPTISOLS - 100%"
"223","Not Applicable","12","Uttar Pradesh","Basti","INCEPTISOLS - 100%"
"224","Not Applicable","12","Uttar Pradesh","Azamgarh","INCEPTISOLS - 100%"
"225","Not Applicable","12","Uttar Pradesh","Lucknow","INCEPTISOLS - 100%"
"226","Not Applicable","12","Uttar Pradesh","Unnao","INCEPTISOLS - 100%"
"227","Not Applicable","12","Uttar Pradesh","Rae-Bareily","INCEPTISOLS - 100%"
"228","Not Applicable","12","Uttar Pradesh","Sitapur","INCEPTISOLS - 100%"
"229","Not Applicable","12","Uttar Pradesh","Hardoi","INCEPTISOLS - 100%"
"230","Not Applicable","12","Uttar Pradesh","Kheri","INCEPTISOLS - 100%"
"231","Not Applicable","12","Uttar Pradesh","Faizabad","INCEPTISOLS - 100%"
"232","Not Applicable","12","Uttar Pradesh","Gonda","INCEPTISOLS - 100%"
"233","Not Applicable","12","Uttar Pradesh","Bahraich","INCEPTISOLS - 100%"
"234","Not Applicable","12","Uttar Pradesh","Sultanpur","INCEPTISOLS - 100%"
"235","Not Applicable","12","Uttar Pradesh","Pratapgarh","INCEPTISOLS - 100%"
"236","Not Applicable","12","Uttar Pradesh","Barabanki","INCEPTISOLS - 100%"
