"Dist Code","Year","State Code","State Name","Dist Name","WHEAT IRRIGATED AREA (1000 ha)"
"165","2010","9","Punjab","Gurdaspur","199.3"
"165","2011","9","Punjab","Gurdaspur","204.26"
"165","2012","9","Punjab","Gurdaspur","201.24"
"165","2013","9","Punjab","Gurdaspur","201.17"
"165","2014","9","Punjab","Gurdaspur","205.92"
"165","2015","9","Punjab","Gurdaspur","201.78"
"165","2016","9","Punjab","Gurdaspur","207.04"
"165","2017","9","Punjab","Gurdaspur","200.4"
"165","2018","9","Punjab","Gurdaspur","200.708"
"165","2019","9","Punjab","Gurdaspur","201.092"
"165","2020","9","Punjab","Gurdaspur","202.46"
"166","2010","9","Punjab","Amritsar","375.2"
"166","2011","9","Punjab","Amritsar","375.52"
"166","2012","9","Punjab","Amritsar","371.87"
"166","2013","9","Punjab","Amritsar","370.87"
"166","2014","9","Punjab","Amritsar","376.45"
"166","2015","9","Punjab","Amritsar","374.59"
"166","2016","9","Punjab","Amritsar","372.73"
"166","2017","9","Punjab","Amritsar","375.31"
"166","2018","9","Punjab","Amritsar","376.345"
"166","2019","9","Punjab","Amritsar","376.002"
"166","2020","9","Punjab","Amritsar","376.009"
"167","2010","9","Punjab","Kapurthala","108.1"
"167","2011","9","Punjab","Kapurthala","109.83"
"167","2012","9","Punjab","Kapurthala","109.68"
"167","2013","9","Punjab","Kapurthala","111.16"
"167","2014","9","Punjab","Kapurthala","110.23"
"167","2015","9","Punjab","Kapurthala","109.62"
"167","2016","9","Punjab","Kapurthala","106.21"
"167","2017","9","Punjab","Kapurthala","108.27"
"167","2018","9","Punjab","Kapurthala","109.0"
"167","2019","9","Punjab","Kapurthala","109.292"
"167","2020","9","Punjab","Kapurthala","111.201"
"168","2010","9","Punjab","Jalandhar","214.684"
"168","2011","9","Punjab","Jalandhar","217.436"
"168","2012","9","Punjab","Jalandhar","217.985"
"168","2013","9","Punjab","Jalandhar","215.203"
"168","2014","9","Punjab","Jalandhar","213.37"
"168","2015","9","Punjab","Jalandhar","217.907"
"168","2016","9","Punjab","Jalandhar","212.64"
"168","2017","9","Punjab","Jalandhar","216.191"
"168","2018","9","Punjab","Jalandhar","216.417"
"168","2019","9","Punjab","Jalandhar","219.513"
"168","2020","9","Punjab","Jalandhar","219.64"
