"Dist Code","Year","State Code","State Name","Dist Name","NITROGEN RABI CONSUMPTION (tons)","PHOSPHATE RABI CONSUMPTION (tons)","POTASH RABI CONSUMPTION (tons)","TOTAL RABI CONSUMPTION (tons)"
"174","2011","9","Punjab","Bhatinda","112362.0","42980.0","5484.0","160826.0"
"174","2012","9","Punjab","Bhatinda","123338.0","39156.0","1230.0","163725.0"
"174","2013","9","Punjab","Bhatinda","103598.0","33585.0","1392.0","138575.0"
"174","2014","9","Punjab","Bhatinda","100748.0","23357.0","2008.0","126112.0"
"174","2015","9","Punjab","Bhatinda","107360.0","30657.0","0.0","138017.0"
"174","2016","9","Punjab","Bhatinda","100749.0","24076.0","0.0","124825.0"
"174","2017","9","Punjab","Bhatinda","90809.0","16305.0","1876.0","108991.0"
"175","2010","9","Punjab","Sangrur","94044.0","25258.0","2244.0","121546.0"
"175","2011","9","Punjab","Sangrur","94813.0","26686.0","3287.0","124787.0"
"175","2012","9","Punjab","Sangrur","94614.0","28522.0","759.0","123896.0"
"175","2013","9","Punjab","Sangrur","79374.0","22103.0","548.0","102025.0"
"175","2014","9","Punjab","Sangrur","77575.0","25662.0","1392.0","104628.0"
"175","2015","9","Punjab","Sangrur","82663.0","31605.0","0.0","114268.0"
"175","2016","9","Punjab","Sangrur","77634.0","26280.0","0.0","103915.0"
"175","2017","9","Punjab","Sangrur","70197.0","20466.0","1433.0","92097.0"
"176","2010","9","Punjab","Patiala","78127.0","23590.0","2051.0","103769.0"
"176","2011","9","Punjab","Patiala","74450.0","24246.0","2163.0","100858.0"
"176","2012","9","Punjab","Patiala","80695.0","25816.0","168.0","106679.0"
"176","2013","9","Punjab","Patiala","68990.0","23552.0","544.0","93086.0"
"176","2014","9","Punjab","Patiala","83466.0","11010.0","1521.0","95996.0"
"176","2015","9","Punjab","Patiala","89005.0","17130.0","0.0","106135.0"
"176","2016","9","Punjab","Patiala","82496.0","12254.0","0.0","94750.0"
"176","2017","9","Punjab","Patiala","74380.0","5907.0","1781.0","82069.0"
"177","2010","4","Haryana","Hissar","181341.0","59049.0","5775.0","246165.0"
"177","2011","4","Haryana","Hissar","187560.0","63728.0","7069.0","258357.0"
"177","2012","4","Haryana","Hissar","188346.0","44665.0","530.0","233541.0"
"177","2013","4","Haryana","Hissar","162472.0","42128.0","2423.0","207022.0"
"177","2014","4","Haryana","Hissar","183941.0","52142.0","3755.0","239838.0"
"177","2015","4","Haryana","Hissar","143371.0","41672.0","2117.0","187160.0"
"177","2016","4","Haryana","Hissar","166358.0","47948.0","5386.0","219692.0"
"177","2017","4","Haryana","Hissar","170347.0","44350.0","4264.0","218961.0"
"180","2010","4","Haryana","Gurgaon","52761.0","18827.0","1546.0","73134.0"
"180","2011","4","Haryana","Gurgaon","48237.0","15521.0","3613.0","67371.0"
"180","2012","4","Haryana","Gurgaon","56633.0","17045.0","104.0","73782.0"
"180","2013","4","Haryana","Gurgaon","47590.0","13595.0","1271.0","62456.0"
"180","2014","4","Haryana","Gurgaon","44791.0","12877.0","1734.0","59402.0"
"180","2015","4","Haryana","Gurgaon","66244.0","17689.0","1009.0","84942.0"
"180","2016","4","Haryana","Gurgaon","56936.0","16913.0","2563.0","76412.0"
"180","2017","4","Haryana","Gurgaon","48895.0","15014.0","2311.0","66220.0"
"181","2010","4","Haryana","Jind","51560.0","15358.0","1972.0","68890.0"
"181","2011","4","Haryana","Jind","49891.0","17310.0","1805.0","69006.0"
"181","2012","4","Haryana","Jind","51943.0","15948.0","36.0","67927.0"
"181","2013","4","Haryana","Jind","47995.0","7677.0","556.0","56228.0"
"181","2014","4","Haryana","Jind","56784.0","10670.0","1511.0","68965.0"
"181","2015","4","Haryana","Jind","52520.0","12580.0","598.0","65698.0"
"181","2016","4","Haryana","Jind","48374.0","10732.0","2843.0","61949.0"
"181","2017","4","Haryana","Jind","58724.0","11164.0","2034.0","71921.0"
"182","2010","4","Haryana","Mahendragarh / Narnaul","38584.0","13303.0","1061.0","52949.0"
