state,district,year,time_step,start_date,end_date,B7,B8,B8A,B12,image_count,mean_cloud_cover,quality_flag
Punjab,Fatehgarh Sahib,2023,0,2023-10-01,2023-10-06,0.30179745580169015,0.2926384781809783,0.33579137853131213,0.08623949107555119,8,0.48864678595748373,valid
Punjab,Fatehgarh Sahib,2023,1,2023-10-06,2023-10-11,0.29561406287046654,0.2821299960144202,0.32628569523385204,0.10850193831560478,8,1.348559462093116,valid
Punjab,Fatehgarh Sahib,2023,2,2023-10-11,2023-10-16,0.2714274877333822,0.26393910923404035,0.30338993741422493,0.11485739936731719,8,3.1589970566275234,valid
Punjab,Fatehgarh Sahib,2023,3,2023-10-16,2023-10-21,0.2510407188152123,0.2448510982205342,0.28017398358370477,0.12223947796772071,4,0.0,valid
Punjab,Fatehgarh Sahib,2023,4,2023-10-21,2023-10-26,0.24190167439133012,0.23800914137284424,0.2717902486155521,0.14157089396812053,8,0.05690744956292715,valid
Punjab,Fatehgarh Sahib,2023,5,2023-10-26,2023-10-31,0.22773089036718758,0.22143298803680717,0.25369445760072934,0.15770332608855533,8,0.0009584593004443263,valid
Punjab,Fatehgarh Sahib,2023,6,2023-10-31,2023-11-05,0.21117468940734244,0.2033889949392654,0.23259087704220147,0.16368342885655254,8,8.063315501264912,valid
Punjab,Fatehgarh Sahib,2023,7,2023-11-05,2023-11-10,0.19699321816021964,0.19187494701779906,0.21525260717175654,0.17173271816606892,4,0.0,valid
Punjab,Fatehgarh Sahib,2023,8,2023-11-10,2023-11-15,0.18271899779072473,0.1777404515483501,0.19749229316713182,0.1593081243532512,4,7.427214583313678,valid
Punjab,Fatehgarh Sahib,2023,9,2023-11-15,2023-11-20,0.18737733321369968,0.17875007854598393,0.20086483335167005,0.16100231144811736,8,0.9274619618379052,valid
Punjab,Fatehgarh Sahib,2023,10,2023-11-20,2023-11-25,0.19544546626392673,0.18566970949921735,0.20594361804019415,0.15114811863579283,8,0.00083982800322494,valid
Punjab,Fatehgarh Sahib,2023,11,2023-11-25,2023-11-30,0.21130240413199958,0.1961743118681124,0.22080847894611205,0.14218722088197208,2,20.67121868236545,valid
Punjab,Fatehgarh Sahib,2023,12,2023-11-30,2023-12-05,0.2563244243907749,0.2380612412027333,0.26490407052132103,0.13368113810111965,4,0.0154731957617857,valid
Punjab,Fatehgarh Sahib,2023,13,2023-12-05,2023-12-10,0.2178654827458598,0.20656847032835568,0.2272645970044135,0.10805400306077789,8,0.02204779486552625,valid
Punjab,Fatehgarh Sahib,2023,14,2023-12-10,2023-12-15,0.2242929566296896,0.21735237212867467,0.23472770208911342,0.10141764759455389,8,0.7185333687968969,valid
Punjab,Fatehgarh Sahib,2023,15,2023-12-15,2023-12-20,0.2356355601526772,0.2256515953994773,0.2447734899485412,0.0876150073936045,4,0.01624413986682195,valid
Punjab,Fatehgarh Sahib,2023,16,2023-12-20,2023-12-25,0.2496354795154413,0.23849267717074496,0.26018100955811174,0.08726073309177802,6,4.313411916172388,valid
Punjab,Fatehgarh Sahib,2023,17,2023-12-25,2023-12-30,0.4854377052430354,0.45807411902377515,0.49745839743792597,0.3243219350535626,1,15.6713457594411,valid
Punjab,Fatehgarh Sahib,2023,18,2023-12-30,2024-01-04,,,,,0,,missing_bands
Punjab,Fatehgarh Sahib,2023,19,2024-01-04,2024-01-09,,,,,0,,missing_bands
Punjab,Fatehgarh Sahib,2023,20,2024-01-09,2024-01-14,,,,,0,,missing_bands
Punjab,Fatehgarh Sahib,2023,21,2024-01-14,2024-01-19,,,,,0,,missing_bands
Punjab,Fatehgarh Sahib,2023,22,2024-01-19,2024-01-24,,,,,0,,missing_bands
Punjab,Fatehgarh Sahib,2023,23,2024-01-24,2024-01-29,0.25952763895752284,0.2456277431543969,0.2706718511075694,0.06910639302764139,4,1.8729720076266114,valid
Punjab,Fatehgarh Sahib,2023,24,2024-01-29,2024-02-03,0.2795598495398558,0.25869436691214553,0.2908523227951588,0.07684392472630945,3,1.6909930621590412,valid
Punjab,Fatehgarh Sahib,2023,25,2024-02-03,2024-02-08,0.30379027289040694,0.29476360281580716,0.3160220264778023,0.06848667311442753,4,0.1440088556569685,valid
Punjab,Fatehgarh Sahib,2023,26,2024-02-08,2024-02-13,0.3113650575934117,0.30697468594212535,0.32696797291781593,0.07572989128238983,8,0.23740332838687425,valid
Punjab,Fatehgarh Sahib,2023,27,2024-02-13,2024-02-18,0.3169884973552452,0.309967410630056,0.3301456366399765,0.07272835382652874,5,4.68421015618956,valid
Punjab,Fatehgarh Sahib,2023,28,2024-02-18,2024-02-23,0.3465518847880034,0.3348535865553788,0.3640543405491451,0.10796611302816142,4,12.359549959525431,valid
Punjab,Fatehgarh Sahib,2023,29,2024-02-23,2024-02-28,0.33627914887983834,0.3278363431866603,0.3522081958038137,0.08109142256553131,5,3.6806803949801,valid
Punjab,Fatehgarh Sahib,2023,30,2024-02-28,2024-03-04,0.3328269233270457,0.3225252257097656,0.3525301759693236,0.0780963262929859,4,0.0,valid
Punjab,Fatehgarh Sahib,2023,31,2024-03-04,2024-03-09,0.34435073570828356,0.33626922709230134,0.3620176437044487,0.0755837829571133,7,3.2547169709058883,valid
Punjab,Fatehgarh Sahib,2023,32,2024-03-09,2024-03-14,0.3184700428227558,0.30980404259382005,0.3403264518333138,0.07770709761665678,8,0.0,valid
Punjab,Fatehgarh Sahib,2023,33,2024-03-14,2024-03-19,0.3226021779306079,0.3105252056347778,0.34231383874407645,0.083299213065519,4,0.23607375631472544,valid
Punjab,Fatehgarh Sahib,2023,34,2024-03-19,2024-03-24,0.287630275493446,0.2782326324897649,0.3096959747072195,0.07944823233685043,7,6.317411263902467,valid
Punjab,Fatehgarh Sahib,2023,35,2024-03-24,2024-03-29,,,,,0,,missing_bands
Punjab,Fatehgarh Sahib,2023,36,2024-03-29,2024-04-03,,,,,0,,missing_bands
Punjab,Fatehgarh Sahib,2023,37,2024-04-03,2024-04-08,0.23604859946345708,0.23225313908480721,0.2582367181308751,0.0936978489705709,7,9.602445290424514,valid
Punjab,Fatehgarh Sahib,2023,38,2024-04-08,2024-04-13,0.22435095455003362,0.22378131223281914,0.24962335693719245,0.10981672178162855,5,4.45963126553262,valid
Punjab,Fatehgarh Sahib,2023,39,2024-04-13,2024-04-18,0.20270041332526634,0.19665104930543878,0.2277255440534854,0.11510700091750867,4,0.7016072780487748,valid
Punjab,Fatehgarh Sahib,2023,40,2024-04-18,2024-04-23,0.2233249278697479,0.2209480282102855,0.2524770860542394,0.1488539900371736,6,2.9950146442812002,valid
Punjab,Fatehgarh Sahib,2023,41,2024-04-23,2024-04-28,0.25333795087128824,0.24914870555367175,0.2835840506122507,0.18714189379001744,3,2.440155933389297,valid
Punjab,Fatehgarh Sahib,2023,42,2024-04-28,2024-05-03,,,,,1,23.9084927732054,missing_bands
