seed,val_rmse,val_r2,test_rmse,test_r2,epochs_ran,best_epoch,train_seconds
7,461.3913879394531,-0.0003621891292242,606.8134765625,-0.0432191374590174,58,33,129.94326154200826
99,437.3679504394531,0.1010981533329968,533.7684326171875,0.192819243660571,120,112,264.0127342909982
(no_seed_old_run),408.10546875,0.2173579416600661,496.64227294921875,0.3012007289357713,120,102,309.3429797909921
42,462.6497192382813,-0.0058262220348883,599.4420166015625,-0.0180273137596911,65,40,136.0675052079896
