train_end,variant,seed,transition_rows,epochs,final_loss,parameters,weather_pretrain_rows,weather_pretrain_final_loss,device
2018,crop_only,42,476,60,0.3242764547467232,39454,8330,0.12823469147962682,cpu
2018,crop_only,73,476,60,0.33783112466335297,39454,8330,0.12823469147962682,cpu
2018,no_future,42,476,60,0.2965722233057022,39454,8330,0.12823469147962682,cpu
2018,no_future,73,476,60,0.30472201853990555,39454,8330,0.12823469147962682,cpu
2018,full,42,476,60,0.28916874527931213,39454,8330,0.12823469147962682,cpu
2018,full,73,476,60,0.28060049936175346,39454,8330,0.12823469147962682,cpu
2019,crop_only,42,714,60,0.30342769126097363,39454,12376,0.1263167890906334,cpu
2019,crop_only,73,714,60,0.30204162498315174,39454,12376,0.1263167890906334,cpu
2019,no_future,42,714,60,0.27967090408007306,39454,12376,0.1263167890906334,cpu
2019,no_future,73,714,60,0.2755204439163208,39454,12376,0.1263167890906334,cpu
2019,full,42,714,60,0.25874246656894684,39454,12376,0.1263167890906334,cpu
2019,full,73,714,60,0.25992775211731595,39454,12376,0.1263167890906334,cpu
2020,crop_only,42,952,60,0.3039196580648422,39454,16541,0.11930001414183414,cpu
2020,crop_only,73,952,60,0.30804207921028137,39454,16541,0.11930001414183414,cpu
2020,no_future,42,952,60,0.27042632177472115,39454,16541,0.11930001414183414,cpu
2020,no_future,73,952,60,0.27026981860399246,39454,16541,0.11930001414183414,cpu
2020,full,42,952,60,0.2582959607243538,39454,16541,0.11930001414183414,cpu
2020,full,73,952,60,0.2637765146791935,39454,16541,0.11930001414183414,cpu
