clock,period,point_rmse,point_mae,point_bias,increase_auc,increase_brier,increase_accuracy_at_0_5,increase_baseline_auc,increase_baseline_brier,severe_auc,severe_brier,interval_80_coverage,interval_80_mean_width,rows
feb15,development,296.75187765522213,225.0813213957458,-4.137149586397059,0.7407727797001155,0.22834259687104505,0.6512605042016807,0.7407727797001155,0.22834259687104505,0.7389282103134479,0.0864775676801561,,,238
feb15,late,316.8527661215437,229.03416942949053,63.81586873030462,0.7929108485499463,0.22129479949754058,0.7016806722689075,0.7929108485499463,0.22129479949754058,0.6706814057086289,0.10734830961414077,0.7899159663865546,912.4498796314663,238
jan15,development,296.75187765522213,225.0813213957458,-4.137149586397059,0.7660034602076125,0.19967272182308055,0.6638655462184874,0.7660034602076125,0.19967272182308055,0.7967644084934276,0.07755192514869824,,,238
jan15,late,316.8527661215437,229.03416942949053,63.81586873030462,0.8214106695309702,0.20504204660721484,0.680672268907563,0.8214106695309702,0.20504204660721484,0.5467744596601221,0.12072304350041249,0.7899159663865546,912.4498796314663,238
mar05,development,256.9986220174666,187.52845982142858,-7.784038126969538,0.8222318339100346,0.19694910360804746,0.7521008403361344,0.8064446366782005,0.203264331549762,0.8179979777553084,0.07563773972292422,,,238
mar05,late,288.6100054482604,208.8952093044249,37.87684541590073,0.7956319369853203,0.19697025907915694,0.7352941176470589,0.7682062298603652,0.20572022363375805,0.5636033657812243,0.11592614650676131,0.7815126050420168,650.4727449507502,238
