period,comparison,mean_rmse_gain,p025,p975,probability_positive,draws
development,crop_only_minus_full,0.0029545237726733356,0.0011269429884986706,0.006287275221621896,1.0,5000
development,no_future_minus_full,0.009544656938913166,0.0023522351346531023,0.01594863543926623,1.0,5000
late,crop_only_minus_full,0.006029790837875681,0.001250098403776585,0.011205936355467357,0.9984,5000
late,no_future_minus_full,0.0007435755692278534,-0.002408363761339398,0.003724069367541674,0.7126,5000
