clock,period,state_name,season_start_year,point_rmse,increase_auc,increase_brier,severe_auc,rows
feb15,development,Haryana,2019,344.5180036973344,0.7619047619047619,0.2188588812748618,0.41666666666666663,22
feb15,development,Haryana,2020,409.69803007754695,0.7904761904761906,0.2129183452226103,0.6000000000000001,22
feb15,development,Punjab,2019,253.73730819831712,0.625,0.22529434496782275,0.38596491228070173,22
feb15,development,Punjab,2020,244.97066693058673,0.8666666666666667,0.1957827595182475,,22
feb15,development,Uttar Pradesh,2019,324.8053486162722,0.6290909090909091,0.25105631023824304,0.5843672456575683,75
feb15,development,Uttar Pradesh,2020,231.10304064522748,0.7213500784929356,0.22338026007736753,0.9054054054054054,75
feb15,late,Haryana,2021,274.74938143322123,0.8823529411764706,0.2053373846970519,0.25,22
feb15,late,Haryana,2022,314.831152936225,0.6446280991735538,0.26467915019572613,0.09523809523809523,22
feb15,late,Punjab,2021,563.716412119095,,0.19945103798350797,0.7604166666666667,22
feb15,late,Punjab,2022,326.34502739766015,0.5238095238095238,0.14319181427396768,,22
feb15,late,Uttar Pradesh,2021,229.01671070736225,0.6862745098039216,0.24112050746010483,0.64,75
feb15,late,Uttar Pradesh,2022,300.7788215670149,0.7426686217008798,0.2227415693813495,0.875,75
jan15,development,Haryana,2019,344.5180036973344,0.8666666666666667,0.18815116912923469,0.7222222222222223,22
jan15,development,Haryana,2020,409.69803007754695,0.5904761904761905,0.26512913662919224,0.375,22
jan15,development,Punjab,2019,253.73730819831712,0.5972222222222222,0.15440942015140344,0.49122807017543857,22
jan15,development,Punjab,2020,244.97066693058673,0.8571428571428572,0.17536738003164098,,22
jan15,development,Uttar Pradesh,2019,324.8053486162722,0.6681818181818182,0.18769938642676626,0.7642679900744417,75
jan15,development,Uttar Pradesh,2020,231.10304064522748,0.6970172684458399,0.21623196641564443,0.7162162162162162,75
jan15,late,Haryana,2021,274.74938143322123,0.9882352941176471,0.12729845094595563,0.6805555555555556,22
jan15,late,Haryana,2022,314.831152936225,0.36363636363636365,0.3173529458089331,0.33333333333333337,22
jan15,late,Punjab,2021,563.716412119095,,0.17352970542106566,0.7708333333333333,22
jan15,late,Punjab,2022,326.34502739766015,0.9047619047619048,0.13290078704111397,,22
jan15,late,Uttar Pradesh,2021,229.01671070736225,0.7622549019607843,0.22026230333168967,0.38285714285714284,75
jan15,late,Uttar Pradesh,2022,300.7788215670149,0.846041055718475,0.21008710373153203,0.875,75
mar05,development,Haryana,2019,270.3852460403133,0.7428571428571429,0.2019309782816159,0.8194444444444444,22
mar05,development,Haryana,2020,374.98770495254706,0.6857142857142857,0.23474738887535967,0.7250000000000001,22
mar05,development,Punjab,2019,285.8706658260688,0.6944444444444445,0.1820761521761889,0.7017543859649122,22
mar05,development,Punjab,2020,136.97146349172328,0.8666666666666667,0.168205604510518,,22
mar05,development,Uttar Pradesh,2019,277.8074261589404,0.8372727272727272,0.1928344354350379,0.7593052109181142,75
mar05,development,Uttar Pradesh,2020,200.62113638041603,0.7598116169544741,0.2013090836870191,0.8783783783783784,75
mar05,late,Haryana,2021,206.3740401853252,0.8705882352941177,0.1479092089646972,0.45833333333333337,22
mar05,late,Haryana,2022,313.8910753937149,0.7355371900826446,0.2186422491981183,0.33333333333333337,22
mar05,late,Punjab,2021,499.6547248899573,,0.15219603942704943,0.4791666666666667,22
mar05,late,Punjab,2022,250.54317765359733,0.5714285714285714,0.10941261836414547,,22
mar05,late,Uttar Pradesh,2021,211.0783775056127,0.738562091503268,0.20360391451657048,0.7400000000000001,75
mar05,late,Uttar Pradesh,2022,294.50179687601366,0.6906158357771262,0.23718807361477776,0.38425925925925924,75
