variant,period,transition_rmse,transition_mae,scaled_rmse,direction_accuracy,persistence_rmse,persistence_mae,samples
crop_only,development,0.04198029123886678,0.028202560262660645,2.6701765672427653,0.8599689875950379,0.10542763674903902,0.07341679773966492,476
crop_only,late,0.07011031112786785,0.03473883691271219,15.913285531234273,0.8753681876271387,0.1283000619371516,0.08250562970315208,476
full,development,0.03926152792688635,0.026422182714347455,2.660514722717879,0.8542466986794718,0.10542763674903902,0.07341679773966492,476
full,late,0.06444799470316392,0.030478437886056843,15.901479404941503,0.8760842912601534,0.1283000619371516,0.08250562970315208,476
no_future,development,0.049000210319527136,0.034502046624934224,2.690989845678434,0.8452631052420968,0.10542763674903902,0.07341679773966492,476
no_future,late,0.06498253904596664,0.03207303604752827,15.905014010694991,0.8781124333052842,0.1283000619371516,0.08250562970315208,476
