clock,variant,view,c_value,v13_weight,period,auc,brier,baseline_auc,baseline_brier,promotion_pass,draws,mean_auc_gain,p025,p975,probability_positive
jan15,no_future,response_tabular,0.5,0.15000000000000002,development,0.7790513264129182,0.19346615474989265,0.7660034602076125,0.19967272182308055,False,,,,,
jan15,no_future,response_tabular,0.5,0.15000000000000002,late,0.8390261367704976,0.20376595295844002,0.8214106695309702,0.20504204660721484,False,5000.0,0.017328123736627815,-0.017575757575757467,0.06872533085674482,0.8934
feb15,no_future,response,0.005,0.25,development,0.7642733564013842,0.22763002024703885,0.7407727797001155,0.22834259687104505,False,,,,,
feb15,no_future,response,0.005,0.25,late,0.7394915861081275,0.2302481379503144,0.7929108485499463,0.22129479949754058,False,5000.0,-0.0584314382243356,-0.09463376696832582,-0.021021021021021102,0.0046
mar05,no_future,response_tabular,0.1,0.15000000000000002,development,0.8222318339100346,0.19694910360804746,0.8064446366782005,0.203264331549762,True,,,,,
mar05,no_future,response_tabular,0.1,0.15000000000000002,late,0.7956319369853203,0.19697025907915694,0.7682062298603652,0.20572022363375805,True,5000.0,0.024846053531654685,0.0029871323529412352,0.053960964408725776,1.0
