split,season_year,district_id,district_name,state_name,actual_yield,predicted_yield,mape_percent,accuracy_category
t,2017,IND013014,Mewat,Haryana,4320.0,4320.02392578125,0.0005538375289351852,accurate
t,2017,IND013015,Palwal,Haryana,4550.0,4550.00927734375,0.00020389766483516487,accurate
t,2017,IND013018,Rewari,Haryana,4900.0,4900.0048828125,9.964923469387755e-05,accurate
t,2017,IND013004,Faridabad,Haryana,4450.0,4450.0029296875,6.583567415730337e-05,accurate
t,2017,IND013006,Gurgaon,Haryana,4910.0,4909.986328125,0.00027844959266802447,accurate
t,2017,IND013008,Jhajjar,Haryana,4650.0,4649.9482421875,0.0011130712365591399,accurate
t,2017,IND013021,Sonepat,Haryana,5070.0,5069.99462890625,0.00010593873274161736,accurate
t,2017,IND013017,Panipat,Haryana,5190.0,5189.96826171875,0.0006115275770712909,accurate
t,2017,IND013013,Mahendragarh,Haryana,4270.0,4269.96435546875,0.0008347665398126463,accurate
t,2017,IND013003,Charkhi Dadri,Haryana,4120.0,4120.14306640625,0.003472485588592233,accurate
t,2017,IND013002,Bhiwani,Haryana,4320.0,4319.98876953125,0.00025996455439814816,accurate
t,2017,IND013019,Rohtak,Haryana,4630.0,4630.0234375,0.0005062095032397409,accurate
t,2017,IND013007,Hissar,Haryana,4910.0,4909.9677734375,0.0006563454684317719,accurate
t,2017,IND013009,Jind,Haryana,5050.0,5049.95458984375,0.0008992110148514851,accurate
t,2017,IND013005,Fatehabad,Haryana,5380.0,5379.92529296875,0.001388606528810409,accurate
t,2017,IND013020,Sirsa,Haryana,5060.0,5060.0166015625,0.0003280941205533597,accurate
t,2017,IND013010,Kaithal,Haryana,4830.0,4830.02392578125,0.0004953577898550724,accurate
t,2017,IND028013,Mansa,Punjab,5170.0,5169.97705078125,0.00044389204545454544,accurate
t,2017,IND013011,Karnal,Haryana,4920.0,4920.0341796875,0.0006947090955284552,accurate
t,2017,IND013012,Kurukshetra,Haryana,4820.0,4820.017578125,0.0003646913900414938,accurate
t,2017,IND013022,Yamuna Nagar,Haryana,4780.0,4780.03076171875,0.0006435506014644351,accurate
t,2017,IND013001,Ambala,Haryana,4650.0,4649.99169921875,0.0001785114247311828,accurate
t,2017,IND028015,Mohali,Punjab,4960.0,4959.94384765625,0.0011321037046370967,accurate
t,2017,IND013016,Panchkula,Haryana,3740.0,3739.988037109375,0.00031986338569518714,accurate
t,2017,IND028003,Bathinda,Punjab,5300.0,5300.0166015625,0.0003132370283018868,accurate
t,2017,IND028019,Patiala,Punjab,5270.0,5269.97314453125,0.0005095914373814042,accurate
t,2017,IND028021,Sangrur,Punjab,5550.0,5549.98046875,0.0003519144144144144,accurate
t,2017,IND028016,Muktsar,Punjab,5250.0,5250.0087890625,0.0001674107142857143,accurate
t,2017,IND028006,Fazilka,Punjab,4800.0,4799.86474609375,0.0028177897135416665,accurate
t,2017,IND028002,Barnala,Punjab,5340.0,5340.00439453125,8.229459269662921e-05,accurate
t,2017,IND028004,Faridkot,Punjab,5340.0,5339.9052734375,0.0017739056647940077,accurate
t,2017,IND028005,Fatehgarh Sahib,Punjab,5340.0,5339.9921875,0.00014630149812734083,accurate
t,2017,IND028014,Moga,Punjab,5190.0,5190.12890625,0.002483742774566474,accurate
t,2017,IND028012,Ludhiana,Punjab,5140.0,5140.0341796875,0.0006649744649805448,accurate
t,2017,IND028007,Firozpur,Punjab,5220.0,5220.00732421875,0.0001403107040229885,accurate
t,2017,IND028020,Rupnagar,Punjab,4870.0,4869.97119140625,0.0005915522330595483,accurate
