district_id,state_name,district_name,season_label,season_start_year,season_end_year,area_ha,production_tonnes,yield_ton_per_ha,yield_kg_per_ha,crop,season,source,source_file,proxy_filled,proxy_source_district,proxy_overlap_years,proxy_selection_rmse,proxy_selection_mae,nitro_rabi_tons,phos_rabi_tons,potash_rabi_tons,total_fert_rabi_tons,wheat_irrigated_area_1000ha,net_cropped_area_1000ha,gross_cropped_area_1000ha,tmax_mean_apr,tmax_mean_dec,tmax_mean_feb,tmax_mean_jan,tmax_mean_mar,tmax_mean_nov,tmax_mean_oct,tmin_mean_apr,tmin_mean_dec,tmin_mean_feb,tmin_mean_jan,tmin_mean_mar,tmin_mean_nov,tmin_mean_oct,tp_mean_apr,tp_mean_dec,tp_mean_feb,tp_mean_jan,tp_mean_mar,tp_mean_nov,tp_mean_oct,ssrd_mean_apr,ssrd_mean_dec,ssrd_mean_feb,ssrd_mean_jan,ssrd_mean_mar,ssrd_mean_nov,ssrd_mean_oct,wind_speed_mean_apr,wind_speed_mean_dec,wind_speed_mean_feb,wind_speed_mean_jan,wind_speed_mean_mar,wind_speed_mean_nov,wind_speed_mean_oct,season_precip_proxy,sat_B7_mean_dec,sat_B7_mean_feb,sat_B7_mean_jan,sat_B7_mean_nov,sat_B7_mean_oct,sat_B8_mean_dec,sat_B8_mean_feb,sat_B8_mean_jan,sat_B8_mean_nov,sat_B8_mean_oct,sat_B8A_mean_dec,sat_B8A_mean_feb,sat_B8A_mean_jan,sat_B8A_mean_nov,sat_B8A_mean_oct,sat_B12_mean_dec,sat_B12_mean_feb,sat_B12_mean_jan,sat_B12_mean_nov,sat_B12_mean_oct
IND013001,Haryana,Ambala,2010 - 2011,2010,2011,86795.0,314000.0,3.62,3620.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,,50168.0,17700.0,4447.0,72315.0,180.54,255.48,456.31,304.8670364379883,289.5159971175655,289.0566079275949,285.5137506300403,295.39758399225053,295.53086954752604,299.0005310058594,286.7690170288086,275.9473591466104,277.1443830217634,272.7034538022933,280.4275315807712,281.1805836995443,286.4012430826823,0.7385035646613687,1.0333839303855183,2.4167410928473276,0.7540612030218565,1.4279851542432294,0.12557159182227526,0.4642680993342462,22998140.1,11928639.58064516,14280728.625,12182759.677419355,20417859.774193548,13332296.866666667,16794093.833333332,1.827348029613495,1.0794795915003745,1.4266645801918847,1.5165340881193838,1.5869078732305957,1.0344023992617926,1.1245435446500778,6.960514636315822,0.12011059974544314,0.06900167064543535,0.08881173735658711,0.12045643827497099,0.10179906442318402,0.24215707158131172,0.301201959832342,0.26706581764636855,0.22386436585937244,0.27461434129933415,0.22730489216925395,0.17219447298546742,0.18752192715418917,0.2170715288080182,0.20451752076237284,0.17142525815407939,0.09983865124300673,0.11741056754239192,0.16894337431656095,0.13238288423706762
IND013002,Haryana,Bhiwani,2010 - 2011,2010,2011,158991.0,710000.0,4.47,4470.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,,,,,,,,,312.3564086914063,294.7689671670237,296.3394862583705,292.0387730752268,303.31603708574846,300.8152740478516,305.9036875406901,294.18677825927733,280.83471187468496,283.2725524902344,279.0258168866557,287.4461925875756,288.1883138020833,293.0438181559245,0.0001387258220347576,0.4107352556480515,0.6199275043511007,0.0660589744501771,0.21960781505379512,0.40616081008532395,0.029243307952159132,23545348.4,12396857.0,15749322.464285715,13145357.903225806,20808682.741935484,12946659.233333332,17297586.166666668,2.1513439774513246,1.1761109079084089,1.5105281940528326,1.4698293228303232,1.7746414407607047,1.1061044851938884,1.3646942774454753,1.7518723933626423,0.14195043144233754,0.10474431442581561,0.1387454626628001,0.17212585038140937,0.1693853191196902,0.2595511872505261,0.31981769898675577,0.19268584935988028,0.2505520879231605,0.2799560961404775,0.24378161108695431,0.18845497518381074,0.1453454031557917,0.2876379427671511,0.30380577579161466,0.19596208860647799,0.12512902718791155,0.11313494483330057,0.24358142753944176,0.2494150140665425
IND013003,Haryana,Charkhi Dadri,2010 - 2011,2010,2011,101635.0,464000.0,4.57,4570.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,True,Rohtak,6.0,380.810539069846,358.3333333333333,,,,,,,,312.4734848022461,294.64498507591986,296.1987097603934,291.9571680868826,303.28871007119454,300.67005411783856,305.86045735677084,294.3182907104492,280.8465143019153,283.25408608572826,279.04015227287044,287.4175424883443,288.2953114827474,293.03709309895834,0.00012741446935251587,0.36281474511469564,0.6671573761352322,0.0499381102869642,0.15816166646105087,0.5310493762597617,0.015363619508510359,23532586.1,12474492.612903226,15899522.17857143,13251454.709677419,20909013.032258064,12838055.583333334,17436417.533333335,2.2368733108043672,1.1887775073128362,1.5126300411564964,1.5434556776477444,1.7767909188424387,1.1219749689102172,1.3841554721196492,1.7846123082355674,0.127671224651753,0.07096771303649875,0.0723831226044466,0.16115701712049577,0.15284604482750783,0.26675711872039,0.33419406058486995,0.3400090960101748,0.24489177479629018,0.25598652323513227,0.23803810613440568,0.139122932130669,0.135871150430356,0.2692050447278954,0.27276173375484103,0.18180897807651622,0.07163746394773966,0.066815833302674,0.22361745278146516,0.2212603105489049
IND013004,Haryana,Faridabad,2010 - 2011,2010,2011,31683.0,145000.0,4.58,4580.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,,,,,,,,,312.00740203857424,294.52938547442034,295.56013052804127,291.6353592411164,302.5497485745338,299.7805552164713,304.1588083902995,294.8422119140625,281.81361635269656,283.6122371128627,279.6213172174269,287.88495069934476,288.69843139648435,292.7650431315104,0.0009576102452911073,0.17924915758832807,1.158244653690742,0.04084546815569972,0.2725250832311945,0.6199172474186828,0.0765078776089164,23442292.9,12440304.0,15863267.67857143,13209401.612903226,20929496.258064516,12622982.7,17392315.466666665,2.3035416066646577,1.275002711242245,1.5866540606532777,1.7303205478575923,1.8090674338802215,1.173671833674113,1.2812667628129324,2.348247097938855,0.11596953967747263,0.06515965487041946,0.07628735957701976,0.16041627713133155,0.1388024548090556,0.23474981647160376,0.35975767606273057,0.29227736445375946,0.22733746017065914,0.26852462917229114,0.2034996308160669,0.1435900134215038,0.16197408506386565,0.2489398682339524,0.24008551010332524,0.14998657529566486,0.07242960277476179,0.092828564184384,0.19202604332220333,0.16798783275873083
IND013005,Haryana,Fatehabad,2010 - 2011,2010,2011,186622.0,950000.0,5.09,5090.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,,,,,,,,,312.0179779052734,294.41624204574094,295.0109525408064,291.08003776304184,301.81173607610884,300.79430236816404,304.9697519938151,294.2505081176758,281.0530503795993,283.119752066476,279.0460490565146,287.2403318343624,287.68834228515624,292.78623860677084,0.0003150281831040047,0.49532299560885273,0.6970952500830337,0.15922246389597264,0.37743183798852076,0.156170248491253,0.058959718818853916,23260153.2,11983330.306451613,14846838.214285715,12489705.903225806,20252028.16129032,12988392.75,16750254.366666667,1.9540681719779969,1.1377656921263664,1.459509402513504,1.3697249600964208,1.722616724429592,1.1085785011450449,1.1881166319052379,1.9445175430695911,0.12605289854110727,0.05005122546186763,0.09280078732048384,0.14023704411617868,0.10624199403477677,0.2213830665849766,0.3661419825743633,0.29783895981029024,0.21845648863637226,0.3100909906094777,0.2102295436316999,0.1465690955180108,0.17014260430458547,0.23802305873739407,0.22206452998904075,0.1623318780179227,0.07139113880648673,0.09805296814822062,0.18671048006053145,0.13718342418115953
IND013006,Haryana,Gurgaon,2010 - 2011,2010,2011,50833.0,240000.0,4.72,4720.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,,52761.0,18827.0,1546.0,73134.0,246.36,329.85,545.76,312.2986892700195,294.44470116399947,295.68289838518416,291.6360847719254,302.7884265530494,300.1305755615234,304.9330535888672,294.64690551757815,281.3102574502268,283.3973715645926,279.34490769909274,287.58558211788056,288.5349466959635,292.84385172526044,0.0006035095662809909,0.25803577287062524,0.9485633950701607,0.041790940391189406,0.1916872818825127,0.6216972959741308,0.039178959007161514,23454309.2,12462923.935483871,15915190.82142857,13236014.387096774,20953475.29032258,12650594.35,17466273.033333335,2.3045263230800628,1.2349959842620357,1.547162196465901,1.6795156271226945,1.7775055573832603,1.1537238468726476,1.3348497331142426,2.101557154762061,0.11192599157234749,0.08958691913610556,0.0862924342320072,0.15326456089876728,0.16171863684949656,0.2669805389292434,0.3240663136509027,0.30307941010778805,0.2507583311549353,0.2598592319511201,0.20775245075595306,0.15603847586817965,0.17766119565196267,0.25573146710141276,0.2734831474195417,0.14583655591940092,0.09124026305958866,0.1090768554891489,0.20117551776490605,0.21496335178035883
IND013007,Haryana,Hissar,2010 - 2011,2010,2011,221814.0,1026000.0,4.63,4630.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,,181341.0,59049.0,5775.0,246165.0,809.719,1214.74,2317.03,312.0740051269531,294.4894734044229,295.69376373291016,291.4660496865549,302.5369912424395,300.7312286376953,305.3223866780599,294.0516082763672,280.922125047253,283.2359739031111,279.1145452683972,287.32045425907256,287.87737731933595,292.8123779296875,0.0003538176686561201,0.5106402001073284,0.6881179837302105,0.12064876102112242,0.3722885853690499,0.2613384237047285,0.062316029535622874,23401470.9,12124399.064516129,15271412.42857143,12743061.451612903,20547922.29032258,12927295.1,16962905.333333332,2.010528588294983,1.1654833958994957,1.5041207032544273,1.4595387924102046,1.748778937324401,1.0941529442866644,1.2657250622908274,2.015703801136719,,,,,,,,,,,,,,,,,,,,
IND013008,Haryana,Jhajjar,2010 - 2011,2010,2011,100978.0,455000.0,4.51,4510.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,,,,,,,,,312.34479370117185,294.28777682396674,295.4997896466936,291.38316788211944,302.60303423481605,300.3091084798177,305.1331553141276,294.397705078125,281.0496284730973,283.2500098092215,279.2069328061996,287.32423154769407,288.3023661295573,292.7821512858073,0.0003946561366319656,0.3453681631194007,0.867311414950791,0.06291695072874033,0.21383841005098797,0.4924379827144245,0.03306129750725783,23399145.9,12336762.951612903,15736286.785714285,13057766.741935484,20859021.29032258,12666768.55,17366226.833333332,2.2824243128299715,1.2623505169345486,1.5913821820701872,1.7208816409111023,1.8128090250876643,1.1812028129895529,1.3739234824975333,2.0153288752082346,0.11539009506734928,0.06939143729826437,0.08458855976475409,0.15541478417948804,0.14708443476419797,0.24296537238909566,0.31751296071630386,0.26739486700768783,0.2308044066551953,0.24382282290353846,0.19879248953827322,0.14447792292946304,0.16446739245161565,0.2412933353339167,0.23294836664223095,0.1446291358507785,0.07790562293509672,0.09875306179315164,0.19520260632201844,0.17807382824916712
IND013009,Haryana,Jind,2010 - 2011,2010,2011,215854.0,982000.0,4.55,4550.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,,51560.0,15358.0,1972.0,68890.0,247.793,274.16,542.7,311.8538162231445,293.8338790401336,294.6472429547991,290.49083488218247,301.4841997700353,300.3192494710286,304.4263010660807,293.92778930664065,281.01761356476817,283.138795035226,279.27806337418093,287.02169307585683,287.62456665039065,292.40361328125,0.0005574153925408609,0.5909104731775099,0.9008480933885689,0.16162761458669975,0.5104641002542907,0.18687583684319786,0.09321154684488041,23189977.7,11836535.85483871,14916914.67857143,12337858.403225806,20422732.51612903,12679840.016666668,16753936.433333334,2.0775788545608522,1.2664668444664247,1.6628237558262688,1.772297215077185,1.848255447803005,1.1893525967995326,1.2715561360120773,2.444495080487688,0.12205371728231738,0.057803589775428245,0.10128821157974806,0.14090144836151045,0.09595130390388129,0.2242532095061831,0.3404255554027202,0.2749551603046467,0.21909279557608655,0.2906393053452508,0.2027842739504215,0.1454028889146863,0.1701059695679472,0.2307308287099643,0.2167314110526743,0.14962071362726734,0.07157197621966772,0.10098456872326211,0.18266294500443925,0.1371665741743853
IND013010,Haryana,Kaithal,2010 - 2011,2010,2011,177464.0,835000.0,4.71,4710.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,,,,,,,,,311.5878311157227,293.47070804719004,293.91124071393693,289.8359837685862,300.6649908250378,300.13391927083336,303.77796936035156,293.7342361450195,281.04822860225556,282.9845515659877,279.24759698683215,286.79102251606605,287.2668792724609,292.0821156819662,0.0006453456051531247,0.6872580349445343,1.0167911019647622,0.22937463871564814,0.6341630678385451,0.08712888223332509,0.12523865072095455,23022566.6,11586035.951612903,14494557.714285715,11964235.677419355,20207349.677419353,12610592.183333334,16482004.133333333,2.1767086744308473,1.3404120245287496,1.7906001721109663,1.9163587151035186,1.9462408711833339,1.2818621615568797,1.312789660692215,2.7805997220229224,0.11088053266486486,0.04386935402936195,0.04868020352757737,0.12995709119551785,0.09899703873167162,0.2178621174662642,0.3691659212453821,0.3179401247242694,0.20817283276645107,0.2648051964235637,0.19338381926923393,0.12813032130142468,0.14107946780216682,0.22976950201866195,0.20515088188759562,0.1394580802260963,0.055026685477573785,0.06638690587191133,0.18595761614533843,0.13705893587222168
