S.No.,State,District,2017 - 2018__area_ha,2017 - 2018__production_tonnes,2017 - 2018__yield_ton_per_ha,2018 - 2019__area_ha,2018 - 2019__production_tonnes,2018 - 2019__yield_ton_per_ha,2019 - 2020__area_ha,2019 - 2020__production_tonnes,2019 - 2020__yield_ton_per_ha,2020 - 2021__area_ha,2020 - 2021__production_tonnes,2020 - 2021__yield_ton_per_ha,2021 - 2022__area_ha,2021 - 2022__production_tonnes,2021 - 2022__yield_ton_per_ha,2022 - 2023__area_ha,2022 - 2023__production_tonnes,2022 - 2023__yield_ton_per_ha
22,Haryana,Yamunanagar,89000.0,425700.0,4.78,90800.0,390000.0,4.3,93500.0,457500.0,4.89,96520.0,492350.0,5.1,94499,426190,4.51,92840,477490,5.14
23,Punjab,Amritsar,189000.0,920000.0,4.87,189000.0,910000.0,4.81,188000.0,852000.0,4.53,189000.0,900000.0,4.76,189300,843000,4.45,189100,905400,4.79
24,Punjab,Barnala,114000.0,609000.0,5.34,115000.0,641000.0,5.57,114000.0,599000.0,5.25,113700.0,546000.0,4.8,114800,525000,4.57,113400,574100,5.06
25,Punjab,Bathinda,254000.0,1345000.0,5.3,255000.0,1428000.0,5.6,256000.0,1387000.0,5.42,255600.0,1266000.0,4.95,260700,1149000,4.41,254000,1257300,4.95
26,Punjab,Faridkot,116000.0,619000.0,5.34,116000.0,620000.0,5.34,116000.0,646000.0,5.57,116000.0,588000.0,5.07,115500,529000,4.58,115300,504500,4.38
27,Punjab,Fatehgarh sahib,85000.0,454000.0,5.34,85000.0,440000.0,5.18,85000.0,374000.0,4.4,85100.0,422000.0,4.96,85300,290000,3.4,84500,404700,4.79
28,Punjab,Fazilka,210000.0,1007000.0,4.8,208000.0,1052000.0,5.06,206000.0,1016000.0,4.93,207500.0,984000.0,4.74,204100,873000,4.28,200000,925000,4.63
29,Punjab,Firozepur,187000.0,977000.0,5.22,187000.0,1010000.0,5.4,187000.0,957000.0,5.12,196100.0,967000.0,4.93,187800,821000,4.37,188700,906000,4.8
30,Punjab,Gurdaspur,185000.0,876000.0,4.74,184000.0,868000.0,4.72,185000.0,772000.0,4.17,185600.0,840000.0,4.53,184100,777000,4.22,185100,820400,4.43
31,Punjab,Hoshiarpur,143000.0,620000.0,4.34,144000.0,611000.0,4.24,142000.0,609000.0,4.29,141900.0,588000.0,4.14,142200,515000,3.62,141700,570800,4.03
32,Punjab,Jalandhar,170000.0,861000.0,5.06,170000.0,845000.0,4.97,173000.0,870000.0,5.03,172400.0,845000.0,4.9,173300,732000,4.22,173400,754300,4.35
33,Punjab,Kapurthala,108000.0,523000.0,4.84,109000.0,516000.0,4.73,109000.0,507000.0,4.65,105200.0,486000.0,4.62,110000,439000,3.99,108600,484300,4.46
34,Punjab,Ludhiana,252000.0,1296000.0,5.14,251000.0,1288000.0,5.13,250000.0,1275000.0,5.1,249700.0,1241000.0,4.97,244200,1044000,4.28,244700,1123400,4.59
35,Punjab,Malerkotla,,,,,,,,,,,,,52400,227000,4.33,52100,258500,4.96
36,Punjab,Mansa,172000.0,890000.0,5.17,171000.0,932000.0,5.45,171000.0,922000.0,5.39,171600.0,852000.0,4.97,172500,768000,4.45,170800,854200,5.0
37,Punjab,Moga,175000.0,908000.0,5.19,175000.0,941000.0,5.38,176000.0,942000.0,5.35,177000.0,911000.0,5.15,177900,778000,4.37,178100,846300,4.75
38,Punjab,Muktsar,211000.0,1108000.0,5.25,214000.0,1192000.0,5.57,214000.0,1168000.0,5.46,215200.0,1087000.0,5.05,219200,992000,4.53,217100,1019100,4.69
39,Punjab,Nawanshahr,77000.0,385000.0,5.0,77000.0,385000.0,5.0,77000.0,391000.0,5.08,77700.0,384000.0,4.94,77300,299000,3.87,78100,386300,4.95
40,Punjab,Pathankot,41000.0,165000.0,4.02,41000.0,163000.0,3.98,40000.0,158000.0,3.95,42000.0,182000.0,4.33,39400,144000,3.65,40100,160300,4.0
41,Punjab,Patiala,232000.0,1223000.0,5.27,233000.0,1275000.0,5.47,234000.0,1116000.0,4.77,233700.0,1162000.0,4.97,233500,907000,3.88,233300,1145100,4.91
42,Punjab,Rupnagar,67000.0,326000.0,4.87,69000.0,315000.0,4.57,69000.0,299000.0,4.33,68700.0,310000.0,4.51,68600,248000,3.62,67900,306300,4.51
43,Punjab,S.a.s nagar,50000.0,248000.0,4.96,50000.0,232000.0,4.64,50000.0,226000.0,4.52,48500.0,212000.0,4.37,50100,186000,3.71,53000,217000,4.09
