S.No.,State,District,area_ha,production_tonnes,yield_ton_per_ha,season_label,season_start_year,season_end_year
78,Uttar Pradesh,Gorakhpur,192243.0,814341.0,4.24,2017 - 2018,2017,2018
79,Uttar Pradesh,Hamirpur,113112.0,354013.0,3.13,2017 - 2018,2017,2018
80,Uttar Pradesh,Hapur,42670.0,177251.0,4.15,2017 - 2018,2017,2018
81,Uttar Pradesh,Hardoi,314432.0,1155223.0,3.67,2017 - 2018,2017,2018
82,Uttar Pradesh,Hathras,82643.0,312225.0,3.78,2017 - 2018,2017,2018
83,Uttar Pradesh,Jalaun,160362.0,581167.0,3.62,2017 - 2018,2017,2018
84,Uttar Pradesh,Jaunpur,207669.0,735148.0,3.54,2017 - 2018,2017,2018
85,Uttar Pradesh,Jhansi,149640.0,394006.0,2.63,2017 - 2018,2017,2018
86,Uttar Pradesh,Kannauj,75546.0,342450.0,4.53,2017 - 2018,2017,2018
87,Uttar Pradesh,Kanpur dehat,120743.0,517022.0,4.28,2017 - 2018,2017,2018
88,Uttar Pradesh,Kanpur nagar,106047.0,408721.0,3.85,2017 - 2018,2017,2018
89,Uttar Pradesh,Kasganj,94430.0,375265.0,3.97,2017 - 2018,2017,2018
90,Uttar Pradesh,Kaushambi,72909.0,231194.0,3.17,2017 - 2018,2017,2018
91,Uttar Pradesh,Kheri,188602.0,775531.0,4.11,2017 - 2018,2017,2018
92,Uttar Pradesh,Kushi nagar,117733.0,412419.0,3.5,2017 - 2018,2017,2018
93,Uttar Pradesh,Lalitpur,152659.0,424392.0,2.78,2017 - 2018,2017,2018
94,Uttar Pradesh,Lucknow,81589.0,266225.0,3.26,2017 - 2018,2017,2018
95,Uttar Pradesh,Maharajganj,145443.0,515741.0,3.55,2017 - 2018,2017,2018
96,Uttar Pradesh,Mahoba,48394.0,86668.0,1.79,2017 - 2018,2017,2018
97,Uttar Pradesh,Mainpuri,150750.0,666014.0,4.42,2017 - 2018,2017,2018
98,Uttar Pradesh,Mathura,200421.0,704480.0,3.52,2017 - 2018,2017,2018
99,Uttar Pradesh,Mau,95373.0,352975.0,3.7,2017 - 2018,2017,2018
100,Uttar Pradesh,Meerut,75592.0,329959.0,4.36,2017 - 2018,2017,2018
101,Uttar Pradesh,Mirzapur,94546.0,278692.0,2.95,2017 - 2018,2017,2018
102,Uttar Pradesh,Moradabad,123231.0,456078.0,3.7,2017 - 2018,2017,2018
103,Uttar Pradesh,Muzaffarnagar,85624.0,341212.0,3.99,2017 - 2018,2017,2018
104,Uttar Pradesh,Pilibhit,131987.0,559229.0,4.24,2017 - 2018,2017,2018
105,Uttar Pradesh,Pratapgarh,148317.0,469720.0,3.17,2017 - 2018,2017,2018
106,Uttar Pradesh,Rae bareli,132317.0,444982.0,3.36,2017 - 2018,2017,2018
107,Uttar Pradesh,Rampur,149252.0,598202.0,4.01,2017 - 2018,2017,2018
108,Uttar Pradesh,Saharanpur,111963.0,435984.0,3.89,2017 - 2018,2017,2018
109,Uttar Pradesh,Sambhal,140565.0,502098.0,3.57,2017 - 2018,2017,2018
110,Uttar Pradesh,Sant kabeer nagar,90569.0,290274.0,3.21,2017 - 2018,2017,2018
111,Uttar Pradesh,Sant ravidas nagar,49038.0,186639.0,3.81,2017 - 2018,2017,2018
112,Uttar Pradesh,Shahjahanpur,247700.0,989809.0,4.0,2017 - 2018,2017,2018
113,Uttar Pradesh,Shamli,49633.0,228014.0,4.59,2017 - 2018,2017,2018
114,Uttar Pradesh,Shravasti,68574.0,220945.0,3.22,2017 - 2018,2017,2018
115,Uttar Pradesh,Siddharth nagar,158257.0,629705.0,3.98,2017 - 2018,2017,2018
116,Uttar Pradesh,Sitapur,210935.0,685961.0,3.25,2017 - 2018,2017,2018
117,Uttar Pradesh,Sonbhadra,54274.0,127922.0,2.36,2017 - 2018,2017,2018
118,Uttar Pradesh,Sultanpur,114555.0,461653.0,4.03,2017 - 2018,2017,2018
119,Uttar Pradesh,Unnao,244358.0,798318.0,3.27,2017 - 2018,2017,2018
120,Uttar Pradesh,Varanasi,69363.0,234528.0,3.38,2017 - 2018,2017,2018
1,Haryana,Ambala,88000.0,418000.0,4.75,2018 - 2019,2018,2019
2,Haryana,Bhiwani,113000.0,500000.0,4.42,2018 - 2019,2018,2019
3,Haryana,Charki dadri,54600.0,273000.0,5.0,2018 - 2019,2018,2019
4,Haryana,Faridabad,29600.0,152000.0,5.14,2018 - 2019,2018,2019
5,Haryana,Fatehabad,187200.0,1008000.0,5.38,2018 - 2019,2018,2019
6,Haryana,Gurgaon,43000.0,213000.0,4.95,2018 - 2019,2018,2019
7,Haryana,Hisar,221100.0,1096000.0,4.96,2018 - 2019,2018,2019
8,Haryana,Jhajjar,105200.0,501000.0,4.76,2018 - 2019,2018,2019
9,Haryana,Jind,215000.0,1127000.0,5.24,2018 - 2019,2018,2019
10,Haryana,Kaithal,215000.0,1057000.0,4.92,2018 - 2019,2018,2019
11,Haryana,Karnal,178500.0,1007000.0,5.64,2018 - 2019,2018,2019
12,Haryana,Kurukshetra,113000.0,560000.0,4.96,2018 - 2019,2018,2019
13,Haryana,Mahendragarh,44300.0,210000.0,4.74,2018 - 2019,2018,2019
14,Haryana,Mewat,76400.0,347000.0,4.54,2018 - 2019,2018,2019
15,Haryana,Palwal,95000.0,402000.0,4.23,2018 - 2019,2018,2019
16,Haryana,Panchkula,18000.0,71000.0,3.94,2018 - 2019,2018,2019
17,Haryana,Panipat,83000.0,433000.0,5.22,2018 - 2019,2018,2019
18,Haryana,Rewari,41000.0,203000.0,4.95,2018 - 2019,2018,2019
19,Haryana,Rohtak,104200.0,476000.0,4.57,2018 - 2019,2018,2019
20,Haryana,Sirsa,293100.0,1484000.0,5.06,2018 - 2019,2018,2019
21,Haryana,Sonipat,144100.0,645000.0,4.48,2018 - 2019,2018,2019
22,Haryana,Yamunanagar,90800.0,390000.0,4.3,2018 - 2019,2018,2019
23,Punjab,Amritsar,189000.0,910000.0,4.81,2018 - 2019,2018,2019
24,Punjab,Barnala,115000.0,641000.0,5.57,2018 - 2019,2018,2019
25,Punjab,Bathinda,255000.0,1428000.0,5.6,2018 - 2019,2018,2019
26,Punjab,Faridkot,116000.0,620000.0,5.34,2018 - 2019,2018,2019
27,Punjab,Fatehgarh sahib,85000.0,440000.0,5.18,2018 - 2019,2018,2019
28,Punjab,Fazilka,208000.0,1052000.0,5.06,2018 - 2019,2018,2019
29,Punjab,Firozepur,187000.0,1010000.0,5.4,2018 - 2019,2018,2019
30,Punjab,Gurdaspur,184000.0,868000.0,4.72,2018 - 2019,2018,2019
31,Punjab,Hoshiarpur,144000.0,611000.0,4.24,2018 - 2019,2018,2019
32,Punjab,Jalandhar,170000.0,845000.0,4.97,2018 - 2019,2018,2019
33,Punjab,Kapurthala,109000.0,516000.0,4.73,2018 - 2019,2018,2019
34,Punjab,Ludhiana,251000.0,1288000.0,5.13,2018 - 2019,2018,2019
36,Punjab,Mansa,171000.0,932000.0,5.45,2018 - 2019,2018,2019
37,Punjab,Moga,175000.0,941000.0,5.38,2018 - 2019,2018,2019
38,Punjab,Muktsar,214000.0,1192000.0,5.57,2018 - 2019,2018,2019
39,Punjab,Nawanshahr,77000.0,385000.0,5.0,2018 - 2019,2018,2019
40,Punjab,Pathankot,41000.0,163000.0,3.98,2018 - 2019,2018,2019
41,Punjab,Patiala,233000.0,1275000.0,5.47,2018 - 2019,2018,2019
42,Punjab,Rupnagar,69000.0,315000.0,4.57,2018 - 2019,2018,2019
43,Punjab,S.a.s nagar,50000.0,232000.0,4.64,2018 - 2019,2018,2019
44,Punjab,Sangrur,290000.0,1682000.0,5.8,2018 - 2019,2018,2019
45,Punjab,Tarn taran,187000.0,916000.0,4.9,2018 - 2019,2018,2019
46,Uttar Pradesh,Agra,132369.0,578320.0,4.37,2018 - 2019,2018,2019
47,Uttar Pradesh,Aligarh,221798.0,946190.0,4.27,2018 - 2019,2018,2019
48,Uttar Pradesh,Allahabad,210752.0,748837.0,3.55,2018 - 2019,2018,2019
49,Uttar Pradesh,Ambedkar nagar,119235.0,488740.0,4.1,2018 - 2019,2018,2019
50,Uttar Pradesh,Amethi,129363.0,458204.0,3.54,2018 - 2019,2018,2019
51,Uttar Pradesh,Amroha,88417.0,336604.0,3.81,2018 - 2019,2018,2019
52,Uttar Pradesh,Auraiya,101049.0,417939.0,4.14,2018 - 2019,2018,2019
53,Uttar Pradesh,Azamgarh,230824.0,852201.0,3.69,2018 - 2019,2018,2019
54,Uttar Pradesh,Baghpat,54904.0,250307.0,4.56,2018 - 2019,2018,2019
55,Uttar Pradesh,Bahraich,160300.0,608016.0,3.79,2018 - 2019,2018,2019
56,Uttar Pradesh,Ballia,136836.0,525720.0,3.84,2018 - 2019,2018,2019
57,Uttar Pradesh,Balrampur,85602.0,299949.0,3.5,2018 - 2019,2018,2019
58,Uttar Pradesh,Banda,159768.0,489299.0,3.06,2018 - 2019,2018,2019
59,Uttar Pradesh,Barabanki,162367.0,641351.0,3.95,2018 - 2019,2018,2019
60,Uttar Pradesh,Bareilly,198541.0,776097.0,3.91,2018 - 2019,2018,2019
61,Uttar Pradesh,Basti,119476.0,449349.0,3.76,2018 - 2019,2018,2019
62,Uttar Pradesh,Bijnor,148627.0,557500.0,3.75,2018 - 2019,2018,2019
63,Uttar Pradesh,Budaun,226358.0,880759.0,3.89,2018 - 2019,2018,2019
64,Uttar Pradesh,Bulandshahr,201066.0,910427.0,4.53,2018 - 2019,2018,2019
65,Uttar Pradesh,Chandauli,101842.0,381704.0,3.75,2018 - 2019,2018,2019
66,Uttar Pradesh,Chitrakoot,49808.0,135073.0,2.71,2018 - 2019,2018,2019
