district_id,state_name,district_name,season_label,season_start_year,season_end_year,area_ha,production_tonnes,yield_ton_per_ha,yield_kg_per_ha,crop,season,source,source_file
IND013003,Haryana,Charkhi Dadri,2020 - 2021,2020,2021,5090.0,25390.0,4.99,4990.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013003,Haryana,Charkhi Dadri,2021 - 2022,2021,2022,33188.0,136870.0,4.12,4120.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013003,Haryana,Charkhi Dadri,2022 - 2023,2022,2023,37690.0,137940.0,3.66,3660.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013004,Haryana,Faridabad,2017 - 2018,2017,2018,30000.0,133600.0,4.45,4450.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013004,Haryana,Faridabad,2018 - 2019,2018,2019,29600.0,152000.0,5.14,5140.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013004,Haryana,Faridabad,2019 - 2020,2019,2020,30700.0,128800.0,4.2,4200.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013004,Haryana,Faridabad,2020 - 2021,2020,2021,30660.0,103320.0,3.37,3370.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013004,Haryana,Faridabad,2021 - 2022,2021,2022,28646.0,112180.0,3.92,3920.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013004,Haryana,Faridabad,2022 - 2023,2022,2023,28440.0,117700.0,4.14,4140.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013005,Haryana,Fatehabad,2017 - 2018,2017,2018,188200.0,1013200.0,5.38,5380.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013005,Haryana,Fatehabad,2018 - 2019,2018,2019,187200.0,1008000.0,5.38,5380.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013005,Haryana,Fatehabad,2019 - 2020,2019,2020,191900.0,931500.0,4.85,4850.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013005,Haryana,Fatehabad,2020 - 2021,2020,2021,189790.0,955970.0,5.04,5040.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013005,Haryana,Fatehabad,2021 - 2022,2021,2022,184207.0,859330.0,4.67,4670.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013005,Haryana,Fatehabad,2022 - 2023,2022,2023,182260.0,936570.0,5.14,5140.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013006,Haryana,Gurgaon,2017 - 2018,2017,2018,43000.0,211000.0,4.91,4910.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013006,Haryana,Gurgaon,2018 - 2019,2018,2019,43000.0,213000.0,4.95,4950.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013006,Haryana,Gurgaon,2019 - 2020,2019,2020,40600.0,205600.0,5.06,5060.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013006,Haryana,Gurgaon,2020 - 2021,2020,2021,41830.0,198320.0,4.74,4740.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013006,Haryana,Gurgaon,2021 - 2022,2021,2022,36086.0,168630.0,4.67,4670.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013006,Haryana,Gurgaon,2022 - 2023,2022,2023,33640.0,151340.0,4.5,4500.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013007,Haryana,Hissar,2017 - 2018,2017,2018,223900.0,1100400.0,4.91,4910.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
