variant,branch,rows,mean_transition_rmse,mean_transition_mae,mean_persistence_rmse
modis_pretrained,full,1904,0.04162521024348073,0.028007877162244843,0.08762287409162196
modis_pretrained,no_future,1904,0.04267901323340489,0.028954562093248638,0.08762287409162196
scratch,full,1904,0.04179222506525762,0.027908353800709287,0.08762287409162196
scratch,no_future,1904,0.04292956853682613,0.028924268597253684,0.08762287409162196
