candidate,baseline,period,resampling_unit,draws,groups,mean_gain,median_gain,p025,p975,probability_positive
shadow_point_prediction,v5_prediction,late,state_year,10000,6,0.3815260170067442,0.4812888850227637,-2.0671572080472345,2.240591509162414,0.6864
shadow_point_prediction,v5_prediction,late,year,10000,2,0.479226393806506,0.48061839470017276,0.20489038720671715,0.7606049677443139,1.0
shadow_point_prediction,v5_prediction,four_year,state_year,10000,12,1.6732018973836025,1.5534642819560815,-0.1492701236358627,4.204129576312587,0.9626
shadow_point_prediction,v5_prediction,four_year,year,10000,4,1.6330250726340299,1.610108580986207,0.48061839470017276,2.8908820528259582,1.0
v15_regularized,v5_prediction,late,state_year,10000,6,1.4152777376726788,1.2480813421968264,-4.168169231810737,9.458257120336327,0.6447
v15_regularized,v5_prediction,late,year,10000,2,1.4023876049762085,1.4096418040858794,-2.5230804380271934,5.454977288771715,0.7483
v15_regularized,v5_prediction,four_year,state_year,10000,12,3.7847930574331725,3.6537948899522803,0.1772937461469667,8.064564100070356,0.9802
v15_regularized,v5_prediction,four_year,year,10000,4,3.7719010415269434,3.7379033997719375,-0.5703196894384632,6.6743871880610754,0.9514
v15_conservative_all_year_shadow,v5_prediction,late,state_year,10000,6,0.5638632113294979,0.6540340096457271,-2.167676349879912,2.90338430917285,0.7221
v15_conservative_all_year_shadow,v5_prediction,late,year,10000,2,0.6509741693371214,0.6540340096457271,0.00779877111051519,1.311084521093619,1.0
v15_conservative_all_year_shadow,v5_prediction,four_year,state_year,10000,12,2.0034077023865104,1.8888256779529797,0.12212619831500082,4.609551412911073,0.9822
v15_conservative_all_year_shadow,v5_prediction,four_year,year,10000,4,1.9657421551484593,1.9412381587493428,0.6540340096457271,3.4023733066122475,1.0
