candidate,hierarchy_weight,development_rmse,development_mae,development_bias,development_equal_state_rmse,development_mean_year_rmse,development_max_year_rmse,development_direction_accuracy,selection_score
xgb1__hier__none__history__extra__extra,0.25,254.9322577441338,187.74194703743478,-8.497051547658609,266.0237667888359,254.07939716610463,274.9148471067785,0.7941176470588235,257.49191986080206
xgb1__hier__none__history__extra__extra,0.275,254.95452106297606,187.99853018435533,-8.568352223340915,265.9898584290858,254.1096771508952,274.8480422918436,0.7899159663865546,257.50214442648326
xgb1__hier__none__history__extra__extra,0.225,254.95176357661532,187.4853638905143,-8.425750871976172,266.0914891906475,254.09083342374657,275.0252577256528,0.7899159663865546,257.5214624419062
xgb1__hier__scratch__history__extra__extra,0.25,254.95399402068648,187.8024805269687,-8.559354842220955,266.10376469297205,254.1033551812273,274.9125827676435,0.7941176470588235,257.52877697889306
xgb1__hier__scratch__history__extra__extra,0.275,254.9763039205408,188.06160285763107,-8.636885847359514,266.0754240310151,254.13369072427452,274.84559068151594,0.7899159663865546,257.5404306490928
xgb1__hier__modis_pretrained__history__extra__extra,0.25,254.96838877721223,187.8145106679558,-9.044709764118341,266.1122689337494,254.1193211362689,274.90994163902184,0.7941176470588235,257.54209190611067
xgb1__hier__none__history__extra__extra,0.3,255.01854259370316,188.26783468839162,-8.639652899023456,265.9897770432332,254.1816566973667,274.82487508012935,0.7899159663865546,257.55212973200156
xgb1__hier__scratch__history__extra__extra,0.225,254.9730633669854,187.54335819630631,-8.481823837082278,266.1654673948673,254.11430852414946,275.0231881220171,0.7899159663865546,257.5564756632469
xgb1__hier__modis_pretrained__history__extra__extra,0.275,254.99374536384752,188.07835017792846,-9.170776261446639,266.08588144612474,254.15296428649663,274.84308074507373,0.7899159663865546,257.5565841150791
xgb1__hier__modis_pretrained__history__extra__extra,0.225,254.98470151544157,187.5506711579832,-8.918643266789902,266.17221829808744,254.12727445897488,275.02048826086934,0.7899159663865546,257.56722394698636
xgb1__hier__none__history__extra__extra,0.2,255.01302897570955,187.2990286387655,-8.354450196293717,266.19299982653865,254.143982113638,275.1792216603826,0.7899159663865546,257.5907599728989
xgb1__hier__scratch__history__extra__extra,0.3,255.03998220746507,188.33527675118796,-8.714416852498305,266.0804560693321,254.20529915745146,274.82224375782107,0.7857142857142857,257.5914299104284
xgb1__hier__modis_pretrained__history__extra__extra,0.3,255.0607588478165,188.35610793401924,-9.296842758775128,266.0930658198435,254.2281858262731,274.81993746390583,0.7857142857142857,257.6106923354374
xgb1__hier__scratch__history__extra__extra,0.2,255.03350267741996,187.35916172355303,-8.404292831943586,266.2605089429355,254.1665466927413,275.17735415461993,0.7899159663865546,257.6235152476292
xgb1__hier__modis_pretrained__history__extra__extra,0.2,255.0426755829232,187.36152010418368,-8.792576769461492,266.26570686990596,254.17682198174774,275.1746679606843,0.7899159663865546,257.63197000437503
xgb1__hier__none__history__extra__extra,0.325,255.1242908995851,188.57460333173213,-8.710953574705357,266.0235226623244,254.29529867912873,274.8453565065129,0.7857142857142857,257.64185078515584
xgb1__hier__scratch__history__extra__extra,0.325,255.14499790768483,188.638082039235,-8.791947857636393,266.1188589147908,254.3181444705442,274.8425531190755,0.7857142857142857,257.68174980017614
xgb1__hier__none__history__extra__extra,0.175,255.11602385608919,187.20006055035645,-8.283149520611856,266.3282600615007,254.2388189395288,275.376665858602,0.7941176470588235,257.699781678302
xgb1__hier__modis_pretrained__history__extra__extra,0.325,255.16939640887873,188.6573275388989,-9.42290925610298,266.1338193360541,254.34494736401632,274.840522839403,0.7857142857142857,257.7043898794569
xgb1__hier__modis_pretrained__history__extra__zero,0.225,255.0446370960374,187.08617718142713,-5.224733332673286,266.60639840944856,254.15345703555099,275.4557383295286,0.7941176470588235,257.7122824092686
xgb1__hier__none__history__extra__zero,0.225,255.0446370960374,187.08617718142713,-5.224733332673286,266.60639840944856,254.15345703555099,275.4557383295286,0.7941176470588235,257.7122824092686
xgb1__hier__scratch__history__extra__zero,0.225,255.0446370960374,187.08617718142713,-5.224733332673286,266.60639840944856,254.15345703555099,275.4557383295286,0.7941176470588235,257.7122824092686
xgb1__hier__modis_pretrained__history__extra__zero,0.25,255.04988205785617,187.2466565240642,-4.940365392877641,266.64003919133967,254.16169619014664,275.4284431786716,0.7983193277310925,257.72537487429963
xgb1__hier__none__history__extra__zero,0.25,255.04988205785617,187.2466565240642,-4.940365392877641,266.64003919133967,254.16169619014664,275.4284431786716,0.7983193277310925,257.72537487429963
xgb1__hier__scratch__history__extra__zero,0.25,255.04988205785617,187.2466565240642,-4.940365392877641,266.64003919133967,254.16169619014664,275.4284431786716,0.7983193277310925,257.72537487429963
xgb1__hier__scratch__history__extra__xgb2,0.225,255.05535211330272,187.1615091673076,-6.078946902801731,266.64010242629377,254.16234451077526,275.4868673524902,0.7941176470588235,257.7282877909186
xgb1__hier__scratch__history__extra__extra,0.175,255.135282551447,187.2570697060599,-8.326761826805498,266.38885365352894,254.2600455773163,275.37500770438976,0.7941176470588235,257.7298660834348
xgb1__hier__modis_pretrained__history__extra__xgb2,0.225,255.05945113126043,187.1662644471371,-6.052896096039861,266.6459046085432,254.16653876990398,275.4900980672331,0.7941176470588235,257.73283641024204
xgb1__hier__scratch__history__extra__xgb2,0.25,255.05458681348125,187.336011728668,-5.889491581909271,266.66675238311797,254.1645878622527,275.4531888357049,0.7941176470588235,257.7351284680833
