period,candidate,rmse,mae,bias,direction_accuracy
development,learned_meta__extra,380.0164242801837,292.70044641777315,189.15212085203677,0.5084033613445378
development,learned_meta__ridge10,425.3726617169456,361.28288639075316,-194.39019551426,0.5798319327731093
development,learned_meta__ridge100,371.47515207431553,307.2778624074841,-115.52828406509951,0.6470588235294118
development,learned_meta__ridge1000,292.05503647536125,220.60649157004158,8.197243307559983,0.7016806722689075
development,learned_meta__xgb1,387.6250173999438,301.3405571625012,223.59588716010072,0.453781512605042
development,control__weighted3,296.8968959196488,223.87815126050435,34.60504201680658,0.7310924369747899
development,control__xgb1,322.187391588637,254.08115111278886,-129.59886669511553,0.7310924369747899
development,control__extra,325.7531577977174,259.8786363069887,-146.74827759807533,0.7142857142857143
late,learned_meta__extra,404.14824513405676,285.5739997810469,200.2315104106463,0.5672268907563025
late,learned_meta__ridge10,475.8053746469313,377.56311187466565,-56.30002678246579,0.542016806722689
late,learned_meta__ridge100,439.8733429723567,317.695069808912,125.12831570162837,0.6092436974789915
late,learned_meta__ridge1000,404.253035927433,280.07568388551726,175.23774260980494,0.592436974789916
late,learned_meta__xgb1,448.70486125569056,321.1398628842675,248.42147008739033,0.5378151260504201
late,control__weighted3,365.6750882547128,263.38476482540955,91.5242757138829,0.6050420168067226
late,control__xgb1,361.905517888368,271.6756096489159,148.4437262389849,0.6260504201680672
late,control__extra,369.41152716386847,267.32377380523803,115.02858881603136,0.6302521008403361
four_year,learned_meta__extra,392.26794845337173,289.13722309941,194.69181563134154,0.5378151260504201
four_year,learned_meta__ridge10,451.294059277909,369.4229991327094,-125.3451111483629,0.5609243697478992
four_year,learned_meta__ridge100,407.11321918252196,312.4864661081981,4.800015818264421,0.6281512605042017
four_year,learned_meta__ridge1000,352.644765583704,250.3410877277794,91.71749295868246,0.6470588235294118
four_year,learned_meta__xgb1,419.27867023543854,311.24021002338435,236.00867862374554,0.4957983193277311
four_year,control__weighted3,333.06608726858906,243.631458042957,63.06465886534475,0.6680672268907563
four_year,control__xgb1,342.62247385186043,262.8783803808524,9.422429771934675,0.6785714285714286
four_year,control__extra,348.2671361302456,263.6012050561134,-15.859844391022017,0.6722689075630253
