distribution_candidate,center,center_label,scale,period,coverage_80,coverage_90,width_80,width_90,interval_score_80,interval_score_90,mean_pinball,quantile_calibration_mae,selection_score
V5__scale_0.75,production_point_prediction,V5,0.75,development,0.7058823529411765,0.8487394957983193,480.6816574776274,687.3759625585351,951.0885836935441,1202.6169582020466,72.63035536373229,0.029632905793896512,72.6428553637323
V5__scale_0.80,production_point_prediction,V5,0.8,development,0.726890756302521,0.8697478991596639,512.7271013094693,733.2010267291041,941.5638742068807,1188.1751445168345,72.45402038757186,0.023662096417514378,72.46402038757186
V5__scale_0.85,production_point_prediction,V5,0.85,development,0.7436974789915967,0.8865546218487395,544.7725451413112,779.0260908996734,934.8574498443699,1184.5530513187382,72.3774811645494,0.019460415745245464,72.38498116454939
V5__scale_0.90,production_point_prediction,V5,0.9,development,0.7647058823529411,0.8991596638655462,576.817988973153,824.8511550702422,930.6241537355434,1187.7872916082822,72.39470933037029,0.020300751879699257,72.39970933037029
V5__scale_0.95,production_point_prediction,V5,0.95,development,0.7899159663865546,0.9159663865546218,608.8634328049948,870.6762192408112,929.2323677439628,1198.025100857401,72.4910980654947,0.02277753206545775,72.4935980654947
V5__scale_1.00,production_point_prediction,V5,1.0,development,0.8109243697478992,0.9411764705882353,640.9088766368367,916.5012834113802,932.3494053804816,1215.8696014095892,72.67343169361985,0.025386996904024774,72.67343169361985
V5__scale_1.05,production_point_prediction,V5,1.05,development,0.8235294117647058,0.9453781512605042,672.9543204686785,962.3263475819493,937.4926569023595,1240.5186859661735,72.92745278696825,0.02848297213622292,72.92995278696824
V5__scale_1.10,production_point_prediction,V5,1.1,development,0.8361344537815126,0.9453781512605042,704.9997643005204,1008.1514117525184,945.0276919019605,1266.663688554032,73.23991307402851,0.033524988942945616,73.2449130740285
V5__scale_1.15,production_point_prediction,V5,1.15,development,0.8571428571428571,0.9453781512605042,737.0452081323621,1053.9764759230873,954.6249512477223,1292.8086911418907,73.60234443964706,0.039053516143299424,73.60984443964705
V5__scale_1.20,production_point_prediction,V5,1.2,development,0.8781512605042017,0.9537815126050421,769.090651964204,1099.8015400936563,967.6290082419578,1321.7062138101257,74.03467354410661,0.046660769570986284,74.04467354410662
V5__scale_1.25,production_point_prediction,V5,1.25,development,0.9033613445378151,0.9537815126050421,801.1360957960458,1145.6266042642255,986.0247475512325,1350.8038355226638,74.53085669568928,0.05263157894736841,74.54335669568928
V5__scale_1.30,production_point_prediction,V5,1.3,development,0.907563025210084,0.9537815126050421,833.1815396278877,1191.4516684347946,1005.4323384802453,1379.9014572352014,75.06876378650546,0.05639097744360902,75.08376378650546
V5__scale_1.35,production_point_prediction,V5,1.35,development,0.9159663865546218,0.9621848739495799,865.2269834597297,1237.2767326053631,1025.7684441212532,1410.5338111162366,75.64874043940367,0.06280406899601947,75.66624043940367
V5__scale_1.40,production_point_prediction,V5,1.4,development,0.9285714285714286,0.9705882352941176,897.2724272915711,1283.1017967759321,1048.0684015524844,1444.087745432055,76.28492911705108,0.06899601946041575,76.30492911705107
V5__scale_1.45,production_point_prediction,V5,1.45,development,0.9411764705882353,0.9747899159663865,929.3178711234132,1328.9268609465014,1072.4593220989277,1480.4990658277122,76.97171329953363,0.07297655904467051,76.99421329953363
V5__scale_1.50,production_point_prediction,V5,1.5,development,0.9411764705882353,0.9747899159663865,961.3633149552551,1374.7519251170702,1097.0389596622144,1517.685270419587,77.69302255181739,0.0787262273330385,77.7180225518174
V14_shadow__scale_0.75,shadow_point_prediction,V14_shadow,0.75,development,0.7184873949579832,0.8277310924369747,480.68165747762754,687.3759625585352,954.3970846666556,1224.0914136936635,71.66303717156659,0.029677134011499337,71.67553717156659
V14_shadow__scale_0.80,shadow_point_prediction,V14_shadow,0.8,development,0.7478991596638656,0.865546218487395,512.7271013094694,733.2010267291041,948.0142714397281,1213.0164653551403,71.56757556945591,0.026094648385670056,71.57757556945592
V14_shadow__scale_0.85,shadow_point_prediction,V14_shadow,0.85,development,0.7521008403361344,0.8865546218487395,544.7725451413112,779.0260908996734,944.9437135709063,1209.4697844703292,71.56113169213582,0.02653693056169838,71.56863169213581
V14_shadow__scale_0.90,shadow_point_prediction,V14_shadow,0.9,development,0.7605042016806722,0.9033613445378151,576.817988973153,824.8511550702422,942.5983955133878,1213.897493573725,71.63201495192935,0.028084918177797447,71.63701495192934
V14_shadow__scale_0.95,shadow_point_prediction,V14_shadow,0.95,development,0.7815126050420168,0.9201680672268907,608.8634328049947,870.6762192408112,942.953414338198,1224.8284091732999,71.78854799015619,0.027023440955329502,71.79104799015619
V14_shadow__scale_1.00,shadow_point_prediction,V14_shadow,1.0,development,0.8025210084033614,0.9285714285714286,640.9088766368367,916.5012834113802,946.5981409055265,1240.506176317534,72.01914330772416,0.029411764705882353,72.01914330772416
V14_shadow__scale_1.05,shadow_point_prediction,V14_shadow,1.05,development,0.8109243697478992,0.9369747899159664,672.9543204686786,962.3263475819493,952.2088530538604,1261.8561352793424,72.31974161625392,0.03383458646616541,72.32224161625392
V14_shadow__scale_1.10,shadow_point_prediction,V14_shadow,1.1,development,0.8403361344537815,0.9453781512605042,704.9997643005204,1008.1514117525184,960.8968865013725,1285.9639556426791,72.67752289333038,0.03737284387439186,72.68252289333037
V14_shadow__scale_1.15,shadow_point_prediction,V14_shadow,1.15,development,0.8571428571428571,0.9453781512605042,737.0452081323622,1053.9764759230873,973.2812210843693,1312.1089582305376,73.10379843616575,0.04245908889871739,73.11129843616574
V14_shadow__scale_1.20,shadow_point_prediction,V14_shadow,1.2,development,0.8697478991596639,0.9495798319327731,769.090651964204,1099.801540093656,987.219262098682,1339.9158395576028,73.58123431067148,0.04754533392304291,73.59123431067148
V14_shadow__scale_1.25,shadow_point_prediction,V14_shadow,1.25,development,0.8907563025210085,0.9537815126050421,801.1360957960458,1145.6266042642255,1003.060824940799,1367.8772872941195,74.11222739759172,0.054179566563467486,74.12472739759173
V14_shadow__scale_1.30,shadow_point_prediction,V14_shadow,1.3,development,0.9033613445378151,0.957983193277311,833.1815396278877,1191.4516684347946,1020.8464015322469,1397.8463135804666,74.69155230151135,0.05970809376382133,74.70655230151135
V14_shadow__scale_1.35,shadow_point_prediction,V14_shadow,1.35,development,0.9117647058823529,0.957983193277311,865.2269834597297,1237.2767326053636,1040.3064507440024,1428.741361297893,75.31090485327147,0.06457319770013269,75.32840485327146
V14_shadow__scale_1.40,shadow_point_prediction,V14_shadow,1.4,development,0.9201680672268907,0.957983193277311,897.2724272915711,1283.1017967759321,1060.9165818292636,1459.6364090153195,75.97039452315111,0.06921716054842988,75.99039452315111
V14_shadow__scale_1.45,shadow_point_prediction,V14_shadow,1.45,development,0.9327731092436975,0.9663865546218487,929.3178711234132,1328.9268609465014,1083.312814621412,1491.2367643709401,76.67469032944958,0.07540911101282617,76.69719032944957
V14_shadow__scale_1.50,shadow_point_prediction,V14_shadow,1.5,development,0.9369747899159664,0.9663865546218487,961.363314955255,1374.7519251170702,1107.356541535749,1525.4744893959166,77.42673102608161,0.08027421494913756,77.45173102608162
V15_frontier__scale_0.75,v15_point_prediction,V15_frontier,0.75,development,0.7184873949579832,0.8571428571428571,480.68165747762754,687.3759625585352,941.3603459714536,1210.097119847717,70.66158906721786,0.030429013710747455,70.67408906721786
V15_frontier__scale_0.80,v15_point_prediction,V15_frontier,0.8,development,0.726890756302521,0.8781512605042017,512.7271013094694,733.2010267291041,934.181582142611,1206.1237915030997,70.59840666560402,0.03051747014595312,70.60840666560402
