distribution_candidate,center,center_label,scale,period,coverage_80,coverage_90,width_80,width_90,interval_score_80,interval_score_90,mean_pinball,quantile_calibration_mae,selection_score
V15_frontier__scale_0.85,v15_point_prediction,V15_frontier,0.85,development,0.7478991596638656,0.8823529411764706,544.7725451413112,779.0260908996734,929.5762269959432,1205.9232219708558,70.61414012395167,0.0306059265811588,70.62164012395166
V15_frontier__scale_0.90,v15_point_prediction,V15_frontier,0.9,development,0.773109243697479,0.8949579831932774,576.817988973153,824.8511550702422,929.1021938557236,1209.0049794892236,70.71927326478654,0.030605926581158793,70.72427326478653
V15_frontier__scale_0.95,v15_point_prediction,V15_frontier,0.95,development,0.7857142857142857,0.9159663865546218,608.8634328049947,870.6762192408112,931.1683969736395,1217.9396979033402,70.89283739031926,0.03140203449800974,70.89533739031926
V15_frontier__scale_1.00,v15_point_prediction,V15_frontier,1.0,development,0.819327731092437,0.9327731092436975,640.9088766368367,916.5012834113802,936.310467583488,1235.0038456976058,71.14143489521267,0.03383458646616541,71.14143489521267
V15_frontier__scale_1.05,v15_point_prediction,V15_frontier,1.05,development,0.8445378151260504,0.9411764705882353,672.9543204686786,962.3263475819493,945.8529226164798,1257.3389799208783,71.48405807965214,0.03754975674480319,71.48655807965214
V15_frontier__scale_1.10,v15_point_prediction,V15_frontier,1.1,development,0.8571428571428571,0.9411764705882353,704.9997643005204,1008.1514117525184,957.1278921242822,1281.8866882343234,71.88621569261623,0.04038036267138436,71.89121569261623
V15_frontier__scale_1.15,v15_point_prediction,V15_frontier,1.15,development,0.8613445378151261,0.9453781512605042,737.0452081323622,1053.9764759230873,969.9810302042077,1307.4936682058362,72.33857302124669,0.045466607695709864,72.34607302124668
V15_frontier__scale_1.20,v15_point_prediction,V15_frontier,1.2,development,0.8739495798319328,0.9537815126050421,769.090651964204,1099.801540093656,984.3070250447355,1335.071305406457,72.84078969013966,0.050641309155241045,72.85078969013966
V15_frontier__scale_1.25,v15_point_prediction,V15_frontier,1.25,development,0.8907563025210085,0.9537815126050421,801.1360957960458,1145.6266042642255,1000.6268712630165,1364.1689271189946,73.39362917676725,0.05639097744360902,73.40612917676725
V15_frontier__scale_1.30,v15_point_prediction,V15_frontier,1.3,development,0.9159663865546218,0.957983193277311,833.1815396278877,1191.4516684347946,1020.4692862127749,1394.241485571382,73.99644598270207,0.062140645731976994,74.01144598270207
V15_frontier__scale_1.35,v15_point_prediction,V15_frontier,1.35,development,0.9201680672268907,0.9621848739495799,865.2269834597297,1237.2767326053636,1041.676599897909,1426.2252845134572,74.64552907640905,0.06656346749226005,74.66302907640905
V15_frontier__scale_1.40,v15_point_prediction,V15_frontier,1.4,development,0.9201680672268907,0.9621848739495799,897.2724272915711,1283.1017967759321,1063.525882827409,1458.6916870251375,75.32827136070456,0.07054400707651483,75.34827136070456
V15_frontier__scale_1.45,v15_point_prediction,V15_frontier,1.45,development,0.9285714285714286,0.9663865546218487,929.3178711234132,1328.9268609465014,1086.045361831022,1491.9584399956468,76.05093788507607,0.07607253427686864,76.07343788507606
V15_frontier__scale_1.50,v15_point_prediction,V15_frontier,1.5,development,0.9285714285714286,0.9663865546218487,961.363314955255,1374.7519251170702,1109.0601559545553,1525.9776580564353,76.80239267332671,0.08005307386112341,76.82739267332671
