train_end,excluded_group,variant,seed,modis_rows,modis_epochs,modis_final_loss,sentinel_rows,sentinel_epochs,sentinel_final_loss,parameters,device
2018,-1,scratch,42,0,0,,476,45,0.4386446252465248,67359,mps
2018,-1,scratch,73,0,0,,476,45,0.4317249655723572,67359,mps
2018,0,scratch,42,0,0,,320,45,0.4679001172383626,67359,mps
2018,0,scratch,73,0,0,,320,45,0.4710528353850047,67359,mps
2018,1,scratch,42,0,0,,320,45,0.4572271207968394,67359,mps
2018,1,scratch,73,0,0,,320,45,0.45565322041511536,67359,mps
2018,2,scratch,42,0,0,,312,45,0.47835977872212726,67359,mps
2018,2,scratch,73,0,0,,312,45,0.48220356305440265,67359,mps
2018,-1,modis_pretrained,42,4522,24,0.07546803024080065,476,45,0.4402051419019699,67359,mps
2018,-1,modis_pretrained,73,4522,24,0.07324201199743482,476,45,0.440875381231308,67359,mps
2018,0,modis_pretrained,42,3040,24,0.08247366920113564,320,45,0.47062451640764874,67359,mps
2018,0,modis_pretrained,73,3040,24,0.08257101103663445,320,45,0.47830890615781146,67359,mps
2018,1,modis_pretrained,42,3040,24,0.07712948322296143,320,45,0.45814873774846393,67359,mps
2018,1,modis_pretrained,73,3040,24,0.07802590231100719,320,45,0.46924544374148053,67359,mps
2018,2,modis_pretrained,42,2964,24,0.08568886667490005,312,45,0.48443328340848285,67359,mps
2018,2,modis_pretrained,73,2964,24,0.08261474221944809,312,45,0.4876737892627716,67359,mps
2019,-1,scratch,42,0,0,,714,45,0.39206139743328094,67359,mps
2019,-1,scratch,73,0,0,,714,45,0.3899941047032674,67359,mps
2019,0,scratch,42,0,0,,480,45,0.4415650889277458,67359,mps
2019,0,scratch,73,0,0,,480,45,0.4415825456380844,67359,mps
2019,1,scratch,42,0,0,,480,45,0.42380698025226593,67359,mps
2019,1,scratch,73,0,0,,480,45,0.42679066956043243,67359,mps
2019,2,scratch,42,0,0,,468,45,0.4419277310371399,67359,mps
2019,2,scratch,73,0,0,,468,45,0.4390128627419472,67359,mps
2019,-1,modis_pretrained,42,4760,24,0.07877588428949055,714,45,0.39210667212804157,67359,mps
2019,-1,modis_pretrained,73,4760,24,0.07584786689595173,714,45,0.3885905643304189,67359,mps
2019,0,modis_pretrained,42,3200,24,0.08774443257313508,480,45,0.44363197684288025,67359,mps
2019,0,modis_pretrained,73,3200,24,0.08592434399403058,480,45,0.44148048758506775,67359,mps
2019,1,modis_pretrained,42,3200,24,0.08272226269428547,480,45,0.4249037355184555,67359,mps
2019,1,modis_pretrained,73,3200,24,0.08205580482116112,480,45,0.4360712915658951,67359,mps
2019,2,modis_pretrained,42,3120,24,0.08801852395901313,468,45,0.44468533992767334,67359,mps
2019,2,modis_pretrained,73,3120,24,0.08534286486414763,468,45,0.44249140471220016,67359,mps
2020,-1,scratch,42,0,0,,952,45,0.36322643235325813,67359,mps
2020,-1,scratch,73,0,0,,952,45,0.36530855670571327,67359,mps
2020,0,scratch,42,0,0,,640,45,0.3872487545013428,67359,mps
2020,0,scratch,73,0,0,,640,45,0.4014890670776367,67359,mps
2020,1,scratch,42,0,0,,640,45,0.3945976674556732,67359,mps
2020,1,scratch,73,0,0,,640,45,0.404238885641098,67359,mps
2020,2,scratch,42,0,0,,624,45,0.4103430211544037,67359,mps
2020,2,scratch,73,0,0,,624,45,0.4140424966812134,67359,mps
2020,-1,modis_pretrained,42,4998,24,0.07714142836630344,952,45,0.3620709143579006,67359,mps
2020,-1,modis_pretrained,73,4998,24,0.07598827965557575,952,45,0.35882673412561417,67359,mps
2020,0,modis_pretrained,42,3360,24,0.08312520597662244,640,45,0.3876164793968201,67359,mps
2020,0,modis_pretrained,73,3360,24,0.08736862721187728,640,45,0.3933788061141968,67359,mps
2020,1,modis_pretrained,42,3360,24,0.08223696478775569,640,45,0.40223159790039065,67359,mps
2020,1,modis_pretrained,73,3360,24,0.08607824146747589,640,45,0.3983768939971924,67359,mps
2020,2,modis_pretrained,42,3276,24,0.08281562190789443,624,45,0.4108078956604004,67359,mps
2020,2,modis_pretrained,73,3276,24,0.08574150961179,624,45,0.41826565861701964,67359,mps
