test_year,normal_candidate,selection_year_min,selection_year_max,selection_years,selection_score,rmse,mae,bias,equal_state_rmse,mean_year_rmse,max_year_rmse,direction_accuracy
2013,ridge10,2010,2012,3,441.6661087449692,421.67126057316597,336.99872252976763,-138.94652793987083,502.3035613930617,421.01835244048317,445.91883366863624,0.6582633053221288
2013,ewma20,2010,2012,3,,,,,520.069118807045,,,0.6050420168067226
2013,mean10,2010,2012,3,,,,,592.1263811701243,,,0.6106442577030813
2013,trend20,2010,2012,3,,,,,437.3722671633853,,,0.6498599439775911
2013,weighted3,2010,2012,3,,,,,430.90844582934415,,,0.6330532212885154
2014,ridge1000,2010,2013,4,368.0544762671424,357.85648361370295,282.04233284369855,-96.0334128888752,401.33137706916824,355.1735607719953,418.9820852855818,0.6848739495798319
2014,extra,2010,2013,4,389.7419401941544,376.310299567471,297.4115533112699,-119.78557882628868,436.06122205100047,370.2859395906752,477.85808646627794,0.6239495798319328
2014,ridge100,2010,2013,4,394.4885605307706,381.917007101515,300.5347639415574,-66.22984405946282,434.34314066809316,379.77708725195924,421.66679212604066,0.657563025210084
2014,xgb2,2010,2013,4,395.4388207473543,382.40892533216316,295.3212864979976,-144.07633087414652,446.26598762248574,370.67144470260513,516.0873725595495,0.6218487394957983
2014,ridge10,2010,2013,4,407.6563193497381,393.4058266314571,305.90043723129213,-79.52762302231046,454.88368689674564,388.92993723929266,445.91883366863624,0.6659663865546218
2014,xgb1,2010,2013,4,431.44002424270496,415.1894122578904,319.1038928632977,-198.97117884018843,495.6843763729494,399.6968960820898,569.8201982471719,0.6260504201680672
2014,ewma20,2010,2013,4,,,,,487.763571016615,,,0.5756302521008403
2014,mean10,2010,2013,4,,,,,570.5755300908168,,,0.5567226890756303
2014,trend20,2010,2013,4,,,,,410.3300200629648,,,0.6428571428571429
2014,weighted3,2010,2013,4,,,,,392.3108605144951,,,0.6554621848739496
2015,ridge10,2010,2014,5,587.1476508445202,606.2541365427363,446.7784984383533,138.43605023547124,604.1536153867689,531.9287149058391,1103.9238255720247,0.6436974789915967
2015,ridge1000,2010,2014,5,587.3437296889905,615.7959657766951,443.0980150382674,140.63741845220844,598.375925187857,519.4070620147149,1176.3410669855937,0.6352941176470588
2015,xgb2,2010,2014,5,594.867790026303,624.8535628014888,446.4314502363445,92.29075425091912,599.3667897951773,530.3972447070576,1169.3004447248668,0.5764705882352941
2015,extra,2010,2014,5,598.0486530287695,623.3746604300025,454.38055378253205,120.62284807248527,614.5642802634408,530.8810109916325,1173.2612965954618,0.5798319327731093
2015,ridge100,2010,2014,5,601.8842368151559,626.4168764629184,457.1686638215279,163.7569774207117,616.0583472841004,538.6448470506865,1174.1158862455957,0.6084033613445378
2015,xgb1,2010,2014,5,610.1171994201852,635.4275632308947,460.4254359654018,40.503681189272584,619.2645718214316,550.3490993975199,1152.957912659241,0.584873949579832
2015,ewma20,2010,2014,5,,,,,571.8269499349486,,,0.6352941176470588
2015,mean10,2010,2014,5,,,,,604.4942519918825,,,0.6319327731092437
2015,trend20,2010,2014,5,,,,,564.8417184675045,,,0.6403361344537815
2015,weighted3,2010,2014,5,,,,,566.7602553503788,,,0.6302521008403361
2016,ewma20,2011,2015,5,553.9091280909668,570.6712054871191,442.61437639783475,-30.734094590946963,557.0499980992621,517.2441032903669,948.729927168544,0.6201680672268908
2016,weighted3,2011,2015,5,567.8810874721213,595.4606094435018,428.7048462727252,92.65609650172414,573.6593902107995,506.9437407906821,1113.2445134105335,0.6100840336134454
2016,trend20,2011,2015,5,570.794126174722,592.5762182901752,443.75763903227715,98.54898604663668,575.2277203586837,522.7963477598538,1062.8016762203033,0.6201680672268908
2016,mean10,2011,2015,5,580.1368091871545,587.9589327228479,482.8120279230013,-125.44768461463691,585.7273669341001,558.9020043688226,841.9962898282886,0.6168067226890757
2016,ridge1000,2011,2015,5,594.548971679451,622.4441968233948,445.96557387177023,158.00163585467868,603.0308987393928,530.2765943316218,1176.3410669855937,0.6168067226890757
2016,extra,2011,2015,5,617.7221535726644,643.5077807632929,472.05503583035625,130.75487435970484,622.9372229582301,560.9358298058416,1173.2612965954618,0.5512605042016807
2016,ridge100,2011,2015,5,629.2214846445444,651.8787436385713,486.0314237581903,142.49015406763937,639.121162524333,574.0072887767018,1174.1158862455957,0.5714285714285714
2016,xgb2,2011,2015,5,667.1991873134983,693.5623045772445,524.050787815126,14.765948742778361,669.5283345310713,612.143805568433,1169.3004447248668,0.492436974789916
2016,ridge10,2011,2015,5,672.6507179685739,691.2193336014493,530.9381166742955,54.21421311017476,686.4652938164193,621.6989108549781,1103.9238255720247,0.5294117647058824
2016,xgb1,2011,2015,5,674.5939863760611,695.0845938246588,528.7300036518513,-24.90312561548057,686.8296421716301,621.3771156832968,1152.957912659241,0.5142857142857142
2017,mean10,2012,2016,5,554.1863111464003,572.0790431180412,469.3835759617433,-111.66503097270665,527.6699560902061,544.9172022593125,841.9962898282886,0.719327731092437
2017,ewma20,2012,2016,5,557.9732286497856,585.9691038283709,456.33648298433627,-44.456201177448605,529.1037586230739,530.8509483193267,948.729927168544,0.7226890756302521
2017,trend20,2012,2016,5,575.1887166425505,604.9486753866124,454.20307505983106,88.03402971187992,554.488826363482,536.3686894334951,1062.8016762203033,0.7277310924369748
2017,weighted3,2012,2016,5,635.60110970802,673.5793404663611,503.1190252066667,17.957547819883498,611.697425336171,583.5483325631865,1113.2445134105335,0.6403361344537815
2017,ridge1000,2012,2016,5,653.6554156398374,687.756174018204,519.5217780834291,82.03464154586666,637.2708582292042,601.8384562937377,1176.3410669855937,0.6134453781512605
2017,extra,2012,2016,5,667.6367927509369,700.5143077370337,536.0344784439487,66.30374671341765,647.765275878985,621.7532796506952,1173.2612965954618,0.5781512605042017
2017,ridge100,2012,2016,5,690.0592653349877,716.7362288947179,565.5707852825906,59.48656319953173,679.4039571327705,647.3606464177449,1174.1158862455957,0.5428571428571428
2017,ridge10,2012,2016,5,743.2268604688059,764.9449714781957,622.873411410632,-39.75394654992763,738.9649749123648,704.0525240064674,1103.9238255720247,0.48067226890756304
2017,xgb1,2012,2016,5,750.1703386778752,779.4685201216249,621.6098745650604,-118.58310075006565,739.7200399106172,702.024274557634,1152.957912659241,0.5058823529411764
2017,xgb2,2012,2016,5,751.8463480240962,788.8493394816755,627.267530322676,-90.192131080948,723.5174631702739,706.1692499627597,1169.3004447248668,0.4689075630252101
2018,mean10,2013,2017,5,586.3876976018443,606.7357046179396,503.94748449287135,-149.1443381790002,549.1577100344897,582.921671137008,841.9962898282886,0.6621848739495798
2018,ewma20,2013,2017,5,604.4597561471156,632.4842084615045,512.2018736780308,-109.17582264706846,562.9640801453,589.9065275201533,948.729927168544,0.6638655462184874
2018,trend20,2013,2017,5,604.7065858635381,635.0870822275049,490.07079506761636,23.271522030597133,568.8720603657503,579.7801186333925,1062.8016762203033,0.680672268907563
2018,ridge1000,2013,2017,5,648.625814520683,686.2671913613257,517.5304001913515,15.327826929883543,623.0750372373157,598.8938381227647,1176.3410669855937,0.6033613445378151
2018,weighted3,2013,2017,5,662.8724712611127,700.010661683512,546.373949579832,-75.27647058823531,622.4218398621418,629.0467218152851,1113.2445134105335,0.5798319327731093
2018,extra,2013,2017,5,680.8936663590018,715.6452531564798,563.291598696442,-44.67778667495273,645.2439306971127,647.0402284259351,1173.2612965954618,0.561344537815126
2018,ridge100,2013,2017,5,681.866568658658,713.3823360769944,561.4417091753999,33.158807909651955,659.4434977959384,641.2581046847048,1174.1158862455957,0.5831932773109244
2018,ridge10,2013,2017,5,764.8740443104494,790.4348710799186,653.147857517231,-28.066957254545418,736.6283685557714,741.9980665261892,1103.9238255720247,0.5092436974789916
2018,xgb2,2013,2017,5,787.749302261001,819.8508890036339,683.1775318818934,-192.3395021582852,743.8272432894759,767.4681877472601,1169.3004447248668,0.42857142857142855
2018,xgb1,2013,2017,5,788.0301670564518,810.8543991814573,678.5799823151917,-209.63905162650997,767.1201792397658,763.2916906231264,1152.957912659241,0.4504201680672269
2019,mean10,2014,2018,5,624.7159967001274,650.028675783512,549.501259290624,-201.53787826538607,569.9054258112075,628.9012094222784,841.9962898282886,0.6403361344537815
2019,trend20,2014,2018,5,639.6237678476348,669.0950464859645,540.3379291873289,-48.85414264520086,590.533379334304,629.7715990843064,1062.8016762203033,0.6285714285714286
2019,ewma20,2014,2018,5,648.7427328558816,677.1085866453532,570.6622909273267,-178.61455362125068,593.3257391200654,647.4280190127547,948.729927168544,0.6218487394957983
2019,ridge1000,2014,2018,5,667.4971811383193,702.7482077025303,552.8871661298961,-75.67657189555513,634.8547355904636,629.6375735577532,1176.3410669855937,0.5462184873949579
2019,weighted3,2014,2018,5,675.7009918005084,709.9938661115083,569.6873949579834,-127.38319327731102,631.4611839122647,651.3550510667524,1113.2445134105335,0.507563025210084
2019,ridge100,2014,2018,5,693.5791998035198,722.9387878491841,585.9835404221203,-60.71667767498665,668.3510844733138,660.0881390423973,1174.1158862455957,0.5394957983193277
2019,extra,2014,2018,5,695.4277130197831,727.6596315902584,593.1057194366663,-117.02112780292737,654.9091427323799,671.4824461662357,1173.2612965954618,0.507563025210084
2019,ridge10,2014,2018,5,780.094656361488,801.5639512449993,682.555928535137,-101.83978704932899,750.301456308441,766.9492666475123,1103.9238255720247,0.47058823529411764
2019,xgb2,2014,2018,5,800.74962813873,830.9628346604491,711.2562504103204,-271.9756536403624,751.6717620952193,789.4010811388025,1169.3004447248668,0.4016806722689076
2019,xgb1,2014,2018,5,805.1491007858242,825.8391702878112,713.4114696855305,-292.16345440519956,778.9811091357415,789.936953431933,1152.957912659241,0.4151260504201681
2020,ridge1000,2015,2019,5,480.5181587330765,500.0877917656416,404.6108786583704,-342.6320159371792,446.3015658628005,475.5954855382224,776.7913950961613,0.6100840336134454
2020,trend20,2015,2019,5,482.4933395264759,501.0682961505606,413.0754837357842,-273.4277852850225,434.0869668720637,493.7497989327185,579.7587490751574,0.6470588235294118
2020,weighted3,2015,2019,5,503.6251531309914,525.6456985652676,411.9857142857143,-311.47310924369765,471.13938682536605,492.06982856806434,838.5731516524179,0.5462184873949579
2020,extra,2015,2019,5,509.0610691802272,527.5835738459826,435.84164186109035,-364.8816031286477,474.7281649143573,506.3489641145864,781.9453356905454,0.5798319327731093
2020,ewma20,2015,2019,5,539.1399598126718,560.660915472763,475.71780567589195,-400.87774619034474,492.8419629323925,542.3960453727688,684.2106670533722,0.5983193277310924
2020,ridge100,2015,2019,5,552.7096080227661,568.041085692676,478.27111720858744,-381.3436127131135,526.4142442475436,548.3420164581692,788.4335803312554,0.6050420168067226
2020,mean10,2015,2019,5,556.6658869267318,577.6986359655583,492.96616312477886,-417.9146663047598,507.8177507263586,563.4485250494521,706.6149010035637,0.6067226890756302
2020,xgb2,2015,2019,5,650.3199920646899,669.3783201649175,568.359555130646,-518.1162392496061,628.2158340651192,634.3074938638057,986.214594531183,0.46554621848739497
2020,xgb1,2015,2019,5,656.7765581437044,663.9423012162151,564.9740759585084,-518.9003549271271,669.6317806901287,629.5898494522586,973.0559926188583,0.48403361344537815
2020,ridge10,2015,2019,5,699.0488493236556,714.6047386860424,615.9009372611418,-435.76990242255846,671.2321626588356,695.753757263702,857.686899426082,0.507563025210084
2021,trend20,2016,2020,5,474.5589404743069,495.1967888082918,410.5320018690821,-339.28385156615,421.7998993689023,486.0422849117417,579.7587490751574,0.5865546218487395
2021,ridge1000,2016,2020,5,475.4357623587447,497.2283549624369,406.1864137097253,-351.34842661252,435.2836723404726,472.00266716963233,776.7913950961613,0.5462184873949579
2021,extra,2016,2020,5,477.7423758354831,496.7220482497716,403.27796814992803,-347.268311861763,450.60201263774064,466.9233942046485,781.9453356905454,0.5411764705882353
2021,weighted3,2016,2020,5,481.9005367024429,506.00911615330824,388.59411764705885,-277.73529411764713,452.59955655740504,462.9843579457499,838.5731516524179,0.5142857142857142
2021,ridge100,2016,2020,5,538.1837011045757,556.6515471643871,468.62383147927466,-372.57913063276055,503.4619832091844,535.9697268803438,788.4335803312554,0.5394957983193277
2021,ewma20,2016,2020,5,551.0632969844014,573.1454371358286,498.55761252974037,-469.26993927851277,496.5625080697949,561.3998055961537,684.2106670533722,0.5260504201680672
2021,xgb2,2016,2020,5,567.0309267814614,592.1536940290891,476.92457039456406,-411.29185226825103,541.8262707963565,541.9900482713107,986.214594531183,0.4907563025210084
2021,xgb1,2016,2020,5,576.7611317700037,590.9612126992408,478.3019738461791,-420.43143895253417,584.7446196476761,540.377482033857,973.0559926188583,0.49411764705882355
2021,mean10,2016,2020,5,581.7204674123093,604.0769381923456,531.7757029532388,-509.4571315246673,519.0566654647974,599.671327799749,706.6149010035637,0.5327731092436975
2021,ridge10,2016,2020,5,642.1197484706186,662.1431857516191,565.4502673517387,-378.4649346718986,599.1911446960024,645.0014776832338,857.686899426082,0.5176470588235295
2022,weighted3,2017,2021,5,385.9391373958395,387.407081917735,297.7481946624805,-82.6097885307971,390.3899977233671,378.552388024521,512.7249168278588,0.5546218487394958
2022,extra,2017,2021,5,396.31889929510396,397.9610306284915,318.5727069768326,-159.5502307276342,396.4445886355138,392.90894728791915,486.9108988156455,0.5747899159663865
2022,ridge1000,2017,2021,5,409.3722040161723,414.0829743338927,339.23130998877605,-208.54050994303685,397.9054377698893,411.41742962701426,473.8652073830708,0.573109243697479
2022,xgb2,2017,2021,5,431.66804999877536,435.38187931146905,353.90095160510117,-171.5746425388064,429.38695322176875,426.52148815039465,560.0423200503991,0.5697478991596638
2022,xgb1,2017,2021,5,435.36983466433367,434.1078223204332,350.4674774634914,-186.724484770621,451.8904803489884,421.37321366747994,560.5113499043163,0.573109243697479
2022,trend20,2017,2021,5,472.04644418740526,478.6345194276344,386.31694134004823,-201.30204582287655,459.73695018638074,471.17978770797134,568.5800789996476,0.5260504201680672
2022,ridge100,2017,2021,5,487.2695038172153,498.4268241754337,419.5002957197372,-262.4103062271352,461.7862347621671,490.43813215582657,615.3852733244538,0.5882352941176471
2022,ewma20,2017,2021,5,507.7789421468586,522.820358018648,440.23899297090725,-343.5741271356017,473.1970497325286,512.2780028176096,651.7857250190007,0.5361344537815126
2022,mean10,2017,2021,5,565.0398577979242,583.6271670086305,501.16713237871755,-417.48452456636176,514.5231316667732,578.3819655076628,706.6149010035637,0.5411764705882353
2022,ridge10,2017,2021,5,595.2461492772709,613.0168409397293,518.0464459109286,-266.6720410621778,551.5011164273454,603.4497988022797,747.9462786529728,0.5831932773109244
