test_year,normal_candidate,selection_year_min,selection_year_max,selection_years,selection_score,rmse,mae,bias,equal_state_rmse,mean_year_rmse,max_year_rmse,direction_accuracy
2010,ridge100,-1,-1,0,,,,,,,,
2011,extra,2010,2010,1,357.37256226153954,349.1925221152768,298.26706314096697,-275.1773220056517,381.91268270032765,349.1925221152768,349.1925221152768,1.0
2011,ridge1000,2010,2010,1,358.4984229479334,351.50422325169137,295.7971681361756,-279.00775644628646,379.4810220366595,351.50422325169137,351.50422325169137,1.0
2011,xgb2,2010,2010,1,359.99848928505344,349.7039735923968,292.28386168920696,-259.78636464351365,390.8820363630235,349.7039735923968,349.7039735923968,1.0
2011,ridge100,2010,2010,1,379.89496576398267,371.79675077087734,317.9156683330449,-303.4831207173185,404.18961074329866,371.79675077087734,371.79675077087734,1.0
2011,xgb1,2010,2010,1,395.60615563792743,381.18415663974037,316.47533461626836,-289.22689793690915,438.8721526324885,381.18415663974037,381.18415663974037,1.0
2011,ridge10,2010,2010,1,399.9835566479919,389.5872562489913,333.95083076038986,-316.58418890095294,431.1724578449939,389.5872562489913,389.5872562489913,1.0
2011,ewma20,2010,2010,1,,,,,448.8678937196876,,,1.0
2011,mean10,2010,2010,1,,,,,491.4923605814296,,,1.0
2011,trend20,2010,2010,1,,,,,344.14697814712406,,,1.0
2011,weighted3,2010,2010,1,,,,,370.2094009755377,,,1.0
2012,ridge1000,2010,2011,2,399.6859744620211,386.71773088004994,319.1765763816154,-304.75489529378774,440.06528181934794,385.24315426863654,418.9820852855818,0.7478991596638656
2012,ridge100,2010,2011,2,411.40524437362683,397.5145956223793,325.7124538133589,-309.8356066462276,453.86001480128994,396.73177144845897,421.66679212604066,0.7689075630252101
2012,extra,2010,2011,2,434.9873251081484,418.4995629044556,352.1278859036423,-339.4038027542481,489.42487033290513,413.5253042907774,477.85808646627794,0.6428571428571429
2012,ridge10,2010,2011,2,435.5761152029536,418.7014667110769,340.71610759289416,-325.4078779142435,487.14848243084685,417.7530449588138,445.91883366863624,0.773109243697479
2012,xgb2,2010,2011,2,461.4801546672112,440.8168810638557,355.5225886497177,-334.9204968364299,531.3911834651601,432.89567307597315,516.0873725595495,0.6512605042016807
2012,xgb1,2010,2011,2,508.8980539825949,484.766139289656,391.6065709731158,-375.98209207999605,590.5577599076113,475.50217744345616,569.8201982471719,0.6260504201680672
2012,ewma20,2010,2011,2,,,,,597.8337413927379,,,0.5504201680672269
2012,mean10,2010,2011,2,,,,,662.3312031055912,,,0.5588235294117647
2012,trend20,2010,2011,2,,,,,483.89644491932034,,,0.634453781512605
2012,weighted3,2010,2011,2,,,,,469.45369749329876,,,0.5882352941176471
2013,ridge1000,2010,2012,3,390.5092230022499,376.36600105769486,305.1942672136603,-158.45395532705203,434.2236158258657,375.081274067744,418.9820852855818,0.6778711484593838
2013,xgb2,2010,2012,3,403.71672238603577,388.55520693645724,302.94315797608107,-200.59388643152573,464.64348324461423,373.11299242661454,516.0873725595495,0.6526610644257703
2013,extra,2010,2012,3,418.04406909338826,400.0944999131947,326.6761276291333,-172.32356161004387,476.14502204016344,395.8422545070002,477.85808646627794,0.6078431372549019
2013,ridge100,2010,2012,3,418.2049406069228,401.1234360365017,323.7540264944583,-140.73095522207123,470.00323507731474,400.56965527737293,421.66679212604066,0.6442577030812325
2013,xgb1,2010,2012,3,439.5531186541871,422.1378048767661,328.42320272835696,-255.18093863521972,512.2106567086269,401.7262081545891,569.8201982471719,0.6554621848739496
