correction_candidate,anchor,gamma,encoder_variant,base_group,depth,correction_name,rmse,mae,bias,equal_state_rmse,mean_year_rmse,max_year_rmse,direction_accuracy,selection_score
modis_pretrained__physical__d2__current_minus_base,shadow_point_prediction,1.75,modis_pretrained,physical,2,current_minus_base,250.22034896860933,182.38148159198542,1.7302502074832387,260.2670517631471,249.3678718898325,270.0049140012568,0.7941176470588235,252.51890539754956
modis_pretrained__physical__d2__current_minus_base,shadow_point_prediction,2.0,modis_pretrained,physical,2,current_minus_base,250.2492091499832,182.9193056855705,1.8971299175123901,260.4175740552317,249.41980975007834,269.7772453554474,0.7983193277310925,252.58395052631911
modis_pretrained__physical__d2__current_minus_base,shadow_point_prediction,1.5,modis_pretrained,physical,2,current_minus_base,250.3385890855224,182.11558007449167,1.5633704974540854,260.27000883989865,249.46418979273636,270.3693852327133,0.7941176470588235,252.60284420091995
modis_pretrained__physical__d2__current_minus_base,shadow_point_prediction,2.25,modis_pretrained,physical,2,current_minus_base,250.42511877203574,183.6382489532379,2.064009627541543,260.7213098914531,249.6198306040027,269.6867257603846,0.8025210084033614,252.7978445098818
modis_pretrained__physical__d2__current_minus_base,shadow_point_prediction,1.25,modis_pretrained,physical,2,current_minus_base,250.60372128574673,182.0016807230066,1.3964907874249322,260.4264400573274,249.7086674636988,270.87010682325393,0.7983193277310925,252.83563752312992
modis_pretrained__physical__d2__current_minus_base,shadow_point_prediction,2.5,modis_pretrained,physical,2,current_minus_base,250.74776835170675,184.4028509062361,2.2308893375706966,261.17772473469046,249.9674951916964,269.7334932932447,0.7899159663865546,253.16018915745008
modis_pretrained__physical__d2__current_minus_base,shadow_point_prediction,1.0,modis_pretrained,physical,2,current_minus_base,251.0152801101463,181.9628687668734,1.229611077395779,260.73606918053395,250.1009403398234,271.50632494069646,0.7983193277310925,253.2168924351625
modis_pretrained__physical__d2__transition_minus_current,shadow_point_prediction,-2.0,modis_pretrained,physical,2,transition_minus_current,251.17540909298742,183.63571208362788,-4.191174105268596,260.6954634662427,250.44609555055268,269.5730230746751,0.8025210084033614,253.37309430069257
modis_pretrained__physical__d2__transition_minus_current,shadow_point_prediction,-1.75,modis_pretrained,physical,2,transition_minus_current,251.20333334500216,183.2994793693355,-3.5970158124501252,260.70375280609204,250.45144716924057,269.8727574873775,0.7983193277310925,253.39046666633425
modis_pretrained__physical__d1__transition_minus_current,shadow_point_prediction,-3.0,modis_pretrained,physical,1,transition_minus_current,251.25046260706998,184.38335034691852,-6.052808287597533,260.62045734978943,250.49565114062676,269.9564764031911,0.7815126050420168,253.40425842613905
modis_pretrained__physical__d2__transition_minus_current,shadow_point_prediction,-2.25,modis_pretrained,physical,2,transition_minus_current,251.24483288364087,184.04750048924902,-4.785332398087066,260.7851933104052,250.53586022740456,269.39716428738507,0.7983193277310925,253.45267982627286
modis_pretrained__physical__d2__transition_minus_current,shadow_point_prediction,-1.5,modis_pretrained,physical,2,transition_minus_current,251.32857319167007,183.01327589753996,-3.002857519631655,260.8100519839063,250.5518336771741,270.2959554243255,0.7941176470588235,253.50475801110514
modis_pretrained__physical__d1__transition_minus_current,shadow_point_prediction,-2.75,modis_pretrained,physical,1,transition_minus_current,251.367203099282,184.25138158823125,-5.5015665771911415,260.75892268356927,250.5987910975052,270.23846254141336,0.7773109243697479,253.52302999490962
modis_pretrained__physical__d2__transition_minus_current,shadow_point_prediction,-2.5,modis_pretrained,physical,2,transition_minus_current,251.4115240730571,184.7314219534357,-5.379490690905536,260.9728412332955,250.7207101098661,269.3454237651643,0.7857142857142857,253.62914987231898
modis_pretrained__physical__d1__transition_minus_current,shadow_point_prediction,-2.5,modis_pretrained,physical,1,transition_minus_current,251.50617572123005,184.12214868278252,-4.95032486678475,260.9158561372574,250.72332505787648,270.5518574755984,0.7773109243697479,253.66288315939852
modis_pretrained__physical__d2__current_minus_base,shadow_point_prediction,2.75,modis_pretrained,physical,2,current_minus_base,251.21659249402884,185.23046292541608,2.39776904759985,261.7860200145073,250.46210244483592,269.9174765924454,0.7899159663865546,253.67032686185024
modis_pretrained__physical__d2__transition_minus_current,shadow_point_prediction,-1.25,modis_pretrained,physical,2,transition_minus_current,251.5509832813038,182.78189708631834,-2.408699226813185,261.0142412549228,250.7470620478071,270.84203814094974,0.7983193277310925,253.71581746633439
modis_pretrained__physical__d2__current_minus_base,shadow_point_prediction,0.75,modis_pretrained,physical,2,current_minus_base,251.57254692208167,181.94902878243158,1.0627313673666257,261.19835139960446,250.64037796745174,272.27708976004845,0.7941176470588235,253.74595580280487
modis_pretrained__physical__d1__transition_minus_current,shadow_point_prediction,-2.25,modis_pretrained,physical,1,transition_minus_current,251.66734364266316,184.00141882765848,-4.399083156378358,261.09122440909493,250.86920327385965,270.89655219709914,0.7773109243697479,253.82377874207023
modis_pretrained__physical__d2__transition_minus_current,shadow_point_prediction,-2.75,modis_pretrained,physical,2,transition_minus_current,251.675289393011,185.44765402083235,-5.973648983724006,261.258196246892,251.00050142304767,269.41787301712947,0.7815126050420168,253.90231911399044
modis_pretrained__physical__d1__transition_minus_current,shadow_point_prediction,-2.0,modis_pretrained,physical,1,transition_minus_current,251.8506642529733,183.88076532658062,-3.8478414459719668,261.2849903800501,251.0363700067578,271.2724273918828,0.7773109243697479,254.00567222318864
modis_pretrained__physical__d2__transition_minus_current,shadow_point_prediction,-1.0,modis_pretrained,physical,2,transition_minus_current,251.870306200097,182.6600904949577,-1.8145409339947147,261.31609114879507,251.03682918047673,271.5102641717709,0.7983193277310925,254.02338318236644
modis_pretrained__physical__d1__transition_minus_current,shadow_point_prediction,-1.75,modis_pretrained,physical,1,transition_minus_current,252.05608921715614,183.76011182550275,-3.296599735565575,261.49711315275636,251.2247636254378,271.6793536430814,0.7773109243697479,254.2085138031266
modis_pretrained__physical__d2__transition_minus_current,shadow_point_prediction,-3.0,modis_pretrained,physical,2,transition_minus_current,252.0358240680956,186.16388608822902,-6.567807276542476,261.6409386627928,251.37497821264068,269.614411928589,0.7773109243697479,254.27189125290616
modis_pretrained__physical__d2__current_minus_base,shadow_point_prediction,3.0,modis_pretrained,physical,2,current_minus_base,251.83077481681528,186.11810699888917,2.564648757629003,262.54514004996145,251.10269646300196,270.23839540103506,0.7857142857142857,254.3273465366485
modis_pretrained__physical__d2__full_minus_base,shadow_point_prediction,1.5,modis_pretrained,physical,2,full_minus_base,251.97487197339285,183.49628643538296,12.476870778395318,262.4540115113132,251.0869557950084,272.2216839835422,0.7899159663865546,254.37267781327682
modis_pretrained__physical__d2__full_minus_base,shadow_point_prediction,1.25,modis_pretrained,physical,2,full_minus_base,252.03601496076985,183.0089006862261,10.49107435487596,262.32415788504954,251.13283398983094,272.45072622948265,0.7899159663865546,254.38225544910506
modis_pretrained__physical__d2__current_minus_base,shadow_point_prediction,0.5,modis_pretrained,physical,2,current_minus_base,252.2745561298792,182.35256261751874,0.8958516573374724,261.81247809720213,251.326089114466,273.1812624369329,0.7941176470588235,254.42191986785662
modis_pretrained__physical__d2__transition_minus_current,shadow_point_prediction,-0.75,modis_pretrained,physical,2,transition_minus_current,252.2861739556493,182.6813416641453,-1.2203826411762446,261.71526375443756,251.42072409013898,272.2997342958539,0.7983193277310925,254.4270839389688
modis_pretrained__physical__d1__transition_minus_current,shadow_point_prediction,-1.5,modis_pretrained,physical,1,transition_minus_current,252.28356453899963,183.64824924911179,-2.7453580251591836,261.7275480942122,251.43431671292086,272.11719164872727,0.7815126050420168,254.43224847128306
modis_pretrained__physical__d1__effect_features_minus_base,shadow_point_prediction,-3.0,modis_pretrained,physical,1,effect_features_minus_base,252.39956335347088,184.65754146301742,2.8598614151407404,261.55022033306835,251.38720358110243,273.9706810966697,0.7857142857142857,254.43413765527814
modis_pretrained__physical__d1__effect_features_minus_base,shadow_point_prediction,-2.75,modis_pretrained,physical,1,effect_features_minus_base,252.3980729772863,184.36174097974364,2.6683806503189422,261.57498610251304,251.38741670482835,273.9518569841815,0.7857142857142857,254.4396371904785
modis_pretrained__physical__d1__effect_features_minus_base,shadow_point_prediction,-2.5,modis_pretrained,physical,1,effect_features_minus_base,252.42282180272258,184.09215096940977,2.4768998854971445,261.62476689812667,251.4141152034968,273.9579312800148,0.7857142857142857,254.47113142676716
modis_pretrained__physical__d2__full_minus_base,shadow_point_prediction,1.75,modis_pretrained,physical,2,full_minus_base,252.03204899079054,184.00105854982863,14.462667201914677,262.70496135142133,251.1595274760126,272.11293952566047,0.7773109243697479,254.48214670225374
modis_pretrained__physical__d2__full_minus_base,shadow_point_prediction,1.0,modis_pretrained,physical,2,full_minus_base,252.21539190221776,182.79669304566642,8.505277931356602,262.31558031083733,251.29711504994037,272.79976325815744,0.7899159663865546,254.51086979130332
modis_pretrained__physical__d1__effect_features_minus_base,shadow_point_prediction,-2.25,modis_pretrained,physical,1,effect_features_minus_base,252.47380211346155,183.84966453934786,2.2854191206753467,261.6995484447465,251.46728954535524,273.9889023281868,0.7857142857142857,254.5286105542562
modis_pretrained__physical_modis__d1__transition_minus_current,shadow_point_prediction,-2.75,modis_pretrained,physical_modis,1,transition_minus_current,252.64813508153603,183.9323507962817,-7.674013160690569,261.2906631078263,251.8259835587557,272.1914976657794,0.7983193277310925,254.6032292074135
modis_pretrained__physical__d1__effect_features_minus_base,shadow_point_prediction,-2.0,modis_pretrained,physical,1,effect_features_minus_base,252.55099802412664,183.61803617639862,2.093938355853549,261.79930931838845,251.54692166098727,274.044761687611,0.7815126050420168,254.61205675690724
modis_pretrained__physical_modis__d1__transition_minus_current,shadow_point_prediction,-2.5,modis_pretrained,physical_modis,1,transition_minus_current,252.63841234901687,183.75744679842768,-6.925276306329684,261.3745820106919,251.801470467297,272.3486567646672,0.8025210084033614,254.61321929400566
modis_pretrained__physical_modis__d1__transition_minus_current,shadow_point_prediction,-3.0,modis_pretrained,physical_modis,1,transition_minus_current,252.68641445844767,184.10725479413574,-8.422750015051454,261.2301256650736,251.87915461446158,272.06121403788364,0.7983193277310925,254.62052729910766
modis_pretrained__physical_modis__d1__transition_minus_current,shadow_point_prediction,-2.25,modis_pretrained,physical_modis,1,transition_minus_current,252.6572495576326,183.58254280057366,-6.176539451968799,261.481859861825,251.80563283482925,272.53264484039835,0.8025210084033614,254.65049795297986
modis_pretrained__physical__d1__transition_minus_current,shadow_point_prediction,-1.25,modis_pretrained,physical,1,transition_minus_current,252.53303063130912,183.56213272629822,-2.194116314752792,261.976246882138,251.66495618077062,272.58579245383885,0.7857142857142857,254.67681608138173
modis_pretrained__physical__d2__full_minus_base,shadow_point_prediction,2.0,modis_pretrained,physical,2,full_minus_base,252.20746554130986,184.58432324843574,16.448463625434034,263.0766608631676,251.35042855591314,272.1246370734431,0.7773109243697479,254.71050512542513
modis_pretrained__physical_modis__d1__transition_minus_current,shadow_point_prediction,-2.0,modis_pretrained,physical_modis,1,transition_minus_current,252.70464032060417,183.4202798055846,-5.427802597607914,261.61246792523707,251.83847833931395,272.7434075978603,0.8025210084033614,254.71505672643985
modis_pretrained__physical__d1__effect_features_minus_base,shadow_point_prediction,-1.75,modis_pretrained,physical,1,effect_features_minus_base,252.65438550501017,183.39788132195065,1.902457591031751,261.9240209768897,251.65298497446364,274.12549414359444,0.7815126050420168,254.72144424034343
modis_pretrained__physical__d2__current_minus_base,v5_prediction,2.0,modis_pretrained,physical,2,current_minus_base,252.17605142405674,186.61292189123196,-6.449007110602068,263.2162793338859,251.4003161829064,271.16497997876166,0.7815126050420168,254.74217459122644
modis_pretrained__physical__d2__full_minus_base,shadow_point_prediction,0.75,modis_pretrained,physical,2,full_minus_base,252.51275082906093,182.82710560264724,6.519481507837242,262.42829068054647,251.5795846826099,273.2683352732953,0.7941176470588235,254.75834425531957
modis_pretrained__physical__d2__current_minus_base,v5_prediction,2.25,modis_pretrained,physical,2,current_minus_base,252.2244091773935,187.04392770500553,-6.282127400572914,263.26871818979635,251.4737568778969,270.918606751363,0.7815126050420168,254.79782335562007
modis_pretrained__physical_modis__d1__transition_minus_current,shadow_point_prediction,-1.75,modis_pretrained,physical_modis,1,transition_minus_current,252.78056857845326,183.3436994429888,-4.679065743247029,261.7663712791736,251.90000481311793,272.98088302056624,0.8025210084033614,254.8068783122995
modis_pretrained__physical__d1__pools_minus_current,shadow_point_prediction,-1.5,modis_pretrained,physical,1,pools_minus_current,252.61945277300907,184.30066091954183,-6.4529920694537815,262.2749534867527,251.74599434245812,272.7350927476211,0.7941176470588235,254.81496334380722
modis_pretrained__physical__d1__pools_minus_current,shadow_point_prediction,-1.25,modis_pretrained,physical,1,pools_minus_current,252.65443747350722,183.87986586236983,-5.283811351664957,262.2572849803668,251.74936247164214,273.1157676483696,0.7941176470588235,254.82888059975585
modis_pretrained__physical__d2__current_minus_base,v5_prediction,1.75,modis_pretrained,physical,2,current_minus_base,252.2736590061447,186.22186934787757,-6.6158868206312205,263.3156192610338,251.47374022117756,271.54752928852287,0.7773109243697479,254.8341693736252
modis_pretrained__physical__d1__effect_features_minus_base,shadow_point_prediction,-1.5,modis_pretrained,physical,1,effect_features_minus_base,252.78393241941413,183.27688250206324,1.710976826209953,262.0736478006421,251.78544444839594,274.23107772853825,0.7857142857142857,254.8567392719666
modis_pretrained__physical__d1__pools_minus_current,shadow_point_prediction,-1.75,modis_pretrained,physical,1,pools_minus_current,252.66997823922475,184.87116947217703,-7.622172787242605,262.3809754465907,251.83325737051695,272.379020572824,0.7773109243697479,254.88854732388927
modis_pretrained__physical__d2__pools_minus_current,shadow_point_prediction,-1.0,modis_pretrained,physical,2,pools_minus_current,252.69762107370602,182.93143932108555,5.085246439908704,262.3499854889827,251.93660690744082,271.5333871602266,0.7983193277310925,254.92045863595888
modis_pretrained__physical_modis__d1__transition_minus_current,shadow_point_prediction,-1.5,modis_pretrained,physical_modis,1,transition_minus_current,252.88500862619048,183.29195801124766,-3.930328888886144,261.943528862612,251.99020023116665,273.2450014611232,0.8025210084033614,254.92593658653993
modis_pretrained__physical__d2__transition_minus_current,shadow_point_prediction,-0.5,modis_pretrained,physical,2,transition_minus_current,252.79811008261004,182.82371269639188,-0.6262243483577744,262.21131459986896,251.89823070542695,273.2093974687676,0.8025210084033614,254.926441367629
modis_pretrained__physical__d1__pools_minus_current,shadow_point_prediction,-1.0,modis_pretrained,physical,1,pools_minus_current,252.774896836236,183.5933079157395,-4.114630633876132,262.3279877799728,251.8436921713661,273.5209425519831,0.7941176470588235,254.93036840595272
modis_pretrained__physical__d1__transition_minus_current,shadow_point_prediction,-1.0,modis_pretrained,physical,1,transition_minus_current,252.80442239295846,183.53503336135236,-1.6428746043464004,262.2431575548803,251.9166033908436,273.0849976959809,0.7941176470588235,254.94215143291024
