level,season_start_year,state_name,model,rows,rmse,mae,bias,mean_year_rmse,max_year_rmse,equal_state_rmse,direction_accuracy,v5_rmse,rmse_gain_vs_v5
state_year,2019,Haryana,V14_future_weather_shadow,22,271.2140016363201,240.37444941240557,25.764456204318467,271.2140016363201,271.2140016363201,271.2140016363201,0.8181818181818182,270.3852344870466,-0.8287671492735171
state_year,2019,Haryana,V15_current_crop_only,22,263.68238087308833,231.96170939858928,2.070002531389181,263.68238087308833,263.68238087308833,263.68238087308833,0.8181818181818182,270.3852344870466,6.702853613958268
state_year,2019,Haryana,V15_combined_regularized,22,264.978661691511,238.25936537115692,6.131717050543164,264.978661691511,264.978661691511,264.978661691511,0.8181818181818182,270.3852344870466,5.406572795535624
state_year,2019,Haryana,V15_combined_exact,22,263.69413666786096,237.41333175465743,-1.7213786109669564,263.69413666786096,263.69413666786096,263.69413666786096,0.8181818181818182,270.3852344870466,6.691097819185643
state_year,2019,Haryana,V15_conservative_shadow,22,270.4013889023509,240.1629410082807,23.801182288940936,270.4013889023509,270.4013889023509,270.4013889023509,0.8181818181818182,270.3852344870466,-0.01615441530429962
state_year,2019,Punjab,V5_production,22,285.87072854568163,237.957089329315,-78.12093640042052,285.87072854568163,285.87072854568163,285.87072854568163,0.8181818181818182,285.87072854568163,0.0
state_year,2019,Punjab,V14_future_weather_shadow,22,268.1094773837882,218.64882664763954,-45.44623034596419,268.1094773837882,268.1094773837882,268.1094773837882,0.8181818181818182,285.87072854568163,17.761251161893426
state_year,2019,Punjab,V15_current_crop_only,22,279.86245021291023,230.1301333606316,-53.38412016756584,279.86245021291023,279.86245021291023,279.86245021291023,0.8181818181818182,285.87072854568163,6.008278332771397
state_year,2019,Punjab,V15_combined_regularized,22,267.72876512742744,216.01097910170304,-20.70941411310952,267.72876512742744,267.72876512742744,267.72876512742744,0.8181818181818182,285.87072854568163,18.141963418254193
state_year,2019,Punjab,V15_combined_exact,22,268.91517521334623,215.6919913420262,-10.814687619967655,268.91517521334623,268.91517521334623,268.91517521334623,0.8181818181818182,285.87072854568163,16.9555533323354
state_year,2019,Punjab,V15_conservative_shadow,22,267.8560322450595,218.2264843472245,-42.972548722678724,267.8560322450595,267.8560322450595,267.8560322450595,0.8181818181818182,285.87072854568163,18.01469630062212
state_year,2019,Uttar Pradesh,V5_production,75,277.8074255120667,193.6688785900355,-3.1325239300196883,277.8074255120667,277.8074255120667,277.8074255120667,0.76,277.8074255120667,0.0
state_year,2019,Uttar Pradesh,V14_future_weather_shadow,75,278.68444171442775,190.1770497666961,26.78412762196872,278.68444171442775,278.68444171442775,278.68444171442775,0.8,277.8074255120667,-0.8770162023610624
state_year,2019,Uttar Pradesh,V15_current_crop_only,75,273.2020027558296,194.13562620920095,-11.344969507005365,273.2020027558296,273.2020027558296,273.2020027558296,0.7733333333333333,277.8074255120667,4.60542275623709
state_year,2019,Uttar Pradesh,V15_combined_regularized,75,273.4829851003748,186.96840689330398,18.571682044983046,273.4829851003748,273.4829851003748,273.4829851003748,0.8,277.8074255120667,4.32444041169191
state_year,2019,Uttar Pradesh,V15_combined_exact,75,272.14497251250907,186.60449943683005,15.286703814188774,272.14497251250907,272.14497251250907,272.14497251250907,0.7866666666666666,277.8074255120667,5.662452999557615
state_year,2019,Uttar Pradesh,V15_conservative_shadow,75,278.0476717693233,189.55526339482924,25.962883064270155,278.0476717693233,278.0476717693233,278.0476717693233,0.7866666666666666,277.8074255120667,-0.24024625725661508
state_year,2020,Haryana,V5_production,22,374.98776608892564,273.01159145486594,-25.23481099897084,374.98776608892564,374.98776608892564,374.98776608892564,0.8181818181818182,374.98776608892564,0.0
state_year,2020,Haryana,V14_future_weather_shadow,22,372.8395805125008,268.2585342782537,-39.61749969470508,372.8395805125008,372.8395805125008,372.8395805125008,0.8181818181818182,374.98776608892564,2.1481855764248508
state_year,2020,Haryana,V15_current_crop_only,22,371.6721465479993,264.5613045134188,-15.121706092021709,371.6721465479993,371.6721465479993,371.6721465479993,0.8181818181818182,374.98776608892564,3.3156195409263205
state_year,2020,Haryana,V15_combined_regularized,22,368.65495471307645,260.99304548018665,-29.50439478775595,368.65495471307645,368.65495471307645,368.65495471307645,0.8181818181818182,374.98776608892564,6.3328113758491895
state_year,2020,Haryana,V15_combined_exact,22,367.5400684201123,260.1991570768194,-25.459152824976297,367.5400684201123,367.5400684201123,367.5400684201123,0.8181818181818182,374.98776608892564,7.447697668813362
state_year,2020,Haryana,V15_conservative_shadow,22,372.3325186861795,267.19605829350695,-38.606189204010164,372.3325186861795,372.3325186861795,372.3325186861795,0.8181818181818182,374.98776608892564,2.655247402746113
state_year,2020,Punjab,V5_production,22,136.97146716985148,103.53373670717738,62.01667482136331,136.97146716985148,136.97146716985148,136.97146716985148,0.8636363636363636,136.97146716985148,0.0
state_year,2020,Punjab,V14_future_weather_shadow,22,122.77585527327598,93.52378690630294,30.780233064623477,122.77585527327598,122.77585527327598,122.77585527327598,0.8636363636363636,136.97146716985148,14.1956118965755
state_year,2020,Punjab,V15_current_crop_only,22,135.66068820234213,101.21910953487594,42.53421696683228,135.66068820234213,135.66068820234213,135.66068820234213,0.8636363636363636,136.97146716985148,1.31077896750935
state_year,2020,Punjab,V15_combined_regularized,22,126.61036119504483,98.25099450857537,11.297775210092452,126.61036119504483,126.61036119504483,126.61036119504483,0.9090909090909091,136.97146716985148,10.361105974806648
state_year,2020,Punjab,V15_combined_exact,22,130.57915660930357,102.24179814688408,3.5047920682800395,130.57915660930357,130.57915660930357,130.57915660930357,0.9090909090909091,136.97146716985148,6.392310560547912
state_year,2020,Punjab,V15_conservative_shadow,22,122.74757150801685,93.77145693484768,28.831987279170377,122.74757150801685,122.74757150801685,122.74757150801685,0.8636363636363636,136.97146716985148,14.223895661834632
state_year,2020,Uttar Pradesh,V5_production,75,200.6211464866926,152.5049023863818,-15.808854477657672,200.6211464866926,200.6211464866926,200.6211464866926,0.7333333333333333,200.6211464866926,0.0
state_year,2020,Uttar Pradesh,V14_future_weather_shadow,75,198.44249407901216,152.1164789583761,-16.63483629596282,198.44249407901216,198.44249407901216,198.44249407901216,0.76,200.6211464866926,2.1786524076804312
state_year,2020,Uttar Pradesh,V15_current_crop_only,75,197.59068802954295,152.5814552059547,-3.6974365801153484,197.59068802954295,197.59068802954295,197.59068802954295,0.72,200.6211464866926,3.030458457149649
state_year,2020,Uttar Pradesh,V15_combined_regularized,75,195.72838046962684,151.95270715896112,-4.523418398420502,195.72838046962684,195.72838046962684,195.72838046962684,0.7466666666666667,200.6211464866926,4.892766017065753
state_year,2020,Uttar Pradesh,V15_combined_exact,75,195.91874879387828,152.92582717442338,0.32114876059642483,195.91874879387828,195.91874879387828,195.91874879387828,0.7466666666666667,200.6211464866926,4.702397692814316
state_year,2020,Uttar Pradesh,V15_conservative_shadow,75,197.96889695106242,151.83990041121626,-15.423694506208589,197.96889695106242,197.96889695106242,197.96889695106242,0.76,200.6211464866926,2.652249535630176
state_year,2021,Haryana,V5_production,22,206.37400386741848,158.23705454562622,49.473563807276975,206.37400386741848,206.37400386741848,206.37400386741848,0.8636363636363636,206.37400386741848,0.0
state_year,2021,Haryana,V14_future_weather_shadow,22,210.25540370023063,161.68452780507403,44.77400733374737,210.25540370023063,210.25540370023063,210.25540370023063,0.8636363636363636,206.37400386741848,-3.88139983281215
state_year,2021,Haryana,V15_current_crop_only,22,203.8891334321662,157.06591340238975,50.54029778528837,203.8891334321662,203.8891334321662,203.8891334321662,0.8636363636363636,206.37400386741848,2.484870435252276
state_year,2021,Haryana,V15_combined_regularized,22,208.41174939129309,162.88146564212173,45.84074131175876,208.41174939129309,208.41174939129309,208.41174939129309,0.8636363636363636,206.37400386741848,-2.037745523874605
state_year,2021,Haryana,V15_combined_exact,22,207.9790012813876,164.0223724612003,46.26743490296332,207.9790012813876,207.9790012813876,207.9790012813876,0.8636363636363636,206.37400386741848,-1.60499741396913
state_year,2021,Haryana,V15_conservative_shadow,22,210.02258406426793,161.7238589106964,44.880680731548516,210.02258406426793,210.02258406426793,210.02258406426793,0.8636363636363636,206.37400386741848,-3.6485801968494513
state_year,2021,Punjab,V5_production,22,499.6547329696245,434.11795269960896,434.11795269960896,499.6547329696245,499.6547329696245,499.6547329696245,0.9545454545454546,499.6547329696245,0.0
state_year,2021,Punjab,V14_future_weather_shadow,22,495.67863521421856,433.92420562348775,433.92420562348775,495.67863521421856,495.67863521421856,495.67863521421856,0.9545454545454546,499.6547329696245,3.976097755405931
state_year,2021,Punjab,V15_current_crop_only,22,483.06555196132615,417.4599955087919,417.4599955087919,483.06555196132615,483.06555196132615,483.06555196132615,0.9545454545454546,499.6547329696245,16.58918100829834
state_year,2021,Punjab,V15_combined_regularized,22,479.65941965532073,417.2662484326707,417.2662484326707,479.65941965532073,479.65941965532073,479.65941965532073,0.9545454545454546,499.6547329696245,19.995313314303758
state_year,2021,Punjab,V15_combined_exact,22,473.48536455618273,410.60306555634384,410.60306555634384,473.48536455618273,473.48536455618273,473.48536455618273,0.9545454545454546,499.6547329696245,26.16936841344176
state_year,2021,Punjab,V15_conservative_shadow,22,494.0407382272053,432.25840990440605,432.25840990440605,494.0407382272053,494.0407382272053,494.0407382272053,0.9545454545454546,499.6547329696245,5.613994742419209
state_year,2021,Uttar Pradesh,V5_production,75,211.0783930926423,165.95712866305902,-24.222369354813956,211.0783930926423,211.0783930926423,211.0783930926423,0.7066666666666667,211.0783930926423,0.0
state_year,2021,Uttar Pradesh,V14_future_weather_shadow,75,211.06849785617968,165.49661480072075,-27.16021195489468,211.06849785617968,211.06849785617968,211.06849785617968,0.6933333333333334,211.0783930926423,0.00989523646262569
state_year,2021,Uttar Pradesh,V15_current_crop_only,75,212.78327653516533,169.19933360840528,-10.888441127389337,212.78327653516533,212.78327653516533,212.78327653516533,0.68,211.0783930926423,-1.7048834425230268
state_year,2021,Uttar Pradesh,V15_combined_regularized,75,212.45489527210867,168.47375964407163,-13.826283727470067,212.45489527210867,212.45489527210867,212.45489527210867,0.68,211.0783930926423,-1.376502179466371
state_year,2021,Uttar Pradesh,V15_combined_exact,75,213.78326299511212,170.26589925093955,-8.492712436500218,213.78326299511212,213.78326299511212,213.78326299511212,0.6666666666666666,211.0783930926423,-2.7048699024698237
state_year,2021,Uttar Pradesh,V15_conservative_shadow,75,211.08144902962266,165.6182282118294,-25.82681913215222,211.08144902962266,211.08144902962266,211.08144902962266,0.6933333333333334,211.0783930926423,-0.0030559369803597747
state_year,2022,Haryana,V5_production,22,313.89109212704284,242.89011682036016,-86.48136698561167,313.89109212704284,313.89109212704284,313.89109212704284,0.7272727272727273,313.89109212704284,0.0
state_year,2022,Haryana,V14_future_weather_shadow,22,319.4152877923791,244.42587376597024,-86.36298206442217,319.4152877923791,319.4152877923791,319.4152877923791,0.7272727272727273,313.89109212704284,-5.524195665336265
state_year,2022,Haryana,V15_current_crop_only,22,318.1264858415803,249.73324329075257,-99.72050218593877,318.1264858415803,318.1264858415803,318.1264858415803,0.6818181818181818,313.89109212704284,-4.235393714537452
state_year,2022,Haryana,V15_combined_regularized,22,323.99602242994865,251.26900023636264,-99.60211726474927,323.99602242994865,323.99602242994865,323.99602242994865,0.7272727272727273,313.89109212704284,-10.104930302905814
state_year,2022,Haryana,V15_combined_exact,22,326.3824040166556,254.0402377638189,-104.8977713448801,326.3824040166556,326.3824040166556,326.3824040166556,0.6818181818181818,313.89109212704284,-12.491311889612746
state_year,2022,Haryana,V15_conservative_shadow,22,319.7825636240255,245.1101864130095,-87.68689558445489,319.7825636240255,319.7825636240255,319.7825636240255,0.7272727272727273,313.89109212704284,-5.8914714969826605
state_year,2022,Punjab,V5_production,22,250.5431942076421,198.79312255751245,-71.85658887276972,250.5431942076421,250.5431942076421,250.5431942076421,0.9545454545454546,250.5431942076421,0.0
state_year,2022,Punjab,V14_future_weather_shadow,22,247.0665803429476,193.12669022650664,-69.20739111281635,247.0665803429476,247.0665803429476,247.0665803429476,0.9545454545454546,250.5431942076421,3.4766138646945137
state_year,2022,Punjab,V15_current_crop_only,22,253.56389746484464,202.33201555003606,-82.74371048514514,253.56389746484464,253.56389746484464,253.56389746484464,0.9545454545454546,250.5431942076421,-3.020703257202541
state_year,2022,Punjab,V15_combined_regularized,22,250.05026804806408,197.33956598431706,-80.09451272519178,250.05026804806408,250.05026804806408,250.05026804806408,0.9545454545454546,250.5431942076421,0.492926159578019
state_year,2022,Punjab,V15_combined_exact,22,251.5588183348419,199.38356422574162,-84.44936137014196,251.5588183348419,251.5588183348419,251.5588183348419,0.9545454545454546,250.5431942076421,-1.0156241271997999
state_year,2022,Punjab,V15_conservative_shadow,22,247.31348041123778,193.4764716638603,-70.29610327405389,247.31348041123778,247.31348041123778,247.31348041123778,0.9545454545454546,250.5431942076421,3.229713796404326
state_year,2022,Uttar Pradesh,V5_production,75,294.5017949762668,193.61912860945807,49.01053980189522,294.5017949762668,294.5017949762668,294.5017949762668,0.7466666666666667,294.5017949762668,0.0
state_year,2022,Uttar Pradesh,V14_future_weather_shadow,75,293.2978490439055,193.185165609965,45.86149578357369,293.2978490439055,293.2978490439055,293.2978490439055,0.7466666666666667,294.5017949762668,1.2039459323613073
state_year,2022,Uttar Pradesh,V15_current_crop_only,75,296.6771788058347,195.34256032663563,65.2526162961916,296.6771788058347,296.6771788058347,296.6771788058347,0.7733333333333333,294.5017949762668,-2.17538382956792
state_year,2022,Uttar Pradesh,V15_combined_regularized,75,295.38145407117975,194.10161920162267,62.10357227787008,295.38145407117975,295.38145407117975,295.38145407117975,0.76,294.5017949762668,-0.8796590949129381
state_year,2022,Uttar Pradesh,V15_combined_exact,75,296.6893805905303,195.14274798405395,68.60040287558863,296.6893805905303,296.6893805905303,296.6893805905303,0.7866666666666666,294.5017949762668,-2.187585614263469
state_year,2022,Uttar Pradesh,V15_conservative_shadow,75,293.4291776114129,193.15736128315257,47.48570343300333,293.4291776114129,293.4291776114129,293.4291776114129,0.7466666666666667,294.5017949762668,1.0726173648538975
