level,season_start_year,state_name,model,rows,rmse,mae,bias,mean_year_rmse,max_year_rmse,equal_state_rmse,direction_accuracy,v5_rmse,rmse_gain_vs_v5
year,2019,ALL,V5_production,119,277.9658689451882,209.32698584179857,-12.404534273000918,277.9658689451882,277.9658689451882,278.0211295149316,0.7815126050420168,277.9658689451882,0.0
year,2019,ALL,V14_future_weather_shadow,119,275.3843812975156,204.72093114137135,13.242105382617211,275.3843812975156,275.3843812975156,272.669306911512,0.8067226890756303,277.9658689451882,2.5814876476726454
year,2019,ALL,V15_current_crop_only,119,272.718659965629,207.78313030582294,-16.636834462363773,272.718659965629,272.718659965629,272.24894461394274,0.7899159663865546,277.9658689451882,5.247208979559218
year,2019,ALL,V15_combined_regularized,119,270.87010682325393,201.81998399496396,9.009805193254357,270.87010682325393,270.87010682325393,268.7301373064377,0.8067226890756303,277.9658689451882,7.0957621219342855
year,2019,ALL,V15_combined_exact,119,270.0049140012568,201.3752484528512,7.316885117509215,270.0049140012568,270.0049140012568,268.25142813123875,0.7983193277310925,277.9658689451882,7.960954943931426
year,2019,ALL,V15_conservative_shadow,119,274.7847272934433,204.21186649103612,12.818875363680926,274.7847272934433,274.7847272934433,272.1016976389113,0.7983193277310925,277.9658689451882,3.1811416517448947
year,2020,ALL,V5_production,119,234.16143065377975,165.7299571306184,-3.163555308669673,234.16143065377975,234.16143065377975,237.5267932484899,0.773109243697479,234.16143065377975,0.0
year,2020,ALL,V14_future_weather_shadow,119,230.87863876625474,162.75585704149967,-12.11792090805888,230.87863876625474,230.87863876625474,231.35264328826295,0.7899159663865546,234.16143065377975,3.2827918875250077
year,2020,ALL,V15_current_crop_only,119,231.40281278927836,163.78805251688308,2.737541980984718,231.40281278927836,231.40281278927836,234.97450759329482,0.7647058823529411,234.16143065377975,2.758617864501389
year,2020,ALL,V15_combined_regularized,119,228.54722810414364,162.18337745104915,-6.216823618404493,228.54722810414364,228.54722810414364,230.33123212591605,0.7899159663865546,234.16143065377975,5.614202549636104
year,2020,ALL,V15_combined_exact,119,228.7308297784082,163.3877147311196,-3.8563847025427376,228.7308297784082,228.7308297784082,231.34599127443138,0.7899159663865546,234.16143065377975,5.430600875371539
year,2020,ALL,V15_conservative_shadow,119,230.46796874019128,162.43090643584054,-11.52781117909344,230.46796874019128,230.46796874019128,231.0163290484196,0.7899159663865546,234.16143065377975,3.6934619135884645
year,2021,ALL,V5_production,119,286.5463489078757,214.10583873213952,74.1372744667264,286.5463489078757,286.5463489078757,305.70237664322843,0.7815126050420168,286.5463489078757,0.0
year,2021,ALL,V14_future_weather_shadow,119,285.78574394013145,214.41712811329765,71.38104864237035,285.78574394013145,285.78574394013145,305.66751225687625,0.773109243697479,286.5463489078757,0.760604967744257
year,2021,ALL,V15_current_crop_only,119,281.7123890160916,212.85310938383526,79.65859973038289,281.7123890160916,281.7123890160916,299.91265397621925,0.7647058823529411,286.5463489078757,4.8339598917841045
year,2021,ALL,V15_combined_regularized,119,281.09137161910405,213.43514019286394,76.90237390602684,281.09137161910405,281.09137161910405,300.1753547729075,0.7647058823529411,286.5463489078757,5.4549772887716586
year,2021,ALL,V15_combined_exact,119,279.7283599002669,213.54371495971796,79.11090401148942,279.7283599002669,279.7283599002669,298.4158762775608,0.7563025210084033,286.5463489078757,6.817989007608787
year,2021,ALL,V15_conservative_shadow,119,285.23526438678215,214.19308428419717,71.933181168736,285.23526438678215,285.23526438678215,305.048257107032,0.773109243697479,286.5463489078757,1.3110845210935622
year,2022,ALL,V5_production,119,290.65902025605124,203.68458749598778,1.6164324055273158,290.65902025605124,290.65902025605124,286.31202710365056,0.7815126050420168,290.65902025605124,0.0
year,2022,ALL,V14_future_weather_shadow,119,290.45412986884446,202.64742713094006,0.14339473839310216,290.45412986884446,290.45412986884446,286.59323905974406,0.7815126050420168,290.65902025605124,0.204890387206774
year,2022,ALL,V15_current_crop_only,119,293.37619718404824,206.69014889911782,7.392718852525415,293.37619718404824,293.37619718404824,289.4558540374199,0.7899159663865546,290.65902025605124,-2.717176927997002
year,2022,ALL,V15_combined_regularized,119,293.1821006940784,205.26899073089623,5.919681185391202,293.1821006940784,293.1821006940784,289.80924818306414,0.7899159663865546,290.65902025605124,-2.5230804380271366
year,2022,ALL,V15_combined_exact,119,294.73824053749047,206.81537598801998,8.230195764190437,294.73824053749047,294.73824053749047,291.54353431400926,0.7983193277310925,290.65902025605124,-4.079220281439234
year,2022,ALL,V15_conservative_shadow,119,290.65122148494066,202.82108045317293,0.7210233830929121,290.65122148494066,290.65122148494066,286.84174054889206,0.7815126050420168,290.65902025605124,0.007798771110572034
state_year,2019,Haryana,V5_production,22,270.3852344870466,234.07679343983793,21.702741685164483,270.3852344870466,270.3852344870466,270.3852344870466,0.8181818181818182,270.3852344870466,0.0
