candidate,hierarchy_weight,development_rmse,development_mae,development_bias,development_equal_state_rmse,development_mean_year_rmse,development_max_year_rmse,development_direction_accuracy,selection_score
hier__scratch__physical__ridge1000__ridge1000,0.425,292.634273710451,231.69472607079086,-53.15998017108315,309.302167294167,291.53639126120527,316.8612944285735,0.7226890756302521,296.5267764940686
hier__modis_pretrained__physical__ridge10__ridge1000,0.275,291.97069169129895,229.06303491103174,-77.31294465881133,313.26232133954863,289.2719236739626,328.8779709478411,0.7478991596638656,296.6189070990273
hier__none__history__ridge100__ridge100,0.425,288.8794167301078,222.0417533301498,44.44366506885771,319.8731127812698,288.8792834812971,289.1567463791066,0.6932773109243697,296.6278074306956
hier__modis_pretrained__history__extra__ridge100,0.375,296.1213360918495,233.30971126071444,-132.4777839769705,300.49106760129905,293.81462999705394,330.7037732307532,0.7478991596638656,296.637092445513
hier__modis_pretrained__physical__extra__zero,0.475,290.35102536917975,226.61912164544563,40.055180084195534,315.71867168951366,290.277668598351,296.80400340741267,0.7016806722689075,296.67459775655607
hier__none__physical__extra__zero,0.475,290.35102536917975,226.61912164544563,40.055180084195534,315.71867168951366,290.277668598351,296.80400340741267,0.7016806722689075,296.67459775655607
hier__scratch__physical__extra__zero,0.475,290.35102536917975,226.61912164544563,40.055180084195534,315.71867168951366,290.277668598351,296.80400340741267,0.7016806722689075,296.67459775655607
hier__scratch__history__ridge100__ridge100,0.45,296.96461478622405,237.09086318450386,-94.56440621126194,297.3255234313723,295.5809437680829,324.2146322538483,0.7352941176470589,296.7089241929758
hier__none__physical__ridge10__ridge1000,0.3,291.3201177157742,228.64416188221946,-56.9093160626936,314.707334766231,289.6239506471912,321.01468490821003,0.7310924369747899,296.7428802112426
hier__modis_pretrained__encoder__extra__xgb2,0.475,290.2702060238836,225.88866476607475,46.54838890564295,316.7021259090937,290.1568159348936,298.26944015102293,0.7016806722689075,296.8498384729386
direct__modis_pretrained__ridge100,0.3,295.3209193849154,233.8546550327842,-131.86101482944264,306.74240934455884,291.1530546555445,340.5933640305596,0.726890756302521,297.1343256924835
hier__modis_pretrained__physical__ridge1000__ridge1000,0.4,293.19223625167166,231.70268422712417,-55.375224731746,310.31616402741423,291.8823925065469,319.5655343605729,0.726890756302521,297.1457572593261
hier__scratch__physical__ridge100__ridge1000,0.325,291.65728686785485,229.27524366597976,-43.85873121463224,315.07864075224904,290.50351154322226,316.42035479573093,0.726890756302521,297.22418150779527
hier__scratch__encoder__ridge100__xgb2,0.25,290.0211336455112,224.1131124235942,5.615217423097045,319.254487584507,289.9241341495891,297.42442738642666,0.7142857142857143,297.30522225627965
hier__scratch__encoder__ridge1000__xgb2,0.4,290.41438538767693,225.25100489242575,11.075463421479752,318.2832325283484,290.4100263899519,292.0011933483777,0.7016806722689075,297.3805074234135
hier__modis_pretrained__encoder__ridge100__xgb2,0.175,291.2180107144338,226.59071888948102,54.191263277692585,316.3852624608538,291.09796522543877,299.4588507097219,0.7016806722689075,297.47981227879006
hier__scratch__physical__extra__ridge100,0.45,291.5204625592307,229.87609429848933,8.572085479294417,315.6387864956256,291.49236779431027,295.53954068589826,0.7100840336134454,297.5430198520993
hier__modis_pretrained__history__ridge100__ridge100,0.4,297.54806730924105,236.78650431623112,-100.39799830014047,299.5459994781374,295.7014138843548,328.80014779153294,0.7478991596638656,297.5858869952435
hier__scratch__physical__ridge100__ridge100,0.275,291.6098645577306,229.5505254886905,-33.170832334088054,316.35649414972676,290.7980182112821,312.5425741223334,0.7226890756302521,297.59356036911754
hier__scratch__encoder__extra__xgb2,0.475,290.99513918543585,226.57817838037695,47.0903840639909,317.6269616681896,290.86479554864195,299.57351187184037,0.7016806722689075,297.6205088969258
hier__modis_pretrained__encoder__extra__ridge100,0.4,291.40985339680384,228.7939387893727,-1.9187671799720436,316.67108662607114,291.1455361933192,303.5543802753195,0.7184873949579832,297.6590824032495
hier__modis_pretrained__encoder__extra__xgb1,0.475,291.0231474171556,226.46964644134718,48.26173225878223,317.8203196024646,290.8843403541159,299.8717131258639,0.7016806722689075,297.6877386977229
hier__scratch__encoder__ridge100__xgb1,0.25,290.3579906197049,224.36384122464275,6.597603950657456,319.771551543626,290.2747728128608,297.2259586940368,0.7142857142857143,297.69057639897414
hier__scratch__encoder__ridge100__zero,0.25,290.4149618478128,224.39653004730602,6.935983281926582,319.87556818400003,290.3365034047027,297.08667790597536,0.7142857142857143,297.7604988210821
direct__modis_pretrained__zero,0.425,299.53385073003454,236.5073776398982,-136.64580193382233,294.0148077192533,298.10058800918205,327.3677566754963,0.7436974789915967,297.7957742971261
direct__none__zero,0.425,299.53385073003454,236.5073776398982,-136.64580193382233,294.0148077192533,298.10058800918205,327.3677566754963,0.7436974789915967,297.7957742971261
direct__scratch__zero,0.425,299.53385073003454,236.5073776398982,-136.64580193382233,294.0148077192533,298.10058800918205,327.3677566754963,0.7436974789915967,297.7957742971261
hier__modis_pretrained__encoder__ridge100__xgb1,0.175,291.5447502416761,226.8369218630259,54.86090227967511,316.8265755465706,291.4140139575883,300.1440690895948,0.7016806722689075,297.8325224968778
hier__scratch__physical__ridge100__xgb2,0.3,291.4148942233956,226.92685421411346,-18.875160355340384,317.48969791940607,291.02381371213846,306.11621006511615,0.7058823529411765,297.8358250195839
hier__scratch__physical__ridge1000__ridge100,0.35,292.9465791726673,232.40395363962645,-39.282620527809975,313.28830703734127,292.2494697743736,312.4471346286421,0.7100840336134454,297.8577337892624
