candidate,architecture,encoder_variant,state_feature_set,state_model,residual_model,period,rows,rmse,mae,bias,equal_state_rmse,mean_year_rmse,max_year_rmse,direction_accuracy,selection_score
direct__modis_pretrained__extra,direct_anomaly,modis_pretrained,none,none,extra,development,238,368.11371267827445,296.1169496101206,156.72224061318548,404.9298908236066,364.0894990516392,418.3715600120491,0.6596638655462185,376.3117038079487
direct__modis_pretrained__extra,direct_anomaly,modis_pretrained,none,none,extra,late,238,576.4995576015059,460.3086130843938,410.5505404610237,651.1217284757068,556.5278177326528,706.9556343240773,0.46218487394957986,590.1621653528429
direct__modis_pretrained__extra,direct_anomaly,modis_pretrained,none,none,extra,four_year,476,483.66281921216324,378.21278134725725,283.63639053710455,542.1843421639959,460.30865839214607,706.9556343240773,0.5609243697478992,492.4546597451171
direct__modis_pretrained__ridge100,direct_anomaly,modis_pretrained,none,none,ridge100,development,238,569.1780975170041,475.1547033361593,-421.3739449195257,573.9970552242439,546.378420075039,705.8598571433711,0.680672268907563,564.6829175833227
direct__modis_pretrained__ridge100,direct_anomaly,modis_pretrained,none,none,ridge100,late,238,764.2124834788797,704.6019796097088,-685.4623806541847,778.2014604717122,756.7882499226241,863.0533179553922,0.5882352941176471,765.853669338024
direct__modis_pretrained__ridge100,direct_anomaly,modis_pretrained,none,none,ridge100,four_year,476,673.7894428521543,589.878341472934,-553.4181627868552,683.7653590547014,651.5833349988316,863.0533179553922,0.634453781512605,670.7318949394604
direct__modis_pretrained__ridge1000,direct_anomaly,modis_pretrained,none,none,ridge1000,development,238,460.15823582402834,380.11032681182303,-199.54603495711032,486.8256341310063,442.7168372989256,568.2054980166126,0.6680672268907563,462.46473576949717
direct__modis_pretrained__ridge1000,direct_anomaly,modis_pretrained,none,none,ridge1000,late,238,635.6873985317752,566.3379538608681,-529.639332412791,655.5296180629167,634.5229944675492,672.9812594314106,0.5714285714285714,640.3568523985041
direct__modis_pretrained__ridge1000,direct_anomaly,modis_pretrained,none,none,ridge1000,four_year,476,554.9072312777957,473.2241403363456,-364.59268368495066,577.3726172086662,538.6199158832375,672.9812594314106,0.6197478991596639,556.4517489118738
direct__modis_pretrained__xgb1,direct_anomaly,modis_pretrained,none,none,xgb1,development,238,432.2958574428596,350.62424024365407,-131.07589157801257,434.7682548620325,421.09658199959165,518.8584201089398,0.6722689075630253,430.11413793683585
direct__modis_pretrained__xgb1,direct_anomaly,modis_pretrained,none,none,xgb1,late,238,386.1214526598509,283.3590586151738,62.397386792025344,457.8537381653099,380.13634925998065,447.8573369628158,0.6512605042016807,402.5582481862481
direct__modis_pretrained__xgb1,direct_anomaly,modis_pretrained,none,none,xgb1,four_year,476,409.85941770710275,316.99164942941394,-34.33925239299362,446.4602339445953,400.61646562978615,518.8584201089398,0.6617647058823529,416.69888374714674
direct__modis_pretrained__xgb2,direct_anomaly,modis_pretrained,none,none,xgb2,development,238,609.7104686980339,504.58472745952196,-245.5971354408806,616.2994846873324,573.277936512815,780.8815567789004,0.680672268907563,602.2495896490537
direct__modis_pretrained__xgb2,direct_anomaly,modis_pretrained,none,none,xgb2,late,238,404.24401843134825,304.1957201768369,55.00111170926875,480.61009158973206,399.8141147699247,459.4957708148579,0.5882352941176471,422.22806080558837
direct__modis_pretrained__xgb2,direct_anomaly,modis_pretrained,none,none,xgb2,four_year,476,517.2813944447936,404.3902238181795,-95.29801186580592,552.6351033746238,486.54602564136985,780.8815567789004,0.634453781512605,518.4359794763952
direct__modis_pretrained__zero,direct_anomaly,modis_pretrained,none,none,zero,development,238,455.7449206057047,379.74795174588485,-310.9881792449219,395.6247260696044,451.31033047871614,514.7328679641566,0.6764705882352942,439.6062244399325
direct__modis_pretrained__zero,direct_anomaly,modis_pretrained,none,none,zero,late,238,418.0385311527437,302.6170260104326,77.8380381429338,501.9215586852145,406.0499900845574,505.4462630563056,0.592436974789916,436.0121527688149
direct__modis_pretrained__zero,direct_anomaly,modis_pretrained,none,none,zero,four_year,476,437.2983227650453,341.18248887815867,-116.57507055099408,451.90937971602494,428.68016028163674,514.7328679641566,0.634453781512605,438.7965463819381
direct__none__extra,direct_anomaly,none,none,none,extra,development,238,398.7947667454627,322.238637615545,194.9323211763635,443.763487940066,390.7772964277321,470.34092241473985,0.6512605042016807,408.0325794646809
direct__none__extra,direct_anomaly,none,none,none,extra,late,238,627.8476698784451,506.81061382498655,477.3563384613051,712.7063088996312,606.390587625818,769.1270365566218,0.4579831932773109,643.6980590705848
direct__none__extra,direct_anomaly,none,none,none,extra,four_year,476,525.9419942138871,414.52462572026576,336.14432981883436,593.6650216974508,498.583942026775,769.1270365566218,0.5546218487394958,536.033238038
direct__none__ridge100,direct_anomaly,none,none,none,ridge100,development,238,717.5453188309364,644.9463710553842,-634.0404326947672,733.0883683764453,707.043151605506,829.3594070417465,0.6218487394957983,718.805539410956
direct__none__ridge100,direct_anomaly,none,none,none,ridge100,late,238,782.768965556466,732.7076616572099,-716.9590934794082,790.6874231402113,777.510420496676,868.0907685718615,0.5840336134453782,783.4339436874549
direct__none__ridge100,direct_anomaly,none,none,none,ridge100,four_year,476,750.8656797372385,688.8270163562971,-675.4997630870877,762.4320156449841,742.276786051091,868.0907685718615,0.6029411764705882,751.6100402926379
direct__none__ridge1000,direct_anomaly,none,none,none,ridge1000,development,238,611.2989230430884,510.02764631954506,-482.7338967076921,626.7447363065712,577.191183280322,778.5284904469308,0.6932773109243697,606.6334414182675
direct__none__ridge1000,direct_anomaly,none,none,none,ridge1000,late,238,727.7033446089996,657.3319991262188,-634.0946133387764,759.4714809543509,724.2508642534956,795.0523005608834,0.5672268907563025,734.7822586064615
direct__none__ridge1000,direct_anomaly,none,none,none,ridge1000,four_year,476,672.0262387246364,583.6798227228818,-558.4142550232342,696.277923989763,650.7210237669087,795.0523005608834,0.6302521008403361,672.7628563014862
direct__none__xgb1,direct_anomaly,none,none,none,xgb1,development,238,431.68284647387026,352.01728899198577,-110.48568598916968,438.58017553933735,423.5144166690441,507.0944311058839,0.6764705882352942,431.3650712890305
direct__none__xgb1,direct_anomaly,none,none,none,xgb1,late,238,391.99773499942154,287.4615075907257,72.63142010324053,466.6335732505447,385.36586611114024,457.1667956391586,0.6428571428571429,408.99872734013206
direct__none__xgb1,direct_anomaly,none,none,none,xgb1,four_year,476,412.3180230019419,319.73939829135577,-18.927132942964572,452.82417231232665,404.44014139009215,507.0944311058839,0.6596638655462185,420.47508992657566
direct__none__xgb2,direct_anomaly,none,none,none,xgb2,development,238,617.0566242329081,506.25720812548127,-274.3615354461353,624.209472311979,572.4843754457163,802.7462207007226,0.6722689075630253,607.7017740558779
direct__none__xgb2,direct_anomaly,none,none,none,xgb2,late,238,414.8362351803355,312.58969074562526,67.34100843585291,494.084226464406,408.96761334513434,478.4988527514567,0.5378151260504201,433.1810775425529
direct__none__xgb2,direct_anomaly,none,none,none,xgb2,four_year,476,525.7603919697199,409.4234494355533,-103.5102635051412,562.9194827703734,490.72599439542535,802.7462207007226,0.6050420168067226,526.2915652763096
direct__none__zero,direct_anomaly,none,none,none,zero,development,238,455.7449206057047,379.74795174588485,-310.9881792449219,395.6247260696044,451.31033047871614,514.7328679641566,0.6764705882352942,439.6062244399325
direct__none__zero,direct_anomaly,none,none,none,zero,late,238,418.0385311527437,302.6170260104326,77.8380381429338,501.9215586852145,406.0499900845574,505.4462630563056,0.592436974789916,436.0121527688149
direct__none__zero,direct_anomaly,none,none,none,zero,four_year,476,437.2983227650453,341.18248887815867,-116.57507055099408,451.90937971602494,428.68016028163674,514.7328679641566,0.634453781512605,438.7965463819381
direct__scratch__extra,direct_anomaly,scratch,none,none,extra,development,238,364.84613424013304,292.94503690254413,157.60879970336816,401.090552258667,361.50060364263874,410.79578835653354,0.6554621848739496,373.0708560953929
direct__scratch__extra,direct_anomaly,scratch,none,none,extra,late,238,575.1237525990545,458.85576545730373,410.0494591680216,650.1808805431997,555.5789250523185,704.2375569622375,0.46218487394957986,589.0018276984067
direct__scratch__extra,direct_anomaly,scratch,none,none,extra,four_year,476,481.6015118713746,375.9004011799239,283.8291294356949,540.189230055123,458.5397643474786,704.2375569622375,0.5588235294117647,490.4830045363377
direct__scratch__ridge100,direct_anomaly,scratch,none,none,ridge100,development,238,520.8460086643462,434.2583655897208,-367.37085934943025,518.0517879672907,503.1936574067562,637.6433055550212,0.6722689075630253,515.7343656756848
direct__scratch__ridge100,direct_anomaly,scratch,none,none,ridge100,late,238,733.163972203928,674.1900006597282,-655.6868193634648,757.587173946635,727.3145737614519,819.7424966637849,0.5840336134453782,737.8074230289857
direct__scratch__ridge100,direct_anomaly,scratch,none,none,ridge100,four_year,476,635.9284452198307,554.2241831247245,-511.5288393564474,648.9668640017593,615.254115584104,819.7424966637849,0.6281512605042017,634.0194675063811
direct__scratch__ridge1000,direct_anomaly,scratch,none,none,ridge1000,development,238,450.8841062499078,372.90475029438005,-214.45018521673416,471.164054600896,432.33582343959654,560.3288429351305,0.6680672268907563,451.317022635077
direct__scratch__ridge1000,direct_anomaly,scratch,none,none,ridge1000,late,238,609.0224815368725,537.1830417853031,-495.78808214088247,633.2298492840096,607.7583927861969,646.9772532396705,0.5714285714285714,614.7583012859878
direct__scratch__ridge1000,direct_anomaly,scratch,none,none,ridge1000,four_year,476,535.8194006781148,455.0438960398416,-355.1191336788083,558.1109246252961,520.0471081128967,646.9772532396705,0.6197478991596639,537.4492085236056
direct__scratch__xgb1,direct_anomaly,scratch,none,none,xgb1,development,238,432.2958574428596,350.62424024365407,-131.07589157801257,434.7682548620325,421.09658199959165,518.8584201089398,0.6722689075630253,430.11413793683585
direct__scratch__xgb1,direct_anomaly,scratch,none,none,xgb1,late,238,386.1214526598509,283.3590586151738,62.397386792025344,457.8537381653099,380.13634925998065,447.8573369628158,0.6512605042016807,402.5582481862481
direct__scratch__xgb1,direct_anomaly,scratch,none,none,xgb1,four_year,476,409.85941770710275,316.99164942941394,-34.33925239299362,446.4602339445953,400.61646562978615,518.8584201089398,0.6617647058823529,416.69888374714674
direct__scratch__xgb2,direct_anomaly,scratch,none,none,xgb2,development,238,609.4024801469353,504.16427688522094,-246.04124097607465,615.9932752284519,572.858977977855,780.7146350079281,0.680672268907563,601.9143033750444
direct__scratch__xgb2,direct_anomaly,scratch,none,none,xgb2,late,238,405.10462619717913,304.92469274300413,54.42623089805781,481.9126340515146,400.7015572527798,460.2668171074417,0.5798319327731093,423.20586092466317
direct__scratch__xgb2,direct_anomaly,scratch,none,none,xgb2,four_year,476,517.4365376428264,404.5444848141125,-95.8075050390084,553.0314195347061,486.7802676153175,780.7146350079281,0.6302521008403361,518.671190608919
direct__scratch__zero,direct_anomaly,scratch,none,none,zero,development,238,455.7449206057047,379.74795174588485,-310.9881792449219,395.6247260696044,451.31033047871614,514.7328679641566,0.6764705882352942,439.6062244399325
direct__scratch__zero,direct_anomaly,scratch,none,none,zero,late,238,418.0385311527437,302.6170260104326,77.8380381429338,501.9215586852145,406.0499900845574,505.4462630563056,0.592436974789916,436.0121527688149
direct__scratch__zero,direct_anomaly,scratch,none,none,zero,four_year,476,437.2983227650453,341.18248887815867,-116.57507055099408,451.90937971602494,428.68016028163674,514.7328679641566,0.634453781512605,438.7965463819381
hier__modis_pretrained__encoder__extra__extra,hierarchy,modis_pretrained,encoder,extra,extra,development,238,370.48302258211373,295.62767995772333,84.23186174341107,412.33585867794596,367.83463386079285,412.053997877878,0.6764705882352942,380.28413442574157
hier__modis_pretrained__encoder__extra__extra,hierarchy,modis_pretrained,encoder,extra,extra,late,238,504.69679739695243,381.98237684577356,273.14604430993603,596.467693204384,484.61540190503786,625.5649302446498,0.46218487394957986,522.6191724758316
hier__modis_pretrained__encoder__extra__extra,hierarchy,modis_pretrained,encoder,extra,extra,four_year,476,442.70561738265724,338.8050284017484,178.68895302667354,512.7351018743685,426.2250178829154,625.5649302446498,0.569327731092437,456.09283863064957
hier__modis_pretrained__encoder__extra__ridge100,hierarchy,modis_pretrained,encoder,extra,ridge100,development,238,433.2414498146172,350.8913234249134,6.879149236322741,489.6417857955497,432.95751186296764,448.6402016481996,0.6848739495798319,447.270549321938
hier__modis_pretrained__encoder__extra__ridge100,hierarchy,modis_pretrained,encoder,extra,ridge100,late,238,484.5244909689175,385.14242948156186,315.42934948677924,536.6904528940959,476.75689969247867,563.1677841012411,0.5210084033613446,495.6240836311024
hier__modis_pretrained__encoder__extra__ridge100,hierarchy,modis_pretrained,encoder,extra,ridge100,four_year,476,459.5988121101708,368.01687645323767,161.15424936155102,513.7050323992966,454.85720577772315,563.1677841012411,0.6029411764705882,471.9399655993403
hier__modis_pretrained__encoder__extra__ridge1000,hierarchy,modis_pretrained,encoder,extra,ridge1000,development,238,358.3525898330245,287.7939167731569,18.030374550207288,393.1177268543103,358.2438742569843,367.0702663501299,0.7016806722689075,367.0166951943359
hier__modis_pretrained__encoder__extra__ridge1000,hierarchy,modis_pretrained,encoder,extra,ridge1000,late,238,476.830661034719,371.8954182310193,282.9528014808371,543.7770796952007,467.1108603593733,562.8966810069678,0.5126050420168067,491.13731553100297
hier__modis_pretrained__encoder__extra__ridge1000,hierarchy,modis_pretrained,encoder,extra,ridge1000,four_year,476,421.77248484392805,329.84466750208804,150.49158801552218,474.46552012182127,412.6773673081788,562.8966810069678,0.6071428571428571,432.6719642794641
hier__modis_pretrained__encoder__extra__xgb1,hierarchy,modis_pretrained,encoder,extra,xgb1,development,238,393.3814720370948,316.1135688774195,110.2070647873069,443.0586399847147,388.1296052308422,452.19513485030467,0.680672268907563,404.4877973224366
hier__modis_pretrained__encoder__extra__xgb1,hierarchy,modis_pretrained,encoder,extra,xgb1,late,238,522.6979194696752,396.553882616928,286.93972610673165,617.5352826323253,500.5714611130726,651.0418147946226,0.4495798319327731,540.875645671187
hier__modis_pretrained__encoder__extra__xgb1,hierarchy,modis_pretrained,encoder,extra,xgb1,four_year,476,462.5808564780857,356.33372574717373,198.57339544701924,537.424777881003,444.35053317195735,651.0418147946226,0.5651260504201681,476.73425600228296
hier__modis_pretrained__encoder__extra__xgb2,hierarchy,modis_pretrained,encoder,extra,xgb2,development,238,391.20148288188193,314.4077094951481,106.60002614911883,439.7412069158941,386.32026959679854,447.9258659955046,0.680672268907563,402.1161105691141
hier__modis_pretrained__encoder__extra__xgb2,hierarchy,modis_pretrained,encoder,extra,xgb2,late,238,518.2858357547731,392.9461463536446,283.1477723907556,612.1273860240875,496.8645752095813,644.3291521283314,0.4495798319327731,536.3909081858037
hier__modis_pretrained__encoder__extra__xgb2,hierarchy,modis_pretrained,encoder,extra,xgb2,four_year,476,459.1616315378534,353.67692792439635,194.87389926993717,532.9504037809379,441.5924224031899,644.3291521283314,0.5651260504201681,473.21652231495864
hier__modis_pretrained__encoder__extra__zero,hierarchy,modis_pretrained,encoder,extra,zero,development,238,393.96280708744075,316.5063016879169,111.58424109320019,444.02911713653845,388.5692023574841,453.53587340875964,0.680672268907563,405.130983417226
