candidate,architecture,encoder_variant,state_feature_set,state_model,residual_model,period,rows,rmse,mae,bias,equal_state_rmse,mean_year_rmse,max_year_rmse,direction_accuracy,selection_score
extra__direct__modis_pretrained__extra,direct_anomaly,modis_pretrained,none,none,extra,development,238,316.2434469558304,248.44884255703317,-26.43985668663183,331.3918101397359,314.9059084888546,343.96079691256494,0.7436974789915967,319.6961531350628
extra__direct__modis_pretrained__extra,direct_anomaly,modis_pretrained,none,none,extra,late,238,411.8821650970801,305.7329256541425,198.4082920644128,465.2550061009126,404.92058059877536,480.32775089848224,0.5336134453781513,423.484979223462
extra__direct__modis_pretrained__extra,direct_anomaly,modis_pretrained,none,none,extra,four_year,476,367.1898934254342,277.0908841055878,85.98421768889045,403.90763333319853,359.913244543815,480.32775089848224,0.6386554621848739,374.55016618197044
extra__direct__modis_pretrained__ridge100,direct_anomaly,modis_pretrained,none,none,ridge100,development,238,1277.9610947445717,1220.210224728043,-1220.210224728043,1342.1353752874775,1266.0825118725734,1439.9204617315709,0.5756302521008403,1291.0350191622986
extra__direct__modis_pretrained__ridge100,direct_anomaly,modis_pretrained,none,none,ridge100,late,238,1152.8865243202524,1108.0529685697736,-1102.798787388306,1186.3638160181779,1149.091780017346,1242.5552437654808,0.5630252100840336,1160.307161169007
extra__direct__modis_pretrained__ridge100,direct_anomaly,modis_pretrained,none,none,ridge100,four_year,476,1217.0316137307148,1164.1315966489085,-1161.5045060581747,1266.6464521632056,1207.5871459449595,1439.9204617315709,0.569327731092437,1227.0742063923985
extra__direct__modis_pretrained__ridge1000,direct_anomaly,modis_pretrained,none,none,ridge1000,development,238,666.9320988103129,567.5839269396317,-543.8536576726345,697.2974697903252,632.4426244389732,844.1375729291836,0.6554621848739496,665.9010729624811
extra__direct__modis_pretrained__ridge1000,direct_anomaly,modis_pretrained,none,none,ridge1000,late,238,711.8899537926602,658.6066775979083,-638.2835191439052,710.1261869326075,710.1711385785463,759.6105989413688,0.5798319327731093,711.0193082741187
extra__direct__modis_pretrained__ridge1000,direct_anomaly,modis_pretrained,none,none,ridge1000,four_year,476,689.777402766445,613.0953022687701,-591.0685884082699,703.7410613085733,671.3068815087597,844.1375729291836,0.6176470588235294,688.6506870875558
extra__direct__modis_pretrained__xgb1,direct_anomaly,modis_pretrained,none,none,xgb1,development,238,367.2228522758247,285.33957131137885,-192.67258256297995,363.03937979120883,357.1804648223644,442.4725440728545,0.7226890756302521,363.6663872913057
