model,period,rmse,mae,bias,mean_year_rmse,max_year_rmse,equal_state_rmse,direction_accuracy
V5_production,development,256.9986380355725,187.52847148620842,-7.784044790835296,256.063649799484,277.9658689451882,264.4504801647267,0.7773109243697479
V5_production,late,288.61001033283793,208.89521311406367,37.876853436126865,288.60268458196344,290.65902025605124,305.69199341704916,0.7815126050420168
V5_production,four_year,273.2618140323123,198.21184230013606,15.046404322645788,272.3331671907237,290.65902025605124,289.4960508784628,0.7794117647058824
V14_future_weather_shadow,development,254.10775598274657,183.73839409143548,0.5620922372791659,253.13151003188517,275.3843812975156,258.81306929650304,0.7983193277310925
V14_future_weather_shadow,late,288.12939193813776,208.5322776221188,35.76222169038172,288.119936904488,290.45412986884446,305.84604182823404,0.7773109243697479
V14_future_weather_shadow,four_year,271.6517054513261,196.13533585677717,18.162156963830448,270.6257234681866,290.45412986884446,287.34385907429873,0.7878151260504201
V15_current_crop_only,development,252.9058414313894,185.785591411353,-6.949646240689527,252.06073637745368,272.718659965629,260.1876656039124,0.7773109243697479
V15_current_crop_only,late,287.60342765631924,209.77162914147658,43.52565929145416,287.5442931000699,293.37619718404824,303.7073214274725,0.7773109243697479
V15_current_crop_only,four_year,270.8109084119238,197.7786102764148,18.28800652538232,269.80251473876183,293.37619718404824,286.1568519167589,0.7773109243697479
V15_combined_regularized,development,250.60372128574673,182.0016807230066,1.3964907874249322,249.7086674636988,270.87010682325393,256.08311548816073,0.7983193277310925
V15_combined_regularized,late,287.20036852875205,209.35206546188007,41.41102754570901,287.1367361565912,293.1821006940784,304.0589625130199,0.7773109243697479
V15_combined_regularized,four_year,269.5239106325404,195.67687309244334,21.403759166566978,268.422701810145,293.1821006940784,284.5972028263954,0.7878151260504201
V15_combined_exact,development,250.22034896860933,182.38148159198542,1.7302502074832387,249.3678718898325,270.0049140012568,256.1194838618539,0.7941176470588235
V15_combined_exact,late,287.3313294505394,210.17954547386896,43.670549887839925,287.2333002188787,294.73824053749047,303.788602642383,0.7773109243697479
V15_combined_exact,four_year,269.4155859650542,196.28051353292716,22.70040004766159,268.30058605435556,294.73824053749047,284.2243664762565,0.7857142857142857
V15_conservative_shadow,development,253.5962647289603,183.32138646343836,0.6455320922937425,252.6263480168173,274.7847272934433,258.359686584189,0.7941176470588235
V15_conservative_shadow,late,287.95597632319215,208.50708236868502,36.32710227591445,287.9432429358614,290.65122148494066,305.5957753216905,0.7773109243697479
V15_conservative_shadow,four_year,271.320575873563,195.9142344160617,18.4863171841041,270.28479547633935,290.65122148494066,286.95376353416526,0.7857142857142857
