candidate,period,rmse,mae,bias,equal_state_rmse,mean_year_rmse,max_year_rmse,direction_accuracy,selection_score
modis_pretrained__physical__d1__base,development,394.260916119894,312.09266434998074,277.7142603577686,407.58584104100595,391.6271805667477,437.1224706640544,0.453781512605042,396.9337134618854
modis_pretrained__physical__d1__base,late,342.9033235254428,246.80558021660954,48.88350973587528,397.10564014614073,341.29715490847934,374.44743901241924,0.7016806722689075,356.0523605263764
modis_pretrained__physical__d1__base,four_year,369.47554673110136,279.44912228329514,163.29888504682194,402.3798623520941,366.4621677376135,437.1224706640544,0.5777310924369747,376.9482808879776
modis_pretrained__physical__d1__current,development,390.2512363709084,307.9196936342897,272.2137420397847,402.87071637015066,387.1475088766888,436.26811412129854,0.4495798319327731,392.63017449716403
modis_pretrained__physical__d1__current,late,344.75020487224333,247.50590463652674,52.797653114619884,400.0492517480192,342.9502412658502,378.1331316409869,0.6974789915966386,358.12497568958906
modis_pretrained__physical__d1__current,four_year,368.20424444082414,277.7127991354082,162.50569757720228,401.46246271148965,365.0488750712695,436.26811412129854,0.5735294117647058,375.7299566661019
modis_pretrained__physical__d1__effect,development,394.8136944282126,311.75457952803924,276.9483372984814,406.82780323157635,391.67653641977796,441.34890425402153,0.4495798319327731,397.0329321269449
modis_pretrained__physical__d1__effect,late,342.5734546229526,246.02533330355212,52.25167895480315,397.14061909795333,340.9379837998596,374.3724422939177,0.7016806722689075,355.8063780359296
modis_pretrained__physical__d1__effect,four_year,369.6176572624462,278.8899564157957,164.60000812664228,402.0133908340217,366.3072601098188,441.34890425402153,0.5756302521008403,376.8889913671832
modis_pretrained__physical__d1__full,development,396.6994702989842,315.5826882755055,282.691795797909,411.05438900507147,394.4358237517766,436.7542674466015,0.4495798319327731,399.7222883387041
modis_pretrained__physical__d1__full,late,344.6321665101906,246.38938336193402,59.04008078802985,400.2593857770551,342.72848432003747,378.9019031410109,0.6974789915966386,358.06305077936844
modis_pretrained__physical__d1__full,four_year,371.57892831066346,280.9860358187198,170.86593829296945,405.6927942562932,368.582154035907,436.7542674466015,0.5735294117647058,379.3582012283818
modis_pretrained__physical__d1__pools,development,393.98306018448204,311.94112178257535,276.89046491093995,405.9844085495643,391.03292513996774,439.15675674978036,0.4495798319327731,396.24586351462403
modis_pretrained__physical__d1__pools,late,342.13740927981365,246.26343484817775,50.75668324319706,395.6796081570768,340.6148869741842,372.8562517136991,0.6974789915966386,355.1423284227221
modis_pretrained__physical__d1__pools,four_year,368.9719898183546,279.10227831537657,163.8235740770685,400.8651221400269,365.823906057076,439.15675674978036,0.5735294117647058,376.158251958453
modis_pretrained__physical__d1__transition,development,393.11757084368776,310.2644252135974,274.4187088814102,404.4546220445831,389.79651198073896,440.7877244951663,0.4495798319327731,395.1215689281744
modis_pretrained__physical__d1__transition,late,342.8203591843178,245.27638481726507,56.92872338863432,397.662607307224,341.0537702654248,375.8118550659934,0.7058823529411765,356.0892739853211
modis_pretrained__physical__d1__transition,four_year,368.82734658462255,277.77040501543127,165.6737161350223,401.0729924487599,365.4251411230819,440.7877244951663,0.5777310924369747,376.03820668527175
modis_pretrained__physical__d2__base,development,381.3282383852138,297.1359818723021,250.9244161974482,396.24113245031714,376.29738159531746,438.03477702530387,0.4495798319327731,383.79874770401557
modis_pretrained__physical__d2__base,late,340.29004247667916,248.55988537595394,24.09987321197937,390.033717778931,339.0157960674961,368.4369283621916,0.726890756302521,352.4073996999464
modis_pretrained__physical__d2__base,four_year,361.39212664275806,272.847933624128,137.5121447047138,393.1496763638275,357.6565888314068,438.03477702530387,0.5882352941176471,368.39762962018756
modis_pretrained__physical__d2__current,development,378.60734869118863,294.5411521206383,251.59193503756484,393.6454557893711,373.9684108591069,433.0543834963202,0.453781512605042,381.2071410077138
modis_pretrained__physical__d2__current,late,336.2808620776442,245.5049156319328,28.618917896241207,385.3186511282671,335.14859252842643,362.7210266955141,0.7352941176470589,348.2572419529955
modis_pretrained__physical__d2__current,four_year,358.07006484950324,270.0230338762855,140.10542646690303,389.5043053490737,354.55850169376663,433.0543834963202,0.5945378151260504,365.0507341854617
modis_pretrained__physical__d2__effect,development,381.25015603501555,297.54106063201647,251.4794026863675,395.435945346636,376.32835498714417,437.39103351825395,0.453781512605042,383.5661531009528
modis_pretrained__physical__d2__effect,late,333.9867007074543,246.95300862750423,10.325529210982708,379.59311513240925,332.95111590323404,359.2317298276064,0.7226890756302521,345.129408112638
modis_pretrained__physical__d2__effect,four_year,358.3983801066729,272.2470346297603,130.90246594867511,387.59548496345656,354.6397354451891,437.39103351825395,0.5882352941176471,364.75799515549784
modis_pretrained__physical__d2__full,development,383.42613859725856,301.0781402267328,258.8676018915257,400.012734965413,379.26553653464987,435.59720220049263,0.453781512605042,386.53263717364496
modis_pretrained__physical__d2__full,late,335.14536486065145,245.20127961045895,26.110532112256323,382.7394088365195,333.967761796353,362.0382029812291,0.7352941176470589,346.7494750885438
modis_pretrained__physical__d2__full,four_year,360.0958340131022,273.1397099185959,142.48906700189102,391.47135477007646,356.6166491655015,435.59720220049263,0.5945378151260504,367.0699179904456
modis_pretrained__physical__d2__pools,development,376.54388941227967,294.3429836465531,247.0687808349353,389.9435760814656,371.5942986256605,432.4463970498768,0.4495798319327731,378.65641338292136
modis_pretrained__physical__d2__pools,late,334.03654262661195,245.8935599345253,18.956664953186237,379.1569237791968,332.9748778611181,359.5858252947177,0.726890756302521,345.0512217233847
modis_pretrained__physical__d2__pools,four_year,355.92535204988377,270.1182717905392,133.01272289406077,384.58806883268323,352.2845882433893,432.4463970498768,0.5882352941176471,362.18084029396005
modis_pretrained__physical__d2__transition,development,381.9305486541323,298.2284037806407,253.96856820883872,395.5411252832919,377.49823788160757,435.5156869079799,0.453781512605042,384.225115118291
