candidate,period,rmse,mae,bias,equal_state_rmse,mean_year_rmse,max_year_rmse,direction_accuracy,selection_score
modis_pretrained__physical__d2__transition,late,333.69125476609895,244.00237992612597,28.95768586955602,380.3763527103918,332.5551413785993,360.0675285893342,0.7352941176470589,345.07850090529723
modis_pretrained__physical__d2__transition,four_year,358.6229200027656,271.1153918533833,141.4631270391974,388.03282818057625,355.0266896301034,435.5156869079799,0.5945378151260504,365.07633945405274
modis_pretrained__physical_modis__d1__base,development,401.7316863665064,319.57360804581845,286.8305670794319,415.931320958816,399.20137942479175,444.2192258439674,0.44537815126050423,404.64901827915514
modis_pretrained__physical_modis__d1__base,late,354.6164185451364,253.59574261965213,62.0477459007697,416.5025413136685,351.6136375307428,397.66419891905616,0.6680672268907563,369.337253983671
modis_pretrained__physical_modis__d1__base,four_year,378.90708104537737,286.58467533273523,174.4391564901008,416.21702912980965,375.40750847776724,444.2192258439674,0.5567226890756303,387.3596749245829
modis_pretrained__physical_modis__d1__current,development,397.2189841199898,314.59322716208067,279.194876855161,411.08433212730705,393.7057598418807,446.4190979323871,0.44537815126050423,399.80701505229183
modis_pretrained__physical_modis__d1__current,late,355.37774776355076,253.91924295186337,63.44350538060896,417.80930318877785,352.21352999053835,399.53131625636036,0.6680672268907563,370.1945821766044
modis_pretrained__physical_modis__d1__current,four_year,376.879466773404,284.256235056972,171.319191117885,414.46045767458094,372.9596449162095,446.4190979323871,0.5567226890756303,385.2947590343996
modis_pretrained__physical_modis__d1__effect,development,400.95099321400096,318.57556213250683,284.86209885412904,413.6064234702044,397.94564974578134,446.94522941440533,0.44537815126050423,403.3635149109969
modis_pretrained__physical_modis__d1__effect,late,354.62075924729754,253.30477867989322,62.20752686139366,416.44333456874455,351.63785368091425,397.53668534153144,0.6722689075630253,369.3306766860635
modis_pretrained__physical_modis__d1__effect,four_year,378.4954305195927,285.94017040619997,173.53481285776138,415.0273029829179,374.7917517133478,446.94522941440533,0.5588235294117647,386.7024789338628
modis_pretrained__physical_modis__d1__full,development,401.33302913639596,319.84481436464966,286.59226896782883,416.41878286922935,398.7148647212913,444.4822868256396,0.4411764705882353,404.4499264658282
modis_pretrained__physical_modis__d1__full,late,355.67888174948524,253.3672008417368,68.5050889652061,418.457840044433,352.3465853847721,400.91973321622174,0.6638655462184874,370.5405472320439
modis_pretrained__physical_modis__d1__full,four_year,379.1936623932154,286.60600760319323,177.54867896651749,417.43955647551104,375.5307250530317,444.4822868256396,0.5525210084033614,387.8394015787434
modis_pretrained__physical_modis__d1__pools,development,401.0060057996893,319.1893834346483,285.7982089900169,413.6039750806171,398.17922290173254,445.7094568249195,0.44537815126050423,403.4488023954321
modis_pretrained__physical_modis__d1__pools,late,354.75112558898735,253.40792212397452,61.18682652739367,416.2398789750567,351.80810385177347,397.4087526505929,0.6764705882352942,369.3875585012012
modis_pretrained__physical_modis__d1__pools,four_year,378.5856427508008,286.2986527793114,173.4925177587053,414.92402018421245,374.993663376753,445.7094568249195,0.5609243697478992,386.77224226564175
modis_pretrained__physical_modis__d1__transition,development,399.89757869413273,317.30954267998703,282.18982427260454,411.5961581198695,396.6196323481809,447.7169970691123,0.4495798319327731,402.00273696407896
modis_pretrained__physical_modis__d1__transition,late,354.12464627448077,252.86916625681386,64.30484053495,415.676885313611,351.0901383389519,397.3500546830371,0.6680672268907563,368.7540790503811
modis_pretrained__physical_modis__d1__transition,four_year,377.70513535326484,285.0893544684004,173.2473324037773,413.64155398307213,373.8548853435664,447.7169970691123,0.5588235294117647,385.726677508292
modis_pretrained__physical_modis__d2__base,development,386.7372381834804,302.19183865715473,255.58614743657472,403.18414118651435,381.9355162674447,442.68872862124914,0.453781512605042,389.64853345522994
modis_pretrained__physical_modis__d2__base,late,345.1043321010943,253.52309463185765,26.58138431648698,398.16358070387986,343.3266424359222,378.30973304579817,0.7100840336134454,357.9247218354977
modis_pretrained__physical_modis__d2__base,four_year,366.5124086799303,277.85746664450625,141.08376587653086,400.68172450415193,362.63107935168347,442.68872862124914,0.5819327731092437,374.084405303924
modis_pretrained__physical_modis__d2__current,development,383.95874014803474,299.76445991452,254.03555358758493,400.12570849076855,379.34756492847583,438.67495420949746,0.4579831932773109,386.84768842882846
modis_pretrained__physical_modis__d2__current,late,343.6226250938956,252.02606856403574,27.50694230952634,396.28805969426855,341.81437100227504,377.02011276038877,0.7142857142857143,356.3369202210837
modis_pretrained__physical_modis__d2__current,four_year,364.3492984846314,275.8952642392779,140.77124794855564,398.2115071488314,360.58096796537546,438.67495420949746,0.5861344537815126,371.87276802086745
modis_pretrained__physical_modis__d2__effect,development,386.26709725128524,302.85659193792264,257.21140699627017,401.9795053272338,382.1279830414761,438.5236831930585,0.453781512605042,389.1604207178201
modis_pretrained__physical_modis__d2__effect,late,344.18300074473643,254.28621744589987,17.766034333920786,395.42815947389744,342.45984880763405,376.85737715348563,0.6932773109243697,356.5635024427511
modis_pretrained__physical_modis__d2__effect,four_year,365.8307043022668,278.57140469191125,137.48872066509549,398.71728831845354,362.2939159245551,438.5236831930585,0.5735294117647058,373.1681532118855
modis_pretrained__physical_modis__d2__full,development,387.67156524196497,304.6316486967712,259.93500964381116,404.21479314149406,383.73370268043436,438.8489267507315,0.453781512605042,390.82290657646456
modis_pretrained__physical_modis__d2__full,late,343.39345232180466,250.5447240655296,33.643876566881396,396.025849657256,341.49936783623366,377.51665347716363,0.7142857142857143,356.0780305342748
modis_pretrained__physical_modis__d2__full,four_year,366.20233860165513,277.5881863811504,146.7894431053463,400.1412704228173,362.616535258334,438.8489267507315,0.5840336134453782,373.7906207211154
modis_pretrained__physical_modis__d2__pools,development,385.8037839845045,303.094638952688,256.21087111144504,399.2439787832302,381.02435484848945,441.5636045056714,0.4579831932773109,387.9689754001822
modis_pretrained__physical_modis__d2__pools,late,342.13577823244543,252.17221896713613,23.871598740297213,392.751937072265,340.34447696485495,375.30914121664455,0.6890756302521008,354.3419926255027
modis_pretrained__physical_modis__d2__pools,four_year,364.6240875775237,277.63342895991207,140.04123492587115,396.0112616256517,360.6844159066722,441.5636045056714,0.5735294117647058,371.48596317184285
modis_pretrained__physical_modis__d2__transition,development,386.0180112336767,302.1588491872579,257.1356001781816,402.01420621695206,382.12880120194933,436.78668525140813,0.4495798319327731,389.0447574715637
modis_pretrained__physical_modis__d2__transition,late,343.0732168707547,251.57344845494646,28.33175013623769,394.4228275335179,341.246166790017,376.6055472309661,0.7100840336134454,355.45385701626105
modis_pretrained__physical_modis__d2__transition,four_year,365.17744805152665,276.86614882110223,142.73367515720966,398.23660610231525,361.6874839959832,436.78668525140813,0.5798319327731093,372.569746550338
scratch__physical__d1__base,development,394.260916119894,312.09266434998074,277.7142603577686,407.58584104100595,391.6271805667477,437.1224706640544,0.453781512605042,396.9337134618854
scratch__physical__d1__base,late,342.9033235254428,246.80558021660954,48.88350973587528,397.10564014614073,341.29715490847934,374.44743901241924,0.7016806722689075,356.0523605263764
scratch__physical__d1__base,four_year,369.47554673110136,279.44912228329514,163.29888504682194,402.3798623520941,366.4621677376135,437.1224706640544,0.5777310924369747,376.9482808879776
scratch__physical__d1__current,development,400.47691140194297,317.77983477937073,285.943371299936,412.0954690934244,397.23740142669044,448.0724628883437,0.4495798319327731,402.5716733310002
scratch__physical__d1__current,late,345.8430172215769,247.06985768531894,61.35755216000912,402.5489695344127,343.52323301026195,383.5129934884296,0.6932773109243697,359.4395592469571
scratch__physical__d1__current,four_year,374.15848856264347,282.4248462323448,173.65046172997256,407.3501862774504,370.3803172184762,448.0724628883437,0.5714285714285714,381.51187015530337
scratch__physical__d1__effect,development,396.3572892998791,313.19379229505523,280.34493239587096,408.0730402746249,393.4608467568492,441.29036536754865,0.4495798319327731,398.56211640780805
scratch__physical__d1__effect,late,343.38636283888496,247.80618841439076,43.87345103133076,397.0533951094735,341.96051406406343,373.22072847087503,0.7100840336134454,356.44665871282666
scratch__physical__d1__effect,four_year,370.81888770993476,280.499990354723,162.10919171360086,402.6009219853671,367.71068041045635,441.29036536754865,0.5798319327731093,377.98734445392324
scratch__physical__d1__full,development,399.1654156405597,317.1668102681136,284.27597036281554,412.6118919443271,396.28056560524874,444.1840348646342,0.44537815126050423,401.8058222076738
scratch__physical__d1__full,late,346.06978288513574,248.09298760982463,61.19754946309429,402.4007996204347,344.09686681697355,380.997285146675,0.6848739495798319,359.65930805191994
scratch__physical__d1__full,four_year,373.56212580350393,282.6298989389691,172.73675991295494,407.5383275895914,370.18871621111117,444.1840348646342,0.5651260504201681,381.2128238519276
scratch__physical__d1__pools,development,397.0337942464863,313.9463421637271,281.4471977458281,407.80940512298145,394.2875332545711,440.90485722095417,0.4579831932773109,399.0411317176313
scratch__physical__d1__pools,late,342.99796898279624,247.28799746774166,46.80362888997794,396.38129762290583,341.5230338730548,373.2976158603524,0.7016806722689075,355.97506736538827
scratch__physical__d1__pools,four_year,371.0009706861186,280.61716981573437,164.12541331790302,402.13594965631876,367.905283563813,440.90485722095417,0.5798319327731093,378.0107936480922
scratch__physical__d1__transition,development,396.40617046257677,313.2826645474474,279.17637522080366,407.30600598525507,393.0373523397561,444.60761166196556,0.4495798319327731,398.28892481254115
scratch__physical__d1__transition,late,346.04227859079157,248.79297536818262,54.13920131403309,402.0178782199317,344.14877371529167,380.2995706991481,0.6848739495798319,359.5628022792016
scratch__physical__d1__transition,four_year,372.0773512007366,281.03781995781503,166.6577882674184,404.6705801760961,368.59306302752384,444.60761166196556,0.5672268907563025,379.3545864012733
scratch__physical__d2__base,development,381.3282383852138,297.1359818723021,250.9244161974482,396.24113245031714,376.29738159531746,438.03477702530387,0.4495798319327731,383.79874770401557
scratch__physical__d2__base,late,340.29004247667916,248.55988537595394,24.09987321197937,390.033717778931,339.0157960674961,368.4369283621916,0.726890756302521,352.4073996999464
scratch__physical__d2__base,four_year,361.39212664275806,272.847933624128,137.5121447047138,393.1496763638275,357.6565888314068,438.03477702530387,0.5882352941176471,368.39762962018756
scratch__physical__d2__current,development,398.2522478703785,312.90790202036624,275.2596018494678,409.5266019101746,392.4209577511584,460.3226871214245,0.4411764705882353,399.6130138505225
scratch__physical__d2__current,late,335.9138324761254,243.87419897349284,35.58613225018728,385.6884143387843,334.2084840567826,368.013691248364,0.7394957983193278,347.93114083695446
scratch__physical__d2__current,four_year,368.4039602003539,278.39105049692955,155.42286704982757,397.78611754764665,363.3147209039705,460.3226871214245,0.5903361344537815,374.47718971308126
scratch__physical__d2__effect,development,381.495300874416,296.7965895388307,253.91201548215722,395.5689375229889,376.55402360455025,437.75640833329265,0.453781512605042,383.77839071909284
scratch__physical__d2__effect,late,340.42745671169564,251.61138882187578,4.549718503966558,386.8761577285601,339.67839531643665,362.2491958880607,0.7058823529411765,351.852366617097
scratch__physical__d2__effect,four_year,361.5449611545254,274.20398918035323,129.23086699306188,391.2466905622845,358.11620946049345,437.75640833329265,0.5798319327731093,368.1132055829572
scratch__physical__d2__full,development,396.81492378823833,313.0691640837854,275.36655852373906,412.9544097129925,391.813501560511,454.61687516382005,0.44537815126050423,399.59943971249504
scratch__physical__d2__full,late,337.55325874909994,245.5587492903876,35.73767535703974,386.6612359519528,336.24818751550777,365.90217349838565,0.7226890756302521,349.5039852414151
scratch__physical__d2__full,four_year,368.37771799689665,279.3139566870865,155.55211694038942,400.02390921624783,364.03084453800943,454.61687516382005,0.5840336134453782,375.20254743701264
scratch__physical__d2__pools,development,387.17417319470036,303.2348224094936,263.68376945046816,398.78211354071874,382.2990170118905,443.5468902871486,0.4495798319327731,388.8573692355025
scratch__physical__d2__pools,late,340.2516965001929,251.21022161021293,10.617288279958638,387.48044701545257,339.3474504280748,364.1370623496983,0.7142857142857143,351.83282261097827
scratch__physical__d2__pools,four_year,364.4688308760156,277.2225220098532,137.1505288652134,393.1718904622364,360.8232337199827,443.5468902871486,0.5819327731092437,370.73319648356255
scratch__physical__d2__transition,development,390.02012779611584,304.661445874126,264.6970448854591,404.48051246785013,384.86532877382166,448.0664268174215,0.453781512605042,392.34652420847584
scratch__physical__d2__transition,late,339.66567486328404,247.29099515988386,32.17114796485671,388.80936327672504,338.4402537716102,367.2667226385788,0.7226890756302521,351.6452416937258
scratch__physical__d2__transition,four_year,365.71058965145426,275.976220517005,148.4340964251579,396.72232476753,361.6527912727159,448.0664268174215,0.5882352941176471,372.44907383578857
scratch__physical_modis__d1__base,development,401.7316863665064,319.57360804581845,286.8305670794319,415.931320958816,399.20137942479175,444.2192258439674,0.44537815126050423,404.64901827915514
scratch__physical_modis__d1__base,late,354.6164185451364,253.59574261965213,62.0477459007697,416.5025413136685,351.6136375307428,397.66419891905616,0.6680672268907563,369.337253983671
scratch__physical_modis__d1__base,four_year,378.90708104537737,286.58467533273523,174.4391564901008,416.21702912980965,375.40750847776724,444.2192258439674,0.5567226890756303,387.3596749245829
scratch__physical_modis__d1__current,development,405.5458114729234,322.89335936858873,291.2069315870269,417.5762219130396,402.16408040848927,454.42742925283824,0.4411764705882353,407.7079813168439
scratch__physical_modis__d1__current,late,358.4265874247292,254.29704807968037,72.8466669954918,422.9156754897868,354.34753377964716,408.26825222088155,0.6764705882352942,373.52909602972306
scratch__physical_modis__d1__current,four_year,382.7120482661664,288.59520372413454,182.02679929125938,420.2544286989435,378.25580709406825,454.42742925283824,0.5588235294117647,390.9835830813362
scratch__physical_modis__d1__effect,development,404.1990372475931,321.69282663169025,290.07950268272594,416.05784792509996,401.212355007372,450.2583324297827,0.44537815126050423,406.41706935691457
scratch__physical_modis__d1__effect,late,354.8350307205166,253.78242950561008,55.05235968344803,415.7353811562109,352.1760644119854,395.53409344600743,0.680672268907563,369.39537675230736
scratch__physical_modis__d1__effect,four_year,380.31878782036995,287.73762806865017,172.565931183087,415.8966457938592,376.6942097096787,450.2583324297827,0.5630252100840336,388.3071077860695
scratch__physical_modis__d1__full,development,403.6158303400302,321.39363187902114,288.5214512929195,418.04618880459503,400.595358659658,449.8812300774586,0.4411764705882353,406.4683020360784
scratch__physical_modis__d1__full,late,359.29577665523874,256.6005579281388,75.15454105997738,423.7876763436974,355.5392398345687,407.359159365076,0.6638655462184874,374.4796173721859
scratch__physical_modis__d1__full,four_year,382.09893589446386,288.99709490358,181.83799617644846,420.9267220044586,378.0672992471134,449.8812300774586,0.5525210084033614,390.79797326012493
scratch__physical_modis__d1__pools,development,404.13833672630966,321.6486067892123,290.64897319248746,415.15175576085653,401.40504088194456,448.3282586581423,0.44537815126050423,406.2083675238551
scratch__physical_modis__d1__pools,late,355.1491118115239,253.4633869807394,58.86489195360306,416.51481864125896,352.28928786762003,397.2687195474383,0.6722689075630253,369.7755825329817
scratch__physical_modis__d1__pools,four_year,380.4330997905035,287.5559968849758,174.75693257304528,415.83384569986765,376.8471643747823,448.3282586581423,0.5588235294117647,388.38680241391427
scratch__physical_modis__d1__transition,development,404.6194662181414,321.95349666050504,289.72811075418934,415.973224553927,401.4779766467892,451.80040415435155,0.44537815126050423,406.6725334092497
scratch__physical_modis__d1__transition,late,356.4908030709551,255.75342884553422,61.829792269287495,418.76780264314357,353.35734365720003,400.5196205074747,0.6764705882352942,371.27668811056344
scratch__physical_modis__d1__transition,four_year,381.31522728369254,288.8534627530196,175.77895151173846,417.3728525409617,377.4176601519946,451.80040415435155,0.5609243697478992,389.3552418150853
scratch__physical_modis__d2__base,development,386.7372381834804,302.19183865715473,255.58614743657472,403.18414118651435,381.9355162674447,442.68872862124914,0.453781512605042,389.64853345522994
scratch__physical_modis__d2__base,late,345.1043321010943,253.52309463185765,26.58138431648698,398.16358070387986,343.3266424359222,378.30973304579817,0.7100840336134454,357.9247218354977
scratch__physical_modis__d2__base,four_year,366.5124086799303,277.85746664450625,141.08376587653086,400.68172450415193,362.63107935168347,442.68872862124914,0.5819327731092437,374.084405303924
scratch__physical_modis__d2__current,development,402.0655976782247,316.97726982180814,277.7630732239795,414.34494931191114,396.9828191195637,460.7118247624563,0.4411764705882353,403.8647409469811
scratch__physical_modis__d2__current,late,345.711265175891,250.09188353044988,41.04972876999008,401.7460903629271,342.9505767315595,386.553108642057,0.7016806722689075,359.02979936156714
scratch__physical_modis__d2__current,four_year,374.9486789587765,283.53457667612895,159.40640099698481,408.0941424121322,369.96669792556156,460.7118247624563,0.5714285714285714,381.9895495638117
scratch__physical_modis__d2__effect,development,388.496379704042,303.5076571873256,260.9120918402151,403.0254054564921,383.6502193463641,444.8216688848037,0.4495798319327731,390.9170960527351
scratch__physical_modis__d2__effect,late,349.08301223279057,257.5218917650469,13.535917125103358,401.6352500773888,347.54382916329877,380.2888477162084,0.6974789915966386,361.83627592656717
scratch__physical_modis__d2__effect,four_year,369.3158448216552,280.51477447618623,137.2240044826592,402.33092818480685,365.59702425483147,444.8216688848037,0.5735294117647058,376.6399105207372
scratch__physical_modis__d2__full,development,395.75855644841806,311.46439281431566,270.40254772410674,412.40159018453426,391.2308972890328,450.9236104838103,0.4495798319327731,398.7874000926008
scratch__physical_modis__d2__full,late,349.24768402319785,254.87521253595173,35.54938995264609,404.8905398577896,346.87098792401,387.54607283097374,0.680672268907563,362.56422395704885
scratch__physical_modis__d2__full,four_year,373.2283348017023,283.16980267513367,152.97596883837642,408.66332160659147,369.0509426065214,450.9236104838103,0.5651260504201681,381.04273345412935
scratch__physical_modis__d2__pools,development,390.86820241502124,307.04507253951385,264.995759018329,403.703679033476,386.3347144129766,445.69328665485097,0.44537815126050423,392.9436995691238
scratch__physical_modis__d2__pools,late,345.91944733209897,254.0858287038056,19.54968106974524,398.3230338588628,344.3331908757609,377.42273157764413,0.6932773109243697,358.62377984970544
scratch__physical_modis__d2__pools,four_year,369.0787285266484,280.56545062165975,142.27272004403713,401.02238077674207,365.33395264436876,445.69328665485097,0.569327731092437,376.1284476186019
scratch__physical_modis__d2__transition,development,392.0340628941642,306.50876425093963,264.28586475789047,407.5857536078739,387.4027934758275,447.484255478935,0.4495798319327731,394.7641682180074
scratch__physical_modis__d2__transition,late,348.209422470192,254.5700312009513,29.189073826359607,401.4222384180303,346.1395535715815,384.05012400109325,0.7058823529411765,360.99515923249896
scratch__physical_modis__d2__transition,four_year,370.7698129340697,280.53939772594543,146.73746929212504,404.51573519496145,366.7711735237045,447.484255478935,0.5777310924369747,378.20663364670133
