period,distribution_candidate,coverage_80,coverage_90,width_80,width_90,interval_score_80,interval_score_90,mean_pinball,quantile_calibration_mae,rise_auc,severe_drop_auc,rise_brier,severe_drop_brier
development,V15_frontier__scale_0.95,0.7857142857142857,0.9159663865546218,608.8634328049947,870.6762192408112,931.1683969736395,1217.9396979033402,70.89283739031926,0.03140203449800974,0.851138985005767,0.8244691607684529,0.15291692007120844,0.07471444738081322
late,V15_frontier__scale_0.95,0.7815126050420168,0.8697478991596639,627.6605009719782,894.8130897473883,1073.6552505796565,1373.4722402628222,81.02060400946583,0.05064130915524104,0.8372359470103832,0.7987130836495627,0.16200773503809845,0.08528636180737874
four_year,V15_frontier__scale_0.95,0.7836134453781513,0.8928571428571429,618.2619668884865,882.7446544940997,1002.4118237766479,1295.7059690830808,75.95672069989254,0.0374170720919947,0.8445845231039995,0.8091890420899855,0.15746232755465345,0.08000040459409599
