selection_rule,period,correction_candidate,anchor,gamma,model_rmse,model_mae,model_bias,model_equal_state_rmse,model_mean_year_rmse,model_max_year_rmse,model_direction_accuracy,anchor_rmse,anchor_mae,anchor_bias,anchor_equal_state_rmse,anchor_mean_year_rmse,anchor_max_year_rmse,anchor_direction_accuracy,v5_rmse,v5_mae,v5_bias,v5_equal_state_rmse,v5_mean_year_rmse,v5_max_year_rmse,v5_direction_accuracy,rmse_gain_vs_anchor,rmse_gain_vs_v5
exact_development,development,modis_pretrained__physical__d2__current_minus_base,shadow_point_prediction,1.75,250.22034896860933,182.38148159198542,1.7302502074832387,260.2670517631471,249.3678718898325,270.0049140012568,0.7941176470588235,254.10775598274657,183.73839409143548,0.5620922372791659,263.491755560902,253.13151003188517,275.3843812975156,0.7983193277310925,256.9986380355725,187.52847148620842,-7.784044790835296,268.2141762628503,256.063649799484,277.9658689451882,0.7773109243697479,3.8874070141372385,6.778289066963197
exact_development,late,modis_pretrained__physical__d2__current_minus_base,shadow_point_prediction,1.75,287.3313294505394,210.17954547386896,43.670549887839925,308.4852347219252,287.2333002188787,294.73824053749047,0.7773109243697479,288.12939193813776,208.5322776221188,35.76222169038172,311.86166923596903,288.119936904488,290.45412986884446,0.7773109243697479,288.61001033283793,208.89521311406367,37.876853436126865,312.20452345818313,288.60268458196344,290.65902025605124,0.7815126050420168,0.7980624875983722,1.278680882298545
exact_development,four_year,modis_pretrained__physical__d2__current_minus_base,shadow_point_prediction,1.75,269.4155859650542,196.28051353292716,22.70040004766159,285.3962843792137,268.30058605435556,294.73824053749047,0.7857142857142857,271.6517054513261,196.13533585677717,18.162156963830448,288.69153606159904,270.6257234681866,290.45412986884446,0.7878151260504201,273.2618140323123,198.21184230013606,15.046404322645788,291.0416712569787,272.3331671907237,290.65902025605124,0.7794117647058824,2.236119486271889,3.846228067258096
regularized_near_tie,development,modis_pretrained__physical__d2__current_minus_base,shadow_point_prediction,1.25,250.60372128574673,182.0016807230066,1.3964907874249322,260.4264400573274,249.7086674636988,270.87010682325393,0.7983193277310925,254.10775598274657,183.73839409143548,0.5620922372791659,263.491755560902,253.13151003188517,275.3843812975156,0.7983193277310925,256.9986380355725,187.52847148620842,-7.784044790835296,268.2141762628503,256.063649799484,277.9658689451882,0.7773109243697479,3.504034696999838,6.394916749825796
regularized_near_tie,late,modis_pretrained__physical__d2__current_minus_base,shadow_point_prediction,1.25,287.20036852875205,209.35206546188007,41.41102754570901,309.1370950414615,287.1367361565912,293.1821006940784,0.7773109243697479,288.12939193813776,208.5322776221188,35.76222169038172,311.86166923596903,288.119936904488,290.45412986884446,0.7773109243697479,288.61001033283793,208.89521311406367,37.876853436126865,312.20452345818313,288.60268458196344,290.65902025605124,0.7815126050420168,0.9290234093857066,1.4096418040858794
regularized_near_tie,four_year,modis_pretrained__physical__d2__current_minus_base,shadow_point_prediction,1.25,269.5239106325404,195.67687309244334,21.403759166566978,285.8213377370612,268.422701810145,293.1821006940784,0.7878151260504201,271.6517054513261,196.13533585677717,18.162156963830448,288.69153606159904,270.6257234681866,290.45412986884446,0.7878151260504201,273.2618140323123,198.21184230013606,15.046404322645788,291.0416712569787,272.3331671907237,290.65902025605124,0.7794117647058824,2.1277948187857305,3.7379033997719375
