district_id,district_name,state_name,year_from,year_to,actual_yield_from,actual_yield_to,actual_change_pct,actual_direction,predicted_yield_from,predicted_yield_to,predicted_change_pct,predicted_direction,direction_match
IND034072,Sonbhadra,Uttar Pradesh,2017,2018,2360.0,2700.0,14.406779289245605,increase,3175.6474609375,3416.52880859375,7.585267066955566,increase,True
IND034056,Mirzapur,Uttar Pradesh,2017,2018,2950.0,3150.0,6.779661178588867,increase,3406.5205078125,3657.53564453125,7.368666648864746,increase,True
IND034020,Chandauli,Uttar Pradesh,2017,2018,3370.0,3750.0,11.27596378326416,increase,3653.846435546875,3817.306884765625,4.473654270172119,increase,True
IND034003,Allahabad,Uttar Pradesh,2017,2018,3760.0,3550.0,-5.585106372833252,decrease,3678.310791015625,3856.3427734375,4.840047359466553,increase,False
IND034066,Sant Ravi Das Nagar,Uttar Pradesh,2017,2018,3810.0,3750.0,-1.574803113937378,decrease,3856.865478515625,3984.34716796875,3.305318593978882,increase,False
IND034075,Varanasi,Uttar Pradesh,2017,2018,3380.0,3500.0,3.550295829772949,increase,3816.42236328125,3916.5771484375,2.6243107318878174,increase,True
IND034045,Kaushambi,Uttar Pradesh,2017,2018,3170.0,3490.0,10.094637870788574,increase,3789.3369140625,3916.2724609375,3.349808931350708,increase,True
IND034031,Ghazipur,Uttar Pradesh,2017,2018,2970.0,3300.0,11.111111640930176,increase,3944.140380859375,4045.89892578125,2.5799930095672607,increase,True
IND034039,Jaunpur,Uttar Pradesh,2017,2018,3540.0,3710.0,4.802259922027588,increase,3934.753173828125,4009.86767578125,1.9090015888214111,increase,True
IND034012,Ballia,Uttar Pradesh,2017,2018,3620.0,3840.0,6.077348232269287,increase,3965.425048828125,4169.95654296875,5.157870769500732,increase,True
IND034048,Lalitpur,Uttar Pradesh,2017,2018,2780.0,3410.0,22.6618709564209,increase,3343.53125,3888.947998046875,16.31259536743164,increase,True
IND034021,Chitrakoot,Uttar Pradesh,2017,2018,2640.0,2710.0,2.651515245437622,increase,3466.33203125,3663.1455078125,5.677859783172607,increase,True
IND034051,Mahoba,Uttar Pradesh,2017,2018,1790.0,2820.0,57.541900634765625,increase,2926.79248046875,3575.78369140625,22.174144744873047,increase,True
IND034014,Banda,Uttar Pradesh,2017,2018,2290.0,3060.0,33.624454498291016,increase,3356.116455078125,3613.01513671875,7.654641628265381,increase,True
IND034040,Jhansi,Uttar Pradesh,2017,2018,2630.0,3260.0,23.95437240600586,increase,3253.025146484375,3928.24169921875,20.756574630737305,increase,True
IND034034,Hamirpur,Uttar Pradesh,2017,2018,3130.0,3210.0,2.555910587310791,increase,3737.36572265625,3976.023193359375,6.385713577270508,increase,True
IND034027,Fatehpur,Uttar Pradesh,2017,2018,3480.0,3990.0,14.655172348022461,increase,3866.0888671875,3990.400634765625,3.215440034866333,increase,True
IND034038,Jalaun,Uttar Pradesh,2017,2018,3620.0,3710.0,2.486187696456909,increase,3963.2509765625,4187.4619140625,5.657248020172119,increase,True
IND034061,Rae Bareli,Uttar Pradesh,2017,2018,3360.0,3450.0,2.6785714626312256,increase,3960.1552734375,4040.39599609375,2.0262014865875244,increase,True
IND034042,Kanpur,Uttar Pradesh,2017,2018,3850.0,4170.0,8.311688423156738,increase,4104.85888671875,4218.46484375,2.767597198486328,increase,True
IND034060,Pratapgarh,Uttar Pradesh,2017,2018,3170.0,3420.0,7.886435031890869,increase,3901.095947265625,4003.863525390625,2.6343257427215576,increase,True
IND034008,Azamgarh,Uttar Pradesh,2017,2018,3440.0,3690.0,7.267441749572754,increase,4017.0634765625,4114.5224609375,2.4261250495910645,increase,True
IND034054,Maunathbhanjan,Uttar Pradesh,2017,2018,3700.0,3850.0,4.054053783416748,increase,4053.04541015625,4247.63330078125,4.801029205322266,increase,True
IND034073,Sultanpur,Uttar Pradesh,2017,2018,4030.0,4170.0,3.473945379257202,increase,4013.021484375,4096.40771484375,2.0778915882110596,increase,True
IND034005,Amethi,Uttar Pradesh,2017,2018,3880.0,3540.0,-8.762886047363281,decrease,4043.14697265625,4160.041015625,2.891164779663086,increase,False
IND034004,Ambedkar Nagar,Uttar Pradesh,2017,2018,4110.0,4100.0,-0.24330900609493256,stable,4024.41455078125,4136.85400390625,2.793933153152466,increase,False
IND034022,Deoria,Uttar Pradesh,2017,2018,3140.0,3330.0,6.050955295562744,increase,4000.02734375,4206.578125,5.163734436035156,increase,True
IND034025,Faizabad,Uttar Pradesh,2017,2018,3780.0,3890.0,2.910053014755249,increase,3998.96044921875,4088.594482421875,2.2414333820343018,increase,True
IND034033,Gorakhpur,Uttar Pradesh,2017,2018,4240.0,4020.0,-5.188679218292236,decrease,3998.296875,4135.61376953125,3.43438458442688,increase,False
IND034065,Sant Kabir Nagar,Uttar Pradesh,2017,2018,3210.0,3360.0,4.6728973388671875,increase,4002.644775390625,4115.95458984375,2.830873727798462,increase,True
IND034043,Kanpur Dehat,Uttar Pradesh,2017,2018,4280.0,4430.0,3.5046730041503906,increase,4050.04052734375,4194.4638671875,3.5659725666046143,increase,True
IND034074,Unnao,Uttar Pradesh,2017,2018,3270.0,3870.0,18.348623275756836,increase,4026.71142578125,4098.84716796875,1.7914305925369263,increase,True
IND034007,Auraiya,Uttar Pradesh,2017,2018,3880.0,4140.0,6.701030731201172,increase,4104.22607421875,4259.1640625,3.7750840187072754,increase,True
IND034024,Etawah,Uttar Pradesh,2017,2018,3750.0,4370.0,16.53333282470703,increase,4176.841796875,4371.29150390625,4.655424118041992,increase,True
IND034049,Lucknow,Uttar Pradesh,2017,2018,3260.0,3600.0,10.429448127746582,increase,4030.2412109375,4108.51318359375,1.942116379737854,increase,True
IND034041,Kannauj,Uttar Pradesh,2017,2018,4530.0,4600.0,1.545253872871399,increase,4177.4658203125,4286.255859375,2.6042113304138184,increase,True
IND034052,Mainpuri,Uttar Pradesh,2017,2018,4420.0,4440.0,0.4524887204170227,stable,4232.56298828125,4381.439453125,3.517406702041626,increase,False
IND034036,Hardoi,Uttar Pradesh,2017,2018,3670.0,3720.0,1.3623977899551392,increase,4156.70068359375,4241.72021484375,2.045361042022705,increase,True
IND034026,Farrukhabad,Uttar Pradesh,2017,2018,4500.0,4280.0,-4.888888835906982,decrease,4248.447265625,4343.82177734375,2.2449264526367188,increase,False
IND034071,Sitapur,Uttar Pradesh,2017,2018,3250.0,3480.0,7.07692289352417,increase,4030.943115234375,4141.7373046875,2.7485921382904053,increase,True
IND034017,Basti,Uttar Pradesh,2017,2018,3940.0,3760.0,-4.568528175354004,decrease,3979.386474609375,4065.96728515625,2.1757326126098633,increase,False
IND034046,Kushinagar,Uttar Pradesh,2017,2018,3500.0,3190.0,-8.85714340209961,decrease,3877.32421875,4050.031005859375,4.454277992248535,increase,False
IND034015,Barabanki,Uttar Pradesh,2017,2018,4020.0,3950.0,-1.7412934303283691,decrease,4073.42626953125,4201.6435546875,3.1476519107818604,increase,False
