artifact_status,run_name,comparison_bucket,mode,target_mode,horizon_days,opdate_profile,train_years,val_years,test_years,state_filter,anomaly_baseline,device,head_mode,val_rmse,val_r2,test_rmse,test_r2,val_n_rows,test_n_rows,artifact_path,notes
full,B4_arch_v1_e6e7_5d_h25_s42_UP,statewise_or_subset,shared,district_signed_log,25,five_day_dec1_apr30,"2017,2018,2019,2020",2021,2022,Uttar Pradesh,imd_normals,mps,sign_magnitude,261.9289245605469,0.5292650734246889,362.2484130859375,0.4269571107019213,2325,2325,/Users/aaryan/Downloads/ugp/codex_v2/experiments/B4_arch_v1_e6e7_5d_h25_s42_UP/metrics_summary_seeded.csv,
full,F5_UP_B4_e6e7_5d_h25_s42,statewise_or_subset,shared,district_signed_log,25,five_day_dec1_apr30,"2017,2018,2019,2020",2021,2022,Uttar Pradesh,imd_normals,mps,scalar_baseline,253.45388793945312,0.5592346567826799,365.625244140625,0.4162237056809008,2325,2325,/Users/aaryan/Downloads/ugp/codex_v2/experiments/regional_rolling_h25_s42_20260304_170938/F5/UP/metrics_summary_seeded.csv,
full,B4_e6e7_5d_h25_s42,fixed_or_live,shared,district_signed_log,25,five_day_dec1_apr30,"2017,2018,2019,2020",2021,2022,,imd_normals,mps,scalar_baseline,385.91943359375,0.3001392683178887,366.4002990722656,0.6196558628998632,3689,3689,/Users/aaryan/Downloads/ugp/codex_v2/experiments/B4_e6e7_5d_h25_s42_20260303_035916/metrics_summary_seeded.csv,
full,B4_shared_h25_s7,fixed_or_live,shared,district_demeaned,25,,"2017,2018,2019,2020",2021,2022,,unspecified,cpu,scalar_baseline,452.2909851074219,0.0387104787031326,369.8479309082031,0.6124645083033748,1071,1071,/Users/aaryan/Downloads/ugp/codex_v2/experiments/local_cpu_b4_h25/B4_shared_h25_s7/metrics_summary_seeded.csv,
full,smoke_tuning_rise_1ep,smoke,shared,district_signed_log_asym,25,five_day_dec1_apr30,"2017,2018,2019,2020",2021,2022,,imd_normals,mps,scalar_baseline,452.5789489746094,0.0374860132041976,370.0127258300781,0.612119033558965,3689,3689,/Users/aaryan/Downloads/ugp/codex_v2/experiments/smoke_tuning_rise_1ep/metrics_summary_seeded.csv,
full,B4_shared_h25_op0215_s42_haryana_200ep,statewise_or_subset,shared,district_demeaned,25,,"2017,2018,2019,2020",2021,2022,Haryana,unspecified,cpu,scalar_baseline,338.32965087890625,-0.3000040166599893,377.3210144042969,0.2605945391400686,22,22,/Users/aaryan/Downloads/ugp/codex_v2/experiments/statewise_b4_h25_op0215_s42_200ep/haryana/metrics_summary_seeded.csv,
full,B4_arch_v1_e6e7_5d_h25_s42,fixed_or_live,shared,district_signed_log,25,five_day_dec1_apr30,"2017,2018,2019,2020",2021,2022,,imd_normals,mps,sign_magnitude,349.7317810058594,0.4252373039753351,383.93408203125,0.5823826748242684,3689,3689,/Users/aaryan/Downloads/ugp/codex_v2/experiments/B4_arch_v1_e6e7_5d_h25_s42/metrics_summary_seeded.csv,
full,R2_B4_e6e7_5d_h25_s42,rise_tuning,shared,district_signed_log,25,five_day_dec1_apr30,"2017,2018,2019,2020",2021,2022,,imd_normals,mps,scalar_baseline,426.7511596679687,0.1442089052747059,385.95361328125,0.5779777161794557,3689,3689,/Users/aaryan/Downloads/ugp/codex_v2/experiments/tuning_rise_matrix_live_retry/R2/metrics_summary_seeded.csv,
full,B4_shared_h25_op0215_s42_punjab_200ep,statewise_or_subset,shared,district_demeaned,25,,"2017,2018,2019,2020",2021,2022,Punjab,unspecified,cpu,scalar_baseline,870.1558227539062,-5.279459878451986,387.8634643554687,-0.4275563919624143,22,22,/Users/aaryan/Downloads/ugp/codex_v2/experiments/statewise_b4_h25_op0215_s42_200ep/punjab/metrics_summary_seeded.csv,
full,R3_B4_e6e7_5d_h25_s42,rise_tuning,shared,district_signed_log,25,five_day_dec1_apr30,"2017,2018,2019,2020",2021,2022,,imd_normals,mps,scalar_baseline,431.2994384765625,0.1258697435731042,391.82427978515625,0.5650415194940025,3689,3689,/Users/aaryan/Downloads/ugp/codex_v2/experiments/tuning_rise_matrix_live_retry/R3/metrics_summary_seeded.csv,
full,R4_B4_e6e7_5d_h25_s42,rise_tuning,shared,district_signed_log_asym,25,five_day_dec1_apr30,"2017,2018,2019,2020",2021,2022,,imd_normals,mps,scalar_baseline,451.3587951660156,0.042668943024519,396.0700073242187,0.5555641482462068,3689,3689,/Users/aaryan/Downloads/ugp/codex_v2/experiments/tuning_rise_matrix_live_retry/R4/metrics_summary_seeded.csv,
full,R5_B4_e6e7_5d_h25_s42,rise_tuning,shared,district_signed_log,25,five_day_dec1_apr30,"2017,2018,2019,2020",2021,2022,,imd_normals,mps,scalar_baseline,448.2472229003906,0.0558226543333262,398.0280456542969,0.5511590234955537,3689,3689,/Users/aaryan/Downloads/ugp/codex_v2/experiments/tuning_rise_matrix_live_retry/R5/metrics_summary_seeded.csv,
full,R1_B4_e6e7_5d_h25_s42,rise_tuning,shared,district_signed_log,25,five_day_dec1_apr30,"2017,2018,2019,2020",2021,2022,,imd_normals,mps,scalar_baseline,426.6820373535156,0.1444860999371084,412.0920715332031,0.5188797211344127,3689,3689,/Users/aaryan/Downloads/ugp/codex_v2/experiments/tuning_rise_matrix_live_retry/R1/metrics_summary_seeded.csv,
full,F1_PH_B4_e6e7_5d_h25_s42,statewise_or_subset,shared,district_signed_log,25,five_day_dec1_apr30,"2019,2020,2021,2022",2017,2018,"Haryana,Punjab",imd_normals,mps,scalar_baseline,276.10931396484375,0.5101549860338448,450.9589538574219,-0.0347212918562174,1364,1364,/Users/aaryan/Downloads/ugp/codex_v2/experiments/regional_rolling_h25_s42_20260304_170938/F1/PH/metrics_summary_seeded.csv,
full,F4_PH_B4_e6e7_5d_h25_s42,statewise_or_subset,shared,district_signed_log,25,five_day_dec1_apr30,"2017,2018,2019,2022",2020,2021,"Haryana,Punjab",imd_normals,mps,scalar_baseline,286.5479736328125,0.4569802886406539,627.0597534179688,-2.046210473273205,1364,1364,/Users/aaryan/Downloads/ugp/codex_v2/experiments/regional_rolling_h25_s42_20260304_170938/F4/PH/metrics_summary_seeded.csv,
partial_best_epoch_only,B4_e6e7_5d_h25_s42_reforecast_fiveday_fullrerun_partial,fixed_or_live,shared,district_signed_log,25,five_day_dec1_apr30,"2017,2018,2019,2020",2021,2022,,reforecast,mps,scalar_baseline,404.891388,0.229637,,,,,/Users/aaryan/Downloads/ugp/codex_v2/experiments/B4_e6e7_5d_h25_s42_reforecast_fiveday_fullrerun_20260327/B4_e6e7_5d_h25_s42_reforecast_fiveday_fullrerun/partial_best_epoch_summary.md,accepted best epoch 59 from interrupted run; no final test artifact
