split,district_id,district_name,state_name,year_from,year_to,actual_yield_from,actual_yield_to,actual_change_pct,actual_direction,predicted_yield_from,predicted_yield_to,predicted_change_pct,predicted_direction,direction_match
train,IND013014,Mewat,Haryana,2017,2018,4320.0,4540.0,5.092592716217041,increase,4466.05029296875,4634.25341796875,3.766261339187622,increase,True
train,IND013015,Palwal,Haryana,2017,2018,4550.0,4230.0,-7.032967567443848,decrease,4594.779296875,4630.953125,0.7872810363769531,increase,False
train,IND013018,Rewari,Haryana,2017,2018,4900.0,4950.0,1.0204081535339355,increase,4789.1015625,4899.42431640625,2.303621292114258,increase,True
train,IND013004,Faridabad,Haryana,2017,2018,4450.0,5140.0,15.50561809539795,increase,4519.55615234375,4610.22119140625,2.0060606002807617,increase,True
train,IND013006,Gurgaon,Haryana,2017,2018,4910.0,4950.0,0.8146640062332153,increase,4793.9677734375,4815.88232421875,0.4571276307106018,stable,False
train,IND013008,Jhajjar,Haryana,2017,2018,4650.0,4760.0,2.365591287612915,increase,4675.513671875,4695.62451171875,0.43013113737106323,stable,False
train,IND013021,Sonepat,Haryana,2017,2018,5070.0,4480.0,-11.637081146240234,decrease,4931.68505859375,4833.53125,-1.9902691841125488,decrease,True
train,IND013017,Panipat,Haryana,2017,2018,5190.0,5220.0,0.5780346393585205,increase,5011.5234375,5126.76953125,2.299621820449829,increase,True
train,IND013013,Mahendragarh,Haryana,2017,2018,4270.0,4740.0,11.007025718688965,increase,4600.94384765625,4668.2197265625,1.4622191190719604,increase,True
train,IND013003,Charkhi Dadri,Haryana,2017,2018,4120.0,5000.0,21.359222412109375,increase,4604.92529296875,4866.25439453125,5.674991130828857,increase,True
train,IND013002,Bhiwani,Haryana,2017,2018,4320.0,4420.0,2.314814805984497,increase,4333.44580078125,4453.80810546875,2.777519702911377,increase,True
train,IND013019,Rohtak,Haryana,2017,2018,4630.0,4570.0,-1.295896291732788,decrease,4622.0986328125,4634.57373046875,0.2699011564254761,stable,False
train,IND013007,Hissar,Haryana,2017,2018,4910.0,4960.0,1.0183298587799072,increase,4760.71826171875,4839.408203125,1.6529006958007812,increase,True
train,IND013009,Jind,Haryana,2017,2018,5050.0,5240.0,3.762376308441162,increase,4934.79150390625,5091.2490234375,3.170499324798584,increase,True
train,IND013005,Fatehabad,Haryana,2017,2018,5380.0,5380.0,0.0,stable,5138.73681640625,5266.6708984375,2.4896018505096436,increase,False
train,IND013020,Sirsa,Haryana,2017,2018,5060.0,5060.0,0.0,stable,4792.681640625,4938.2109375,3.036489963531494,increase,False
train,IND013010,Kaithal,Haryana,2017,2018,4830.0,4920.0,1.8633540868759155,increase,4889.31298828125,4968.1455078125,1.612343430519104,increase,True
train,IND028013,Mansa,Punjab,2017,2018,5170.0,5450.0,5.415860652923584,increase,4893.60498046875,5361.38427734375,9.558992385864258,increase,True
train,IND013011,Karnal,Haryana,2017,2018,4920.0,5640.0,14.634145736694336,increase,5069.46728515625,5250.38427734375,3.5687572956085205,increase,True
train,IND013012,Kurukshetra,Haryana,2017,2018,4820.0,4960.0,2.904564380645752,increase,4893.39208984375,4809.4619140625,-1.7151737213134766,decrease,False
train,IND013022,Yamuna Nagar,Haryana,2017,2018,4780.0,4300.0,-10.041841506958008,decrease,4721.78662109375,4620.5107421875,-2.1448633670806885,decrease,True
train,IND013001,Ambala,Haryana,2017,2018,4650.0,4750.0,2.1505377292633057,increase,4624.71435546875,4586.12744140625,-0.8343631625175476,decrease,False
train,IND028015,Mohali,Punjab,2017,2018,4960.0,4640.0,-6.45161247253418,decrease,4657.86474609375,4589.2685546875,-1.47269606590271,decrease,True
train,IND013016,Panchkula,Haryana,2017,2018,3740.0,3940.0,5.347593307495117,increase,3946.526123046875,3986.913818359375,1.0233732461929321,increase,True
train,IND028003,Bathinda,Punjab,2017,2018,5300.0,5600.0,5.660377502441406,increase,5158.5634765625,5410.93115234375,4.892208576202393,increase,True
train,IND028019,Patiala,Punjab,2017,2018,5270.0,5470.0,3.7950663566589355,increase,5061.6005859375,5149.5224609375,1.737036943435669,increase,True
train,IND028021,Sangrur,Punjab,2017,2018,5550.0,5800.0,4.504504203796387,increase,5382.18505859375,5433.12451171875,0.9464455842971802,increase,True
train,IND028016,Muktsar,Punjab,2017,2018,5250.0,5570.0,6.095238208770752,increase,5152.78369140625,5399.3935546875,4.785953998565674,increase,True
train,IND028006,Fazilka,Punjab,2017,2018,4800.0,5060.0,5.416666507720947,increase,4837.796875,4930.45849609375,1.9153681993484497,increase,True
train,IND028002,Barnala,Punjab,2017,2018,5340.0,5570.0,4.3071160316467285,increase,5184.68994140625,5356.7060546875,3.317770481109619,increase,True
train,IND028004,Faridkot,Punjab,2017,2018,5340.0,5340.0,0.0,stable,5194.4033203125,5385.82763671875,3.6852030754089355,increase,False
train,IND028005,Fatehgarh Sahib,Punjab,2017,2018,5340.0,5180.0,-2.9962546825408936,decrease,4885.70263671875,4926.8642578125,0.8424913287162781,increase,False
train,IND028014,Moga,Punjab,2017,2018,5190.0,5380.0,3.660886287689209,increase,5221.546875,5391.77294921875,3.2600696086883545,increase,True
train,IND028012,Ludhiana,Punjab,2017,2018,5140.0,5130.0,-0.19455252587795258,stable,5120.615234375,5090.9443359375,-0.5794401168823242,decrease,False
train,IND028007,Firozpur,Punjab,2017,2018,5220.0,5400.0,3.4482758045196533,increase,4932.40869140625,5352.09619140625,8.508773803710938,increase,True
train,IND028020,Rupnagar,Punjab,2017,2018,4870.0,4570.0,-6.1601643562316895,decrease,4624.51904296875,4551.2763671875,-1.5837900638580322,decrease,True
train,IND028017,Nawan Shehar,Punjab,2017,2018,5000.0,5000.0,0.0,stable,4919.8193359375,4851.234375,-1.3940545320510864,decrease,False
train,IND028010,Jalandhar,Punjab,2017,2018,5060.0,4970.0,-1.778656005859375,decrease,4805.87939453125,4799.62109375,-0.13022175431251526,stable,False
train,IND028022,Tarn Taran,Punjab,2017,2018,4680.0,4900.0,4.700854778289795,increase,4634.75830078125,4711.8173828125,1.6626343727111816,increase,True
train,IND028011,Kapurthala,Punjab,2017,2018,4840.0,4730.0,-2.2727272510528564,decrease,4656.66064453125,4654.50244140625,-0.04634658247232437,stable,False
train,IND028009,Hoshiarpur,Punjab,2017,2018,4340.0,4240.0,-2.304147481918335,decrease,4309.982421875,4310.755859375,0.01794525980949402,stable,False
train,IND028001,Amritsar,Punjab,2017,2018,4870.0,4810.0,-1.2320328950881958,decrease,4676.8916015625,4728.47900390625,1.103027582168579,increase,False
train,IND028008,Gurdaspur,Punjab,2017,2018,4740.0,4720.0,-0.4219409227371216,stable,4556.06005859375,4560.9990234375,0.10840429365634918,stable,True
train,IND028018,Pathankot,Punjab,2017,2018,4020.0,3980.0,-0.9950248599052429,decrease,4087.532958984375,4138.64892578125,1.2505334615707397,increase,False
train,IND013014,Mewat,Haryana,2018,2019,4540.0,4600.0,1.3215858936309814,increase,4634.25341796875,4565.29931640625,-1.4879225492477417,decrease,False
train,IND013015,Palwal,Haryana,2018,2019,4230.0,4840.0,14.420804023742676,increase,4630.953125,4633.35205078125,0.05180199071764946,stable,False
train,IND013018,Rewari,Haryana,2018,2019,4950.0,4410.0,-10.909090995788574,decrease,4899.42431640625,4629.869140625,-5.501772403717041,decrease,True
train,IND013004,Faridabad,Haryana,2018,2019,5140.0,4200.0,-18.28793716430664,decrease,4610.22119140625,4510.60888671875,-2.1606838703155518,decrease,True
train,IND013006,Gurgaon,Haryana,2018,2019,4950.0,5060.0,2.222222328186035,increase,4815.88232421875,4820.30712890625,0.09187941998243332,stable,False
train,IND013008,Jhajjar,Haryana,2018,2019,4760.0,4810.0,1.0504201650619507,increase,4695.62451171875,4694.97705078125,-0.013788601383566856,stable,False
train,IND013021,Sonepat,Haryana,2018,2019,4480.0,4890.0,9.151785850524902,increase,4833.53125,4817.2763671875,-0.33629414439201355,stable,False
train,IND013017,Panipat,Haryana,2018,2019,5220.0,4750.0,-9.00383186340332,decrease,5126.76953125,4947.26025390625,-3.501411199569702,decrease,True
train,IND013013,Mahendragarh,Haryana,2018,2019,4740.0,4480.0,-5.485232353210449,decrease,4668.2197265625,4611.251953125,-1.2203319072723389,decrease,True
train,IND013003,Charkhi Dadri,Haryana,2018,2019,5000.0,4570.0,-8.600000381469727,decrease,4866.25439453125,4615.2333984375,-5.158402919769287,decrease,True
train,IND013002,Bhiwani,Haryana,2018,2019,4420.0,4190.0,-5.203619956970215,decrease,4453.80810546875,4388.23876953125,-1.4722083806991577,decrease,True
train,IND013019,Rohtak,Haryana,2018,2019,4570.0,4320.0,-5.470459461212158,decrease,4634.57373046875,4642.54443359375,0.1719835251569748,stable,False
train,IND013007,Hissar,Haryana,2018,2019,4960.0,4560.0,-8.064516067504883,decrease,4839.408203125,4768.22265625,-1.4709556102752686,decrease,True
train,IND013009,Jind,Haryana,2018,2019,5240.0,4810.0,-8.206107139587402,decrease,5091.2490234375,4911.45068359375,-3.531517505645752,decrease,True
train,IND013005,Fatehabad,Haryana,2018,2019,5380.0,4850.0,-9.851301193237305,decrease,5266.6708984375,5024.453125,-4.5990681648254395,decrease,True
train,IND013020,Sirsa,Haryana,2018,2019,5060.0,4860.0,-3.9525692462921143,decrease,4938.2109375,4875.728515625,-1.2652846574783325,decrease,True
train,IND013010,Kaithal,Haryana,2018,2019,4920.0,4600.0,-6.504064559936523,decrease,4968.1455078125,4861.69970703125,-2.142565965652466,decrease,True
train,IND028013,Mansa,Punjab,2018,2019,5450.0,5390.0,-1.1009174585342407,decrease,5361.38427734375,5186.63330078125,-3.2594375610351562,decrease,True
train,IND013011,Karnal,Haryana,2018,2019,5640.0,4850.0,-14.007091522216797,decrease,5250.38427734375,4956.71337890625,-5.593321800231934,decrease,True
train,IND013012,Kurukshetra,Haryana,2018,2019,4960.0,4710.0,-5.040322780609131,decrease,4809.4619140625,4794.92333984375,-0.30229106545448303,stable,False
train,IND013022,Yamuna Nagar,Haryana,2018,2019,4300.0,4890.0,13.720930099487305,increase,4620.5107421875,4691.40771484375,1.5343968868255615,increase,True
train,IND013001,Ambala,Haryana,2018,2019,4750.0,4180.0,-12.0,decrease,4586.12744140625,4583.96630859375,-0.0471232607960701,stable,False
train,IND028015,Mohali,Punjab,2018,2019,4640.0,4520.0,-2.5862069129943848,decrease,4589.2685546875,4566.6494140625,-0.4928703010082245,stable,False
train,IND013016,Panchkula,Haryana,2018,2019,3940.0,4170.0,5.837563514709473,increase,3986.913818359375,4107.8359375,3.032975435256958,increase,True
