horizon,operational_date,train_years,val_years,test_years,train_rmse,train_mae,train_mape,train_r2,val_rmse,val_mae,val_mape,val_r2,test_rmse,test_mae,test_mape,test_r2,epochs_ran,best_epoch,train_seconds,model_total_params,model_trainable_params,seed,prediction_file
15d,01-24,"[2017, 2018, 2019, 2020]",[2021],[2022],734.9485473632812,595.669189453125,14.53728973865509,-0.09218733475592211,461.2966613769531,379.17169189453125,9.932181984186172,4.849195929867989e-05,605.1658935546875,484.7999572753906,12.382383644580841,-0.037561752508478374,120,115,705.8948525409942,10100993,10100993,42,/Users/aaryan/Downloads/ugp/experiments/horizon_sweep_01-24_seed42_10m_full120_live_2026-02-16/horizon_15d/predictions/predictions_opdate_01-24.csv
25d,01-24,"[2017, 2018, 2019, 2020]",[2021],[2022],734.31591796875,595.1749877929688,14.53298032283783,-0.09030791912830782,461.3084411621094,379.1988830566406,9.938500821590424,-2.6062453695185894e-06,604.7617797851562,484.231689453125,12.375042587518692,-0.036176523133311544,120,94,821.1182741250086,10100993,10100993,42,/Users/aaryan/Downloads/ugp/experiments/horizon_sweep_01-24_seed42_10m_full120_live_2026-02-16/horizon_25d/predictions/predictions_opdate_01-24.csv
35d,01-24,"[2017, 2018, 2019, 2020]",[2021],[2022],740.8302612304688,600.1040649414062,14.578348398208618,-0.10973865166541552,461.74542236328125,379.0617370605469,9.880470484495163,-0.001897978446034898,609.174072265625,489.907958984375,12.451231479644775,-0.05135138429611197,120,41,854.0524128749967,10100993,10100993,42,/Users/aaryan/Downloads/ugp/experiments/horizon_sweep_01-24_seed42_10m_full120_live_2026-02-16/horizon_35d/predictions/predictions_opdate_01-24.csv
46d,01-24,"[2017, 2018, 2019, 2020]",[2021],[2022],734.5213012695312,595.3331909179688,14.533868432044983,-0.09091792040336344,461.2864074707031,379.17352294921875,9.93569791316986,9.287710771210822e-05,604.8807983398438,484.4253234863281,12.377114593982697,-0.03658439728523222,120,107,955.1133222920034,10100993,10100993,42,/Users/aaryan/Downloads/ugp/experiments/horizon_sweep_01-24_seed42_10m_full120_live_2026-02-16/horizon_46d/predictions/predictions_opdate_01-24.csv
