protocol,candidate,gamma,period,rmse,mae,bias,equal_state_rmse,mean_year_rmse,max_year_rmse,direction_accuracy,v5_rmse,v5_mae,v5_bias,v5_equal_state_rmse,v5_mean_year_rmse,v5_max_year_rmse,v5_direction_accuracy,rmse_gain_vs_v5,bootstrap_mean_gain,bootstrap_p025,bootstrap_p975,bootstrap_probability_positive,bootstrap_draws
exact_development_optimum,d2_future_ensemble_minus_no_future,2.25,development,254.12452910455738,183.4378553686113,2.946702816740421,263.0599941872958,253.11372141477162,275.75704988428834,0.8151260504201681,256.9986380355725,187.52847148620842,-7.784044790835296,268.2141762628503,256.063649799484,277.9658689451882,0.7773109243697479,2.8741089310151438,,,,,
exact_development_optimum,d2_future_ensemble_minus_no_future,2.25,late,288.3373203274561,208.54904082854137,35.15804119159745,312.12733398996545,288.3271350043863,290.7506683300128,0.773109243697479,288.61001033283793,208.89521311406367,37.876853436126865,312.20452345818313,288.60268458196344,290.65902025605124,0.7815126050420168,0.27269000538183263,0.16775575505406673,-2.972250125007406,2.432326855366341,0.5898,5000.0
exact_development_optimum,d2_future_ensemble_minus_no_future,2.25,four_year,271.76983514201044,195.9934480985763,19.052372004168934,288.6382105382996,270.720428209579,290.7506683300128,0.7941176470588235,273.2618140323123,198.21184230013606,15.046404322645788,291.0416712569787,272.3331671907237,290.65902025605124,0.7794117647058824,1.4919788903018798,1.5676150016788482,-0.8167068727435819,4.686097916226034,0.8926,5000.0
regularized_near_tie,d2_future_ensemble_minus_no_future,1.75,development,254.10775598274657,183.73839409143548,0.5620922372791659,263.491755560902,253.13151003188517,275.3843812975156,0.7983193277310925,256.9986380355725,187.52847148620842,-7.784044790835296,268.2141762628503,256.063649799484,277.9658689451882,0.7773109243697479,2.8908820528259582,,,,,
regularized_near_tie,d2_future_ensemble_minus_no_future,1.75,late,288.12939193813776,208.5322776221188,35.76222169038172,311.86166923596903,288.119936904488,290.45412986884446,0.7773109243697479,288.61001033283793,208.89521311406367,37.876853436126865,312.20452345818313,288.60268458196344,290.65902025605124,0.7815126050420168,0.48061839470017276,0.4016737297025209,-2.0575996538013896,2.1783835755337577,0.6962,5000.0
regularized_near_tie,d2_future_ensemble_minus_no_future,1.75,four_year,271.6517054513261,196.13533585677717,18.162156963830448,288.69153606159904,270.6257234681866,290.45412986884446,0.7878151260504201,273.2618140323123,198.21184230013606,15.046404322645788,291.0416712569787,272.3331671907237,290.65902025605124,0.7794117647058824,1.610108580986207,1.672154697033888,-0.18435041076406264,4.237230883632896,0.9574,5000.0
future_only_regularized,d2_future_ensemble_minus_no_future,1.75,development,254.10775598274657,183.73839409143548,0.5620922372791659,263.491755560902,253.13151003188517,275.3843812975156,0.7983193277310925,256.9986380355725,187.52847148620842,-7.784044790835296,268.2141762628503,256.063649799484,277.9658689451882,0.7773109243697479,2.8908820528259582,,,,,
future_only_regularized,d2_future_ensemble_minus_no_future,1.75,late,288.12939193813776,208.5322776221188,35.76222169038172,311.86166923596903,288.119936904488,290.45412986884446,0.7773109243697479,288.61001033283793,208.89521311406367,37.876853436126865,312.20452345818313,288.60268458196344,290.65902025605124,0.7815126050420168,0.48061839470017276,0.4016737297025209,-2.0575996538013896,2.1783835755337577,0.6962,5000.0
future_only_regularized,d2_future_ensemble_minus_no_future,1.75,four_year,271.6517054513261,196.13533585677717,18.162156963830448,288.69153606159904,270.6257234681866,290.45412986884446,0.7878151260504201,273.2618140323123,198.21184230013606,15.046404322645788,291.0416712569787,272.3331671907237,290.65902025605124,0.7794117647058824,1.610108580986207,1.672154697033888,-0.18435041076406264,4.237230883632896,0.9574,5000.0
