candidate,feature_set,depth,period,rmse,mae,bias,equal_state_rmse,mean_year_rmse,max_year_rmse,direction_accuracy,base_rmse,base_mae,base_bias,base_equal_state_rmse,base_mean_year_rmse,base_max_year_rmse,base_direction_accuracy,rmse_gain_vs_same_depth_base
xgb_d1__base,base,1,development,394.260916119894,312.09266434998074,277.7142603577686,407.58584104100595,391.6271805667477,437.1224706640544,0.453781512605042,394.260916119894,312.09266434998074,277.7142603577686,407.58584104100595,391.6271805667477,437.1224706640544,0.453781512605042,0.0
xgb_d1__base,base,1,late,342.9033235254428,246.80558021660954,48.88350973587528,397.10564014614073,341.29715490847934,374.44743901241924,0.7016806722689075,342.9033235254428,246.80558021660954,48.88350973587528,397.10564014614073,341.29715490847934,374.44743901241924,0.7016806722689075,0.0
xgb_d1__base,base,1,four_year,369.47554673110136,279.44912228329514,163.29888504682194,402.3798623520941,366.4621677376135,437.1224706640544,0.5777310924369747,369.47554673110136,279.44912228329514,163.29888504682194,402.3798623520941,366.4621677376135,437.1224706640544,0.5777310924369747,0.0
xgb_d1__base_full,base_full,1,development,395.9453439678345,313.89735835740544,279.7014124253217,410.30684653772084,393.0729599221338,440.6792997085467,0.4495798319327731,394.260916119894,312.09266434998074,277.7142603577686,407.58584104100595,391.6271805667477,437.1224706640544,0.453781512605042,-1.6844278479405261
xgb_d1__base_full,base_full,1,late,344.0802348758294,246.9267170940762,52.06415085784979,399.28965803334677,342.28119615930814,377.4207861961765,0.7100840336134454,342.9033235254428,246.80558021660954,48.88350973587528,397.10564014614073,341.29715490847934,374.44743901241924,0.7016806722689075,-1.1769113503866038
xgb_d1__base_full,base_full,1,four_year,370.920425052337,280.41203772574084,165.88278164158575,404.83573170368487,367.67707804072097,440.6792997085467,0.5798319327731093,369.47554673110136,279.44912228329514,163.29888504682194,402.3798623520941,366.4621677376135,437.1224706640544,0.5777310924369747,-1.4448783212356489
xgb_d1__base_full_broad,base_full_broad,1,development,395.4851692259548,313.47245714844775,280.2699663498822,411.9523213655529,393.2428565369035,435.297283894536,0.44537815126050423,394.260916119894,312.09266434998074,277.7142603577686,407.58584104100595,391.6271805667477,437.1224706640544,0.453781512605042,-1.2242531060608144
xgb_d1__base_full_broad,base_full_broad,1,late,342.28399414742273,246.39683514464144,45.76510016885576,397.3108261053734,340.68327095801124,373.74747424288194,0.7142857142857143,342.9033235254428,246.80558021660954,48.88350973587528,397.10564014614073,341.29715490847934,374.44743901241924,0.7016806722689075,0.6193293780200406
xgb_d1__base_full_broad,base_full_broad,1,four_year,369.8424338331089,279.93464614654465,163.017533259369,404.69779318585495,366.9630637474574,435.297283894536,0.5798319327731093,369.47554673110136,279.44912228329514,163.29888504682194,402.3798623520941,366.4621677376135,437.1224706640544,0.5777310924369747,-0.3668871020075244
xgb_d1__base_future_effect,base_future_effect,1,development,395.1631940434459,313.15430982573696,278.7358206099823,408.32748993894785,392.4279784905256,438.8416793175188,0.4495798319327731,394.260916119894,312.09266434998074,277.7142603577686,407.58584104100595,391.6271805667477,437.1224706640544,0.453781512605042,-0.9022779235519351
xgb_d1__base_future_effect,base_future_effect,1,late,342.1854679731381,244.7617908671758,55.16618741813278,396.6654992567791,340.53999948268427,374.0572076648837,0.7016806722689075,342.9033235254428,246.80558021660954,48.88350973587528,397.10564014614073,341.29715490847934,374.44743901241924,0.7016806722689075,0.7178555523046839
xgb_d1__base_future_effect,base_future_effect,1,four_year,369.6247045440913,278.9580503464564,166.95100401405753,402.53872940406086,366.48398898660497,438.8416793175188,0.5756302521008403,369.47554673110136,279.44912228329514,163.29888504682194,402.3798623520941,366.4621677376135,437.1224706640544,0.5777310924369747,-0.1491578129899267
xgb_d1__base_no_future,base_no_future,1,development,391.0459736806176,309.0300683093672,274.4244436376235,407.3737336081538,388.7658956068247,430.93261168533525,0.46218487394957986,394.260916119894,312.09266434998074,277.7142603577686,407.58584104100595,391.6271805667477,437.1224706640544,0.453781512605042,3.214942439276399
xgb_d1__base_no_future,base_no_future,1,late,341.60850880868776,246.4382853005247,42.758455698504676,395.4733071633778,340.10606010694994,372.1098281510887,0.7184873949579832,342.9033235254428,246.80558021660954,48.88350973587528,397.10564014614073,341.29715490847934,374.44743901241924,0.7016806722689075,1.2948147167550133
xgb_d1__base_no_future,base_no_future,1,four_year,367.1602693799518,277.734176804946,158.59144966806412,401.46761731962044,364.43597785688735,430.93261168533525,0.5903361344537815,369.47554673110136,279.44912228329514,163.29888504682194,402.3798623520941,366.4621677376135,437.1224706640544,0.5777310924369747,2.3152773511495752
xgb_d2__base,base,2,development,381.3282383852138,297.1359818723021,250.9244161974482,396.24113245031714,376.29738159531746,438.03477702530387,0.4495798319327731,381.3282383852138,297.1359818723021,250.9244161974482,396.24113245031714,376.29738159531746,438.03477702530387,0.4495798319327731,0.0
xgb_d2__base,base,2,late,340.29004247667916,248.55988537595394,24.09987321197937,390.033717778931,339.0157960674961,368.4369283621916,0.726890756302521,340.29004247667916,248.55988537595394,24.09987321197937,390.033717778931,339.0157960674961,368.4369283621916,0.726890756302521,0.0
xgb_d2__base,base,2,four_year,361.39212664275806,272.847933624128,137.5121447047138,393.1496763638275,357.6565888314068,438.03477702530387,0.5882352941176471,361.39212664275806,272.847933624128,137.5121447047138,393.1496763638275,357.6565888314068,438.03477702530387,0.5882352941176471,0.0
