candidate,feature_set,depth,period,rmse,mae,bias,equal_state_rmse,mean_year_rmse,max_year_rmse,direction_accuracy,base_rmse,base_mae,base_bias,base_equal_state_rmse,base_mean_year_rmse,base_max_year_rmse,base_direction_accuracy,rmse_gain_vs_same_depth_base
xgb_d2__base_full,base_full,2,development,378.68194536257835,294.9399995563411,249.2175946275727,395.8608297315542,373.49139441085515,435.97494460306007,0.453781512605042,381.3282383852138,297.1359818723021,250.9244161974482,396.24113245031714,376.29738159531746,438.03477702530387,0.4495798319327731,2.6462930226354615
xgb_d2__base_full,base_full,2,late,340.5979934731173,249.6195923233367,16.897806130311576,390.49373711723484,339.3330054825248,368.66054455607195,0.7100840336134454,340.29004247667916,248.55988537595394,24.09987321197937,390.033717778931,339.0157960674961,368.4369283621916,0.726890756302521,-0.3079509964381373
xgb_d2__base_full,base_full,2,four_year,360.1437274904982,272.2797959398389,133.05770037894214,393.18644129950525,356.41219994668995,435.97494460306007,0.5819327731092437,361.39212664275806,272.847933624128,137.5121447047138,393.1496763638275,357.6565888314068,438.03477702530387,0.5882352941176471,1.2483991522598785
xgb_d2__base_full_broad,base_full_broad,2,development,392.8607992448809,308.37574232726536,267.4916616808467,414.85725969947555,387.22922252167837,453.50996488764116,0.4411764705882353,381.3282383852138,297.1359818723021,250.9244161974482,396.24113245031714,376.29738159531746,438.03477702530387,0.4495798319327731,-11.532560859667115
xgb_d2__base_full_broad,base_full_broad,2,late,338.3497539093691,246.2021135781126,24.18745032706632,388.7597343872959,337.25354170773824,364.4675927865002,0.7184873949579832,340.29004247667916,248.55988537595394,24.09987321197937,390.033717778931,339.0157960674961,368.4369283621916,0.726890756302521,1.9402885673100627
xgb_d2__base_full_broad,base_full_broad,2,four_year,366.6198054891861,277.288927952689,145.8395560039565,402.0203210076818,362.2413821147083,453.50996488764116,0.5798319327731093,361.39212664275806,272.847933624128,137.5121447047138,393.1496763638275,357.6565888314068,438.03477702530387,0.5882352941176471,-5.227678846428034
xgb_d2__base_future_effect,base_future_effect,2,development,387.17063373691457,304.2265645195456,261.4528856998732,404.16310984390407,382.12484656138326,444.42814718569497,0.4411764705882353,381.3282383852138,297.1359818723021,250.9244161974482,396.24113245031714,376.29738159531746,438.03477702530387,0.4495798319327731,-5.842395351700759
xgb_d2__base_future_effect,base_future_effect,2,late,336.8834932000097,245.72269991297023,28.45803279613698,385.8669290629821,335.75081580348524,363.3529475678096,0.726890756302521,340.29004247667916,248.55988537595394,24.09987321197937,390.033717778931,339.0157960674961,368.4369283621916,0.726890756302521,3.406549276669466
xgb_d2__base_future_effect,base_future_effect,2,four_year,362.8991510178035,274.97463221625793,144.9554592480051,395.1209348434933,358.93783118243425,444.42814718569497,0.5840336134453782,361.39212664275806,272.847933624128,137.5121447047138,393.1496763638275,357.6565888314068,438.03477702530387,0.5882352941176471,-1.5070243750454324
xgb_d2__base_no_future,base_no_future,2,development,382.35052481164587,298.358266557966,254.6181595105083,403.4896950387813,378.30502214375724,433.77784471979277,0.4495798319327731,381.3282383852138,297.1359818723021,250.9244161974482,396.24113245031714,376.29738159531746,438.03477702530387,0.4495798319327731,-1.0222864264320606
xgb_d2__base_no_future,base_no_future,2,late,339.3750061585521,247.98478414913524,24.38945741540695,389.086554858086,338.19436675263375,366.478021076329,0.7184873949579832,340.29004247667916,248.55988537595394,24.09987321197937,390.033717778931,339.0157960674961,368.4369283621916,0.726890756302521,0.9150363181270791
xgb_d2__base_no_future,base_no_future,2,four_year,361.5019492539828,273.1715253535506,139.50380846295764,396.3535550325133,358.2496944481955,433.77784471979277,0.5840336134453782,361.39212664275806,272.847933624128,137.5121447047138,393.1496763638275,357.6565888314068,438.03477702530387,0.5882352941176471,-0.10982261122472892
