protocol,level,season_start_year,state_name,rows,rmse,mae,bias,equal_state_rmse,mean_year_rmse,max_year_rmse,direction_accuracy
select_2016_2018_test_2019_2022,year,2016,ALL,119,291.52159416352765,217.23646934471546,-68.245452017615,277.55342089914035,291.52159416352765,291.52159416352765,0.9747899159663865
select_2016_2018_test_2019_2022,year,2017,ALL,119,368.13142475944795,283.7275036010238,-24.55901544733499,338.2145867062225,368.13142475944795,368.13142475944795,0.5378151260504201
select_2016_2018_test_2019_2022,year,2018,ALL,119,420.5520906186092,346.836064098663,-78.523418978678,405.6001999676898,420.5520906186092,420.5520906186092,0.5714285714285714
select_2016_2018_test_2019_2022,year,2019,ALL,119,459.8208794531629,364.7498000677994,282.137961237973,530.8773335144635,459.8208794531629,459.8208794531629,0.46218487394957986
select_2016_2018_test_2019_2022,year,2020,ALL,119,420.7382242200441,330.7032714867539,267.1084464405031,505.69150018121496,420.7382242200441,420.7382242200441,0.6386554621848739
select_2016_2018_test_2019_2022,year,2021,ALL,119,723.8940873141668,584.9340989625747,549.5550847473298,895.1839735169416,723.8940873141668,723.8940873141668,0.3025210084033613
select_2016_2018_test_2019_2022,year,2022,ALL,119,617.1865548473698,522.99416235555,499.6194776859402,683.4456160350434,617.1865548473698,617.1865548473698,0.6554621848739496
select_2016_2018_test_2019_2022,state_year,2016,Haryana,22,313.72871917289115,249.23883962827648,78.15237972021023,313.72871917289115,313.72871917289115,313.72871917289115,0.9090909090909091
select_2016_2018_test_2019_2022,state_year,2016,Punjab,22,194.41830479640075,160.14912366305626,142.4904928616278,194.41830479640075,194.41830479640075,194.41830479640075,0.9545454545454546
select_2016_2018_test_2019_2022,state_year,2016,Uttar Pradesh,75,308.03168324813123,224.5947287948242,-173.00469315862165,308.03168324813123,308.03168324813123,308.03168324813123,1.0
select_2016_2018_test_2019_2022,state_year,2017,Haryana,22,360.5067913169859,286.1520576815833,227.5261847054394,360.50679131698587,360.5067913169859,360.5067913169859,0.6363636363636364
select_2016_2018_test_2019_2022,state_year,2017,Punjab,22,226.64191139736656,184.91709616878515,179.5632547635935,226.64191139736656,226.64191139736656,226.64191139736656,0.5909090909090909
select_2016_2018_test_2019_2022,state_year,2017,Uttar Pradesh,75,402.2879781885884,312.00068725084964,-158.37987342068786,402.2879781885884,402.2879781885884,402.2879781885884,0.49333333333333335
select_2016_2018_test_2019_2022,state_year,2018,Haryana,22,395.6210173568376,340.00743344523073,207.6890067990651,395.6210173568376,395.6210173568376,395.6210173568376,0.7272727272727273
select_2016_2018_test_2019_2022,state_year,2018,Punjab,22,380.4893029351275,344.2453744435716,334.3992843489176,380.48930293512745,380.4893029351275,380.4893029351275,0.45454545454545453
select_2016_2018_test_2019_2022,state_year,2018,Uttar Pradesh,75,438.45919721106486,349.59906472249656,-283.6030568495773,438.45919721106486,438.45919721106486,438.45919721106486,0.56
select_2016_2018_test_2019_2022,state_year,2019,Haryana,22,594.4336691803637,488.82608444853753,475.3153962229375,594.4336691803637,594.4336691803637,594.4336691803637,0.45454545454545453
select_2016_2018_test_2019_2022,state_year,2019,Punjab,22,606.9332128001499,541.7419667110821,541.7419667110821,606.9332128001499,606.9332128001499,606.9332128001499,0.18181818181818182
select_2016_2018_test_2019_2022,state_year,2019,Uttar Pradesh,75,351.8137545110181,276.43638776741983,149.32207203693807,351.8137545110181,351.8137545110181,351.8137545110181,0.5466666666666666
select_2016_2018_test_2019_2022,state_year,2020,Haryana,22,544.7335211812068,429.2337075842433,401.24462538969004,544.7335211812069,544.7335211812068,544.7335211812068,0.6818181818181818
select_2016_2018_test_2019_2022,state_year,2020,Punjab,22,625.6390540835856,597.499025225333,597.499025225333,625.6390540835856,625.6390540835856,625.6390540835856,0.3181818181818182
select_2016_2018_test_2019_2022,state_year,2020,Uttar Pradesh,75,281.0922357047649,223.54092246817402,130.84726417185803,281.09223570476496,281.0922357047649,281.0922357047649,0.72
select_2016_2018_test_2019_2022,state_year,2021,Haryana,22,747.5298026175453,709.0053126493763,709.0053126493763,747.5298026175453,747.5298026175453,747.5298026175453,0.3181818181818182
select_2016_2018_test_2019_2022,state_year,2021,Punjab,22,1290.9670934943567,1242.3297431126684,1242.3297431126684,1290.9670934943565,1290.9670934943567,1290.9670934943567,0.0
select_2016_2018_test_2019_2022,state_year,2021,Uttar Pradesh,75,422.68924405294223,355.7038206637521,299.56911810889693,422.6892440529423,422.68924405294223,422.68924405294223,0.38666666666666666
select_2016_2018_test_2019_2022,state_year,2022,Haryana,22,714.4103589080033,656.784893198514,656.784893198514,714.4103589080033,714.4103589080033,714.4103589080033,0.5
select_2016_2018_test_2019_2022,state_year,2022,Punjab,22,785.6902417176045,740.9527424885182,740.9527424885182,785.6902417176045,785.6902417176045,785.6902417176045,0.9545454545454546
select_2016_2018_test_2019_2022,state_year,2022,Uttar Pradesh,75,523.0701801739701,419.8143644692766,382.7265314601622,523.0701801739701,523.0701801739701,523.0701801739701,0.6133333333333333
