model,event,period,auc,brier,log_loss
V14 outlook distribution,rise,2021-2022,0.8429645542427496,0.15993117554233968,0.4919926841795565
V14 outlook distribution,severe_drop,2021-2022,0.7855139415937965,0.08773348881441183,0.3043368808841545
V5 probability output,rise,2021-2022,0.833404940923738,0.16450252828151865,0.5079359007689974
V5 probability output,severe_drop,2021-2022,0.74236924599901,0.09090411830865192,0.31948741933794733
V13 probability output,rise,2021-2022,0.7956319369853203,0.1969702590791569,0.5806024528691583
V13 probability output,severe_drop,2021-2022,0.5636033657812243,0.11592614650676131,0.3986816240596832
