output,model,period,rmse,mae,bias,equal_state_rmse,mean_year_rmse,max_year_rmse,direction_accuracy,rows,mean_pinball_loss,approx_crps,coverage_50,width_50,coverage_80,width_80,coverage_90,width_90,rise_auc,rise_brier,rise_log_loss,severe_drop_auc,severe_drop_brier,severe_drop_log_loss,selection_score
point,V5 frozen point,development,256.9986380355725,187.52847148620847,-7.784044790835296,268.2141762628503,256.063649799484,277.9658689451882,0.7773109243697479,,,,,,,,,,,,,,,,
point,V5 frozen point,late_confirmation,288.61001033283793,208.89521311406367,37.87685343612686,312.20452345818313,288.60268458196344,290.65902025605124,0.7815126050420168,,,,,,,,,,,,,,,,
point,V5 frozen point,four_forecast_years,273.2618140323123,198.21184230013606,15.046404322645783,291.0416712569787,272.3331671907237,290.65902025605124,0.7794117647058824,,,,,,,,,,,,,,,,
point,V14 outlook shadow point,development,254.10775598274657,183.73839409143554,0.5620922372791659,263.49175556090205,253.13151003188517,275.3843812975156,0.7983193277310925,,,,,,,,,,,,,,,,
point,V14 outlook shadow point,late_confirmation,288.1293919381377,208.5322776221188,35.76222169038172,311.86166923596903,288.119936904488,290.45412986884446,0.7773109243697479,,,,,,,,,,,,,,,,
point,V14 outlook shadow point,four_forecast_years,271.6517054513261,196.13533585677715,18.16215696383044,288.69153606159904,270.6257234681866,290.45412986884446,0.7878151260504201,,,,,,,,,,,,,,,,
distribution,history_shape__scaled_state_equal_year__w1.00,development,,,,,,,,238.0,72.67343169361983,145.3468633872397,0.542016806722689,321.90778591524673,0.8109243697478992,640.9088766368367,0.9411764705882352,916.5012834113802,0.8321078431372549,0.1588220467086636,0.4888537772076368,0.8430738119312436,0.0725679856581757,0.2536834189326675,72.67343169361983
distribution,history_shape__scaled_state_equal_year__w1.00,late,,,,,,,,238.0,80.86126277313517,161.72252554627033,0.5210084033613446,329.38773398503537,0.7899159663865546,660.6952641810296,0.8907563025210085,941.9085155235666,0.8399570354457572,0.1606425238538372,0.4953652904196015,0.7843590166639169,0.088114337946167,0.3050050295968697,
distribution,history_shape__scaled_state_equal_year__w1.00,four_year,,,,,,,,476.0,76.76734723337752,153.53469446675504,0.5315126050420168,325.64775995014105,0.8004201680672269,650.8020704089332,0.9159663865546218,929.2048994674732,0.8360361331106442,0.1597322852812504,0.4921095338136191,0.8125453555878085,0.0803411618021713,0.2793442242647686,
distribution,history_shape__scaled_state_equal_year__w1.20,development,,,,,,,,238.0,74.03467354410662,148.06934708821325,0.5966386554621849,386.28934309829606,0.8781512605042017,769.0906519642041,0.953781512605042,1099.801540093656,0.8327566320645906,0.1622480900483745,0.4982150900923666,0.8511627906976744,0.0727533316034172,0.2564440332790111,74.03467354410662
distribution,history_shape__scaled_state_equal_year__w1.20,late,,,,,,,,238.0,81.90518300550355,163.8103660110071,0.6050420168067226,395.2652807820425,0.8361344537815126,792.8343170172355,0.9285714285714286,1130.29021862828,0.8390261367704978,0.1638727918308684,0.504512957573483,0.7934334268272563,0.0880523662574711,0.3040773258660458,
distribution,history_shape__scaled_state_equal_year__w1.20,four_year,,,,,,,,476.0,77.96992827480508,155.93985654961017,0.6008403361344538,390.7773119401693,0.8571428571428571,780.9624844907199,0.9411764705882352,1115.0458793609682,0.8365210207783345,0.1630604409396215,0.5013640238329248,0.8210722060957909,0.0804028489304441,0.2802606795725285,
distribution,outlook_corrected__history_shape__scaled_state_equal_year__w1.00,development,,,,,,,,238.0,72.01914330772416,144.03828661544833,0.5630252100840336,321.90778591524673,0.8025210084033614,640.9088766368367,0.9285714285714286,916.5012834113802,0.8442906574394464,0.1577623172455825,0.4868250123401142,0.8281092012133469,0.0754134622059321,0.2627542942490107,72.01914330772416
distribution,outlook_corrected__history_shape__scaled_state_equal_year__w1.00,late,,,,,,,,238.0,80.821626918591,161.643253837182,0.5504201680672269,329.3877339850354,0.7815126050420168,660.6952641810298,0.8949579831932774,941.9085155235666,0.8429645542427496,0.1599311755423396,0.4919926841795565,0.7855139415937965,0.0877334888144118,0.3043368808841545,
distribution,outlook_corrected__history_shape__scaled_state_equal_year__w1.00,four_year,,,,,,,,476.0,76.42038511315758,152.84077022631516,0.5567226890756303,325.64775995014105,0.792016806722689,650.8020704089332,0.9117647058823528,929.2048994674732,0.8420343731479986,0.1588467463939611,0.4894088482598354,0.8048802612481858,0.0815734755101719,0.2835455875665826,
