candidate,season_start_year,state_name,rmse,mae,bias,equal_state_rmse,mean_year_rmse,max_year_rmse,direction_accuracy
weighted3__physical__xgb_2p0,2016,Haryana,538.4552161571676,434.2330541935834,-428.8435647162524,538.4552161571676,538.4552161571676,538.4552161571676,0.8636363636363636
weighted3__physical__xgb_2p0,2016,Punjab,373.35236669219665,345.1987330642614,-345.1987330642614,373.35236669219665,373.35236669219665,373.35236669219665,0.8181818181818182
weighted3__physical__xgb_2p0,2016,Uttar Pradesh,889.7243901439797,807.3726826898256,-807.3726826898256,889.7243901439796,889.7243901439797,889.7243901439797,0.4666666666666667
weighted3__physical__xgb_2p0,2017,Haryana,257.14085458924995,202.17926360260356,196.50743742422625,257.14085458924995,257.14085458924995,257.14085458924995,0.6818181818181818
weighted3__physical__xgb_2p0,2017,Punjab,131.5094795671682,106.26012984730984,13.211378108371429,131.5094795671682,131.5094795671682,131.5094795671682,0.7272727272727273
weighted3__physical__xgb_2p0,2017,Uttar Pradesh,362.6326648910302,282.2747578612963,-188.47223735888798,362.6326648910301,362.6326648910302,362.6326648910302,0.5866666666666667
weighted3__physical__xgb_2p0,2018,Haryana,454.3577557273909,376.13068757273936,304.60355642167,454.35775572739084,454.3577557273909,454.3577557273909,0.7272727272727273
weighted3__physical__xgb_2p0,2018,Punjab,185.92687949901142,149.4521858746355,46.099749299612874,185.92687949901142,185.92687949901142,185.92687949901142,0.5909090909090909
weighted3__physical__xgb_2p0,2018,Uttar Pradesh,211.440825631298,160.70789529562,31.678737682501488,211.440825631298,211.440825631298,211.440825631298,0.88
weighted3__physical__xgb_2p0,2019,Haryana,326.0109743314565,288.61496637761593,109.98966552859002,326.0109743314565,326.0109743314565,326.0109743314565,0.7272727272727273
weighted3__physical__xgb_2p0,2019,Punjab,279.2706580340877,207.07896952331066,53.73181021619927,279.2706580340877,279.2706580340877,279.2706580340877,0.6363636363636364
weighted3__physical__xgb_2p0,2019,Uttar Pradesh,301.67836036501626,210.1361896924178,39.91653259158132,301.67836036501626,301.67836036501626,301.67836036501626,0.7466666666666667
weighted3__physical__xgb_2p0,2020,Haryana,367.2657349193026,276.6676685701717,15.260902095924724,367.2657349193026,367.2657349193026,367.2657349193026,0.8636363636363636
weighted3__physical__xgb_2p0,2020,Punjab,225.83011216625727,191.30653942850503,115.45320398834619,225.83011216625724,225.83011216625727,225.83011216625727,0.7727272727272727
