candidate,period,normal,feature_set,model,rows,rmse,mae,bias,equal_state_rmse,mean_year_rmse,max_year_rmse,direction_accuracy
ewma5__history__extra_3p0,rolling_2016_2022,ewma5,history,extra_3p0,833,537.8658485972579,397.6203506201594,-73.76193989141237,528.0759331588437,472.6194216173817,1071.1284281686642,0.45858343337334934
ewma5__history__extra_3p0,development,ewma5,history,extra_3p0,238,344.1572582924607,266.33213793639544,209.40713379655588,367.76329518903486,341.73249522619057,382.5138652603763,0.5168067226890757
ewma5__history__extra_3p0,late,ewma5,history,extra_3p0,238,446.840734640764,329.3724772659586,276.6008503878457,512.304220588209,433.83945328987625,540.8439901256525,0.5042016806722689
ewma5__history__huber_10p0,rolling_2016_2022,ewma5,history,huber_10p0,833,457.8577188754692,358.26415104538876,-134.71828182876388,448.7892501622738,444.1909143944566,619.0858291896541,0.6218487394957983
ewma5__history__huber_10p0,development,ewma5,history,huber_10p0,238,333.4790458744278,268.6630836567298,-148.03779438122572,325.43810351032266,331.913570562405,364.1882620998015,0.7142857142857143
ewma5__history__huber_10p0,late,ewma5,history,huber_10p0,238,442.93658878575405,325.2061847237844,92.8457705716324,515.9669346617824,436.63893516616196,511.06515354463676,0.5672268907563025
ewma5__history__ridge_1000p0,rolling_2016_2022,ewma5,history,ridge_1000p0,833,514.0066210975618,399.50605452662046,-259.8143703160435,482.4571450111111,470.15536360432947,939.132110554488,0.5102040816326531
ewma5__history__ridge_1000p0,development,ewma5,history,ridge_1000p0,238,299.8119513944936,234.66963352861015,-92.18274909318632,298.1209614272383,299.7617397565623,305.2485946929723,0.7100840336134454
ewma5__history__ridge_1000p0,late,ewma5,history,ridge_1000p0,238,386.6910489105557,284.42140710728705,33.16573457280796,441.8688704517427,382.55206821857735,438.9779701540781,0.6050420168067226
ewma5__history__ridge_100p0,rolling_2016_2022,ewma5,history,ridge_100p0,833,533.5644843088444,411.93388685540043,-131.57059713854304,518.2845703943133,495.06072652300867,931.1450251334361,0.5006002400960384
ewma5__history__ridge_100p0,development,ewma5,history,ridge_100p0,238,375.67099629780853,285.4318044439155,113.68865171944758,394.45800360086287,367.8087686260876,444.26403123860626,0.5714285714285714
ewma5__history__ridge_100p0,late,ewma5,history,ridge_100p0,238,415.2124763421231,296.77488741507943,82.84527377214074,488.6007930111826,408.07480047723686,484.73220537475174,0.6050420168067226
ewma5__history__state_ridge_100p0,rolling_2016_2022,ewma5,history,state_ridge_100p0,833,509.77255595782657,394.9268092758822,-252.47595344057882,475.16033261360104,469.9230289143097,892.3509143662346,0.5102040816326531
ewma5__history__state_ridge_100p0,development,ewma5,history,state_ridge_100p0,238,300.1868228051313,234.10598861298354,-69.98254725949151,304.55244297488,300.02779485229667,309.79769259523556,0.7226890756302521
ewma5__history__state_ridge_100p0,late,ewma5,history,state_ridge_100p0,238,372.97776533765045,277.22299541213806,46.515370927573024,431.264749753406,368.12065310629123,428.1173046200635,0.592436974789916
ewma5__history__xgb_1p0,rolling_2016_2022,ewma5,history,xgb_1p0,833,529.8803683411852,404.86135802443664,-201.76902774659578,514.8515224686015,485.9021840292472,966.704949733236,0.5114045618247299
ewma5__history__xgb_1p0,development,ewma5,history,xgb_1p0,238,332.5586898997723,261.3878357786341,-24.628873871028926,351.56758340720404,332.17450119562363,348.15520779112643,0.6722689075630253
ewma5__history__xgb_1p0,late,ewma5,history,xgb_1p0,238,438.3913105330813,311.7336335547112,122.14408881376582,530.7435167347436,426.99946796744547,526.2889211154566,0.5798319327731093
ewma5__history__xgb_2p0,rolling_2016_2022,ewma5,history,xgb_2p0,833,481.7143060115943,356.8693624040593,-121.8649989724512,475.1018154643905,441.344408370464,883.2048598699552,0.5462184873949579
ewma5__history__xgb_2p0,development,ewma5,history,xgb_2p0,238,308.29285360980185,222.02928571763664,87.58828928553257,338.7233517830936,306.87532267911416,336.4053060428802,0.7142857142857143
ewma5__history__xgb_2p0,late,ewma5,history,xgb_2p0,238,415.3211968912796,289.4868806275518,165.10515409212326,495.6693521900108,404.1664721303142,499.7758827180853,0.5882352941176471
ewma5__modis__extra_3p0,rolling_2016_2022,ewma5,modis,extra_3p0,833,669.7297101263008,499.1532181992728,-203.0511650443973,660.4544253719595,573.9016066887593,1388.1830203860727,0.44657863145258103
ewma5__modis__extra_3p0,development,ewma5,modis,extra_3p0,238,369.6566561307133,299.79742455474144,103.4530872405014,412.6894113020817,369.65416438560294,371.01143153766077,0.6176470588235294
ewma5__modis__extra_3p0,late,ewma5,modis,extra_3p0,238,461.6628090981506,337.36080713744906,280.3286744949776,539.1094654179109,446.69414361642214,563.2998525812352,0.5042016806722689
ewma5__modis__huber_10p0,rolling_2016_2022,ewma5,modis,huber_10p0,833,1287.0102174445653,1023.2061997774929,467.1705723949596,1258.3170922628217,1083.6303803217868,2604.1919940695843,0.468187274909964
ewma5__modis__huber_10p0,development,ewma5,modis,huber_10p0,238,2054.9807278193916,1906.4627618223797,1906.4627618223797,1963.6124769697844,1947.0912763667643,2604.1919940695843,0.42857142857142855
ewma5__modis__huber_10p0,late,ewma5,modis,huber_10p0,238,781.6620974908487,614.2401333248476,359.7064774823322,872.9904830930539,700.9296401982309,1046.89679780914,0.6974789915966386
ewma5__modis__ridge_1000p0,rolling_2016_2022,ewma5,modis,ridge_1000p0,833,733.4365281900541,549.4685294474002,-259.3920815629082,722.4189695714449,620.6713721595925,1507.7890510801378,0.4381752701080432
ewma5__modis__ridge_1000p0,development,ewma5,modis,ridge_1000p0,238,514.2302579338495,395.34972182793973,307.7798297212969,577.771735121043,478.15457002065824,667.3660002860438,0.47478991596638653
ewma5__modis__ridge_1000p0,late,ewma5,modis,ridge_1000p0,238,348.0461774569542,260.700990944717,32.65510267988769,379.68597945857425,346.27146712409046,381.3743544430494,0.6764705882352942
ewma5__modis__ridge_100p0,rolling_2016_2022,ewma5,modis,ridge_100p0,833,1067.7675486563855,793.2519935174688,-109.78379115581818,1103.5735467634402,863.0775545486632,1830.9110722964,0.4345738295318127
ewma5__modis__ridge_100p0,development,ewma5,modis,ridge_100p0,238,1315.231336229199,1011.2284212395588,981.6211479845366,1423.9902165224976,1079.3393219088232,1830.9110722964,0.4495798319327731
ewma5__modis__ridge_100p0,late,ewma5,modis,ridge_100p0,238,383.6469733893018,275.76483650990184,88.60965847551857,436.25183126643384,381.3564890329968,423.2161171154039,0.6638655462184874
ewma5__modis__state_ridge_100p0,rolling_2016_2022,ewma5,modis,state_ridge_100p0,833,593.2074158520744,451.0412444944204,-236.59327694516895,572.342521535554,526.6227232303779,1145.234609634828,0.44657863145258103
