candidate,period,normal,feature_set,model,rows,rmse,mae,bias,equal_state_rmse,mean_year_rmse,max_year_rmse,direction_accuracy
ewma5__modis__state_ridge_100p0,development,ewma5,modis,state_ridge_100p0,238,356.9618918282369,271.8415253801512,153.56221141797522,369.2792658776948,351.1678647217766,415.22192785864513,0.5252100840336135
ewma5__modis__state_ridge_100p0,late,ewma5,modis,state_ridge_100p0,238,354.2156218579684,269.3658056675104,42.71501108069851,402.5094961067209,351.47773907400386,395.4334634299253,0.6386554621848739
ewma5__modis__xgb_1p0,rolling_2016_2022,ewma5,modis,xgb_1p0,833,605.4270373312653,455.5563112528484,-215.83120268277483,592.9884888417103,534.4915018722505,1217.0970090342869,0.4849939975990396
ewma5__modis__xgb_1p0,development,ewma5,modis,xgb_1p0,238,383.35811480260793,312.9521237659605,6.144271519730046,405.9305757105508,382.1405164624501,412.67033570235805,0.6722689075630253
ewma5__modis__xgb_1p0,late,ewma5,modis,xgb_1p0,238,412.17267460850803,289.1373184416321,201.84145075126324,495.0737562041414,405.28764514773513,480.3092312715606,0.5840336134453782
ewma5__modis__xgb_2p0,rolling_2016_2022,ewma5,modis,xgb_2p0,833,640.8907012291435,485.78852740918956,-255.5482659877069,615.7850371770977,560.9229196071817,1303.2221779368997,0.4849939975990396
ewma5__modis__xgb_2p0,development,ewma5,modis,xgb_2p0,238,407.4559092227123,336.2441886423015,-13.669861762112925,407.8448704731669,404.0362382628462,456.7148499654694,0.6554621848739496
ewma5__modis__xgb_2p0,late,ewma5,modis,xgb_2p0,238,384.56856406484866,272.2944421095731,190.31640416992045,445.4396186402538,383.6710844125415,409.92902516584655,0.6218487394957983
ewma5__none__zero_anomaly,rolling_2016_2022,ewma5,none,zero_anomaly,833,480.66266247079216,377.54842600673754,-230.33287780943658,446.8566981445879,454.9867430643138,738.9972326280612,0.56062424969988
ewma5__none__zero_anomaly,development,ewma5,none,zero_anomaly,238,309.6317000306421,247.53193277310922,-109.52605042016806,304.22678544603576,308.92572440495053,329.8227688070207,0.7058823529411765
ewma5__none__zero_anomaly,late,ewma5,none,zero_anomaly,238,369.4895433123964,260.86528934290897,108.32106212075351,430.51955878528275,363.5490307721854,429.5386120847522,0.6302521008403361
ewma5__outlook_only__extra_3p0,development,ewma5,outlook_only,extra_3p0,238,383.0464933091146,307.80718808655996,263.45985458571494,387.06904974629725,376.35027462785706,447.6600693544314,0.46218487394957986
ewma5__outlook_only__extra_3p0,late,ewma5,outlook_only,extra_3p0,238,430.10648549601035,322.8188720238022,282.8310588785882,483.5928027627016,425.2144350126822,489.9003927050219,0.5168067226890757
ewma5__outlook_only__huber_10p0,development,ewma5,outlook_only,huber_10p0,238,375.3455276434665,297.9862808612385,249.68171338453203,391.5274761231541,372.3002830976442,420.01573476024794,0.5756302521008403
ewma5__outlook_only__huber_10p0,late,ewma5,outlook_only,huber_10p0,238,447.24648793837844,324.18205170470003,253.99670526902128,541.591574920313,445.91382317720513,480.41430538691196,0.5882352941176471
ewma5__outlook_only__ridge_1000p0,development,ewma5,outlook_only,ridge_1000p0,238,373.83146861197855,294.10703164138187,253.22620439601505,404.30842770007314,369.1958820068354,427.88461715919277,0.5
ewma5__outlook_only__ridge_1000p0,late,ewma5,outlook_only,ridge_1000p0,238,425.34095325716004,319.45924209187393,281.7691081817108,477.71621903967593,421.73007690286863,477.03530950530967,0.5210084033613446
ewma5__outlook_only__ridge_100p0,development,ewma5,outlook_only,ridge_100p0,238,343.53347613592433,262.5214901311961,201.6864731716068,357.31903971939533,337.59520171044085,401.1933857106031,0.5840336134453782
ewma5__outlook_only__ridge_100p0,late,ewma5,outlook_only,ridge_100p0,238,401.80103770032343,289.6408372853745,229.49674144698804,463.6559146960525,398.5595424616448,449.4944520013803,0.5966386554621849
ewma5__outlook_only__state_ridge_100p0,development,ewma5,outlook_only,state_ridge_100p0,238,404.0025275906633,321.28912467471656,260.32289439792015,441.8978294335821,395.0546693746597,479.61145801355605,0.4789915966386555
ewma5__outlook_only__state_ridge_100p0,late,ewma5,outlook_only,state_ridge_100p0,238,397.0298017322222,292.49809806893694,227.6324708573192,445.86040696790707,394.19319162778345,441.5681970402292,0.5378151260504201
ewma5__outlook_only__xgb_1p0,development,ewma5,outlook_only,xgb_1p0,238,477.6664525706039,396.5777354328071,367.0415327912118,535.4224705911147,474.16958202979276,531.862279913291,0.4495798319327731
ewma5__outlook_only__xgb_1p0,late,ewma5,outlook_only,xgb_1p0,238,485.48711933164384,364.50397256618214,332.57744919838444,568.3857261114157,476.297033138586,570.3123471056123,0.4831932773109244
ewma5__outlook_only__xgb_2p0,development,ewma5,outlook_only,xgb_2p0,238,470.18766363499947,388.86371567379524,359.6032886680435,529.9933095234898,465.5466443589628,531.4462722839281,0.44537815126050423
ewma5__outlook_only__xgb_2p0,late,ewma5,outlook_only,xgb_2p0,238,478.02533075590844,357.0235926359029,321.8171712304753,560.5775102863913,468.282267608674,564.3027585862455,0.49159663865546216
ewma5__physical__extra_3p0,rolling_2016_2022,ewma5,physical,extra_3p0,833,472.76775489383834,362.35956444778606,-102.47600967829099,470.2556288884247,440.1323499754876,826.2292397381316,0.5162064825930373
ewma5__physical__extra_3p0,development,ewma5,physical,extra_3p0,238,335.74252485830544,257.7748739652433,146.15176560530625,378.77934274084697,334.3949082232654,364.44633668488297,0.6554621848739496
ewma5__physical__extra_3p0,late,ewma5,physical,extra_3p0,238,468.06508611045734,377.2799146919085,3.233961254835784,529.77624267485,467.28545850366584,494.2896268228086,0.44537815126050423
ewma5__physical__huber_10p0,rolling_2016_2022,ewma5,physical,huber_10p0,833,824.0884282352201,641.6454350340321,-167.5253095732552,895.8888562226168,732.0935251881646,1556.9741651805555,0.5378151260504201
ewma5__physical__huber_10p0,development,ewma5,physical,huber_10p0,238,446.3965397767455,330.9622431010605,225.27584367055448,533.7972770757749,439.1266907470804,519.3614724702804,0.5546218487394958
ewma5__physical__huber_10p0,late,ewma5,physical,huber_10p0,238,609.9389041101487,557.7147135925785,-530.9698470022726,596.0460956048884,605.9212874806769,675.8130618525437,0.6008403361344538
ewma5__physical__ridge_1000p0,rolling_2016_2022,ewma5,physical,ridge_1000p0,833,499.33805309273055,397.164951454012,-144.07892133227145,506.83391572050897,470.1417054426243,830.3405423899277,0.575030012004802
ewma5__physical__ridge_1000p0,development,ewma5,physical,ridge_1000p0,238,405.69791914339527,317.87886541916583,107.56877876077561,468.8892661532969,402.23027598271847,455.1604817271419,0.680672268907563
ewma5__physical__ridge_1000p0,late,ewma5,physical,ridge_1000p0,238,468.28153774705163,382.4720200100773,-257.18568735618885,493.74684066667584,449.0678769460398,581.8294696222345,0.5756302521008403
ewma5__physical__ridge_100p0,rolling_2016_2022,ewma5,physical,ridge_100p0,833,476.85319131398006,398.55014158616626,-89.69238233847736,506.5817519838621,466.37088412519364,623.8827423885363,0.6530612244897959
ewma5__physical__ridge_100p0,development,ewma5,physical,ridge_100p0,238,396.81580612551386,322.45569489347764,16.823017491445057,451.9991822792466,396.7518514670244,403.8759197239733,0.6764705882352942
ewma5__physical__ridge_100p0,late,ewma5,physical,ridge_100p0,238,463.29179086544593,394.9812442084019,-340.01155926291307,453.02718186250354,450.7211708559903,557.9112339472921,0.6008403361344538
ewma5__physical__state_ridge_100p0,rolling_2016_2022,ewma5,physical,state_ridge_100p0,833,494.58567667353157,377.9587164195976,-100.85068496539122,508.6795190653275,466.3175731444964,797.9088684682869,0.5690276110444178
ewma5__physical__state_ridge_100p0,development,ewma5,physical,state_ridge_100p0,238,471.983433650344,352.8664250234363,195.20153157806644,565.6697089852215,451.262530723234,589.5755453156103,0.6680672268907563
ewma5__physical__state_ridge_100p0,late,ewma5,physical,state_ridge_100p0,238,423.400800397538,335.61315994971426,-64.9110934915377,489.4228834015392,422.215379703768,453.8762533316205,0.5168067226890757
ewma5__physical__xgb_1p0,rolling_2016_2022,ewma5,physical,xgb_1p0,833,462.85427720401924,343.8483906940772,-142.64365180010802,443.47575590944956,417.4796278249602,896.588866825856,0.5690276110444178
ewma5__physical__xgb_1p0,development,ewma5,physical,xgb_1p0,238,286.8804618858599,220.70526813203546,4.8938304433301765,303.0064603343222,286.50386212616024,301.1986366612965,0.6974789915966386
ewma5__physical__xgb_1p0,late,ewma5,physical,xgb_1p0,238,361.23594570863037,270.69011411432115,41.13254060322635,411.3329253075535,358.91401144864983,399.80583040852224,0.6050420168067226
ewma5__physical__xgb_2p0,rolling_2016_2022,ewma5,physical,xgb_2p0,833,452.8546348940545,341.2512718455866,-215.05023256741197,420.241316211662,411.7216729500199,859.4336776620705,0.5678271308523409
ewma5__physical__xgb_2p0,development,ewma5,physical,xgb_2p0,238,286.27881312609645,219.81586941610863,-58.06160374193632,293.93302504044766,285.8415815666483,301.65768387927955,0.7100840336134454
ewma5__physical__xgb_2p0,late,ewma5,physical,xgb_2p0,238,335.45603877724017,263.11642950841576,-63.326249212621796,356.27624896094153,335.2594587877666,346.7420214569221,0.6596638655462185
ewma5__physical_modis__extra_3p0,rolling_2016_2022,ewma5,physical_modis,extra_3p0,833,570.627234696436,414.96791143737346,-159.95004688436626,563.5415282329045,492.7201446773308,1172.8942451527855,0.49459783913565425
ewma5__physical_modis__extra_3p0,development,ewma5,physical_modis,extra_3p0,238,343.53022484852994,264.19515126131944,148.08146384060265,393.80040142068594,343.44770014699793,350.9771522000568,0.6134453781512605
ewma5__physical_modis__extra_3p0,late,ewma5,physical_modis,extra_3p0,238,403.81056966227936,293.58886553543266,122.51267933091165,475.37649369967266,393.5913967583593,483.86203743836336,0.5672268907563025
ewma5__physical_modis__huber_10p0,rolling_2016_2022,ewma5,physical_modis,huber_10p0,833,1277.0279366264308,1040.5534359039625,-51.14618338558914,1362.2497692527256,1119.7386721108269,2270.7098143651356,0.49459783913565425
ewma5__physical_modis__huber_10p0,development,ewma5,physical_modis,huber_10p0,238,1138.5248611759507,864.9032812496995,854.23132738351,1336.0990241108989,961.766493313933,1571.0645089469547,0.4579831932773109
ewma5__physical_modis__huber_10p0,late,ewma5,physical_modis,huber_10p0,238,810.7076660443469,755.3228148353079,-749.5179502493912,767.1284082948423,808.7377015667025,865.2199983301988,0.6008403361344538
ewma5__physical_modis__ridge_1000p0,rolling_2016_2022,ewma5,physical_modis,ridge_1000p0,833,640.6491750149942,475.15375611331007,-229.36135571715164,633.1591112363221,547.1604640436278,1337.2618495082302,0.5018007202881153
ewma5__physical_modis__ridge_1000p0,development,ewma5,physical_modis,ridge_1000p0,238,444.8224730527746,345.4026473954572,295.8995808180183,483.5685543733144,444.37569500390316,464.3074340796707,0.5252100840336135
ewma5__physical_modis__ridge_1000p0,late,ewma5,physical_modis,ridge_1000p0,238,468.63252272340725,390.6563332540168,-294.2083156937383,480.7889821114003,458.4678793279627,555.5433395567221,0.592436974789916
ewma5__physical_modis__ridge_100p0,rolling_2016_2022,ewma5,physical_modis,ridge_100p0,833,660.7726295218171,486.85620026459065,-207.7498998476925,667.9378035741003,555.7412959096301,1396.6216448751613,0.5222088835534213
ewma5__physical_modis__ridge_100p0,development,ewma5,physical_modis,ridge_100p0,238,475.7117576581593,357.55344013274845,294.465748023401,523.0883252117544,455.2903649179362,593.1756795352215,0.5
ewma5__physical_modis__ridge_100p0,late,ewma5,physical_modis,ridge_100p0,238,461.6541171449366,398.9510051120979,-340.79220418924587,443.77497495068707,460.14752910451296,497.41380522491744,0.6134453781512605
ewma5__physical_modis__state_ridge_100p0,rolling_2016_2022,ewma5,physical_modis,state_ridge_100p0,833,569.6600548564686,434.78394389063294,-126.73469336410109,580.1050846040712,518.9983061320266,1061.947322757615,0.4837935174069628
ewma5__physical_modis__state_ridge_100p0,development,ewma5,physical_modis,state_ridge_100p0,238,492.9542883055953,384.0745356598463,339.6246336568431,564.0371664468132,486.4854019728996,566.0836684498919,0.5252100840336135
ewma5__physical_modis__state_ridge_100p0,late,ewma5,physical_modis,state_ridge_100p0,238,420.4145762597056,335.8024368574592,-79.83279298384738,482.22860570273696,419.6552033492839,444.9124049658306,0.5546218487394958
ewma5__physical_modis__xgb_1p0,rolling_2016_2022,ewma5,physical_modis,xgb_1p0,833,493.6101064649648,376.2061977379399,-192.08440205602648,465.0730145306709,450.7161428529633,924.6259010785692,0.5258103241296519
ewma5__physical_modis__xgb_1p0,development,ewma5,physical_modis,xgb_1p0,238,350.73423030637855,281.8736193289025,-74.19152436138702,336.73768062555274,343.61948413352604,413.9056878467531,0.7184873949579832
ewma5__physical_modis__xgb_1p0,late,ewma5,physical_modis,xgb_1p0,238,378.02825055025573,282.489717507866,76.00626866059667,434.6418914220163,373.65966807050484,430.96421127195714,0.5882352941176471
ewma5__physical_modis__xgb_2p0,rolling_2016_2022,ewma5,physical_modis,xgb_2p0,833,470.18904821879863,357.6131343540218,-239.23365816371066,433.3533366959646,426.24962527211375,896.8301882430376,0.5558223289315727
ewma5__physical_modis__xgb_2p0,development,ewma5,physical_modis,xgb_2p0,238,319.9262826769541,257.4592223741928,-119.27085753308623,309.50193027079837,315.7836673729455,367.1013228921454,0.7058823529411765
ewma5__physical_modis__xgb_2p0,late,ewma5,physical_modis,xgb_2p0,238,320.82436389972344,245.0222952370314,-19.552534076701836,344.3959509755723,320.7822171105602,325.9823764634618,0.6932773109243697
ewma5__physical_modis_outlook__extra_3p0,development,ewma5,physical_modis_outlook,extra_3p0,238,431.33449571735656,358.55174819994596,332.9534254598757,445.10652153784264,431.30338169254844,436.4841283875863,0.46638655462184875
ewma5__physical_modis_outlook__extra_3p0,late,ewma5,physical_modis_outlook,extra_3p0,238,459.2065904651037,354.87009574267285,317.5746881699634,510.3601365018827,450.79418087579637,538.2887476505697,0.48739495798319327
ewma5__physical_modis_outlook__huber_10p0,development,ewma5,physical_modis_outlook,huber_10p0,238,947.8646370786341,734.4389265069652,709.3251041137266,1018.8816217178082,847.7158370747748,1271.7738871066363,0.4789915966386555
ewma5__physical_modis_outlook__huber_10p0,late,ewma5,physical_modis_outlook,huber_10p0,238,512.9482835889107,418.6295456170489,-235.18378913545993,550.3624724128307,505.5543288613183,592.3342931756206,0.5630252100840336
ewma5__physical_modis_outlook__ridge_1000p0,development,ewma5,physical_modis_outlook,ridge_1000p0,238,453.1771675008044,376.7424430633255,356.8102962134057,488.50447545036513,452.63881439949046,474.721586939996,0.48739495798319327
ewma5__physical_modis_outlook__ridge_1000p0,late,ewma5,physical_modis_outlook,ridge_1000p0,238,420.0269619127472,307.83546141673446,264.0833710652766,477.46756730390734,418.45417115478864,454.7688428015382,0.5630252100840336
ewma5__physical_modis_outlook__ridge_100p0,development,ewma5,physical_modis_outlook,ridge_100p0,238,365.6262089533406,289.5493825990626,230.63100105915487,369.65673466126384,365.56513337847446,372.24779239791525,0.592436974789916
ewma5__physical_modis_outlook__ridge_100p0,late,ewma5,physical_modis_outlook,ridge_100p0,238,397.56574212421276,275.7362303462558,150.95306606073416,469.13794689050036,391.55559395900207,460.4231200521409,0.6302521008403361
ewma5__physical_modis_outlook__state_ridge_100p0,development,ewma5,physical_modis_outlook,state_ridge_100p0,238,507.070918720616,424.8078477715149,398.1372584787036,565.3319350095571,506.5844822135261,528.7898642778658,0.4495798319327731
ewma5__physical_modis_outlook__state_ridge_100p0,late,ewma5,physical_modis_outlook,state_ridge_100p0,238,408.6928759317601,305.4256312684502,249.49901793856483,457.77355703580804,408.3290807516033,425.56940122204844,0.5672268907563025
ewma5__physical_modis_outlook__xgb_1p0,development,ewma5,physical_modis_outlook,xgb_1p0,238,482.569069787253,399.8911426586765,372.6192993514178,541.653021827595,479.8847655493879,530.7130933690559,0.4495798319327731
ewma5__physical_modis_outlook__xgb_1p0,late,ewma5,physical_modis_outlook,xgb_1p0,238,477.46861341920584,356.02909888963853,321.45684043142086,559.6498228612085,468.11946005754294,562.1431162079689,0.5
ewma5__physical_modis_outlook__xgb_2p0,development,ewma5,physical_modis_outlook,xgb_2p0,238,483.8081725364851,402.24601780631957,377.3108941226948,545.4076103439962,481.3403284175919,530.1443861580925,0.4495798319327731
ewma5__physical_modis_outlook__xgb_2p0,late,ewma5,physical_modis_outlook,xgb_2p0,238,477.11017894715695,354.8007278598428,319.5114335229525,560.2383642709367,466.8023882312001,565.4413926697893,0.4957983193277311
ewma5__physical_modis_outlook_broad__extra_3p0,development,ewma5,physical_modis_outlook_broad,extra_3p0,238,430.46565050228816,358.11086598843235,332.25608865491716,444.6697280108821,430.34421692488854,440.5682680624085,0.4579831932773109
ewma5__physical_modis_outlook_broad__extra_3p0,late,ewma5,physical_modis_outlook_broad,extra_3p0,238,465.57025635270264,361.4598680728343,324.6982674713951,517.1757953106322,456.44384801900424,548.1753976948133,0.48739495798319327
ewma5__physical_modis_outlook_broad__huber_10p0,development,ewma5,physical_modis_outlook_broad,huber_10p0,238,778.9046791981796,637.9187043190512,597.7551963873725,817.0643845857207,748.7768979121959,963.3128073301955,0.47058823529411764
ewma5__physical_modis_outlook_broad__huber_10p0,late,ewma5,physical_modis_outlook_broad,huber_10p0,238,525.0259070496539,433.03349925968746,-300.39423478266554,536.2733691532196,513.7031455522339,622.1525868742268,0.6176470588235294
ewma5__physical_modis_outlook_broad__ridge_1000p0,development,ewma5,physical_modis_outlook_broad,ridge_1000p0,238,458.04336101183776,380.8641130469151,361.27265522330976,495.8152782652594,457.64960745986843,476.6379554356425,0.4789915966386555
ewma5__physical_modis_outlook_broad__ridge_1000p0,late,ewma5,physical_modis_outlook_broad,ridge_1000p0,238,428.82032215142016,316.80886376767694,277.2669420387055,487.0284187775661,427.2280860723453,464.14733797441465,0.5630252100840336
ewma5__physical_modis_outlook_broad__ridge_100p0,development,ewma5,physical_modis_outlook_broad,ridge_100p0,238,376.0997690134787,296.7265113204208,238.2640072895281,380.4735394978267,374.5996111772888,408.1580312505884,0.5630252100840336
ewma5__physical_modis_outlook_broad__ridge_100p0,late,ewma5,physical_modis_outlook_broad,ridge_100p0,238,401.0460870883839,279.9743848240906,163.32793477796267,472.33397815817585,395.8398331215112,460.25093840031974,0.6260504201680672
ewma5__physical_modis_outlook_broad__state_ridge_100p0,development,ewma5,physical_modis_outlook_broad,state_ridge_100p0,238,508.8862366560483,426.4564201808539,403.04302070432783,560.3950828617096,506.79228463006575,552.9093324257999,0.44537815126050423
ewma5__physical_modis_outlook_broad__state_ridge_100p0,late,ewma5,physical_modis_outlook_broad,state_ridge_100p0,238,433.09605273123304,320.54486495125786,268.7205672329924,492.04908234968246,431.4855179906241,468.8009123438638,0.5336134453781513
ewma5__physical_modis_outlook_broad__xgb_1p0,development,ewma5,physical_modis_outlook_broad,xgb_1p0,238,483.0654207271302,400.4353156281619,373.04931563374373,542.3123300678014,480.36698029783486,531.3548704465633,0.4495798319327731
ewma5__physical_modis_outlook_broad__xgb_1p0,late,ewma5,physical_modis_outlook_broad,xgb_1p0,238,479.0228300683021,357.2553530277218,322.80639044856764,561.7524682242623,469.53367279876244,564.4072825896313,0.4957983193277311
ewma5__physical_modis_outlook_broad__xgb_2p0,development,ewma5,physical_modis_outlook_broad,xgb_2p0,238,485.4898121211447,403.648759334428,378.8183446716862,547.4296502166216,483.07553212692096,531.4324130614532,0.4495798319327731
ewma5__physical_modis_outlook_broad__xgb_2p0,late,ewma5,physical_modis_outlook_broad,xgb_2p0,238,480.51964672889665,357.38127805312746,322.39304556417056,564.3691035817875,469.9709548702693,570.1030300050178,0.49159663865546216
mean5__history__extra_3p0,rolling_2016_2022,mean5,history,extra_3p0,833,597.029109050533,466.2591030818985,-146.53230128540807,570.7127587420878,540.2195235100561,1096.4102677960595,0.47058823529411764
mean5__history__extra_3p0,development,mean5,history,extra_3p0,238,312.93476559737053,248.04300379183795,104.89055571937261,334.46071581261,312.9197525990856,315.98503444718557,0.6680672268907563
mean5__history__extra_3p0,late,mean5,history,extra_3p0,238,510.1715525213349,392.22402906406023,360.94512108573656,572.8895288024886,497.6747998112613,609.9013859432919,0.5
mean5__history__huber_10p0,rolling_2016_2022,mean5,history,huber_10p0,833,483.6865245716606,380.90184512920393,-176.3728929577396,463.4498641896844,469.3292295509873,663.9367756875713,0.6206482593037215
mean5__history__huber_10p0,development,mean5,history,huber_10p0,238,389.6398558401208,311.8691088911569,-229.759584312646,361.763952752857,382.6115963828797,456.28373204117634,0.7142857142857143
mean5__history__huber_10p0,late,mean5,history,huber_10p0,238,435.1055454010796,322.0451433395837,76.45982843475421,500.3974278919729,430.7222363433109,492.32735592105377,0.5714285714285714
mean5__history__ridge_1000p0,rolling_2016_2022,mean5,history,ridge_1000p0,833,555.708417004052,445.2177257831949,-322.31065130909985,510.5783129789561,515.6703765896601,919.0788573076201,0.5102040816326531
mean5__history__ridge_1000p0,development,mean5,history,ridge_1000p0,238,342.9046949107967,280.772654896857,-181.7023169287667,320.4955081780991,340.9436255381901,377.56430271299166,0.7058823529411765
mean5__history__ridge_1000p0,late,mean5,history,ridge_1000p0,238,379.1494425692763,276.6993185899408,41.03284149018561,429.7942001066417,375.8463240994007,425.78469072828824,0.6176470588235294
mean5__history__ridge_100p0,rolling_2016_2022,mean5,history,ridge_100p0,833,542.3526330851888,416.8898210220355,-171.60571140025803,520.5042924638627,499.46701905430183,922.0521724055228,0.5006002400960384
