candidate,normal,feature_set,model,selection_years,shrink,log_offset,rmse,mae,bias,equal_state_rmse,mean_year_rmse,max_year_rmse,direction_accuracy,selection_score,protocol
median5__physical_modis__xgb_2p0,median5,physical_modis,xgb_2p0,2016-2017-2018,0.1,0.1,363.94580488618016,282.60001234813404,-57.10929548120933,344.4495755682807,360.068369847195,420.5520906186092,0.6946778711484594,358.102388796959,select_2016_2018_test_2019_2022
median5__physical__xgb_2p0,median5,physical,xgb_2p0,2016-2017-2018,0.1,0.1,364.4680054195254,283.49936141930465,-54.30279464019921,346.29441481727645,360.6262620084515,420.74095174569146,0.6974789915966386,358.9641719161947,select_2016_2018_test_2019_2022
median5__physical__extra_3p0,median5,physical,extra_3p0,2016-2017-2018,0.1,0.1,364.65322905627113,284.4036371378402,-52.30629064110858,347.85964336300776,360.91531119736663,420.73368418556896,0.7030812324929971,359.5203531682292,select_2016_2018_test_2019_2022
median5__physical_modis__xgb_1p0,median5,physical_modis,xgb_1p0,2016-2017-2018,0.1,0.1,365.56118031742943,284.40603150843333,-56.702319996450484,346.0630945179682,361.45633765141815,423.27988693143897,0.6946778711484594,359.6604482010613,select_2016_2018_test_2019_2022
median5__modis__xgb_1p0,median5,modis,xgb_1p0,2016-2017-2018,0.1,0.1,367.5517657441777,285.18420850122385,-81.1532826718756,339.8936188928033,363.6986857397223,426.6757130387576,0.7058823529411765,359.67395903022026,select_2016_2018_test_2019_2022
median5__history__xgb_2p0,median5,history,xgb_2p0,2016-2017-2018,0.1,0.1,365.67952633692494,285.66689380318405,-62.6754407920863,345.03335208123406,362.4086667464382,417.1363462123114,0.7030812324929971,359.7002678753806,select_2016_2018_test_2019_2022
median5__modis__xgb_2p0,median5,modis,xgb_2p0,2016-2017-2018,0.1,0.1,368.63121148911944,286.0239701217435,-89.03237995317595,338.31415312655076,365.01546278689904,426.49252513334204,0.7030812324929971,360.14800972292215,select_2016_2018_test_2019_2022
median5__physical__xgb_1p0,median5,physical,xgb_1p0,2016-2017-2018,0.1,0.1,365.7472066513536,285.1270938275206,-52.18352235817655,347.84192677823626,361.68922260976086,422.9485515951051,0.6974789915966386,360.2563906726761,select_2016_2018_test_2019_2022
median5__physical_modis__extra_3p0,median5,physical_modis,extra_3p0,2016-2017-2018,0.1,0.1,366.6255200247868,285.3354392626341,-70.80062035778982,344.59567412356364,363.230372253874,422.21489506594236,0.6946778711484594,360.2692716067528,select_2016_2018_test_2019_2022
median5__history__extra_3p0,median5,history,extra_3p0,2016-2017-2018,0.0,0.1,365.94392288056065,284.7722708634105,-48.10139242004304,347.73938346895267,361.7053149128753,425.8265639315233,0.7002801120448179,360.3331360357373,select_2016_2018_test_2019_2022
median5__history__huber_10p0,median5,history,huber_10p0,2016-2017-2018,0.0,0.1,365.94392288056065,284.7722708634105,-48.10139242004304,347.73938346895267,361.7053149128753,425.8265639315233,0.7002801120448179,360.3331360357373,select_2016_2018_test_2019_2022
median5__history__ridge_1000p0,median5,history,ridge_1000p0,2016-2017-2018,0.0,0.1,365.94392288056065,284.7722708634105,-48.10139242004304,347.73938346895267,361.7053149128753,425.8265639315233,0.7002801120448179,360.3331360357373,select_2016_2018_test_2019_2022
median5__history__ridge_100p0,median5,history,ridge_100p0,2016-2017-2018,0.0,0.1,365.94392288056065,284.7722708634105,-48.10139242004304,347.73938346895267,361.7053149128753,425.8265639315233,0.7002801120448179,360.3331360357373,select_2016_2018_test_2019_2022
median5__history__state_ridge_100p0,median5,history,state_ridge_100p0,2016-2017-2018,0.0,0.1,365.94392288056065,284.7722708634105,-48.10139242004304,347.73938346895267,361.7053149128753,425.8265639315233,0.7002801120448179,360.3331360357373,select_2016_2018_test_2019_2022
median5__history__xgb_1p0,median5,history,xgb_1p0,2016-2017-2018,0.0,0.1,365.94392288056065,284.7722708634105,-48.10139242004304,347.73938346895267,361.7053149128753,425.8265639315233,0.7002801120448179,360.3331360357373,select_2016_2018_test_2019_2022
median5__history__xgb_2p0,median5,history,xgb_2p0,2016-2017-2018,0.0,0.1,365.94392288056065,284.7722708634105,-48.10139242004304,347.73938346895267,361.7053149128753,425.8265639315233,0.7002801120448179,360.3331360357373,select_2016_2018_test_2019_2022
median5__modis__extra_3p0,median5,modis,extra_3p0,2016-2017-2018,0.0,0.1,365.94392288056065,284.7722708634105,-48.10139242004304,347.73938346895267,361.7053149128753,425.8265639315233,0.7002801120448179,360.3331360357373,select_2016_2018_test_2019_2022
median5__modis__huber_10p0,median5,modis,huber_10p0,2016-2017-2018,0.0,0.1,365.94392288056065,284.7722708634105,-48.10139242004304,347.73938346895267,361.7053149128753,425.8265639315233,0.7002801120448179,360.3331360357373,select_2016_2018_test_2019_2022
median5__modis__ridge_1000p0,median5,modis,ridge_1000p0,2016-2017-2018,0.0,0.1,365.94392288056065,284.7722708634105,-48.10139242004304,347.73938346895267,361.7053149128753,425.8265639315233,0.7002801120448179,360.3331360357373,select_2016_2018_test_2019_2022
median5__modis__ridge_100p0,median5,modis,ridge_100p0,2016-2017-2018,0.0,0.1,365.94392288056065,284.7722708634105,-48.10139242004304,347.73938346895267,361.7053149128753,425.8265639315233,0.7002801120448179,360.3331360357373,select_2016_2018_test_2019_2022
median5__modis__state_ridge_100p0,median5,modis,state_ridge_100p0,2016-2017-2018,0.0,0.1,365.94392288056065,284.7722708634105,-48.10139242004304,347.73938346895267,361.7053149128753,425.8265639315233,0.7002801120448179,360.3331360357373,select_2016_2018_test_2019_2022
median5__modis__xgb_1p0,median5,modis,xgb_1p0,2016-2017-2018,0.0,0.1,365.94392288056065,284.7722708634105,-48.10139242004304,347.73938346895267,361.7053149128753,425.8265639315233,0.7002801120448179,360.3331360357373,select_2016_2018_test_2019_2022
median5__modis__xgb_2p0,median5,modis,xgb_2p0,2016-2017-2018,0.0,0.1,365.94392288056065,284.7722708634105,-48.10139242004304,347.73938346895267,361.7053149128753,425.8265639315233,0.7002801120448179,360.3331360357373,select_2016_2018_test_2019_2022
median5__none__zero_anomaly,median5,none,zero_anomaly,2016-2017-2018,0.0,0.1,365.94392288056065,284.7722708634105,-48.10139242004304,347.73938346895267,361.7053149128753,425.8265639315233,0.7002801120448179,360.3331360357373,select_2016_2018_test_2019_2022
median5__none__zero_anomaly,median5,none,zero_anomaly,2016-2017-2018,0.1,0.1,365.94392288056065,284.7722708634105,-48.10139242004304,347.73938346895267,361.7053149128753,425.8265639315233,0.7002801120448179,360.3331360357373,select_2016_2018_test_2019_2022
median5__none__zero_anomaly,median5,none,zero_anomaly,2016-2017-2018,0.2,0.1,365.94392288056065,284.7722708634105,-48.10139242004304,347.73938346895267,361.7053149128753,425.8265639315233,0.7002801120448179,360.3331360357373,select_2016_2018_test_2019_2022
median5__none__zero_anomaly,median5,none,zero_anomaly,2016-2017-2018,0.3,0.1,365.94392288056065,284.7722708634105,-48.10139242004304,347.73938346895267,361.7053149128753,425.8265639315233,0.7002801120448179,360.3331360357373,select_2016_2018_test_2019_2022
median5__none__zero_anomaly,median5,none,zero_anomaly,2016-2017-2018,0.4,0.1,365.94392288056065,284.7722708634105,-48.10139242004304,347.73938346895267,361.7053149128753,425.8265639315233,0.7002801120448179,360.3331360357373,select_2016_2018_test_2019_2022
median5__none__zero_anomaly,median5,none,zero_anomaly,2016-2017-2018,0.5,0.1,365.94392288056065,284.7722708634105,-48.10139242004304,347.73938346895267,361.7053149128753,425.8265639315233,0.7002801120448179,360.3331360357373,select_2016_2018_test_2019_2022
median5__none__zero_anomaly,median5,none,zero_anomaly,2016-2017-2018,0.6,0.1,365.94392288056065,284.7722708634105,-48.10139242004304,347.73938346895267,361.7053149128753,425.8265639315233,0.7002801120448179,360.3331360357373,select_2016_2018_test_2019_2022
median5__none__zero_anomaly,median5,none,zero_anomaly,2016-2017-2018,0.7,0.1,365.94392288056065,284.7722708634105,-48.10139242004304,347.73938346895267,361.7053149128753,425.8265639315233,0.7002801120448179,360.3331360357373,select_2016_2018_test_2019_2022
median5__none__zero_anomaly,median5,none,zero_anomaly,2016-2017-2018,0.8,0.1,365.94392288056065,284.7722708634105,-48.10139242004304,347.73938346895267,361.7053149128753,425.8265639315233,0.7002801120448179,360.3331360357373,select_2016_2018_test_2019_2022
median5__none__zero_anomaly,median5,none,zero_anomaly,2016-2017-2018,0.9,0.1,365.94392288056065,284.7722708634105,-48.10139242004304,347.73938346895267,361.7053149128753,425.8265639315233,0.7002801120448179,360.3331360357373,select_2016_2018_test_2019_2022
median5__none__zero_anomaly,median5,none,zero_anomaly,2016-2017-2018,1.0,0.1,365.94392288056065,284.7722708634105,-48.10139242004304,347.73938346895267,361.7053149128753,425.8265639315233,0.7002801120448179,360.3331360357373,select_2016_2018_test_2019_2022
median5__none__zero_anomaly,median5,none,zero_anomaly,2016-2017-2018,1.1,0.1,365.94392288056065,284.7722708634105,-48.10139242004304,347.73938346895267,361.7053149128753,425.8265639315233,0.7002801120448179,360.3331360357373,select_2016_2018_test_2019_2022
median5__none__zero_anomaly,median5,none,zero_anomaly,2016-2017-2018,1.2,0.1,365.94392288056065,284.7722708634105,-48.10139242004304,347.73938346895267,361.7053149128753,425.8265639315233,0.7002801120448179,360.3331360357373,select_2016_2018_test_2019_2022
median5__physical__extra_3p0,median5,physical,extra_3p0,2016-2017-2018,0.0,0.1,365.94392288056065,284.7722708634105,-48.10139242004304,347.73938346895267,361.7053149128753,425.8265639315233,0.7002801120448179,360.3331360357373,select_2016_2018_test_2019_2022
median5__physical__huber_10p0,median5,physical,huber_10p0,2016-2017-2018,0.0,0.1,365.94392288056065,284.7722708634105,-48.10139242004304,347.73938346895267,361.7053149128753,425.8265639315233,0.7002801120448179,360.3331360357373,select_2016_2018_test_2019_2022
median5__physical__ridge_1000p0,median5,physical,ridge_1000p0,2016-2017-2018,0.0,0.1,365.94392288056065,284.7722708634105,-48.10139242004304,347.73938346895267,361.7053149128753,425.8265639315233,0.7002801120448179,360.3331360357373,select_2016_2018_test_2019_2022
