candidate,normal,feature_set,model,selection_years,shrink,log_offset,rmse,mae,bias,equal_state_rmse,mean_year_rmse,max_year_rmse,direction_accuracy,selection_score,protocol
median5__physical__ridge_100p0,median5,physical,ridge_100p0,2016-2017-2018,0.0,0.1,365.94392288056065,284.7722708634105,-48.10139242004304,347.73938346895267,361.7053149128753,425.8265639315233,0.7002801120448179,360.3331360357373,select_2016_2018_test_2019_2022
median5__physical__state_ridge_100p0,median5,physical,state_ridge_100p0,2016-2017-2018,0.0,0.1,365.94392288056065,284.7722708634105,-48.10139242004304,347.73938346895267,361.7053149128753,425.8265639315233,0.7002801120448179,360.3331360357373,select_2016_2018_test_2019_2022
median5__physical__xgb_1p0,median5,physical,xgb_1p0,2016-2017-2018,0.0,0.1,365.94392288056065,284.7722708634105,-48.10139242004304,347.73938346895267,361.7053149128753,425.8265639315233,0.7002801120448179,360.3331360357373,select_2016_2018_test_2019_2022
median5__physical__xgb_2p0,median5,physical,xgb_2p0,2016-2017-2018,0.0,0.1,365.94392288056065,284.7722708634105,-48.10139242004304,347.73938346895267,361.7053149128753,425.8265639315233,0.7002801120448179,360.3331360357373,select_2016_2018_test_2019_2022
median5__physical_modis__extra_3p0,median5,physical_modis,extra_3p0,2016-2017-2018,0.0,0.1,365.94392288056065,284.7722708634105,-48.10139242004304,347.73938346895267,361.7053149128753,425.8265639315233,0.7002801120448179,360.3331360357373,select_2016_2018_test_2019_2022
median5__physical_modis__huber_10p0,median5,physical_modis,huber_10p0,2016-2017-2018,0.0,0.1,365.94392288056065,284.7722708634105,-48.10139242004304,347.73938346895267,361.7053149128753,425.8265639315233,0.7002801120448179,360.3331360357373,select_2016_2018_test_2019_2022
median5__physical_modis__ridge_1000p0,median5,physical_modis,ridge_1000p0,2016-2017-2018,0.0,0.1,365.94392288056065,284.7722708634105,-48.10139242004304,347.73938346895267,361.7053149128753,425.8265639315233,0.7002801120448179,360.3331360357373,select_2016_2018_test_2019_2022
median5__physical_modis__ridge_100p0,median5,physical_modis,ridge_100p0,2016-2017-2018,0.0,0.1,365.94392288056065,284.7722708634105,-48.10139242004304,347.73938346895267,361.7053149128753,425.8265639315233,0.7002801120448179,360.3331360357373,select_2016_2018_test_2019_2022
median5__physical_modis__state_ridge_100p0,median5,physical_modis,state_ridge_100p0,2016-2017-2018,0.0,0.1,365.94392288056065,284.7722708634105,-48.10139242004304,347.73938346895267,361.7053149128753,425.8265639315233,0.7002801120448179,360.3331360357373,select_2016_2018_test_2019_2022
median5__physical_modis__xgb_1p0,median5,physical_modis,xgb_1p0,2016-2017-2018,0.0,0.1,365.94392288056065,284.7722708634105,-48.10139242004304,347.73938346895267,361.7053149128753,425.8265639315233,0.7002801120448179,360.3331360357373,select_2016_2018_test_2019_2022
median5__physical_modis__xgb_2p0,median5,physical_modis,xgb_2p0,2016-2017-2018,0.0,0.1,365.94392288056065,284.7722708634105,-48.10139242004304,347.73938346895267,361.7053149128753,425.8265639315233,0.7002801120448179,360.3331360357373,select_2016_2018_test_2019_2022
median5__modis__extra_3p0,median5,modis,extra_3p0,2016-2017-2018,0.1,0.1,368.3663855071549,285.8869703662773,-91.35816266205859,339.6389659595159,365.1447665140611,423.55934655619285,0.7002801120448179,360.37912587197167,select_2016_2018_test_2019_2022
median5__history__xgb_1p0,median5,history,xgb_1p0,2016-2017-2018,0.1,0.1,367.3967786942775,286.5806960961687,-73.13362581066573,342.6915544776481,364.07161707785775,419.67449050299473,0.7030812324929971,360.38918223601524,select_2016_2018_test_2019_2022
median5__modis__huber_10p0,median5,modis,huber_10p0,2016-2017-2018,0.1,0.1,364.2522602932213,286.43882804295237,-34.70617506951054,352.19611306639825,361.68831637169734,404.965354279311,0.7086834733893558,360.59723750613455,select_2016_2018_test_2019_2022
median5__history__extra_3p0,median5,history,extra_3p0,2016-2017-2018,0.1,0.1,367.2544583203041,287.5993066537742,-70.03121270115446,345.3929731213367,364.36457418375875,417.5475667741155,0.7030812324929971,361.0666159864259,select_2016_2018_test_2019_2022
median5__physical_modis__xgb_2p0,median5,physical_modis,xgb_2p0,2016-2017-2018,0.2,0.1,367.09780669652383,283.674391780609,-65.64810661433907,347.55418979738266,364.44471250951386,415.98676106961267,0.7086834733893558,361.5486289249861,select_2016_2018_test_2019_2022
median5__physical_modis__ridge_1000p0,median5,physical_modis,ridge_1000p0,2016-2017-2018,0.1,0.1,367.7724523827678,286.289606431519,-71.8532046348686,346.8262419707486,364.46720258265117,421.1520045578665,0.7058823529411765,361.70958732973384,select_2016_2018_test_2019_2022
median5__physical_modis__ridge_100p0,median5,physical_modis,ridge_100p0,2016-2017-2018,0.1,0.1,366.40022475425457,286.9486689393071,-54.118535566482116,351.2152098330341,363.281816015028,413.979633522034,0.7058823529411765,361.8243688391428,select_2016_2018_test_2019_2022
median5__physical_modis__state_ridge_100p0,median5,physical_modis,state_ridge_100p0,2016-2017-2018,0.1,0.1,367.62119932281513,286.2839480011412,-59.166165565033985,349.9106633818493,363.4698981417758,425.82694937671994,0.7058823529411765,362.1557400423138,select_2016_2018_test_2019_2022
median5__history__state_ridge_100p0,median5,history,state_ridge_100p0,2016-2017-2018,0.1,0.1,369.23944775985115,287.62474984838366,-65.88027392590261,346.4460545671496,365.228080698419,428.2012584042939,0.7002801120448179,362.5382576963177,select_2016_2018_test_2019_2022
median5__physical__state_ridge_100p0,median5,physical,state_ridge_100p0,2016-2017-2018,0.1,0.1,367.08271880671566,286.7770897422132,-46.68224836200286,353.18139709434075,363.16517831695137,424.16954901312477,0.7058823529411765,362.6280032561809,select_2016_2018_test_2019_2022
median5__history__ridge_1000p0,median5,history,ridge_1000p0,2016-2017-2018,0.1,0.1,369.25959411057556,287.87088737862445,-67.4899805229198,346.7288817209529,365.4144718029617,426.4194809150848,0.7030812324929971,362.6656354362664,select_2016_2018_test_2019_2022
median5__modis__state_ridge_100p0,median5,modis,state_ridge_100p0,2016-2017-2018,0.1,0.1,370.2295541166057,287.2226665858363,-74.02429711532734,344.8314392866122,365.60875796933107,432.5646961634761,0.7030812324929971,362.72482637228865,select_2016_2018_test_2019_2022
median5__history__xgb_2p0,median5,history,xgb_2p0,2016-2017-2018,0.2,0.1,369.11297312134445,289.7244701172015,-76.87308110480134,345.9579309331391,367.103421777116,410.0478055367471,0.7086834733893558,362.821824738236,select_2016_2018_test_2019_2022
median5__physical__extra_3p0,median5,physical,extra_3p0,2016-2017-2018,0.2,0.1,367.32306475620453,286.54878271580355,-56.13616300582447,352.55300639497665,364.54558091217604,417.9833384790857,0.7030812324929971,362.93617920489044,select_2016_2018_test_2019_2022
median5__physical__xgb_2p0,median5,physical,xgb_2p0,2016-2017-2018,0.2,0.1,368.04576057005346,285.7205992517156,-60.0396329495814,350.9969065980894,365.375378946839,416.81142871113104,0.7086834733893558,363.1159516712588,select_2016_2018_test_2019_2022
median5__physical__ridge_1000p0,median5,physical,ridge_1000p0,2016-2017-2018,0.1,0.1,367.18059938314616,286.7009871405785,-39.94512322627835,356.34431126154664,363.0534271113757,425.8857469923334,0.7058823529411765,363.43973428480365,select_2016_2018_test_2019_2022
median5__physical_modis__xgb_1p0,median5,physical_modis,xgb_1p0,2016-2017-2018,0.2,0.1,369.4909901521365,287.577118318135,-64.91731929159337,349.9463219139968,366.3341577982416,420.90055656642437,0.7058823529411765,363.8156150041279,select_2016_2018_test_2019_2022
median5__physical__xgb_1p0,median5,physical,xgb_1p0,2016-2017-2018,0.2,0.1,369.7018222734885,288.4589940396364,-55.892039529333644,353.2400707472245,366.51105552356586,420.71988605040235,0.7086834733893558,364.7886927044418,select_2016_2018_test_2019_2022
median5__modis__xgb_1p0,median5,modis,xgb_1p0,2016-2017-2018,0.2,0.1,374.8549209206327,291.21517512204423,-113.6499316461219,338.7419675543687,372.3510332758221,427.95306481726504,0.7030812324929971,365.2007106678641,select_2016_2018_test_2019_2022
median5__history__xgb_1p0,median5,history,xgb_1p0,2016-2017-2018,0.2,0.1,373.5450433274958,292.49791979907195,-97.67757868988222,342.47794642515134,371.6648325305235,414.3308149213209,0.6890756302521008,365.3082164026666,select_2016_2018_test_2019_2022
median5__modis__ridge_1000p0,median5,modis,ridge_1000p0,2016-2017-2018,0.1,0.1,374.17338764400046,290.9885680556814,-95.75022144524044,343.8296824922774,370.86249604095354,428.4976371630426,0.6946778711484594,365.75973845530797,select_2016_2018_test_2019_2022
median5__history__state_ridge_100p0,median5,history,state_ridge_100p0,2016-2017-2018,0.2,0.1,373.96803732025967,292.0190740692109,-83.50561208303374,346.42846137996565,370.4447661855094,430.74935557726883,0.6974789915966386,366.20232555149863,select_2016_2018_test_2019_2022
median5__history__huber_10p0,median5,history,huber_10p0,2016-2017-2018,0.1,0.1,369.6171784096218,289.5845892271585,-27.578809298868308,360.3313874568991,366.00378648418626,426.37115698568965,0.7030812324929971,366.39238269008223,select_2016_2018_test_2019_2022
median5__history__ridge_100p0,median5,history,ridge_100p0,2016-2017-2018,0.1,0.1,371.938833964332,291.40818325265485,-50.16957257267918,355.82998710060673,368.3524957173636,427.41211269547216,0.6974789915966386,367.01503768665856,select_2016_2018_test_2019_2022
median5__history__ridge_1000p0,median5,history,ridge_1000p0,2016-2017-2018,0.2,0.1,375.4376945654667,293.73351096296096,-86.58233036308796,348.6507828432064,372.4788599221676,427.4495299718021,0.6918767507002801,368.00125797407685,select_2016_2018_test_2019_2022
median5__physical__ridge_100p0,median5,physical,ridge_100p0,2016-2017-2018,0.1,0.1,369.17656999873765,289.5621192450341,-4.405298734401117,369.27808985521915,364.42411075385917,426.6207437811938,0.7142857142857143,368.01383515163843,select_2016_2018_test_2019_2022
median5__modis__xgb_2p0,median5,modis,xgb_2p0,2016-2017-2018,0.2,0.1,378.8383189007457,293.8981218311391,-129.2189204162936,337.5778443797151,376.8088801263637,428.48222367543303,0.6974789915966386,368.0158405768926,select_2016_2018_test_2019_2022
median5__history__extra_3p0,median5,history,extra_3p0,2016-2017-2018,0.2,0.1,375.029198190688,295.9399432092582,-91.27602582103921,348.73769623219886,373.9170507054716,410.38227688446557,0.7058823529411765,368.17828582976165,select_2016_2018_test_2019_2022
median5__physical__state_ridge_100p0,median5,physical,state_ridge_100p0,2016-2017-2018,0.2,0.1,371.4041664157868,290.2928830598836,-44.9724794231125,362.2570901718859,367.7708357569029,427.8180643734761,0.7198879551820728,368.2090646900906,select_2016_2018_test_2019_2022
median5__modis__state_ridge_100p0,median5,modis,state_ridge_100p0,2016-2017-2018,0.2,0.1,378.0114216127574,292.6793130633876,-99.61321195375547,346.52634184626254,373.809942535672,439.8335089708971,0.6946778711484594,369.0897819018623,select_2016_2018_test_2019_2022
median5__history__xgb_2p0,median5,history,xgb_2p0,2016-2017-2018,0.3,0.1,376.01749746332456,296.53629328442787,-90.69897366289882,350.3799606238222,375.1566321836395,404.68913637737825,0.7030812324929971,369.3928969335277,select_2016_2018_test_2019_2022
median5__physical_modis__extra_3p0,median5,physical_modis,extra_3p0,2016-2017-2018,0.2,0.1,376.23518869862755,294.74239085822535,-92.6366224305748,352.00016740563717,374.7404778514701,419.63836787318525,0.6946778711484594,369.8027556635906,select_2016_2018_test_2019_2022
median5__physical_modis__state_ridge_100p0,median5,physical_modis,state_ridge_100p0,2016-2017-2018,0.2,0.1,374.6584337601646,290.9202476456976,-69.74469526192443,359.01352701596824,371.2754582474436,429.7808435628261,0.7030812324929971,369.90146319593526,select_2016_2018_test_2019_2022
median5__physical_modis__xgb_2p0,median5,physical_modis,xgb_2p0,2016-2017-2018,0.3,0.1,375.05300047525435,291.5828824172657,-73.72468568027176,356.6148878083507,373.817839585216,412.16723300227767,0.7170868347338936,370.13468208601887,select_2016_2018_test_2019_2022
median5__physical__extra_3p0,median5,physical,extra_3p0,2016-2017-2018,0.3,0.1,373.76606524654056,292.3002981936325,-59.59450047408077,361.52993594417046,372.05102949674966,417.6806292806756,0.7170868347338936,370.2782739835003,select_2016_2018_test_2019_2022
median5__modis__ridge_100p0,median5,modis,ridge_100p0,2016-2017-2018,0.1,0.1,379.97899800007974,296.81815328436375,-113.1749366983429,346.5952498338355,377.9992610987137,426.1932109119197,0.6778711484593838,371.13812673317716,select_2016_2018_test_2019_2022
median5__history__state_ridge_100p0,median5,history,state_ridge_100p0,2016-2017-2018,0.3,0.1,380.0299584300888,297.0115627103339,-100.97910914328577,347.65239045579574,377.15875436561765,433.4658242551972,0.6918767507002801,371.2177654203977,select_2016_2018_test_2019_2022
median5__physical__xgb_2p0,median5,physical,xgb_2p0,2016-2017-2018,0.3,0.1,376.340921150072,293.7273046659029,-65.3180938517911,361.3752383027441,375.02481723288764,414.09428656432567,0.7226890756302521,372.27047445894397,select_2016_2018_test_2019_2022
median5__physical_modis__xgb_1p0,median5,physical_modis,xgb_1p0,2016-2017-2018,0.3,0.1,377.43711828918555,295.5737378253016,-72.75148548076133,359.0058187307499,375.60028892793406,418.6929994201654,0.7086834733893558,372.37008605926377,select_2016_2018_test_2019_2022
median5__modis__extra_3p0,median5,modis,extra_3p0,2016-2017-2018,0.2,0.1,382.42682658155445,300.4541032696237,-133.47081691129537,345.70191042958754,381.3500348442931,421.36840455517296,0.7002801120448179,372.9763996092474,select_2016_2018_test_2019_2022
median5__physical__ridge_1000p0,median5,physical,ridge_1000p0,2016-2017-2018,0.2,0.1,374.8732004198082,291.98021087674016,-31.22509947841469,372.5724541818055,370.75885085457185,437.0120874818015,0.7170868347338936,373.2694264689984,select_2016_2018_test_2019_2022
median5__physical__xgb_1p0,median5,physical,xgb_1p0,2016-2017-2018,0.3,0.1,377.54187885998687,296.2372114296188,-59.23129895030197,363.5304551934481,375.55187406188753,419.16019889865396,0.711484593837535,373.54152174382733,select_2016_2018_test_2019_2022
median5__history__xgb_1p0,median5,history,xgb_1p0,2016-2017-2018,0.3,0.1,383.9254312244366,302.04349225190197,-121.74231880464382,346.8998069374752,383.32018311445245,409.8359649239537,0.6834733893557423,374.5177131252002,select_2016_2018_test_2019_2022
median5__physical_modis__ridge_1000p0,median5,physical_modis,ridge_1000p0,2016-2017-2018,0.2,0.1,381.12717862164203,298.7852771023351,-94.49231171012498,359.59681803654325,379.80848552187285,421.25716900110297,0.7170868347338936,375.414915200425,select_2016_2018_test_2019_2022
median5__history__ridge_1000p0,median5,history,ridge_1000p0,2016-2017-2018,0.3,0.1,384.2268178568456,301.7627696026122,-105.38270643550219,353.3624956387012,382.33704974955043,428.9099134309435,0.680672268907563,376.0382952754857,select_2016_2018_test_2019_2022
median5__modis__xgb_1p0,median5,modis,xgb_1p0,2016-2017-2018,0.3,0.1,387.21391258679216,303.7851775566895,-145.60257726771863,344.00717221408763,385.9773916528475,429.64979772467325,0.6974789915966386,376.10309726012986,select_2016_2018_test_2019_2022
median5__physical__state_ridge_100p0,median5,physical,state_ridge_100p0,2016-2017-2018,0.3,0.1,378.8362272959805,294.9319323252596,-42.97123934681873,374.7669042251702,375.405078561716,436.82125553115645,0.7142857142857143,376.9611093447118,select_2016_2018_test_2019_2022
ewma5__history__huber_10p0,ewma5,history,huber_10p0,2016-2017-2018,0.2,0.1,388.32449741195774,306.8789683331683,-105.76586157022967,350.4485243901823,382.2069157564067,478.54549844866136,0.7310924369747899,377.3261087426261,select_2016_2018_test_2019_2022
median5__history__state_ridge_100p0,median5,history,state_ridge_100p0,2016-2017-2018,0.4,0.1,387.3185712566212,303.2995662756783,-118.30244532944413,350.0715522848375,385.15554364509535,436.34558263127064,0.680672268907563,377.4660596107938,select_2016_2018_test_2019_2022
median5__history__huber_10p0,median5,history,huber_10p0,2016-2017-2018,0.2,0.1,378.5660371247759,298.0332297221986,-6.571878860849208,378.52877313769454,375.5766360573557,428.11181697978475,0.7198879551820728,377.8093708611505,select_2016_2018_test_2019_2022
median5__modis__huber_10p0,median5,modis,huber_10p0,2016-2017-2018,0.2,0.1,380.2424838722802,302.8641855782536,-19.656747052822794,375.38652066639384,378.5867237470361,416.8374738841299,0.7310924369747899,378.6145530394976,select_2016_2018_test_2019_2022
median5__modis__state_ridge_100p0,median5,modis,state_ridge_100p0,2016-2017-2018,0.3,0.1,388.92553229038833,300.3144657313123,-124.8731199286412,352.54809104868,385.67035246269285,447.59525764610174,0.6890756302521008,379.0173770230374,select_2016_2018_test_2019_2022
median5__history__xgb_2p0,median5,history,xgb_2p0,2016-2017-2018,0.4,0.1,386.0907278686138,305.24570520635615,-104.15767927548515,358.0725126570618,385.9264315945963,401.17509848555676,0.6974789915966386,379.0450999972214,select_2016_2018_test_2019_2022
mean5__physical__ridge_100p0,mean5,physical,ridge_100p0,2016-2017-2018,0.2,0.1,386.7926653868243,317.46069233133363,-102.25401521648548,357.5970865444459,385.9919346126019,410.1241190710435,0.6750700280112045,379.29358798267407,select_2016_2018_test_2019_2022
ewma5__history__huber_10p0,ewma5,history,huber_10p0,2016-2017-2018,0.3,0.1,387.7814855102338,307.90019373861406,-78.56904457035449,359.82074725240216,382.236104187898,473.22381783222613,0.7226890756302521,379.40495561519197,select_2016_2018_test_2019_2022
median5__physical_modis__ridge_100p0,median5,physical_modis,ridge_100p0,2016-2017-2018,0.2,0.1,382.2325781965694,305.6682977243174,-58.69912415178709,372.82940234528525,381.31611762407647,406.5237953712684,0.7170868347338936,379.6526690906251,select_2016_2018_test_2019_2022
median5__history__ridge_100p0,median5,history,ridge_100p0,2016-2017-2018,0.2,0.1,384.19540672239293,303.2725610545437,-51.61048315016701,370.51377654627566,381.6538516896771,429.5851490363489,0.7030812324929971,380.1396104201847,select_2016_2018_test_2019_2022
median5__history__extra_3p0,median5,history,extra_3p0,2016-2017-2018,0.3,0.1,388.48067175913286,309.3329816282916,-111.85108180300699,357.3175716196935,388.26920838223685,404.4213556816385,0.7198879551820728,380.63703088004905,select_2016_2018_test_2019_2022
