candidate,feature_set,depth,outlook_weight,development_rmse,development_mae,development_bias,development_equal_state_rmse,development_mean_year_rmse,development_max_year_rmse,development_direction_accuracy,selection_score
xgb_d2__base_full,base_full,2,0.05,256.793528682412,187.07904769083797,5.066037180084893,268.12818827734236,255.85857548950017,277.7516273929811,0.773109243697479,259.39345528291665
xgb_d2__base_full_broad,base_full_broad,2,0.05,256.817709864185,187.0660154855985,5.979740532748608,268.08752304487405,255.88954008754743,277.70419969222974,0.773109243697479,259.4031207151979
xgb_d2__base_future_effect,base_future_effect,2,0.05,256.8446924538871,187.02977411476633,5.677801733699943,268.1340950396421,255.91353375083278,277.76437549418927,0.773109243697479,259.43425342456226
xgb_d1__base_future_effect,base_future_effect,1,0.05,256.8763252115762,187.13791128236835,6.5419484792054154,268.20675748109056,255.9432398174847,277.8179842944605,0.773109243697479,259.4756619304319
xgb_d1__base,base,1,0.05,256.8905599604438,187.1694261956792,6.490870466594733,268.2313514955204,255.95326775964668,277.87778645331434,0.773109243697479,259.4914347940137
xgb_d1__base_full,base_full,1,0.05,256.88876514091396,187.14507273397288,6.59022806997237,268.2448060171168,255.9546818237564,277.8416301748461,0.773109243697479,259.4942545306753
xgb_d1__base_full_broad,base_full_broad,1,0.05,256.888487509606,187.18118264706962,6.6186557662004075,268.2453611841558,255.95914313971588,277.79058968261444,0.773109243697479,259.49536983577093
xgb_d1__base_no_future,base_no_future,1,0.05,256.9027470940227,187.20887629777206,6.326379630587455,268.2607245779005,255.97028172102497,277.83889713477504,0.773109243697479,259.5091251217427
xgb_d2__base,base,2,0.05,256.94414779587896,187.19128645620188,5.151378258578713,268.29516106387,256.0027775995855,277.97714784875683,0.773109243697479,259.54655856380333
xgb_d2__base_no_future,base_no_future,2,0.05,256.94394231139495,187.21511934957346,5.336065424231716,268.3053366148173,256.0146082987527,277.84829392802,0.773109243697479,259.55195738409
xgb_d1__base,base,1,0.0,256.9986380355725,187.52847148620847,-7.784044790835296,268.2141762628503,256.063649799484,277.9658689451882,0.7773109243697479,259.56877553336983
xgb_d1__base_full,base_full,1,0.0,256.9986380355725,187.52847148620847,-7.784044790835296,268.2141762628503,256.063649799484,277.9658689451882,0.7773109243697479,259.56877553336983
xgb_d1__base_full_broad,base_full_broad,1,0.0,256.9986380355725,187.52847148620847,-7.784044790835296,268.2141762628503,256.063649799484,277.9658689451882,0.7773109243697479,259.56877553336983
xgb_d1__base_future_effect,base_future_effect,1,0.0,256.9986380355725,187.52847148620847,-7.784044790835296,268.2141762628503,256.063649799484,277.9658689451882,0.7773109243697479,259.56877553336983
xgb_d1__base_no_future,base_no_future,1,0.0,256.9986380355725,187.52847148620847,-7.784044790835296,268.2141762628503,256.063649799484,277.9658689451882,0.7773109243697479,259.56877553336983
xgb_d2__base,base,2,0.0,256.9986380355725,187.52847148620847,-7.784044790835296,268.2141762628503,256.063649799484,277.9658689451882,0.7773109243697479,259.56877553336983
xgb_d2__base_full,base_full,2,0.0,256.9986380355725,187.52847148620847,-7.784044790835296,268.2141762628503,256.063649799484,277.9658689451882,0.7773109243697479,259.56877553336983
xgb_d2__base_full_broad,base_full_broad,2,0.0,256.9986380355725,187.52847148620847,-7.784044790835296,268.2141762628503,256.063649799484,277.9658689451882,0.7773109243697479,259.56877553336983
xgb_d2__base_future_effect,base_future_effect,2,0.0,256.9986380355725,187.52847148620847,-7.784044790835296,268.2141762628503,256.063649799484,277.9658689451882,0.7773109243697479,259.56877553336983
xgb_d2__base_no_future,base_no_future,2,0.0,256.9986380355725,187.52847148620847,-7.784044790835296,268.2141762628503,256.063649799484,277.9658689451882,0.7773109243697479,259.56877553336983
xgb_d2__base_full,base_full,2,0.1,257.40190383162013,187.37470550314998,17.916119151005606,268.88213558073414,256.4442477468295,278.62730194829936,0.773109243697479,260.03254774770096
xgb_d2__base_full_broad,base_full_broad,2,0.1,257.55940869842885,187.34523420415894,19.743525856333033,268.9560262120422,256.6118115403803,278.68503484484233,0.7773109243697479,260.1716637873201
xgb_d2__base_future_effect,base_future_effect,2,0.1,257.56503913254,187.34626762745717,19.139648258235653,268.9582915031062,256.6145457563303,278.7216552376513,0.7689075630252101,260.1757288811291
xgb_d1__base_future_effect,base_future_effect,1,0.1,257.68866753695,187.65152432196237,20.867941749246572,269.12861598067315,256.7451625377168,278.77629710791433,0.773109243697479,260.3127783980725
xgb_d1__base,base,1,0.1,257.70827963955907,187.70917478067486,20.765785724025193,269.1691376624361,256.7574147046023,278.87499569778606,0.773109243697479,260.33577791153914
xgb_d2__base,base,2,0.1,257.7070773361057,187.62751681001527,18.086801307993163,269.20047600626305,256.7376054195489,279.0700856345542,0.773109243697479,260.3380590245058
