test_year,normal,feature_set,model,train_rows,test_rows,train_year_max,features
2016,mean5,physical,ridge_100p0,595,119,2015,77
2016,mean5,physical,ridge_1000p0,595,119,2015,77
2016,mean5,physical,huber_10p0,595,119,2015,77
2016,mean5,physical,extra_3p0,595,119,2015,77
2016,mean5,physical,xgb_1p0,595,119,2015,77
2016,mean5,physical,xgb_2p0,595,119,2015,77
2016,mean5,physical,state_ridge_100p0,595,119,2015,77
2016,mean5,modis,ridge_100p0,595,119,2015,77
2016,mean5,modis,ridge_1000p0,595,119,2015,77
2016,mean5,modis,huber_10p0,595,119,2015,77
2016,mean5,modis,extra_3p0,595,119,2015,77
2016,mean5,modis,xgb_1p0,595,119,2015,77
2016,mean5,modis,xgb_2p0,595,119,2015,77
2016,mean5,modis,state_ridge_100p0,595,119,2015,77
2016,mean5,physical_modis,ridge_100p0,595,119,2015,137
2016,mean5,physical_modis,ridge_1000p0,595,119,2015,137
2016,mean5,physical_modis,huber_10p0,595,119,2015,137
2016,mean5,physical_modis,extra_3p0,595,119,2015,137
2016,mean5,physical_modis,xgb_1p0,595,119,2015,137
2016,mean5,physical_modis,xgb_2p0,595,119,2015,137
2016,mean5,physical_modis,state_ridge_100p0,595,119,2015,137
2016,median5,history,ridge_100p0,595,119,2015,17
2016,median5,history,ridge_1000p0,595,119,2015,17
2016,median5,history,huber_10p0,595,119,2015,17
2016,median5,history,extra_3p0,595,119,2015,17
2016,median5,history,xgb_1p0,595,119,2015,17
2016,median5,history,xgb_2p0,595,119,2015,17
2016,median5,history,state_ridge_100p0,595,119,2015,17
2016,median5,physical,ridge_100p0,595,119,2015,77
2016,median5,physical,ridge_1000p0,595,119,2015,77
2016,median5,physical,huber_10p0,595,119,2015,77
2016,median5,physical,extra_3p0,595,119,2015,77
2016,median5,physical,xgb_1p0,595,119,2015,77
2016,median5,physical,xgb_2p0,595,119,2015,77
2016,median5,physical,state_ridge_100p0,595,119,2015,77
2016,median5,modis,ridge_100p0,595,119,2015,77
2016,median5,modis,ridge_1000p0,595,119,2015,77
2016,median5,modis,huber_10p0,595,119,2015,77
2016,median5,modis,extra_3p0,595,119,2015,77
2016,median5,modis,xgb_1p0,595,119,2015,77
2016,median5,modis,xgb_2p0,595,119,2015,77
2016,median5,modis,state_ridge_100p0,595,119,2015,77
2016,median5,physical_modis,ridge_100p0,595,119,2015,137
2016,median5,physical_modis,ridge_1000p0,595,119,2015,137
2016,median5,physical_modis,huber_10p0,595,119,2015,137
2016,median5,physical_modis,extra_3p0,595,119,2015,137
2016,median5,physical_modis,xgb_1p0,595,119,2015,137
2016,median5,physical_modis,xgb_2p0,595,119,2015,137
2016,median5,physical_modis,state_ridge_100p0,595,119,2015,137
2016,trend5,history,ridge_100p0,357,119,2015,18
2016,trend5,history,ridge_1000p0,357,119,2015,18
2016,trend5,history,huber_10p0,357,119,2015,18
2016,trend5,history,extra_3p0,357,119,2015,18
