method,season_start_year,mean_pinball_loss,approx_crps,coverage_50,width_50,coverage_80,width_80,coverage_90,width_90,rise_auc,rise_brier,rise_log_loss,severe_drop_auc,severe_drop_brier,severe_drop_log_loss
calibrated__history_shape__scaled_state_equal_year__w1.00,2019,80.22351683317794,160.44703366635588,0.453781512605042,288.1999248831048,0.7478991596638656,596.1429333695553,0.8571428571428571,799.1314460142114,0.7353372434017595,0.1529935989973782,0.4808497693866295,0.794949494949495,0.12072779188590149,0.38346322835210495
calibrated__history_shape__scaled_state_equal_year__w1.00,2020,64.189195845219,128.378391690438,0.5546218487394958,293.85216334269035,0.8487394957983193,624.5600919378779,0.9411764705882353,871.9302530356754,0.8353873239436619,0.16184731396651045,0.4914374031800001,0.7902298850574712,0.025478791543807323,0.12558398539909146
calibrated__history_shape__scaled_state_equal_year__w1.00,2021,80.72296531083734,161.44593062167468,0.46218487394957986,285.65191409375143,0.7563025210084033,598.4033016976264,0.8739495798319328,831.2638843186833,0.7750957854406129,0.15204828134584153,0.463585413991929,0.7753191489361702,0.13858237823799116,0.4391497108869457
calibrated__history_shape__scaled_state_equal_year__w1.00,2022,79.81666348176775,159.6333269635355,0.5462184873949579,311.36007027162134,0.7899159663865546,661.872498698193,0.8571428571428571,890.6122789555764,0.7906976744186046,0.16755026357418892,0.5206658525721323,0.4782608695652174,0.038107344537189176,0.17121906382755298
history_shape__scaled_state_equal_year__w1.00,2019,80.281062258253,160.562124516506,0.48739495798319327,319.08166668545397,0.7899159663865546,626.7002973526755,0.9159663865546218,880.101879900648,0.7412023460410556,0.1550891995114208,0.4846739363921437,0.7934343434343434,0.11965488037562502,0.3820134445049972
history_shape__scaled_state_equal_year__w1.00,2020,65.06580112898666,130.13160225797333,0.5966386554621849,324.73390514503944,0.8319327731092437,655.117455920998,0.9663865546218487,952.9006869221123,0.8377347417840375,0.16255489390590638,0.4930336180231301,0.7902298850574712,0.025481090940726363,0.12535339336033793
history_shape__scaled_state_equal_year__w1.00,2021,81.60268597385104,163.20537194770208,0.4789915966386555,316.5336558961004,0.7563025210084033,628.9606656807465,0.8991596638655462,912.2343182051201,0.7731800766283525,0.1515424585952904,0.46559904038920585,0.7757446808510637,0.13817588910299525,0.43934493805295
history_shape__scaled_state_equal_year__w1.00,2022,80.1198395724193,160.2396791448386,0.5630252100840336,342.2418120739704,0.8235294117647058,692.4298626813131,0.8823529411764706,971.5827128420136,0.7891676866585068,0.1697425891123841,0.525131540449997,0.4782608695652174,0.038052786789338836,0.17066512114078938
outlook_corrected__history_shape__scaled_state_equal_year__w1.00,2019,79.95796581417119,159.91593162834238,0.5042016806722689,319.08166668545397,0.773109243697479,626.7002973526755,0.8991596638655462,880.101879900648,0.7631964809384164,0.15916844965377103,0.4945341086606928,0.7808080808080808,0.12467872104203559,0.39804442409661767
outlook_corrected__history_shape__scaled_state_equal_year__w1.00,2020,64.08032080127714,128.16064160255428,0.6218487394957983,324.73390514503944,0.8319327731092437,655.117455920998,0.957983193277311,952.9006869221123,0.8482981220657277,0.15635618483739408,0.4791159160195357,0.8074712643678161,0.02614820336982862,0.12746416440140368
outlook_corrected__history_shape__scaled_state_equal_year__w1.00,2021,81.66374697973333,163.32749395946666,0.47058823529411764,316.53365589610047,0.7478991596638656,628.9606656807465,0.9159663865546218,912.2343182051201,0.7750957854406131,0.1506769360671079,0.46316833732360935,0.7753191489361703,0.13725039930102506,0.43752059613799105
outlook_corrected__history_shape__scaled_state_equal_year__w1.00,2022,79.97950685744865,159.9590137148973,0.6302521008403361,342.24181207397027,0.8151260504201681,692.4298626813129,0.8739495798319328,971.5827128420135,0.7971236230110159,0.1691854150175714,0.5208170310355037,0.46956521739130436,0.03821657832779858,0.17115316563031782
