method,period,rows,mean_pinball_loss,coverage_50,width_50,coverage_80,width_80,coverage_90,width_90
equal_year,development,238,95.0627643622067,0.6092436974789915,526.3501900509027,0.8907563025210085,1073.2378439426473,0.9243697478991597,1414.894680012786
equal_year,late,238,96.23780001108754,0.5714285714285714,423.4875307567506,0.8445378151260504,951.3880913108671,0.907563025210084,1272.8163250178143
global,development,238,95.06276436220631,0.6092436974789915,526.3501900509,0.8907563025210085,1073.2378439426423,0.9243697478991597,1414.8946800127624
global,late,238,96.23780001108734,0.5714285714285714,423.48753075674153,0.8445378151260504,951.3880913108587,0.907563025210084,1272.81632501781
scaled_state_equal_year,development,238,85.04951806868219,0.4579831932773109,321.90778591524673,0.7689075630252101,640.9088766368367,0.8781512605042017,916.5012834113802
scaled_state_equal_year,late,238,92.98334999547805,0.44537815126050423,329.38773398503537,0.726890756302521,660.6952641810296,0.8613445378151261,941.9085155235666
state_equal_year,development,238,97.29600107684928,0.5756302521008403,552.6546254726304,0.8823529411764706,1060.5001608865507,0.9327731092436975,1378.7978117357327
state_equal_year,late,238,96.91858216081583,0.5798319327731093,442.8715736350628,0.8151260504201681,938.0399511915392,0.8697478991596639,1246.9096329280198
