method,period,rows,mean_pinball_loss,approx_crps,coverage_50,width_50,coverage_80,width_80,coverage_90,width_90,rise_auc,rise_brier,rise_log_loss,severe_drop_auc,severe_drop_brier,severe_drop_log_loss,selection_score
history_shape__equal_year__w1.20,late,238,87.086377835732,174.172755671464,0.6722689075630253,508.1850369081008,0.9369747899159664,1141.6657095730407,0.957983193277311,1527.3795900213772,0.8349445041174364,0.17076950707757807,0.5211066132160437,0.7629104108232965,0.09577663801645524,0.33387743969599243,
history_shape__equal_year__w1.20,four_year,476,86.10580201140755,172.2116040228151,0.7310924369747899,569.902632484592,0.957983193277311,1214.7755611521084,0.9684873949579832,1612.6266030183604,0.8325521254242767,0.17374527893270142,0.5287117377823924,0.7870555152394774,0.09047379062988138,0.3201444706063431,
history_shape__equal_year__w1.40,development,238,91.63983588687036,183.27967177374072,0.8697478991596639,736.8902660712638,0.9789915966386554,1502.5329815197058,0.9873949579831933,1980.852552017901,0.8295126874279124,0.18245447734000564,0.5500753257377052,0.8220424671385238,0.09255713630931983,0.33211886250474054,93.10973631763089
history_shape__equal_year__w1.40,late,238,91.0368819097553,182.0737638195106,0.7436974789915967,592.8825430594507,0.9453781512605042,1331.9433278352142,0.9663865546218487,1781.9428550249402,0.8343716433941997,0.17515366849666988,0.5319539531276885,0.7622504537205081,0.10160364308112282,0.35438040717969727,
history_shape__equal_year__w1.40,four_year,476,91.33835889831283,182.67671779662567,0.8067226890756303,664.8864045653572,0.9621848739495799,1417.2381546774598,0.976890756302521,1881.3977035214205,0.8329472190794318,0.17880407291833778,0.5410146394326969,0.78755442670537,0.09708038969522133,0.3432496348422189,
history_shape__equal_year__w1.60,development,238,98.7776227440213,197.5552454880426,0.8991596638655462,842.1603040814445,0.9873949579831933,1717.180550308235,0.9915966386554622,2263.8314880204593,0.8291522491349481,0.18755307141770353,0.5620406041741617,0.8214357937310416,0.10031186241265883,0.356684823526255,100.50767429405307
history_shape__equal_year__w1.60,late,238,95.7056565657845,191.411313131569,0.7815126050420168,677.580049210801,0.9621848739495799,1522.2209460973877,0.9873949579831933,2036.5061200285031,0.8346580737558181,0.17929173883770513,0.5420291949270467,0.7629104108232965,0.10738173205490162,0.37093649843923265,
history_shape__equal_year__w1.60,four_year,476,97.2416396549029,194.4832793098058,0.8403361344537815,759.8701766461228,0.9747899159663865,1619.7007482028116,0.9894957983193278,2150.1688040244812,0.8330729306969812,0.18342240512770433,0.5520348995506041,0.7871915820029027,0.10384679723378022,0.36381066098274384,
history_shape__global__w0.80,development,238,74.93194842871928,149.86389685743856,0.6428571428571429,421.08015204071995,0.9243697478991597,858.5902751541138,0.9495798319327731,1131.9157440102103,0.8298731257208765,0.16417239405019196,0.5060411704109687,0.8228513650151668,0.07413459892118857,0.26301087601025297,75.22724960801453
history_shape__global__w0.80,late,238,82.24056386278653,164.48112772557306,0.5756302521008403,338.79002460539317,0.8151260504201681,761.1104730486874,0.8949579831932774,1018.2530600142486,0.8357321876118868,0.1631065809170813,0.5031938899626878,0.7591156574822636,0.09009897827364223,0.31381041664485637,
history_shape__global__w0.80,four_year,476,78.5862561457529,157.1725122915058,0.6092436974789915,379.93508832305656,0.8697478991596639,809.8503741014005,0.9222689075630253,1075.0844020122292,0.8323904962017132,0.16363948748363663,0.5046175301868282,0.7842434687953556,0.0821167885974154,0.2884106463275547,
history_shape__global__w1.00,development,238,79.3635996903218,158.7271993806436,0.7184873949579832,526.3501900509,0.9537815126050421,1073.2378439426423,0.9747899159663865,1414.8946800127624,0.8286476355247983,0.1705985911020376,0.5215501758282766,0.8218402426693631,0.07885164725488708,0.2827114597661972,80.18015643066501
history_shape__global__w1.00,late,238,84.01777579893616,168.0355515978723,0.6302521008403361,423.48753075674153,0.8865546218487395,951.3880913108588,0.9411764705882353,1272.81632501781,0.8355889724310777,0.16648734849073346,0.5106952693150765,0.7604355716878403,0.09166616144804181,0.3176540476367756,
history_shape__global__w1.00,four_year,476,81.69068774462897,163.38137548925795,0.6743697478991597,474.91886040382076,0.9201680672268907,1012.3129676267504,0.957983193277311,1343.8555025152864,0.8324443726092345,0.16854296979638553,0.5161227225716766,0.7856041364296081,0.08525890435146442,0.3001827537014864,
history_shape__global__w1.20,development,238,85.12522618708272,170.25045237416543,0.7899159663865546,631.6202280610801,0.9789915966386554,1287.8854127311715,0.9789915966386554,1697.873616015315,0.8286476355247983,0.17672105078782452,0.5363168623487405,0.8208291203235591,0.08517094324330741,0.3064115015166932,86.59512661784325
history_shape__global__w1.20,late,238,87.0863778357316,174.1727556714632,0.6722689075630253,508.18503690808984,0.9369747899159664,1141.6657095730307,0.957983193277311,1527.3795900213718,0.8349445041174364,0.17076950707757754,0.5211066132160421,0.7629104108232965,0.0957766380164552,0.33387743969599215,
history_shape__global__w1.20,four_year,476,86.10580201140716,172.21160402281433,0.7310924369747899,569.902632484585,0.957983193277311,1214.7755611521009,0.9684873949579832,1612.6266030183433,0.8325521254242767,0.17374527893270103,0.5287117377823913,0.7870555152394774,0.0904737906298813,0.32014447060634266,
history_shape__global__w1.40,development,238,91.63983588686986,183.27967177373972,0.8697478991596639,736.8902660712598,0.9789915966386554,1502.5329815196994,0.9873949579831933,1980.852552017867,0.8295126874279124,0.18245447734000528,0.5500753257377043,0.8220424671385238,0.09255713630931965,0.33211886250473993,93.1097363176304
history_shape__global__w1.40,late,238,91.0368819097548,182.0737638195096,0.7436974789915967,592.8825430594381,0.9453781512605042,1331.943327835202,0.9663865546218487,1781.9428550249343,0.8343716433941997,0.17515366849666947,0.5319539531276875,0.7622504537205081,0.10160364308112271,0.35438040717969693,
history_shape__global__w1.40,four_year,476,91.33835889831232,182.67671779662464,0.8067226890756303,664.886404565349,0.9621848739495799,1417.2381546774511,0.976890756302521,1881.3977035214007,0.8329472190794318,0.17880407291833736,0.541014639432696,0.78755442670537,0.09708038969522118,0.34324963484221843,
history_shape__global__w1.60,development,238,98.77762274402068,197.55524548804135,0.8991596638655462,842.1603040814401,0.9873949579831933,1717.1805503082285,0.9915966386554622,2263.8314880204202,0.8291522491349481,0.18755307141770317,0.5620406041741607,0.8214357937310416,0.10031186241265863,0.35668482352625436,100.50767429405245
history_shape__global__w1.60,late,238,95.70565656578391,191.41131313156782,0.7815126050420168,677.5800492107863,0.9621848739495799,1522.2209460973747,0.9873949579831933,2036.5061200284972,0.8346580737558181,0.17929173883770472,0.5420291949270455,0.7629104108232965,0.1073817320549015,0.37093649843923243,
history_shape__global__w1.60,four_year,476,97.24163965490229,194.48327930980457,0.8403361344537815,759.8701766461132,0.9747899159663865,1619.7007482028014,0.9894957983193278,2150.1688040244585,0.8330729306969812,0.1834224051277039,0.5520348995506033,0.7871915820029027,0.10384679723378007,0.36381066098274334,
history_shape__scaled_state_equal_year__w0.80,development,238,72.45402038757184,144.9080407751437,0.4579831932773109,257.52622873219735,0.726890756302521,512.7271013094694,0.8697478991596639,733.2010267291041,0.8304498269896194,0.157026875114716,0.4863207721375575,0.8382204246713852,0.07422218802676069,0.25894414117367476,75.34818605383835
history_shape__scaled_state_equal_year__w0.80,late,238,81.0799963622491,162.1599927244982,0.46638655462184875,263.5101871880284,0.7058823529411765,528.5562113448237,0.8067226890756303,753.5268124188534,0.8391693519513068,0.15992662454639553,0.49430638337729677,0.7815541989770666,0.08891443225577768,0.30891022269138085,
history_shape__scaled_state_equal_year__w0.80,four_year,476,76.76700837491047,153.53401674982095,0.46218487394957986,260.5182079601129,0.7163865546218487,520.6416563271465,0.8382352941176471,743.3639195739788,0.8357128746655172,0.15847674983055574,0.4903135777574271,0.8071480406386067,0.0815683101412692,0.2839271819325278,
history_shape__scaled_state_equal_year__w1.00,development,238,72.67343169361983,145.34686338723967,0.542016806722689,321.90778591524673,0.8109243697478992,640.9088766368367,0.9411764705882353,916.5012834113802,0.8321078431372549,0.1588220467086636,0.48885377720763684,0.8430738119312436,0.07256798565817571,0.25368341893266755,72.67343169361983
history_shape__scaled_state_equal_year__w1.00,late,238,80.86126277313517,161.72252554627033,0.5210084033613446,329.38773398503537,0.7899159663865546,660.6952641810296,0.8907563025210085,941.9085155235666,0.8399570354457572,0.16064252385383726,0.4953652904196015,0.7843590166639169,0.08811433794616702,0.3050050295968697,
history_shape__scaled_state_equal_year__w1.00,four_year,476,76.76734723337752,153.53469446675504,0.5315126050420168,325.64775995014105,0.8004201680672269,650.8020704089332,0.9159663865546218,929.2048994674733,0.8360361331106442,0.1597322852812504,0.49210953381361916,0.8125453555878085,0.08034116180217135,0.2793442242647686,
history_shape__scaled_state_equal_year__w1.20,development,238,74.03467354410662,148.06934708821325,0.5966386554621849,386.28934309829606,0.8781512605042017,769.0906519642041,0.9537815126050421,1099.801540093656,0.8327566320645906,0.16224809004837454,0.49821509009236664,0.8511627906976744,0.07275333160341725,0.2564440332790111,74.03467354410662
history_shape__scaled_state_equal_year__w1.20,late,238,81.90518300550355,163.8103660110071,0.6050420168067226,395.2652807820425,0.8361344537815126,792.8343170172355,0.9285714285714286,1130.29021862828,0.8390261367704978,0.16387279183086848,0.504512957573483,0.7934334268272563,0.08805236625747112,0.30407732586604586,
history_shape__scaled_state_equal_year__w1.20,four_year,476,77.96992827480508,155.93985654961017,0.6008403361344538,390.7773119401693,0.8571428571428571,780.9624844907199,0.9411764705882353,1115.0458793609682,0.8365210207783345,0.1630604409396215,0.5013640238329248,0.8210722060957909,0.08040284893044418,0.2802606795725285,
history_shape__scaled_state_equal_year__w1.40,development,238,76.28492911705108,152.56985823410216,0.6680672268907563,450.67090028134555,0.9285714285714286,897.2724272915711,0.9705882352941176,1283.1017967759321,0.8322520184544406,0.16647961841151762,0.5097962299631302,0.8529828109201213,0.07391821444132285,0.2626495356024249,76.63880666807148
history_shape__scaled_state_equal_year__w1.40,late,238,83.88092382863587,167.76184765727174,0.6722689075630253,461.14282757904965,0.8697478991596639,924.9733698534415,0.9537815126050421,1318.671921732993,0.838453276047261,0.1679605193866847,0.5153514290357882,0.8005279656822306,0.0894812188728883,0.3097029957913203,
history_shape__scaled_state_equal_year__w1.40,four_year,476,80.08292647284348,160.16585294568696,0.6701680672268907,455.9068639301976,0.8991596638655462,911.1228985725063,0.9621848739495799,1300.8868592544627,0.8359283802956018,0.16722006889910115,0.5125738294994593,0.8261973875181422,0.08169971665710558,0.2861762656968726,
history_shape__scaled_state_equal_year__w1.60,development,238,79.24453078568362,158.48906157136724,0.7226890756302521,515.0524574643948,0.9453781512605042,1025.4542026189388,0.9747899159663865,1466.4020534582082,0.8315311418685121,0.1710602764198634,0.5218259403910396,0.8554095045500505,0.0767050352220853,0.274689287069196,79.88567618501983
history_shape__scaled_state_equal_year__w1.60,late,238,86.461793249383,172.923586498766,0.7058823529411765,527.0203743760567,0.907563025210084,1057.1124226896475,0.9621848739495799,1507.0536248377068,0.8381668456856426,0.17205545811380868,0.525777746873035,0.8026728262662927,0.09193929800599264,0.3190923199083508,
history_shape__scaled_state_equal_year__w1.60,four_year,476,82.85316201753332,165.70632403506664,0.7142857142857143,521.0364159202256,0.9264705882352942,1041.2833126542932,0.9684873949579832,1486.7278391479574,0.8356051218504751,0.17155786726683603,0.5238018436320372,0.8284651669085632,0.08432216661403896,0.2968908034887734,
history_shape__state_equal_year__w0.80,development,238,75.82571806536184,151.65143613072368,0.6638655462184874,442.12370037810433,0.8949579831932774,848.4001287092408,0.9495798319327731,1103.0382493885857,0.8302335640138409,0.16595211918262678,0.508810358784022,0.8246713852376139,0.07333617365189429,0.26093157257904515,75.8592792545434
history_shape__state_equal_year__w0.80,late,238,82.95999209866386,165.91998419732772,0.5840336134453782,354.2972589080502,0.7983193277310925,750.4319609532316,0.8529411764705882,997.5277063424162,0.8411027568922306,0.16141843872031372,0.4980508862365503,0.7426167299125557,0.09231523279687905,0.32364201386780744,
history_shape__state_equal_year__w0.80,four_year,476,79.39285508201284,158.7857101640257,0.6239495798319328,398.21047964307724,0.8466386554621849,799.416044831236,0.9012605042016807,1050.282977865501,0.8351920693928129,0.16368527895147025,0.5034306225102861,0.7743559506531204,0.08282570322438666,0.29228679322342627,
history_shape__state_equal_year__w1.00,development,238,80.51355778979121,161.02711557958241,0.7142857142857143,552.6546254726303,0.9411764705882353,1060.5001608865507,0.9789915966386554,1378.7978117357327,0.831603229527105,0.17238479838605306,0.5239897665322828,0.8264914054600607,0.07845359143290949,0.28015589467697066,81.07494187283619
history_shape__state_equal_year__w1.00,late,238,84.89386008613877,169.78772017227755,0.6512605042016807,442.8715736350628,0.8739495798319328,938.0399511915393,0.9369747899159664,1246.9096329280198,0.842391693519513,0.16474763209372195,0.5070522020887648,0.7495462794918331,0.0929885860929321,0.3200510792774921,
history_shape__state_equal_year__w1.00,four_year,476,82.70370893796499,165.40741787592998,0.6827731092436975,497.7630995538466,0.907563025210084,999.270056039045,0.957983193277311,1312.8537223318763,0.8361977623332076,0.1685662152398875,0.5155209843105238,0.7786647314949201,0.0857210887629208,0.3001034869772314,
history_shape__state_equal_year__w1.20,development,238,86.5937062241383,173.1874124482766,0.7983193277310925,663.1855505671565,0.9747899159663865,1272.600193063861,0.9789915966386554,1654.5573740828788,0.8314590542099193,0.17822034601136244,0.5378892915884624,0.8240647118301315,0.08506750317353368,0.30427718583229263,87.94147544947549
history_shape__state_equal_year__w1.20,late,238,88.14714987617651,176.29429975235303,0.7058823529411765,531.4458883620754,0.9243697478991597,1125.647941429847,0.9537815126050421,1496.291559513625,0.8418904403866809,0.16920715951883025,0.5178572557713227,0.7525160864543804,0.09608081667293157,0.3318057361490321,
history_shape__state_equal_year__w1.20,four_year,476,87.3704280501574,174.7408561003148,0.7521008403361344,597.315719464616,0.9495798319327731,1199.1240672468543,0.9663865546218487,1575.424466798252,0.8358206274805596,0.17371375276509635,0.5278732736798926,0.7803882438316401,0.09057415992323262,0.3180414609906624,
history_shape__state_equal_year__w1.40,development,238,93.48068906193603,186.96137812387207,0.8613445378151261,773.7164756616821,0.9789915966386554,1484.7002252411714,0.9915966386554622,1930.3169364300259,0.8289359861591695,0.18379153451099378,0.5514927478932796,0.8232558139534885,0.09261284406355928,0.3301036401651461,94.95058949269657
history_shape__state_equal_year__w1.40,late,238,92.26701902873644,184.53403805747288,0.7563025210084033,620.020203089088,0.9495798319327731,1313.2559316681543,0.957983193277311,1745.6734860992287,0.8411743644826352,0.17378292817583343,0.5291196859101029,0.7465764725292856,0.10133265605046309,0.35127526233794854,
history_shape__state_equal_year__w1.40,four_year,476,92.87385404533623,185.74770809067246,0.8088235294117647,696.8683393753852,0.9642857142857143,1398.9780784546629,0.9747899159663865,1837.995211264627,0.8345275937000521,0.17878723134341362,0.5403062169016913,0.7775761973875182,0.09697275005701118,0.34068945125154737,
history_shape__state_equal_year__w1.60,development,238,101.01924841298758,202.03849682597516,0.8949579831932774,884.2474007562089,0.9831932773109243,1696.8002574184814,0.9915966386554622,2206.0764987771718,0.8283592848904268,0.18845954049211527,0.5625792977500534,0.821840242669363,0.1000822084628733,0.3537354935514386,102.61657628531297
history_shape__state_equal_year__w1.60,late,238,96.95324402285682,193.90648804571364,0.7857142857142857,708.5945178161005,0.9537815126050421,1500.8639219064635,0.9705882352941176,1995.0554126848324,0.8409595417114214,0.1781390958332015,0.5398258140930481,0.7444316119452236,0.10716332366707351,0.36985583630558405,
history_shape__state_equal_year__w1.60,four_year,476,98.9862462179222,197.9724924358444,0.8403361344537815,796.4209592861545,0.9684873949579832,1598.8320896624725,0.9810924369747899,2100.5659557310023,0.834078623637376,0.1832993181626584,0.5512025559215508,0.7759887518142236,0.1036227660649734,0.36179566492851134,
outlook_corrected__history_shape__scaled_state_equal_year__w1.00,development,238,72.01914330772416,144.03828661544833,0.5630252100840336,321.90778591524673,0.8025210084033614,640.9088766368367,0.9285714285714286,916.5012834113802,0.8442906574394464,0.15776231724558254,0.4868250123401142,0.8281092012133469,0.0754134622059321,0.2627542942490107,72.01914330772416
outlook_corrected__history_shape__scaled_state_equal_year__w1.00,late,238,80.821626918591,161.643253837182,0.5504201680672269,329.3877339850354,0.7815126050420168,660.6952641810298,0.8949579831932774,941.9085155235666,0.8429645542427496,0.15993117554233968,0.4919926841795565,0.7855139415937965,0.08773348881441183,0.3043368808841545,
outlook_corrected__history_shape__scaled_state_equal_year__w1.00,four_year,476,76.42038511315758,152.84077022631516,0.5567226890756303,325.64775995014105,0.792016806722689,650.8020704089332,0.9117647058823529,929.2048994674733,0.8420343731479986,0.1588467463939611,0.4894088482598354,0.8048802612481858,0.08157347551017197,0.2835455875665826,
v5_dev_residual__global_equal_year,development,238,72.15075097656215,144.3015019531243,0.5042016806722689,289.93264534618015,0.7983193277310925,616.2420889422973,0.8991596638655462,835.2652100638026,0.8329728950403692,0.15662181072155626,0.4850009540106022,0.82103134479272,0.07411623087194913,0.26051911753698587,72.15075097656215
v5_dev_residual__global_equal_year,late,238,81.53977646636316,163.07955293272633,0.5210084033613446,289.93264534618027,0.7521008403361344,616.2420889422973,0.8697478991596639,835.2652100638026,0.8347296813462226,0.16184800538272437,0.49890053468037715,0.7615904966177198,0.09008556736499748,0.31303328238100864,
v5_dev_residual__global_equal_year,four_year,476,76.84526372146266,153.69052744292532,0.5126050420168067,289.93264534618015,0.7752100840336135,616.2420889422974,0.884453781512605,835.2652100638024,0.8347610581326437,0.15923490805214033,0.49195074434548974,0.7867380261248187,0.08210089911847329,0.2867761999589972,
v5_dev_residual__scaled_global_equal_year,development,238,72.18209626245272,144.36419252490543,0.5042016806722689,295.0704918526858,0.7983193277310925,612.030588940268,0.8991596638655462,812.213004003357,0.8289359861591695,0.1573023375091408,0.4854314638315657,0.837613751263903,0.07351195658491677,0.2562020085966376,72.18209626245272
v5_dev_residual__scaled_global_equal_year,late,238,80.87840509932914,161.7568101986583,0.5084033613445378,299.60673034776545,0.7773109243697479,621.4395837207531,0.8571428571428571,824.6994843417698,0.8390261367704976,0.16009101142263266,0.49267901883219534,0.7973931694439861,0.08808120491518596,0.3031676921422859,
v5_dev_residual__scaled_global_equal_year,four_year,476,76.53025068089093,153.06050136178186,0.5063025210084033,297.3386111002256,0.7878151260504201,616.7350863305105,0.8781512605042017,818.4562441725634,0.8343839232799957,0.1586966744658867,0.48905524133188055,0.8119103773584906,0.08079658075005136,0.2796848503694617,
v5_dev_residual__scaled_state_equal_year,development,238,71.78300725139306,143.56601450278612,0.5042016806722689,288.96772965802353,0.8067226890756303,595.6705829028467,0.9117647058823529,810.5241540744859,0.8305940023068051,0.15723310525578277,0.48458742099334257,0.838422649140546,0.07401420097169366,0.2571859583189316,71.78300725139306
v5_dev_residual__scaled_state_equal_year,late,238,81.03404819347682,162.06809638695364,0.5,292.9328551145236,0.7521008403361344,605.3896231971079,0.8403361344537815,820.628248699132,0.839813820264948,0.16026750015114802,0.4930560090792155,0.7784194027388219,0.08969891178212486,0.3103437468741722,
v5_dev_residual__scaled_state_equal_year,four_year,476,76.40852772243494,152.81705544486988,0.5021008403361344,290.9502923862736,0.7794117647058824,600.5301030499774,0.8760504201680672,815.576201386809,0.8359104214930948,0.1587503027034654,0.488821715036279,0.8016146589259796,0.08185655637690926,0.2837648525965519,
