method,period,rows,mean_pinball_loss,approx_crps,coverage_50,width_50,coverage_80,width_80,coverage_90,width_90,rise_auc,rise_brier,rise_log_loss,severe_drop_auc,severe_drop_brier,severe_drop_log_loss,selection_score
calibrated__history_shape__scaled_state_equal_year__w1.00,development,238,72.20635633919846,144.41271267839693,0.5042016806722689,291.0260441128977,0.7983193277310925,610.3515126537164,0.8991596638655462,835.5308495249434,0.829152249134948,0.1574204564819443,0.4861435862833149,0.8438827098078867,0.07310329171485441,0.25452360687559816,72.20635633919846
calibrated__history_shape__scaled_state_equal_year__w1.00,late,238,80.26981439630255,160.5396287926051,0.5042016806722689,298.5059921826864,0.773109243697479,630.1379001979095,0.865546218487395,860.9380816371298,0.8409595417114213,0.1597992724600152,0.4921256332820305,0.7838640488368256,0.08834486138759014,0.30518438735724934,
calibrated__history_shape__scaled_state_equal_year__w1.00,four_year,476,76.23808536775051,152.47617073550103,0.5042016806722689,294.766018147792,0.7857142857142857,620.2447064258131,0.8823529411764706,848.2344655810366,0.8357308334680243,0.15860986447097974,0.4891346097826727,0.8128174891146589,0.08072407655122228,0.2798539971164238,
history_shape__equal_year__w0.80,development,238,74.93194842871947,149.86389685743893,0.6428571428571429,421.0801520407221,0.9243697478991597,858.5902751541173,0.9495798319327731,1131.9157440102297,0.8298731257208765,0.16417239405019207,0.5060411704109691,0.8228513650151668,0.07413459892118861,0.26301087601025325,75.22724960801472
history_shape__equal_year__w0.80,late,238,82.24056386278669,164.48112772557337,0.5756302521008403,338.79002460540045,0.8151260504201681,761.1104730486938,0.8949579831932774,1018.2530600142513,0.8357321876118868,0.16310658091708147,0.5031938899626883,0.7591156574822636,0.09009897827364226,0.3138104166448565,
history_shape__equal_year__w0.80,four_year,476,78.58625614575307,157.17251229150614,0.6092436974789915,379.9350883230613,0.8697478991596639,809.8503741014056,0.9222689075630253,1075.0844020122404,0.8323904962017132,0.1636394874836368,0.5046175301868288,0.7842434687953556,0.08211678859741543,0.28841064632755486,
history_shape__equal_year__w1.00,development,238,79.36359969032209,158.72719938064418,0.7184873949579832,526.3501900509027,0.9537815126050421,1073.237843942647,0.9747899159663865,1414.894680012786,0.8286476355247983,0.17059859110203796,0.5215501758282773,0.8218402426693631,0.07885164725488716,0.28271145976619755,80.18015643066529
history_shape__equal_year__w1.00,late,238,84.01777579893641,168.03555159787282,0.6302521008403361,423.4875307567506,0.8865546218487395,951.3880913108671,0.9411764705882353,1272.8163250178143,0.8355889724310777,0.16648734849073388,0.5106952693150777,0.7604355716878403,0.09166616144804185,0.3176540476367758,
history_shape__equal_year__w1.00,four_year,476,81.69068774462926,163.38137548925852,0.6743697478991597,474.9188604038266,0.9201680672268907,1012.3129676267572,0.957983193277311,1343.8555025153003,0.8324443726092345,0.16854296979638592,0.5161227225716776,0.7856041364296081,0.0852589043514645,0.30018275370148667,
history_shape__equal_year__w1.20,development,238,85.1252261870831,170.2504523741662,0.7899159663865546,631.6202280610833,0.9789915966386554,1287.8854127311763,0.9789915966386554,1697.873616015344,0.8286476355247983,0.17672105078782477,0.5363168623487412,0.8208291203235591,0.08517094324330755,0.30641150151669366,86.59512661784363
