season_start_year,state_name,model,rmse,mae,bias,equal_state_rmse,mean_year_rmse,max_year_rmse,direction_accuracy
2019,Haryana,V5 frozen point,270.3852344870466,234.07679343983793,21.702741685164483,270.3852344870466,270.3852344870466,270.3852344870466,0.8181818181818182
2019,Haryana,V14 outlook shadow point,271.2140016363201,240.37444941240557,25.764456204318467,271.2140016363201,271.2140016363201,271.2140016363201,0.8181818181818182
2019,Punjab,V5 frozen point,285.87072854568163,237.957089329315,-78.12093640042052,285.87072854568163,285.87072854568163,285.87072854568163,0.8181818181818182
2019,Punjab,V14 outlook shadow point,268.1094773837882,218.64882664763954,-45.44623034596419,268.1094773837882,268.1094773837882,268.1094773837882,0.8181818181818182
2019,Uttar Pradesh,V5 frozen point,277.8074255120667,193.6688785900355,-3.1325239300196883,277.8074255120667,277.8074255120667,277.8074255120667,0.76
2019,Uttar Pradesh,V14 outlook shadow point,278.68444171442775,190.1770497666961,26.78412762196872,278.68444171442775,278.68444171442775,278.68444171442775,0.8
2020,Haryana,V5 frozen point,374.98776608892564,273.01159145486594,-25.23481099897084,374.98776608892564,374.98776608892564,374.98776608892564,0.8181818181818182
2020,Haryana,V14 outlook shadow point,372.8395805125008,268.2585342782537,-39.61749969470508,372.8395805125008,372.8395805125008,372.8395805125008,0.8181818181818182
2020,Punjab,V5 frozen point,136.97146716985148,103.53373670717738,62.01667482136331,136.9714671698515,136.97146716985148,136.97146716985148,0.8636363636363636
2020,Punjab,V14 outlook shadow point,122.77585527327598,93.52378690630294,30.780233064623477,122.77585527327598,122.77585527327598,122.77585527327598,0.8636363636363636
2020,Uttar Pradesh,V5 frozen point,200.6211464866926,152.5049023863818,-15.808854477657672,200.6211464866926,200.6211464866926,200.6211464866926,0.7333333333333333
2020,Uttar Pradesh,V14 outlook shadow point,198.44249407901216,152.1164789583761,-16.63483629596282,198.4424940790122,198.44249407901216,198.44249407901216,0.76
2021,Haryana,V5 frozen point,206.37400386741848,158.23705454562622,49.473563807276975,206.37400386741848,206.37400386741848,206.37400386741848,0.8636363636363636
2021,Haryana,V14 outlook shadow point,210.25540370023063,161.68452780507403,44.77400733374737,210.25540370023063,210.25540370023063,210.25540370023063,0.8636363636363636
2021,Punjab,V5 frozen point,499.6547329696245,434.11795269960896,434.11795269960896,499.6547329696245,499.6547329696245,499.6547329696245,0.9545454545454546
2021,Punjab,V14 outlook shadow point,495.67863521421856,433.92420562348775,433.92420562348775,495.6786352142186,495.67863521421856,495.67863521421856,0.9545454545454546
2021,Uttar Pradesh,V5 frozen point,211.0783930926423,165.95712866305902,-24.222369354813956,211.07839309264227,211.0783930926423,211.0783930926423,0.7066666666666667
2021,Uttar Pradesh,V14 outlook shadow point,211.06849785617968,165.49661480072075,-27.16021195489468,211.0684978561797,211.06849785617968,211.06849785617968,0.6933333333333334
2022,Haryana,V5 frozen point,313.89109212704284,242.89011682036016,-86.48136698561167,313.89109212704284,313.89109212704284,313.89109212704284,0.7272727272727273
2022,Haryana,V14 outlook shadow point,319.4152877923791,244.42587376597024,-86.36298206442217,319.4152877923791,319.4152877923791,319.4152877923791,0.7272727272727273
2022,Punjab,V5 frozen point,250.5431942076421,198.79312255751245,-71.85658887276972,250.5431942076421,250.5431942076421,250.5431942076421,0.9545454545454546
2022,Punjab,V14 outlook shadow point,247.0665803429476,193.12669022650664,-69.20739111281635,247.0665803429476,247.0665803429476,247.0665803429476,0.9545454545454546
2022,Uttar Pradesh,V5 frozen point,294.5017949762668,193.61912860945807,49.01053980189522,294.50179497626686,294.5017949762668,294.5017949762668,0.7466666666666667
2022,Uttar Pradesh,V14 outlook shadow point,293.2978490439055,193.185165609965,45.86149578357369,293.2978490439055,293.2978490439055,293.2978490439055,0.7466666666666667
