protocol,candidate,period,rows,rmse,mae,bias,equal_state_rmse,mean_year_rmse,max_year_rmse,direction_accuracy
select_2016_2018_test_2019_2022,median5__physical_modis__xgb_2p0,early_selection,357,363.94580488618016,282.60001234813404,-57.10929548120933,344.4495755682807,360.068369847195,420.5520906186092,0.6946778711484594
select_2016_2018_test_2019_2022,median5__physical_modis__xgb_2p0,development,238,440.7129987309861,347.7265357772767,274.62320383923804,518.437381269404,440.2795518366035,459.8208794531629,0.5504201680672269
select_2016_2018_test_2019_2022,median5__physical_modis__xgb_2p0,late,238,672.6596067599035,553.9641306590623,524.587281216635,796.3831541786593,670.5403210807683,723.8940873141668,0.4789915966386555
select_2016_2018_test_2019_2022,median5__physical_modis__xgb_2p0,four_year,476,568.6382390487146,450.8453332181695,399.6052425279365,671.9387794126142,555.4099364586859,723.8940873141668,0.5147058823529411
select_2016_2018_test_2019_2022,median5__physical_modis__xgb_2p0,all_rolling,833,491.46536490616376,378.74019570244,203.87044052401689,555.7419009681128,471.6921221966184,723.8940873141668,0.5918367346938775
select_2019_2020_test_2021_2022,ewma5__history__extra_3p0,early_selection,357,804.354090381751,681.3684939815337,-674.298354793842,757.0416229548957,726.6266752561996,1210.2795416621248,0.2969187675070028
select_2019_2020_test_2021_2022,ewma5__history__extra_3p0,development,238,266.38160828831076,194.8101972796963,-2.9188287800189268,277.4500652905101,265.44004656572014,287.81733222451567,0.7815126050420168
select_2019_2020_test_2021_2022,ewma5__history__extra_3p0,late,238,348.29264529547504,250.37348224131736,67.25025899062496,397.3697518758107,346.23477287173455,384.04018017516114,0.6596638655462185
select_2019_2020_test_2021_2022,ewma5__history__extra_3p0,four_year,476,310.0539694965915,222.59183976050682,32.165715105303015,342.69611789131176,305.8374097187273,384.04018017516114,0.7205882352941176
select_2019_2020_test_2021_2022,ewma5__history__extra_3p0,all_rolling,833,576.3791366482824,419.21040585523264,-270.60460056575914,559.2212153049032,486.175666377644,1210.2795416621248,0.539015606242497
select_2017_2020_test_2021_2022,weighted3__physical__xgb_2p0,early_selection,357,496.0920663230956,358.0467220010775,-224.17543079558104,431.3590637326883,444.1506567482545,754.9208493066191,0.6610644257703081
select_2017_2020_test_2021_2022,weighted3__physical__xgb_2p0,development,238,285.772193622348,215.01969338425602,34.651201670907476,299.066562405325,284.85078271847544,307.7806373277105,0.680672268907563
select_2017_2020_test_2021_2022,weighted3__physical__xgb_2p0,late,238,330.78983085330105,246.00093778737275,14.043880336333865,373.30215013305633,330.00714397487195,352.74911226048107,0.7226890756302521
select_2017_2020_test_2021_2022,weighted3__physical__xgb_2p0,four_year,476,309.1016490118455,230.5103155858144,24.347541003620673,338.22721951589074,307.4289633466737,352.74911226048107,0.7016806722689075
select_2017_2020_test_2021_2022,weighted3__physical__xgb_2p0,all_rolling,833,400.08879951715085,285.16877547807,-82.16230405318007,380.9391653117382,366.02397480449406,754.9208493066191,0.6842737094837935
select_2018_2020_test_2021_2022,weighted3__physical__xgb_2p0,early_selection,357,510.44403050078495,370.1233138455493,-279.3309282261145,440.35935878992285,453.55045773696503,780.2932211875618,0.6078431372549019
select_2018_2020_test_2021_2022,weighted3__physical__xgb_2p0,development,238,283.1382923201169,213.8294171494028,7.901944538636763,293.69737747600993,282.51065631854874,301.3526743743405,0.7016806722689075
select_2018_2020_test_2021_2022,weighted3__physical__xgb_2p0,late,238,331.03305604798317,248.46128102024676,-3.28065022351651,372.44185175267654,330.60986736632225,347.3430618159781,0.7016806722689075
select_2018_2020_test_2021_2022,weighted3__physical__xgb_2p0,four_year,476,308.01800010260695,231.14534908482477,2.3106471575601293,335.3886420805336,306.56026184243547,347.3430618159781,0.7016806722689075
select_2018_2020_test_2021_2022,weighted3__physical__xgb_2p0,all_rolling,833,407.28362851080595,290.70733398227816,-118.392885149729,383.906845019189,369.55606008294814,780.2932211875618,0.6614645858343338
select_2016_2018_test_2019_2022,early_diverse_top5,early_selection,357,364.61736937529093,283.6385541823126,-52.46413819177089,346.05699279132966,360.47339558567256,423.0693228620557,0.6974789915966386
select_2016_2018_test_2019_2022,early_diverse_top5,development,238,456.6143897999139,364.0153596923025,294.7589796779878,538.2944061263519,456.6034111637721,459.7697791074882,0.5504201680672269
select_2016_2018_test_2019_2022,early_diverse_top5,late,238,705.2995502362013,585.4704686127479,560.6418967952086,834.732461721779,701.3778729909146,775.6512520855009,0.46218487394957986
select_2016_2018_test_2019_2022,early_diverse_top5,four_year,476,594.1145329546044,474.74291415252515,427.7004382365982,702.3315279549334,578.9906420773433,775.6512520855009,0.5063025210084033
select_2016_2018_test_2019_2022,early_diverse_top5,all_rolling,833,508.6011335336426,392.84104559386265,221.91561976729716,577.2279355948172,485.340393580913,775.6512520855009,0.5882352941176471
