year,time_step,start_date,end_date,B7,B8,B8A,B12
2010,0,2010-10-01,2010-10-06,0.0736757748171996,0.3218293192929698,0.1960158223118727,0.1075308231772379
2010,1,2010-10-06,2010-10-11,0.0817962696455276,0.3079333032098584,0.202389410432262,0.1182293815913707
2010,2,2010-10-11,2010-10-16,0.0824751813684968,0.3116866064017022,0.2028769372729076,0.1230526707890166
2010,3,2010-10-16,2010-10-21,0.0892378527508864,0.2902839839349033,0.2082754717120057,0.1241046508078576
2010,4,2010-10-21,2010-10-26,0.1032374165728883,0.2809425029827854,0.223742928924917,0.1468811628904177
2010,5,2010-10-26,2010-10-31,0.127444235636449,0.2835212997167073,0.2427320434366522,0.165387839516922
2010,6,2010-10-31,2010-11-05,0.1137923965357213,0.2382781218778288,0.2410872632781028,0.1749794904478746
2010,7,2010-11-05,2010-11-10,0.1381770160958192,0.2409828945024766,0.2378026162736153,0.1788958959007288
2010,8,2010-11-10,2010-11-15,0.1583738372578284,0.2311255744950226,0.2451861133564963,0.1901393511936214
2010,9,2010-11-15,2010-11-20,0.1530975949532781,0.2110065819203478,0.2222050450232102,0.1850769024444971
2010,10,2010-11-20,2010-11-25,0.1430665634711472,0.2151409289766881,0.2299892399222421,0.1820779945723729
2010,11,2010-11-25,2010-11-30,0.1208699443718063,0.2059385335342286,0.2290517582390703,0.1856884389999268
2010,12,2010-11-30,2010-12-05,0.1318237340191836,0.2103622600277556,0.2201501994451516,0.1740990869154885
2010,13,2010-12-05,2010-12-10,0.1399248773016763,0.2124930259571534,0.223514043070192,0.1674072856514463
2010,14,2010-12-10,2010-12-15,0.113402519449974,0.2120108986992927,0.2058299514481342,0.1582237205660839
2010,15,2010-12-15,2010-12-20,0.123437188327413,0.221439778210235,0.2084510235629677,0.1560516905717059
2010,16,2010-12-20,2010-12-25,0.116984168230589,0.2398154099742592,0.1960090761705772,0.1425240654975878
2010,17,2010-12-25,2010-12-30,0.1151933438402815,0.2259131543367759,0.2009195138093557,0.1503738930318358
2010,18,2010-12-30,2011-01-04,0.1233802065439705,0.2338469898593825,0.1819820356413022,0.1231436264449444
2010,19,2011-01-04,2011-01-09,0.1046664982633255,0.2541223498591196,0.1776688982890068,0.1142120845799474
2010,20,2011-01-09,2011-01-14,0.0985076632796938,0.2612758198015497,0.1684988093482216,0.1000560941211272
2010,21,2011-01-14,2011-01-19,0.129776244857352,0.2278785697445058,0.1679549951120273,0.1037631873923011
2010,22,2011-01-19,2011-01-24,0.0672390817020357,0.2946730698585937,0.1690426235844159,0.0963490008499534
2010,23,2011-01-24,2011-01-29,0.0905261853485736,0.2937477282851658,0.1626770454446832,0.0912184394960081
2010,24,2011-01-29,2011-02-03,0.1170135960275077,0.3180334242789452,0.1747934456293284,0.1003086059002355
2010,25,2011-02-03,2011-02-08,0.0774428321789809,0.3157041144653858,0.1609177288889018,0.0870368568639104
