year,time_step,start_date,end_date,B7,B8,B8A,B12
2010,0,2010-10-01,2010-10-06,0.0957992654503019,0.286809354958,0.2096853480077352,0.1377567039232544
2010,1,2010-10-06,2010-10-11,0.1226674867293065,0.2783236718686677,0.2120356867273667,0.1378962849553205
2010,2,2010-10-11,2010-10-16,0.0957992654503019,0.286809354958,0.2096853480077352,0.1377567039232544
2010,3,2010-10-16,2010-10-21,0.1220687237392626,0.2772816035861278,0.218351887276044,0.1463791723936464
2010,4,2010-10-21,2010-10-26,0.1495357080083112,0.2698379887793354,0.2143860254469982,0.1380358659873868
2010,5,2010-10-26,2010-10-31,0.1208711977591749,0.2751974670210481,0.2309842883733988,0.1633449472702981
2010,6,2010-10-31,2010-11-05,0.135203452883743,0.2725177279001917,0.2226851569101985,0.1506904066288424
2010,7,2010-11-05,2010-11-10,0.135203452883743,0.2725177279001917,0.2226851569101985,0.1506904066288424
2010,8,2010-11-10,2010-11-15,0.1208711977591749,0.2751974670210481,0.2309842883733988,0.1633449472702981
2010,9,2010-11-15,2010-11-20,,,,
2010,10,2010-11-20,2010-11-25,0.1481488445071745,0.27149871580529,0.2747894119818333,0.1985448963451387
2010,11,2010-11-25,2010-11-30,0.1481488445071745,0.27149871580529,0.2747894119818333,0.1985448963451387
2010,12,2010-11-30,2010-12-05,0.1481488445071745,0.27149871580529,0.2747894119818333,0.1985448963451387
2010,13,2010-12-05,2010-12-10,0.1481488445071745,0.27149871580529,0.2747894119818333,0.1985448963451387
2010,14,2010-12-10,2010-12-15,0.1481488445071745,0.27149871580529,0.2747894119818333,0.1985448963451387
2010,15,2010-12-15,2010-12-20,0.1481488445071745,0.27149871580529,0.2747894119818333,0.1985448963451387
2010,16,2010-12-20,2010-12-25,0.1481488445071745,0.27149871580529,0.2747894119818333,0.1985448963451387
2010,17,2010-12-25,2010-12-30,,,,
2010,18,2010-12-30,2011-01-04,,,,
2010,19,2011-01-04,2011-01-09,,,,
2010,20,2011-01-09,2011-01-14,0.1092452341865425,0.2751946030769678,0.1935886682059133,0.1176763451088129
2010,21,2011-01-14,2011-01-19,0.1092452341865425,0.2751946030769678,0.1935886682059133,0.1176763451088129
2010,22,2011-01-19,2011-01-24,0.1092452341865425,0.2751946030769678,0.1935886682059133,0.1176763451088129
2010,23,2011-01-24,2011-01-29,0.1092452341865425,0.2751946030769678,0.1935886682059133,0.1176763451088129
2010,24,2011-01-29,2011-02-03,0.0913928611975888,0.29465010927396,0.187450500329368,0.1096443108157987
2010,25,2011-02-03,2011-02-08,0.0913928611975888,0.29465010927396,0.187450500329368,0.1096443108157987
2010,26,2011-02-08,2011-02-13,0.0735404882086352,0.3141056154709523,0.1813123324528228,0.1016122765227846
2010,27,2011-02-13,2011-02-18,0.0735404882086352,0.3141056154709523,0.1813123324528228,0.1016122765227846
2010,28,2011-02-18,2011-02-23,0.0735404882086352,0.3141056154709523,0.1813123324528228,0.1016122765227846
2010,29,2011-02-23,2011-02-28,0.0772788590246109,0.3089792672628928,0.1817424966419239,0.1097088681157479
2010,30,2011-02-28,2011-03-05,0.0810172298405867,0.3038529190548333,0.182172660831025,0.1178054597087113
2010,31,2011-03-05,2011-03-10,0.0836978195239208,0.2919483290514227,0.1880058013760042,0.1251734722944403
2010,32,2011-03-10,2011-03-15,0.0810172298405867,0.3038529190548333,0.182172660831025,0.1178054597087113
2010,33,2011-03-15,2011-03-20,0.0836978195239208,0.2919483290514227,0.1880058013760042,0.1251734722944403
2010,34,2011-03-20,2011-03-25,0.0863784092072549,0.2800437390480121,0.1938389419209834,0.1325414848801693
2010,35,2011-03-25,2011-03-30,0.1023797779360956,0.2733422374860882,0.206204144010542,0.1451812225056733
2010,36,2011-03-30,2011-04-04,0.1130610519838501,0.2580868967017157,0.2182198856003005,0.1588691039041543
2010,37,2011-04-04,2011-04-09,0.1397436947604453,0.2361300543554194,0.2426008292796177,0.1851967229281394
2010,38,2011-04-09,2011-04-14,0.1591607776206659,0.2495725864354831,0.2817493437636925,0.2247791219957216
2010,39,2011-04-14,2011-04-19,0.1591607776206659,0.2495725864354831,0.2817493437636925,0.2247791219957216
2010,40,2011-04-19,2011-04-24,0.1785778604808866,0.2630151185155468,0.3208978582477673,0.2643615210633038
2010,41,2011-04-24,2011-04-29,0.1785778604808866,0.2630151185155468,0.3208978582477673,0.2643615210633038
2010,42,2011-04-29,2011-05-04,0.1785778604808866,0.2630151185155468,0.3208978582477673,0.2643615210633038
2011,0,2011-10-01,2011-10-06,0.1165458330496777,0.2844753608854107,0.2287006627974447,0.161727634066858
2011,1,2011-10-06,2011-10-11,0.1232910509283645,0.2972169877736361,0.2358181514545975,0.1672421485421823
2011,2,2011-10-11,2011-10-16,0.1189419903207347,0.2786109715115005,0.2281382574247918,0.1621118999041622
2011,3,2011-10-16,2011-10-21,0.1098006151709909,0.2717337339971853,0.221583174140292,0.1562131195915338
2011,4,2011-10-21,2011-10-26,0.1237343048628488,0.2668821927636802,0.2270134466794862,0.1628804315787707
2011,5,2011-10-26,2011-10-31,0.1391826715752762,0.2685339994904434,0.2389106100799947,0.1738927162201851
2011,6,2011-10-31,2011-11-05,0.1611950663289729,0.2813467883165828,0.2606528159773989,0.1937278754343318
2011,7,2011-11-05,2011-11-10,0.1620006999382922,0.2541732828843252,0.2463930035228018,0.1827494382761041
